title,description,photographer,date original,date is approximate?,subject,latitude,longitude,source,holding institution,format original,type,format digital,digital publisher,identifier,digital identifier,rights,rightsstatement,date digital,language,filename,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,,objectid
Drawing by the gym,Student drawing by the Memorial Gym.,,1985,y,campuses; buildings; architecture; students,46.726781,-117.014002,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-209,PG52-209.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/210,210,297.jp2,/p17254coll3/image/297.jp2,,argonautphotos210
University of Idaho Kibbie Dome Annex [01],Newly built Kibbie Dome annex.,,1982,,universities (institution); stadiums; annexes (building divisions),,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-425,PG52-425.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/211,211,659.jp2,/p17254coll3/image/659.jp2,,argonautphotos211
Skiing on Campus,"Two students skiing on campus, with the Theophilus Tower in the far background.",,1983,,skiing; snowboarding; winter; sports; campuses; dormatories,46.731907,-117.013101,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-553,PG52-553.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/212,212,465.jp2,/p17254coll3/image/465.jp2,,argonautphotos212
Julie Hansen,Julie Hansen,,1985,y,sports; volleyball; athletes; competitions; portraits,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-627,PG52-627.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/213,213,329.jp2,/p17254coll3/image/329.jp2,,argonautphotos213
Three Classical Guitarists,Three musicians performing on classical guitars.,,1985,y,music; musicians; sheet music; performances; guitars; tuxedos,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-497,PG52-497.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/214,214,305.jp2,/p17254coll3/image/305.jp2,,argonautphotos214
MWAC cross-country champions,"Women's cross-country. L-R: Jackie Mount, Maureen McGinnis, Kim Denham. MWAC champions.",John O'Bryan,1986,y,cross-country; running; competitions; sports; athletes,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-588,PG52-588.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/215,215,272.jp2,/p17254coll3/image/272.jp2,,argonautphotos215
Working on an early computer,A man working on an early computer and surrounded by various scientific equipment.,,1985,y,laboratories; scientific equipment; computers; research,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-470,PG52-470.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/216,216,464.jp2,/p17254coll3/image/464.jp2,,argonautphotos216
Chris Carey at practice,Vandals basketball player Chris Carey at practice.,,1985,y,sports; basketball; jerseys; training,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-090,PG52-090.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/217,217,221.jp2,/p17254coll3/image/221.jp2,,argonautphotos217
Camperdown Elms,Students walk under a snowy Camperdown Elm on the University of Idaho campus.,Leo Ames,1985,y,winter; snow; students; universities (institution); trees,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-226,PG52-226.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/218,218,157.jp2,/p17254coll3/image/157.jp2,,argonautphotos218
Registration Day [05],A student registering for classes in the Kibbie Dome.,,1987,,stadiums; registration; students; faculty,46.726399,-117.017254,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-521,PG52-521.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/219,219,78.jp2,/p17254coll3/image/78.jp2,,argonautphotos219
"James Fitch, Guard [03]","James Fitch, Guard/Forward",,1983,y,sports; basketball; athletes; portraits,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-100,PG52-100.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/220,220,24.jp2,/p17254coll3/image/24.jp2,,argonautphotos220
"Chris Carey, Point Guard","Chris Carey, Point Guard",,1983,y,sports; basketball; athletes; portraits,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-117,PG52-117.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/221,221,330.jp2,/p17254coll3/image/330.jp2,,argonautphotos221
Vandals Women's Basketball practice [03],Vandals Women's Basketball player Macy West at practice.,,1986,,sports; basketball; athletes; training,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-177,PG52-177.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/222,222,584.jp2,/p17254coll3/image/584.jp2,,argonautphotos222
Delta Chi Fraternity,Delta Chi Fraternity brothers at a booth looking at photographs.,,1983,y,fraternities; students,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-569,PG52-569.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/223,223,560.jp2,/p17254coll3/image/560.jp2,,argonautphotos223
Kelly Neely,Kelly Neely,,1985,y,sports; volleyball; athletes; competitions; portraits,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-630a,PG52-630a.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/224,224,681.jp2,/p17254coll3/image/681.jp2,,argonautphotos224
Parade on Main Street [01],People in costume holding garden tools during a parade on the corner of Main Street and 3rd.,,1983,y,parades; garden tools; wigs; costumes,46.732315,-117.00139,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-659,PG52-659.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/225,225,516.jp2,/p17254coll3/image/516.jp2,,argonautphotos225
Risk Board Game,Students play Risk the board game in what looks like a classroom. Note the man on the left wearing a Pi Kappa Alpha  fraternity sweatshirt.,,1984-03,,board games; students; fraternities (association); Risk (board game); Pi Kappa Alpha (PIKE); universities (institution); classrooms,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-234,PG52-234.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/226,226,2.jp2,/p17254coll3/image/2.jp2,,argonautphotos226
Netra McGrew vs. WSU Cougars,Vandals Women's Basketball player Netra McGrew (25) driving the ball down the court in a game against the Washington State University Cougars.,,1985,y,sports; basketball; athletes; jerseys,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-158,PG52-158.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/227,227,238.jp2,/p17254coll3/image/238.jp2,,argonautphotos227
Student Newspaper [01],Women working on a student newspaper.,,1984,y,students; newspapers,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-444,PG52-444.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/228,228,419.jp2,/p17254coll3/image/419.jp2,,argonautphotos228
Don Monson [03],Don Monson talking to basketball players at summer basketball camp.,,1985,y,sports; basketball; camps,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-332,PG52-332.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/229,229,21.jp2,/p17254coll3/image/21.jp2,,argonautphotos229
Students playing football outside,Students playing football outside.,,1983,y,students; American football (sports); jerseys; recreation,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-462,PG52-462.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/230,230,414.jp2,/p17254coll3/image/414.jp2,,argonautphotos230
A conversation in the College of Natural Resources Building,Two people having a conversation in the College of Natural Resources Building.,,1985,y,natural resources; students; faculty; handrails,46.729369,-117.012685,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-454,PG52-454.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/231,231,125.jp2,/p17254coll3/image/125.jp2,,argonautphotos231
Robin Behrens,Vandals Women's Basketball player Robin Behrens (3) taking a shot.,D. Gilbertson,1985,y,sports; basketball; athletes; jerseys,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-136,PG52-136.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/232,232,398.jp2,/p17254coll3/image/398.jp2,,argonautphotos232
Don Monson,"Don Monson, Head Basketball Coach 1978-83.",,1980,,sports; basketball; coaches,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-099,PG52-099.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/233,233,138.jp2,/p17254coll3/image/138.jp2,,argonautphotos233
Two faculty members receiving service awards,David L. McKinney and Elizabeth E. Stevenson receiving citations for meritorious service with Ms. Zakrajele.,,1987,y,faculty; awards,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-023,PG52-023.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/234,234,587.jp2,/p17254coll3/image/587.jp2,,argonautphotos234
1986 University of Idaho Football Roster [06],"1986 Idaho Football.Carlos Carson, WR. Greg Hale, OT. John Friez, QB. Paul Taggert, OT. Darel Tracy, QB. Peter Wilkens, TE. Troy Wright, OG. Steve Unger, C.",,1986,,sports; American football (sports); universities (institution),,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-419,PG52-419.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/235,235,191.jp2,/p17254coll3/image/191.jp2,,argonautphotos235
Keith Gilbertson,"Keith Gilbertson, Idaho head football coach, giving a speech at celebratory bonfire.",John O'Bryan,1985,y,sports; American football (sports); universities (institution); coaches (people); celebrations,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-408,PG52-408.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/236,236,311.jp2,/p17254coll3/image/311.jp2,,argonautphotos236
Woman on stage in front of audience,Woman on stage in front of audience.,,1983,y,audiences; presentations,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-570,PG52-570.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/237,237,404.jp2,/p17254coll3/image/404.jp2,,argonautphotos237
University of Idaho Kibbie Dome Annex [10],Construction workers at unfinished Kibbie Dome annex.,,1982,,universities (institution); stadiums; annexes (building divisions),,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-435,PG52-435.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/238,238,281.jp2,/p17254coll3/image/281.jp2,,argonautphotos238
Steve Adams,Steve Adams (44) slamdunking.,Scott Spiker,1985,y,sports; basketball; jerseys,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-067,PG52-067.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/239,239,408.jp2,/p17254coll3/image/408.jp2,,argonautphotos239
James H. Cooley,Professor James H. Cooley wearing protective goggles in a chemistry laboratory.,,1985,y,professors (teacher); chemistry; science; equipment; goggles,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-315,PG52-315.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/240,240,412.jp2,/p17254coll3/image/412.jp2,,argonautphotos240
James Fitch and Robert Blair,James Fitch (33) Robert Blair (42) going up against the Boise State Broncos during a basketball game.,,1984,y,sports; basketball; jerseys,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-059,PG52-059.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/241,241,229.jp2,/p17254coll3/image/229.jp2,,argonautphotos241
Walking across campus [01],Students walking outdoors.,Leo Ames,1985,y,students; campuses,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-198,PG52-198.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/242,242,232.jp2,/p17254coll3/image/232.jp2,,argonautphotos242
Vandals Women's Basketball game [06],Vandals Women's Basketball game.,,1985,y,sports; basketball; athletes; jerseys,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-157,PG52-157.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/243,243,421.jp2,/p17254coll3/image/421.jp2,,argonautphotos243
