title,description,creator,contributors,source,date,date is approximate,subject,location,latitude,longitude,identifier,rights,rightsstatement,type,format,format-original,language,file name,oclc number,date created,date modified,reference url,cdm-id,contentdm file name,contentdm file path,object-id
Anti-war rally in the quad on University of Idaho's campus,Protesters gather at the quad outside of the University of Idaho Library for an anti-war rally in 1998.,"Burns, Ariana","Burns, Ariana",antiwarrally3,1998-02-19,no,rallies; politics; protests,"Moscow, ID",46.727595,-117.013406,CH_BurnsA_003,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-13,2017-04-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/141,141,142.jp2,/lcheritage/image/142.jp2,lcheritage141
Anti-war rally going through campus,Protesters walking from the University of Idaho to the courthouse during the anti-war rally in 1998,"Burns, Ariana","Burns, Ariana",antiwarrally4,1998-02-19,no,rallies; politics; protests,"Moscow, ID",46.728967,-117.013543,CH_BurnsA_004,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-13,2017-04-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/142,142,143.jp2,/lcheritage/image/143.jp2,lcheritage142
Woman holds sign during an anti-war rally,"A woman holds a sign reading """"End the Genocide"""" during the anti-war rally at the University of Idaho","Burns, Ariana","Burns, Ariana",antiwarrally5,1998-02-19,no,rallies; politics; protests,"Moscow, ID",46.729709,-117.011432,CH_BurnsA_005,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-13,2017-04-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/143,143,144.jp2,/lcheritage/image/144.jp2,lcheritage143
A view of the anti-war rally from the University Classroom Center,Groups of protesters gather in the mall outside of the University of Idaho Library for an anti-war rally in 1998,"Burns, Ariana","Burns, Ariana",antiwarrally6,1998-02-19,no,rallies; politics; protests,"Moscow, ID",46.727741,-117.013364,CH_BurnsA_006,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-13,2017-04-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/144,144,145.jp2,/lcheritage/image/145.jp2,lcheritage144
Protesters walking in the anti-war rally,Protesters walking from the University of Idaho to the courthouse during the anti-war rally in 1998. One man walks next to another man wearing the KUOI transponder unit.,"Burns, Ariana","Burns, Ariana",antiwarrally2,1998-02-19,no,rallies; politics; protests,"Moscow, ID",46.729983,-117.005928,CH_BurnsA_002,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-13,2017-04-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/145,145,146.jp2,/lcheritage/image/146.jp2,lcheritage145
Bell Jar 1999,"Theatre Outside the Bell Jar monologues, scenes, performance pieces by local writers. Originally all women. 1999 Voxus Maximus Show in Laura�s Tea Room on Main Street where Howard Hughes Video is now. L-r: Janna Jones, Becky O�Rourke, Stacy Horn","Burns, Ariana","Burns, Ariana",belljar1999,1999-01-01,yes,plays; women; theater,"Moscow, ID",46.730441,-117.001207,CH_BurnsA_007,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-13,2017-03-13,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/146,146,147.jp2,/lcheritage/image/147.jp2,lcheritage146
Bell Jar 2000,"Theatre Outside the Bell Jar Dec 8, 2000 at Mikey�s Gyros. Tim Waterman & Gerri Sayler.","Burns, Ariana","Burns, Ariana",belljar2000,2000-12-08,no,plays; men; women; theater,"Moscow, ID",46.73043,-117.001852,CH_BurnsA_008,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-13,2017-03-13,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/147,147,148.jp2,/lcheritage/image/148.jp2,lcheritage147
Bell Jar 2001,"Theatre Outside the Bell Jar Mar 30, 2001 at Mikey�s Gyros. Max Gash & Misty Morgan","Burns, Ariana","Burns, Ariana",belljar2001,2001-03-30,no,plays; men; women; theater,"Moscow, ID",46.730433,-117.001816,CH_BurnsA_009,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-13,2017-03-13,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/148,148,149.jp2,/lcheritage/image/149.jp2,lcheritage148
Bell Jar 2001,"Theatre Outside the Bell Jar Mar 30, 2001 at Mikey�s Gyros. Photograph of the crowd outside of the venue.","Burns, Ariana","Burns, Ariana",belljar2001a,2001-03-30,no,plays; men; women; theater,"Moscow, ID",46.730443,-117.001869,CH_BurnsA_010,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-13,2017-03-13,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/149,149,150.jp2,/lcheritage/image/150.jp2,lcheritage149
Local musicians play inside the new Bookpeople location,"Bookpeople moves across the street. Main Street was closed. Customers came to form a book brigade and handed the stock across the street. The Border Highlanders played, Laura�s Tea Room & MIkey�s Gyros were open with hot drinks & soup. Locals plays music inside of Mikey�s.","Burns, Ariana","Burns, Ariana",bookpeople1,1999-12-28,no,book stores; store fronts; community,"Moscow, ID",46.730554,-117.001481,CH_BurnsA_011,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-13,2017-04-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/150,150,151.jp2,/lcheritage/image/151.jp2,lcheritage150
New Bookpeople location,"Bookpeople moves across the street. Main Street was closed. Customers came to form a book brigade and handed the stock across the street. The Border Highlanders played, Laura�s Tea Room & MIkey�s Gyros were open with hot drinks & soup. Locals plays music","Burns, Ariana","Burns, Ariana",bookpeople2,1999-12-28,no,book stores; store fronts; community,"Moscow, ID",46.73056,-117.001635,CH_BurnsA_012,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-13,2017-04-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/151,151,152.jp2,/lcheritage/image/152.jp2,lcheritage151
Part of the chain of customers moving Bookpeople to its new location,"Bookpeople moves across the street. Customers came to form a book brigade and handed the stock across the street. The Border Highlanders played, Laura�s Tea Room & MIkey�s Gyros were open with hot drinks & soup. Locals plays music.","Burns, Ariana","Burns, Ariana",bookpeople3,1999-12-28,no,book stores; store fronts; community,"Moscow, ID",46.730545,-117.001541,CH_BurnsA_013,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-13,2017-04-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/152,152,153.jp2,/lcheritage/image/153.jp2,lcheritage152
Border Highlanders play at Burns Nite,The Border Highlanders play at the Robert Burns Night Celebration January 2004,"Burns, Ariana","Burns, Ariana",burnsnite1,2004-01-01,yes,celebrations; men; bagpipes,"Moscow, ID",46.732713,-116.996516,CH_BurnsA_014,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-13,2017-04-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/153,153,154.jp2,/lcheritage/image/154.jp2,lcheritage153
Dan Maher and Gerri Sayler at Burns Nite 2004,Dan Maher and Gerri Sayler at the Robert Burns Night Celebration January 2004,"Burns, Ariana","Burns, Ariana",burnsnite2,2004-01-01,yes,celebrations; men; women,"Moscow, ID",46.732686,-116.996483,CH_BurnsA_015,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-13,2017-04-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/154,154,155.jp2,/lcheritage/image/155.jp2,lcheritage154
Code Pink protest downtown Moscow,Code Pink War Protest in February  2003,"Burns, Ariana","Burns, Ariana",codepink,2003-02-01,yes,protests; men; women,"Moscow, ID",46.731548,-116.998563,CH_BurnsA_016,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-13,2017-04-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/155,155,156.jp2,/lcheritage/image/156.jp2,lcheritage155
Code Pink protest outside the Federal Building,Code Pink War Protest in February 2003. People can be seen holding signs near a pink ribbon across the entrance of the Federal Building in downtown Moscow.,"Burns, Ariana","Burns, Ariana",codepink2,2003-02-01,yes,protests; men; women,"Moscow, ID",46.731108,-116.99914,CH_BurnsA_017,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-13,2017-04-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/156,156,157.jp2,/lcheritage/image/157.jp2,lcheritage156
A man wrapped in duct tape for the Code Pink protest,A man is wrapped in duct tape at the Code Pink War Protest in February 2003. Pink ribbons and people holding signs can be seen in the background.,"Burns, Ariana","Burns, Ariana",codepink3,2003-02-01,yes,protests; men; women,"Moscow, ID",46.731657,-116.999304,CH_BurnsA_018,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-13,2017-04-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/157,157,158.jp2,/lcheritage/image/158.jp2,lcheritage157
Lurker Bowl from Winter 2002,Lurker Bowl at Robinson Lake Park. Nick Nash was the announcer.,"Burns, Ariana","Burns, Ariana",lurkerbowl,2002-01-01,yes,community; sports; winter,"Moscow, ID",46.754992,-116.910004,CH_BurnsA_019,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-13,2017-04-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/158,158,159.jp2,/lcheritage/image/159.jp2,lcheritage158
Lurker Bowl from Winter 2004,"Lurker Bowl at Robinson Lake Park, January 2004","Burns, Ariana","Burns, Ariana",lurkerbowl2,2004-01-01,yes,community; sports; winter,"Moscow, ID",46.754616,-116.90959,CH_BurnsA_020,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-13,2017-04-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/159,159,160.jp2,/lcheritage/image/160.jp2,lcheritage159
Lurker Bowl participants in the snow,Lurker Bowl at Robinson Lake Park. A Moscow tradition that consists of flag football played in the snow at Robinson Lake Park.,"Burns, Ariana","Burns, Ariana",lurkerbowl3,2002-01-01,yes,community; sports; winter,"Moscow, ID",46.756124,-116.908339,CH_BurnsA_021,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-13,2017-04-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/160,160,161.jp2,/lcheritage/image/161.jp2,lcheritage160
Moscow Civic Association Booth at the 2004 Ren Fair,"Moscow Civic Association booth at 2004 Ren Fair. Subjects appear as names read, lef to right: unknown; Palmer, Pam; Blackburn, Lois","Burns, Ariana","Burns, Ariana",moscowcivic1,2004-05-01,yes,community; fair; women,"Moscow, ID",46.733309,-116.990518,CH_BurnsA_022,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-13,2017-04-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/161,161,162.jp2,/lcheritage/image/162.jp2,lcheritage161
Volunteers at the Moscow Civic Association Booth at the 2004 Ren Fair,"Moscow Civic Association booth at 2004 Ren Fair. Subjects read as names appear, left to right: Peterson, Ivan; Palmer, Pam.","Burns, Ariana","Burns, Ariana",moscowcivic2,2004-05-01,yes,community; fair; women; men,"Moscow, ID",46.733298,-116.990497,CH_BurnsA_023,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-13,2017-04-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/162,162,163.jp2,/lcheritage/image/163.jp2,lcheritage162
Moscow Civic Association Booth at the Ren Fair,Moscow Civic Association booth at 2004 Ren Fair.,"Burns, Ariana","Burns, Ariana",moscowcivic3,2004-05-01,yes,community; fair; food,"Moscow, ID",46.73339,-116.990438,CH_BurnsA_024,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-13,2017-04-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/163,163,164.jp2,/lcheritage/image/164.jp2,lcheritage163
NPR Fundraiser,"NPR Fundraiser in Pullman, WA, in October 2003. Pictured Left to right: Chaucey Wittenger, Joan Jones, Ivan Peterson","Burns, Ariana","Burns, Ariana",NPR,2003-10-01,yes,fundraiser; men; women,"Pullman, WA",46.729332,-117.179148,CH_BurnsA_025,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-13,2017-04-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/164,164,165.jp2,/lcheritage/image/165.jp2,lcheritage164
Renaissance Fair 2001,"Moscow's annual Renaissance Fair is always the first weekend in May, marked as the official beginning of summer for the Palouse. People can be seen eating and conversing while at the fair.","Burns, Ariana","Burns, Ariana",renfair2001,2001-05-02,no,community; fair; men; women,"Moscow, ID",46.73357,-116.990675,CH_BurnsA_026,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-13,2017-04-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/165,165,166.jp2,/lcheritage/image/166.jp2,lcheritage165
Renaissance Fair 2004,The Radio Free Moscow Booth at the Annual Renaissance Fair.,"Burns, Ariana","Burns, Ariana",renfair2004,2004-05-01,yes,community; fair; booth; men; women,"Moscow, ID",46.733631,-116.990501,CH_BurnsA_027,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-13,2017-04-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/166,166,167.jp2,/lcheritage/image/167.jp2,lcheritage166
Silver Wings crew before the show,"Silver Wings on Blue"""" by Ariana Burns, produced/directed by Angel Katen at the University Inn. This play is the story of the Women�s Air Force Service Pilots during WWII.  Pictured left to right: Troy Sprenke, Elizabeth Dahle, Stacy Horn, Courtney Donnal, Stephanie Kalasz","Burns, Ariana","Burns, Ariana",silverwings,1998-05-27,no,community; plays; women,"Moscow, ID",46.733543,-117.023821,CH_BurnsA_028,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-13,2017-04-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/167,167,168.jp2,/lcheritage/image/168.jp2,lcheritage167
Twice Sold Tales sign,"Twice Sold Tales, circa 1991, owned by Betty Smith & Eric Wegner. It is now Read It Again on Main Street owned by Scott Janke & Leah Evans-Janke. Also in the photograph is Safari Pearl at its original location, which was another comic shop before that. In the background is the marquee for the Micro Movie House.","Burns, Ariana","Burns, Ariana",twicesold,1991-01-01,yes,book stores; store fronts; signs,"Moscow, ID",46.732508,-117.004835,CH_BurnsA_029,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-13,2017-03-13,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/168,168,169.jp2,/lcheritage/image/169.jp2,lcheritage168
Wedding Certificate of Gilbert and Nellie Smith,"This marriage certificate reads """"This certifies that Gilbert L. Smith of Moscow state of Idaho and Nellie Eid of Moscow state of Idaho were by me united in Holy Matrimony According to the ordinance of God and the Laws of the State of Idaho on the Fifth day of March in the year of our Lord, 1914, at Moscow, Idaho"""". The ceremony was held at the Methodist Church. It was printed in Germany and published by Jennings and Graham out of Cincinnati, Ohio.",,LeNelle McInturff,,1914-03-05,no,marriage certificates; marriage (social construct); color printing,"Moscow, ID",46.73261,-116.997539,CH_McInturffL_001,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,image/jpg,Document,eng,,,2017-03-13,2017-03-13,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/172,172,173.jp2,/lcheritage/image/173.jp2,lcheritage172
Letter to Toline Eid from her Niece Ellen Marie Otsby,"This Letter from Ellen Marie Ostby in Norway to Toline Eid in Blaine, ID thanks Toline for the hadnkerchiefs received at Christmas and relays news of life in Norway to Ellen's aunt Toline. There is a Norwegian letter (the original, handwritten) and an English translation, typed.",,LeNelle McInturff,,1929-01-17,no,correspondence; families,"Blaine, ID",46.659196,-116.942492,CH_McInturffL_007,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,Document,eng,,,2017-03-13,2017-03-13,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/173,173,174.pdf,/lcheritage/image/174.pdf,lcheritage173
Letter to Toline Eid from her Brother Julius Ostby,"A Letter from Julius Ostby in Norway to sister in Blaine, ID wishing her Christmas and New Years cheer and relaying news from Norway. Copy of Norwegian handwritten letter and typed English translation.",,LeNelle McInturff,,1939-12-13,no,correspondence; families,"Blaine, ID",46.658696,-116.943517,CH_McInturffL_008,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,Document,eng,,,2017-03-13,2017-03-13,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/174,174,175.pdf,/lcheritage/image/175.pdf,lcheritage174
Church Ledger from the Methodist Episcopal,"Church Ledger from the Methodist Episcopal at Blaine south of Moscow, detailing the finances of the church and issues resolved within the years listed. It also includes the deed and legal paperwork the church filed after a land dispute in the 1950's.",,LeNelle McInturff,,1886-01-01,yes,churches (institutions); church records,"Blaine, ID",46.65606,-116.948356,CH_McInturffL_012,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,Document,eng,,,2017-03-13,2017-03-13,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/175,175,176.pdf,/lcheritage/image/176.pdf,lcheritage175
Memoirs of George Otness,"The memoirs of George Otness about life and family in the early 20th century covers around 20 years of history of the wider geographic area between Moscow, Genesee, Troy, Elks River, Spokane, and other places. Read through for more keywords.",,LeNelle McInturff,,1980-01-01,yes,farming; influenza; rural life,"Blaine, ID",46.643341,-116.9434,CH_McInturffL_011,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,Document,eng,,,2017-03-13,2017-03-13,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/176,176,177.pdf,/lcheritage/image/177.pdf,lcheritage176
Memoirs of Bernard Milton Otness,"Memoirs of Bernard Milton Otness about life and family in the early 20th century; typescript; Influenza 1918; a wider geographic area (Moscow, Genesee, etc.) Read through for more keywords.",,LeNelle McInturff,,1982-01-01,yes,illness; rural life; farming;,"Blaine, ID",46.64257,-116.944687,CH_McInturffL_013,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,Document,eng,,,2017-03-13,2017-03-13,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/177,177,178.pdf,/lcheritage/image/178.pdf,lcheritage177
Western Pioneer Days,"Written by Marian Smith, LeNell's mother, this paper provides a glimpse into the life of the early homesteaders in America and their struggles. The paper received a grade of A-.",,LeNelle McInturff,,1933-02-27,yes,families; rural life; farming; pioneers; homesteads,"Moscow, ID",46.732705,-116.996288,CH_McInturffL_015,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,Document,eng,,,2017-03-13,2017-03-13,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/178,178,179.pdf,/lcheritage/image/179.pdf,lcheritage178
Memoirs of Marian G. Smith Martin,"Memoirs by Marian G. Smith Martin about family in the early 20th century; typed; a wider geographic area (Moscow, Genesee, etc.) Read through for more keywords.",,LeNelle McInturff,,1995-01-01,yes,families; rural life; postsecondary education; hearing aids; farming; occupations (livlihoods),"Blaine, ID",46.735657,-117.004381,CH_McInturffL_014,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,Document,eng,,,2017-03-13,2017-03-13,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/179,179,180.pdf,/lcheritage/image/180.pdf,lcheritage179
Portrait of an Unknown Person,This portrait was used to back the wedding certificate. The subject is unidentified to date.,,LeNelle McInturff,,1914-01-01,yes,portraits; men,"Moscow, ID",46.735961,-116.998875,CH_McInturffL_002,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Image,eng,,,2017-03-13,2017-03-13,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/180,180,181.jp2,/lcheritage/image/181.jp2,lcheritage180
Grade School Certificate of Harry Martin,"This Public School Diploma was awarded to Harry Martin upon the completion of elementary school. Could be from Flanigan Creek School in School District #52 of Latah County, Idaho.",,LeNelle McInturff,,1933-05-08,no,diplomas; elementary schools (institutions); certificates,"Viola, ID",46.838902,-117.024728,CH_McInturffL_003,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,image/jpg,Document,eng,,,2017-03-13,2017-03-13,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/181,181,182.jp2,/lcheritage/image/182.jp2,lcheritage181
