title,description,creator,recipient,date,date-is-approximate?,item-information,subject,related-publication,publisher-digital,source,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,reference-url,cdmid,contentdm-file-name,contentdm-file-path,objectid
Letter from Congressman Dworshak to Frank B. Robinson,Letter on United States Congress letterhead in which Dworshak responds to a letter Robinson wrote him about selling weapons and neutrality.,"Dworshak, Henry C.",Frank B. Robinson,1939-09-20,,single-page; correspondence,Robinson and Politics; Neutrality; World War; Weapons,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 3, Folder 1",MG101_b3_f1_001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/207,207,208.pdf,/psychiana/image/208.pdf,psychiana207
Brief letter to Frank B. Robinson Addressing Personal Matters,Letter mentions arrival and practice or preparation for some unnamed event.,,"Frank B. Robinson, 'Dear Folks'",1941-04-07,,multiple-page; letters,Robinson's Family,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 3, Folder 1",MG101_b3_f1_002,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/208,208,209.pdf,/psychiana/image/209.pdf,psychiana208
Notes from Robinson to Staff,"Letters and notes that include instructions for how to manage Psychiana employees, referred to as 'girls,' while Robinson is away. Includes insults, disciplinary action, sending staff home, and specific instruction about Psychiana mail.","Robinson, Frank B.",,1930/1950,yes,multiple-page; notes,Psychiana Staff; Psychiana Headquarters; Mailings; Pearl Bey Robinson,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 3, Folder 1",MG101_b3_f1_003,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/209,209,210.pdf,/psychiana/image/210.pdf,psychiana209
Letter from Robinson to Better Business Bureau,"Robinson accuses Better Business Bureau of being unAmerican, Subversive, and anti-religious. Robinson also asks Mr. Greene to indicte Psychiana in Federal Court rather than in newspapers and magazines.","Robinson, Frank B.",Mr. Greene,1946,Y,multiple-page; letters,Psychiana Criticism; Better Business Bureau; Indictment,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 3, Folder 1",MG101_b3_f1_004,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/210,210,211.pdf,/psychiana/image/211.pdf,psychiana210
Letter from Frank B. Robinson to United States Congressman,Letter describes farmers in northern Idaho struggling due to inflation as government employees under the New Deal make higher wages.,"Robinson, Frank B.",Sen. W. Lee O'Daniel,1942/1948,yes,single-pages; letters,Robinson and Politics; Farmers; New Deal; Inflation,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 3, Folder 1",MG101_b3_f1_005,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/211,211,212.pdf,/psychiana/image/212.pdf,psychiana211
Letter from Postmaster Regarding Mail Classification of 'Psychiana Monthly',"Letter lists several requirements of second class mail, details material included in Psychiana Monthly, and catagorizes its subscribers and content in order to determine its mail classification.",Postmaster,Third Postmaster General,1931-05-14,,single-page; letters,Mailings; Second Class Mail; Postmaster General,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 3, Folder 1",MG101_b3_f1_006,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/212,212,213.pdf,/psychiana/image/213.pdf,psychiana212
Personal Letter from Arthur Robinson [01],"Letter mentions missing Robinson in London in August, 1934, and goes on to comment on Robinson not getting a chance in direct touch with their father.","Robinson, Arthur",Frank B. Robinson,1934-11-08,yes,single-page; letters,Robinson's Family; London,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 3, Folder 1",MG101_b3_f1_007,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/213,213,214.pdf,/psychiana/image/214.pdf,psychiana213
Personal Letter from Arthur Robinson [02],Letter responds to a letter from Robinson and details the scandal of an affair between their father and another woman. Arthur also asks Robinson personal details about himself and family.,"Robinson, Arthur",Frank B. Robinson,1934-12-15,yes,multiple-page; letters,Robinson's Family; Affair; Scandal; London,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 3, Folder 1",MG101_b3_f1_008,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/214,214,215.pdf,/psychiana/image/215.pdf,psychiana214
Student Correspondence to Robinson,"Student letter praising Psychiana lessons, particularly a series of lessons about the story or creation.","Birley, Geoffrey",Frank B. Robinson,1936-10-24,yes,single-page; correspondence,Creation Story; Student Correspondence,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 3, Folder 1",MG101_b3_f1_009,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/215,215,216.pdf,/psychiana/image/216.pdf,psychiana215
Exchange of Letters Robinson and A. C. Plagge,"Documents include a Western Union telegram giving Plagge sole authority to publish Psychiana courses, and a letter from Plagge to Robinson notifying him that a translator is filing a lawsuit and attempting to claim Psychiana lessons in Holland as his own.","Robinson, Frank B.; A. C. Plagge",Frank B. Robinson; A. C. Plagge,1938-03-15,,multiple-page; correspondence,Lawsuit; Holland; Plagarism; Copyright,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 3, Folder 1",MG101_b3_f1_010,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/216,216,217.pdf,/psychiana/image/217.pdf,psychiana216
A Merry Xmas,"Form letter signed by Robinson, printed in red and green wishing readers a Merry Christmas and asking for fincial assistance through the coming year. Also includes seasonal greeting card with a photo of a house in winter and in summer.","Robinson, Frank B.",,1928;1945,yes,multiple-page; greeting cards,Christmas; Donations; Finances,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 3, Folder 1",MG101_b3_f1_011,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/217,217,218.pdf,/psychiana/image/218.pdf,psychiana217
"Student Correspondence 1948, O-Pe","Letters exchanged between DeBolt or Robinson and students with last names beginning alphabetically O-Pe�discussing the exchange of Psychiana lessons, subscriptions to Psychiana publications, payment for these materials, donations, personal successes or hardships, and/or praise or dissatisfaction with Psychiana materials and teachings. Return letters address these concerns, often as form letters.",Various Students; Frank B. Robinson; W. W. DeBolt,"Frank B. Robinson; W. W. DeBolt; Psychiana; Psychiana, Inc.; Various Students",1948,yes,multiple-page; correspondence,Student Correspondence,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 3, Folder 2",MG101_b3_f2,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/218,218,219.pdf,/psychiana/image/219.pdf,psychiana218
"Student Correspondence 1948, Ph-Q","Letters exchanged between DeBolt or Robinson and students with last names beginning alphabetically Ph-Q�discussing the exchange of Psychiana lessons, subscriptions to Psychiana publications, payment for these materials, donations, personal successes or hardships, and/or praise or dissatisfaction with Psychiana materials and teachings. Return letters address these concerns, often as form letters.",Various Students; Frank B. Robinson; W. W. DeBolt,"Frank B. Robinson; W. W. DeBolt; Psychiana; Psychiana, Inc.; Various Students",1948,yes,multiple-page; correspondence,Student Correspondence,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 3, Folder 3",MG101_b3_f3,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/219,219,220.pdf,/psychiana/image/220.pdf,psychiana219
"Student Correspondence 1948, R","Letters exchanged between DeBolt or Robinson and students with last names beginning alphabetically with R�discussing the exchange of Psychiana lessons, subscriptions to Psychiana publications, payment for these materials, donations, personal successes or hardships, and/or praise or dissatisfaction with Psychiana materials and teachings. Return letters address these concerns, often as form letters.",Various Students; Frank B. Robinson; W. W. DeBolt,"Frank B. Robinson; W. W. DeBolt; Psychiana; Psychiana, Inc.; Various Students",1948,yes,multiple-page; correspondence,Student Correspondence,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 3, Folder 4",MG101_b3_f4,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/220,220,221.pdf,/psychiana/image/221.pdf,psychiana220
"Student Correspondence 1948, S-Si","Letters exchanged between DeBolt or Robinson and students with last names beginning alphabetically with S-Si�discussing the exchange of Psychiana lessons, subscriptions to Psychiana publications, payment for these materials, donations, personal successes or hardships, and/or praise or dissatisfaction with Psychiana materials and teachings. Return letters address these concerns, often as form letters.",Various Students; Frank B. Robinson; W. W. DeBolt,"Frank B. Robinson; W. W. DeBolt; Psychiana; Psychiana, Inc.; Various Students",1948,yes,multiple-page; correspondence,Student Correspondence,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 3, Folder 5",MG101_b3_f5,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/221,221,222.pdf,/psychiana/image/222.pdf,psychiana221
"Student Correspondence 1948, Sm-Sw","Letters exchanged between DeBolt or Robinson and students with last names beginning alphabetically Sm-Sw�discussing the exchange of Psychiana lessons, subscriptions to Psychiana publications, payment for these materials, donations, personal successes or hardships, and/or praise or dissatisfaction with Psychiana materials and teachings. Return letters address these concerns, often as form letters.",Various Students; Frank B. Robinson; W. W. DeBolt,"Frank B. Robinson; W. W. DeBolt; Psychiana; Psychiana, Inc.; Various Students",1948,yes,multiple-page; correspondence,Student Correspondence,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 3, Folder 6",MG101_b3_f6,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/222,222,223.pdf,/psychiana/image/223.pdf,psychiana222
"Student Correspondence 1948, T","Letters exchanged between DeBolt or Robinson and students with last names beginning alphabetically with T�discussing the exchange of Psychiana lessons, subscriptions to Psychiana publications, payment for these materials, donations, personal successes or hardships, and/or praise or dissatisfaction with Psychiana materials and teachings. Return letters address these concerns, often as form letters.",Various Students; Frank B. Robinson; W. W. DeBolt,"Frank B. Robinson; W. W. DeBolt; Psychiana; Psychiana, Inc.; Various Students",1948,yes,multiple-page; correspondence,Student Correspondence,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 3, Folder 7",MG101_b3_f7,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/223,223,224.pdf,/psychiana/image/224.pdf,psychiana223
"Student Correspondence 1948, U-V","Letters exchanged between DeBolt or Robinson and students with last names beginning alphabetically U-V�discussing the exchange of Psychiana lessons, subscriptions to Psychiana publications, payment for these materials, donations, personal successes or hardships, and/or praise or dissatisfaction with Psychiana materials and teachings. Return letters address these concerns, often as form letters.",Various Students; Frank B. Robinson; W. W. DeBolt,"Frank B. Robinson; W. W. DeBolt; Psychiana; Psychiana, Inc.; Various Students",1948,yes,multiple-page; correspondence,Student Correspondence,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 3, Folder 8",MG101_b3_f8,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/224,224,225.pdf,/psychiana/image/225.pdf,psychiana224
"Student Correspondence 1948, W","Letters exchanged between DeBolt or Robinson and students with last names beginning alphabetically with W�discussing the exchange of Psychiana lessons, subscriptions to Psychiana publications, payment for these materials, donations, personal successes or hardships, and/or praise or dissatisfaction with Psychiana materials and teachings. Return letters address these concerns, often as form letters.",Various Students; Frank B. Robinson; W. W. DeBolt,"Frank B. Robinson; W. W. DeBolt; Psychiana; Psychiana, Inc.; Various Students",1948,yes,multiple-page; correspondence,Student Correspondence,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 3, Folder 9",MG101_b3_f9,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/225,225,226.pdf,/psychiana/image/226.pdf,psychiana225
"Student Correspondence 1948, Y-Z","Letters exchanged between DeBolt or Robinson and students with last names beginning alphabetically Y-Z�discussing the exchange of Psychiana lessons, subscriptions to Psychiana publications, payment for these materials, donations, personal successes or hardships, and/or praise or dissatisfaction with Psychiana materials and teachings. Return letters address these concerns, often as form letters.",Various Students; Frank B. Robinson; W. W. DeBolt,"Frank B. Robinson; W. W. DeBolt; Psychiana; Psychiana, Inc.; Various Students",1948,yes,multiple-page; correspondence,Student Correspondence,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 3, Folder 10",MG101_b3_f10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/226,226,227.pdf,/psychiana/image/227.pdf,psychiana226
"Student Correspondence 1949, A-B","Letters exchanged between DeBolt or Robinson and students with last names beginning alphabetically A-B�discussing the exchange of Psychiana lessons, subscriptions to Psychiana publications, payment for these materials, donations, personal successes or hardships, and/or praise or dissatisfaction with Psychiana materials and teachings. Return letters address these concerns, often as form letters.",Various Students; Frank B. Robinson; W. W. DeBolt,"Frank B. Robinson; W. W. DeBolt; Psychiana; Psychiana, Inc.; Various Students",1949,yes,multiple-page; correspondence,Student Correspondence,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 3, Folder 11",MG101_b3_f11,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/227,227,228.pdf,/psychiana/image/228.pdf,psychiana227
"Student Correspondence 1949, C-D","Letters exchanged between DeBolt or Robinson and students with last names beginning alphabetically C-D�discussing the exchange of Psychiana lessons, subscriptions to Psychiana publications, payment for these materials, donations, personal successes or hardships, and/or praise or dissatisfaction with Psychiana materials and teachings. Return letters address these concerns, often as form letters.",Various Students; Frank B. Robinson; W. W. DeBolt,"Frank B. Robinson; W. W. DeBolt; Psychiana; Psychiana, Inc.; Various Students",1949,yes,multiple-page; correspondence,Student Correspondence,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 3, Folder 12",MG101_b3_f12,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/228,228,229.pdf,/psychiana/image/229.pdf,psychiana228
