file name,title,creator,description,date,date is approximate,ccc-camp-number,ccc-company-number,subject,source,location,latitude,longitude,format-original,digital collection,format,identifier,type,contributing institution,language,rights,standardized-rights,oclc number,date created,date modified,cdm_url,cdmid,contentdm-file-name,contentdm-file-path,objectid
,Willow Creek Camp Men,Leo's Studio,"Group photo of CCC men posed outside of barrack 'E' at Willow Creek CCC Camp, F-188. Writing on the photo reads: 'Willow Creek CCC Camp F-188 1936 Leo's Studio'.",1936,,F-188,C-2524,group portraits; barracks; unskilled workers,North Idaho Museum,"Willow Creek; Ramskull Creek; Emida, Idaho",47.0919,-116.6408,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_193,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/343,343,373.jpg,/cccidaho/image/373.jpg,cccidaho343
,Willow Creek Camp Men,Leo's Studio,Group photo of CCC men outside of the hospital at Willow Creek CCC Camp. One of the men is standing with crutches and one other is wearing a sling. Writing on the photo reads: 'Hospital Willow Creek Camp F-188 July 28 1936 Leo's Studio'.,1936-07-28,,F-188,C-2524,"group portraits; infirmaries; hospitals (institutions, health facility); patients; physicians",North Idaho Museum,"Willow Creek; Ramskull Creek; Emida, Idaho",47.0919,-116.6408,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_194,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/344,344,374.jpg,/cccidaho/image/374.jpg,cccidaho344
,Camp Heyburn Men,Leo's Studio,"Group of CCC men posing for a photo with three dogs outside of a building at CCC Camp Heyburn, SP-1, Company 1995. Franklyn W. Bovey, educational, bottom row second from the end on the left. Note the bulletin board on the side of the building behind the men. One of the bulletins reads: 'One Night Only Al Freeman's Floor Show'. Writing on photo reads: 'Leo's Studio'. Back of photo reads: 'Pettee'.",1934,y,SP-1,C-1995,group portraits; buildings (structures); bulletin boards; pets (domestic animals),North Idaho Museum,Heyburn State Park; Lake Chatcolet,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_196,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/345,345,375.jpg,/cccidaho/image/375.jpg,cccidaho345
,Camp Heyburn Officers,Leo's Studio,"Group photo of three officers observing a document or map in an office at CCC Camp Heyburn, SP-1. Writing on the photo reads: 'Leo's Studio' Back of photo reads: 'Heyburn'.",1938,y,SP-1,,group portraits; offices (work spaces); officers (administrators),North Idaho Museum,Heyburn State Park; Lake Chatcolet,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_195,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/346,346,376.jpg,/cccidaho/image/376.jpg,cccidaho346
,Camp Heyburn Men,Leo's Studio,"Group of CCC men posing for a photo outside of a building at CCC Camp Heyburn, SP-1, Company 1995. Bottom row, fourth from left is Ray Wozny. Note the bulletin board on the side of the building behind the men. One of the bulletins reads: 'One Night Only Al Freeman's Floor Show'. Poster reads: 'The Lure of the National Parks'. Writing on the photo reads: 'Leo's Studio'. Back of photo reads: 'Heyburn'.",1934,y,SP-1,C-1995,group portraits; buildings (structures); posters; bulletin boards,North Idaho Museum,Heyburn State Park; Lake Chatcolet,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_197,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/347,347,377.jpg,/cccidaho/image/377.jpg,cccidaho347
,Camp Heyburn Men,Leo's Studio,"Group of CCC men posing for a photo outside one of the buildings at CCC Camp Heyburn, SP-1, Company 1995. Note the bulletin board on the side of the building behind the men. Poster reads: 'The Lure of the National Parks'.  Back of photo reads: 'Heyburn'.",1934,y,SP-1,C-1995,group portraits; buildings (structures); posters,North Idaho Museum,Heyburn State Park; Lake Chatcolet,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_198,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/348,348,378.jpg,/cccidaho/image/378.jpg,cccidaho348
,Camp Heyburn Shinglers,Leo's Studio,"Two shingle weavers working and making shingles at CCC Camp Heyburn, Sp-1, Company 1995. Writing on the photo reads: 'SP-1 photo by Leo's Studio'. Back of photo reads: 'Heyburn'.",1934,y,SP-1,C-1995,group portraits; skilled workers; shingle; shake (material),North Idaho Museum,Heyburn State Park; Lake Chatcolet,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_200,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/349,349,379.jpg,/cccidaho/image/379.jpg,cccidaho349
,Camp Heyburn Cooks,Leo's Studio,"Group photo of CCC Camp Heyburn' cooks and K.P.s, SP-1, Company 1995. Second from the left is Fred Blood. Writing on the photo reads: 'Cooks SP-1 Leo's Studio'. Back of photo reads: 'Heyburn'.",1934,y,SP-1,C-1995,group portraits; unskilled workers; cooks; kitchens,North Idaho Museum,Heyburn State Park; Lake Chatcolet,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_199,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/350,350,380.jpg,/cccidaho/image/380.jpg,cccidaho350
,Camp Heyburn Cooks,Leo's Studio,"Group photo of CCC Camp Heyburn cooks and K.P.s posing in the kitchen, SP-1, Company 1995. From left to right: Front Row: Paul Lahaih, with his right arm crossed over his body, Milsen Kellner. Back Row: Unidentified man, Gerald Stewart, Joe Deroshia, unidentified man, unidentified man, Harry Nelson, and Morton Rolf. Writing on the photo reads: 'Heyburn CCC Camp SP-1 1936 Leo's Studio'. Back of photo reads: 'Heyburn'.",1934,y,SP-1,C-1995,group portraits; unskilled workers; cooks; kitchens,North Idaho Museum,Heyburn State Park; Lake Chatcolet,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_201,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/351,351,381.jpg,/cccidaho/image/381.jpg,cccidaho351
,Spike Camp Set-Up,,Tent frames without cloth walls.,1940,,,,tent structures; barracks,Priest Lake Museum,,,,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,PriestLakeMuseum_004a,Image;StillImage,Priest Lake Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/352,352,382.jpg,/cccidaho/image/382.jpg,cccidaho352
,Camp Heyburn Cooks,Leo's Studio,"Group photo of CCC Camp Heyburn cooks and K.P.s posing in the dining hall, SP-1, Company 1995. From left to right: Front Row: Two unidentified men. Middle Row: unidentified man, Paul Lahaih, Milsen Kellner from Dover, Idaho, Gerald D. Stewart, Harry J. Nelson. Back row: Joe Deroshia from Sagle, Idaho, Morton Rolf from Bonners Ferry, Idaho, and Fred H. Blood from Sandpoint, Idaho. Writing on the photo reads: Heyburn CCC Camp SP-1 1936 Leo's Studio.",1936,,SP-1,C-1995,group portraits; unskilled workers; cooks; dining halls,North Idaho Museum,Heyburn State Park; Lake Chatcolet,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_264,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/353,353,383.jpg,/cccidaho/image/383.jpg,cccidaho353
,Camp Hess Colorgaurd,Leo's Studio,"Two CCC men posing with the American flag at CCC Camp Hess, F-204, Company 1204. Writing on the photo reads: 'Company 1204 Camp Hess Leo's Studio'. Back of photo reads 'Camp Hess St. Joe'.",1938,y,F-204,C-1204,group portraits; flagpoles; flags,North Idaho Museum,"St. Maries, Idaho; St. Joe National Forest",47.316,-116.5595,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_202,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/354,354,384.jpg,/cccidaho/image/384.jpg,cccidaho354
,Camp Hess Men,Leo's Studio,"Group of CCC men posing for a photo on a stair railing outside of a building at CCC Camp Hess, F-204, Company 1204. Writing on the photo reads: 'Company 1204 Camp Hess photo by Leo'. Back of photo reads 'Camp Hess St. Joe'.",1938,y,F-204,C-1204,group portraits; unskilled workers; handrails; stairs,North Idaho Museum,"St. Maries, Idaho; St. Joe National Forest",47.316,-116.5595,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_204,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/355,355,385.jpg,/cccidaho/image/385.jpg,cccidaho355
,Camp Hess Men,Leo's Studio,"Group of uniformed CCC men posing for a photo with a dog at CCC Camp Hess, F-204, Company 1204. Writing on the photo reads: 'CCC Company 1204 Camp Hess photo by Leo'. Back of photo reads: 'Camp Hess St. Joe'.",1938,y,F-204,C-1204,group portraits; unskilled workers; pets (domestic animals),North Idaho Museum,"St. Maries, Idaho; St. Joe National Forest",47.316,-116.5595,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_203,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/356,356,386.jpg,/cccidaho/image/386.jpg,cccidaho356
,Camp Hess Men,Leo's Studio,"Group of uniformed CCC men posing for a photo with a dog at CCC Camp Hess, F-204, Company 1204. Writing on the photo reads: 'CCC Company 1204 Camp Hess photo by Leo'. Back of photo reads: 'Camp Hess St. Joe'.",1938,y,F-204,C-1204,group portraits; unskilled workers; pets (domestic animals),North Idaho Museum,"St. Maries, Idaho; St. Joe National Forest",47.316,-116.5595,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_205,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/357,357,387.jpg,/cccidaho/image/387.jpg,cccidaho357
,Camp Hess Men,Leo's Studio,"Group of uniformed CCC men posed for a photo with a dog at CCC Camp F-204, Company 1204. Writing on the photo reads: 'CCC Company 1204 Camp Hess photo by Leo'. Back of photo reads: 'Camp Hess St. Joe'.",1938,y,F-204,C-1204,group portraits; unskilled workers; pets (domestic animals),North Idaho Museum,"St. Maries, Idaho; St. Joe National Forest",47.316,-116.5595,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_206,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/358,358,388.jpg,/cccidaho/image/388.jpg,cccidaho358
,St. Joe River Camp Officers,Leo's Studio,"Group photo of four CCC officers standing in a row in the woods with a man in a suit near St. Joe River CCC Camp, F-187, Company 1239. Writing on the photo reads: 'Officers F-187 St. Joe River Leo's Studio'. Back of photo reads: 'St. Joe River F-187'.",1935,y,F-187,C-1239,group portraits; forests (plant communities); officers (administrators),North Idaho Museum,"Avery, Idaho; St. Joe River",47.2498,-115.8057,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_207,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/359,359,389.jpg,/cccidaho/image/389.jpg,cccidaho359
,St. Joe River Camp Work Crew,Leo's Studio,"Group photo of a CCC work crew, and a caterpillar tractor hauling a load of cordwood for firewood, in the woods posed with a deer near St. Joe River CCC Camp, F-187, Company 1239. Writing on tractor reads: 'Caterpillar'. Writing on the photo reads: 'F-187 Leo's Studio'. Back of photo reads: 'St. Joe River F-187'.",1935,y,F-187,C-1239,group portraits; wild animals; crawler tractors; log (wood); winter; snow,North Idaho Museum,"Avery, Idaho; St. Joe River",47.2498,-115.8057,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_208,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/360,360,390.jpg,/cccidaho/image/390.jpg,cccidaho360
,Camp Red Ives Graduation Ceremony,Leo's Studio,"Lieutenant H.P. Cooper awarding members of Company 2525 at Red Ives CCC Camp, F-184. Graduates in graduation gowns can be seen in the background. Writing on the photo reads: T.H.P. Cooper awarding members company 2525 Leo's Studio'. Back of photo reads: 'St. Joe Red Ives'.",1936,y,F-184,C-2525,group portraits; ceremonies; commencements; robes (main garments); awards; tent structures,North Idaho Museum,"St. Regis, Montana; Avery, Idaho; Red Ives Peak; Red Ives Creek",47.06,-115.3307,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_209,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/361,361,391.jpg,/cccidaho/image/391.jpg,cccidaho361
,Camp Red Ives Graduation Ceremony,Leo's Studio,"Company 2525 review at Red Ives CCC Camp, F-184. CCC men can be seen standing in a row, some in graduation gowns, others in uniform. Writing on the photo reads: Company review CCC Camp Red Ives Company 2525 Leo's Studio'.",1936,y,F-184,C-2525,group portraits; ceremonies; commencements; robes (main garments); awards; tent structures; forests (plant communities); hill,North Idaho Museum,"St. Regis, Montana; Avery, Idaho; Red Ives Peak; Red Ives Creek",47.06,-115.3307,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_210,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/362,362,392.jpg,/cccidaho/image/392.jpg,cccidaho362
,Camp Red Ives Graduates,Leo's Studio,"Group photo of CCC graduates from Company 2525, taken at Red Ives CCC Camp, F-184. Writing on the photo reads: 'Graduates Company 2525 9/13/36 Official CCC photo Leo's'. Back of the photo reads 'St. Joe Red Ives'.",1936-09-13,,F-184,C-2525,group portraits; ceremonies; commencements; robes (main garments); awards; tent structures; forests (plant communities); hill,North Idaho Museum,"St. Regis, Montana; Avery, Idaho; Red Ives Peak; Red Ives Creek",47.06,-115.3307,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_211,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/363,363,393.jpg,/cccidaho/image/393.jpg,cccidaho363
,Upper Beaver Camp Work Crew,Leo's Studio,"Group photo of a CCC crew from Upper Beaver CCC Camp, F-146. Men are posed with saws and peavies with a truck and make-shift shelters in the background. Writing on the photo reads: 'Upper Beaver Camp F-146 Headquarters, Idaho Leo's Studio'. Back of the photo reads: 'Upper Beaver St. Joe National Forest'.",1936,y,F-146,,group portraits; peavies; lumbermen; log (wood); crosscut saws; trucks; tents (portable structures),North Idaho Museum,"Headquarters, Idaho; Beaver Creek",46.7282,-115.7935,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_212,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/364,364,394.jpg,/cccidaho/image/394.jpg,cccidaho364
,Merry Creek Man,Leo's Studio,"CCC man posed with a cat at Merry Creek CCC Camp, F-140. Writing on the photo reads: 'Leo's Studio'. Back of photo reads: 'St. Joe'.",1935,y,F-140,,portraits; pets (domestic animals),North Idaho Museum,"Merry Creek; Clarkia, Idaho; Fernwood, Idaho",47.0106,-116.2335,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_213,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/365,365,395.jpg,/cccidaho/image/395.jpg,cccidaho365
,Merry Creek Men,Leo's Studio,"Two CCC men posed for a photo at Merry Creek CCC Camp, F-140, in front of a bulletin board and supplies. Back of photo reads: 'St. Joe'.",1935,y,F-140,,group portraits; unskilled workers; bulletin boards,North Idaho Museum,"Merry Creek; Clarkia, Idaho; Fernwood, Idaho",47.0106,-116.2335,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_214,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/366,366,396.jpg,/cccidaho/image/396.jpg,cccidaho366
,Camp Santa Creek Men,Leo's Studio,Panoramic group portrait of CCC Camp Santa Creek CCC men. Writing on the photo reads: 'CCC Camp F-40 Company [1201] Santa Cr.',1935,,F-40,C-1201,group portraits; unskilled workers; trucks; tents; military officers; officers (administrators); tent structures,North Idaho Museum,"Emida, Idaho; Santa Creek",47.1068,-116.6248,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_265,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/367,367,397.jpg,/cccidaho/image/397.jpg,cccidaho367
,Merry Creek Men,Leo's Studio,"Group photo of four CCC men posed with shovels and hand picks at Merry Creek CCC Camp, F-140, in front of a log pile with tents in the background. Writing on photo reads: 'Leo's Studio'. Back of photo reads: 'St. Joe Merry Creek'.",1935,y,F-140,,group portraits; unskilled workers; shovels; picks (tools); log (wood),North Idaho Museum,"Merry Creek; Clarkia, Idaho; Fernwood, Idaho",47.0106,-116.2335,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_215,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/368,368,398.jpg,/cccidaho/image/398.jpg,cccidaho368
,Camp Avery Man and His Pet,Leo's Studio,"Photo of a CCC man posed with a deer at the Avery CCC Camp, F-120, Company 1744. Writing on the photo reads: 'CCC Camp F-120 Company 1744 Leo's Studio Spokane'. Back of photo reads: 'Avery'.",1933,y,F-120,C-1744,portraits; wild animals; buildings (structures); chicken wire,North Idaho Museum,"Avery, Idaho; St. Joe River",47.2493,-116.0147,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_216,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/369,369,399.jpg,/cccidaho/image/399.jpg,cccidaho369
,CCC Baseball Game,Hodgins Foto,"Photo of a CCC baseball game between Clarkia CCC Camp, F-48, Company 1276 (home), and Fernwood CCC Camp, F-42, Company 1202 (visitors). Writing on the photo reads: 'Baseball Game F-48 Clarkia vs. F-42 Fernwood played at CCC Camp F-48 Clarkia, Idaho. Hodgins Foto Moscow, Idaho'. Back of photo reads: 'Clarkia, Idaho 1933'.",1933,,F-48,C-1276; C-1202,group portraits; recreation; unskilled workers; baseball (field sport); tent structures; buildings (structures); flagpole; flags; audiences; spectators,North Idaho Museum,"Clarkia, Idaho; St. Joe National Forest",47.0127,-116.2554,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_217,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/370,370,400.jpg,/cccidaho/image/400.jpg,cccidaho370
,Emerald Creek Men,"Swan, K.D.","Group of CCC men posing for a photo at Emerald Creek CCC Camp, F-42 Company 1202. They are on their way to Spokane to celebrate Yom Kippur. Back of photo reads: 'St. Joe National Forest. Boy leaving Camp F-42 for Spokane to celebrate Yom Kippur. Photo by K.D. Swan September 1933'.",1933,,F-42,C-1202,group portraits; unskilled workers,North Idaho Museum,"St. Joe National Forest; Fernwood, Idaho; West Fork Emerald Creek",47.0291,-116.3811,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_219,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/371,371,401.jpg,/cccidaho/image/401.jpg,cccidaho371
,Emerald Creek Men,"Swan, K.D.","Group of CCC men posing near and on a truck at Emerald Creek CCC Camp, F-42 Company C-1202. They are on their way to Spokane to celebrate Yom Kippur. Back of photo reads: 'St. Joe National Forest. Group of boys at camp F-42. Photo by K.D. Swan September 1933.",1933,,F-42,C-1202,group portraits; unskilled workers; trucks,North Idaho Museum,"Fernwood, Idaho; West Fork Emerald Creek",47.0291,-116.3811,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_220,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/372,372,402.jpg,/cccidaho/image/402.jpg,cccidaho372
,Spike Camp Set-Up,,Getting ready to put tarp roof on spike camp building.,1935,y,,,tent structures; ladders; roofs,Priest Lake Museum,,,,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,PriestLakeMuseum_005a,Image;StillImage,Priest Lake Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/373,373,403.jpg,/cccidaho/image/403.jpg,cccidaho373
,Cow Creek Camp,Leo's Studio,"Aerial view of Cow Creek Camp, P-270 Company 531.  Writing on the photo reads: 'Cow Creek CCC Camp P-270 Company 531 Air photo by Leo's Studio'. Back of photo reads: 'Cow Creek'.",1934,,P-270,C-531,aerial photographs; aerial views; barracks; tent structures; forests (plant communities),North Idaho Museum,"Cow Creek; Orfino, Idaho",46.5386,-115.9499,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,NIM_USFSNF_221,Image;StillImage,North Idaho Museum,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/374,374,404.jpg,/cccidaho/image/404.jpg,cccidaho374
