object-id,title,catalog-number,source,description,site-location,site-date,subjects,functional-category,material,vessel-form,artifact-dimensions,pigment-application,decoration-type,exterior-decoration-method,exterior-decoration-color,exterior-decoration-elements,interior-decoration-method,interior-decoration-color,interior-decoration-elements,marks,manufacture-origin,manufacture-range,publisher,rights,standardized-rights,preferred-image-citation,identifier,metadata-creator,format,type,cdm-number,compound-numbers,timeline-era
hjccc-133,Sometsuke Katagami Sakura Gohan Jawan (rice/soup bowl with cobalt stenciled cherry blossom design),AACC-2009-080,Asian American Comparative Collection,The exterior of this katagami-stenciled gohan chawan is covered in a repeating cherry blossom design separated by a diaper pattern (Dower 1971:50-51). The interior of the bowl has a tassel yoraku design around the rim and a central medallion with images of sho chiku bai (Gorham 1971:201; Ross 2012:21). This vessel was donated to the AACC by Paula Rosa.,,,Mealtime Tableware;Jiki (porcelain);Gohan Chawan (rice/soup bowl);Shita-Etsuke (underglaze);Sometsuke Katagami (stencil cobalt);Katagami (paper stencil);Cobalt blue;Sakura (cherry);Katagami (paper stencil);Cobalt blue;Sho Chiku Bai (three friends);Tassel Yoraku (rim design),Mealtime Tableware,Jiki (porcelain),Gohan Chawan (rice/soup bowl),Rim= 12 cm; footring= 4.2 cm; height= 5.5 cm,Shita-Etsuke (underglaze),Sometsuke Katagami (stencil cobalt),Katagami (paper stencil),Cobalt blue,Sakura (cherry),Katagami (paper stencil),Cobalt blue,Sho Chiku Bai (three friends); Tassel Yoraku (rim design),,Japan,Most popular during the Meiji era (1868-1912),University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Asian American Comparative Collection, University of Idaho, catalog no. AACC-2009-080.",AACC-2009-080,Renae Campbell,image/jpg,Image;StillImage,133,130;131;132,Early Meiji (1868-1885);Middle Meiji (1885-1895);Late Meiji (1895-1912)
hjccc-150,Seiji Gohan Jawan (Winter Green rice bowl),AACC-2013-048,Asian American Comparative Collection,This gohan chawan features a bright green seiji glaze on the exterior and has an undecorated interior.  This vessel was donated to the AACC by Alison Stenger.,,,Mealtime Tableware;Jiki (porcelain);Gohan Chawan (rice/soup bowl);Seiji (Winter Green);Iroyu (colored glaze);Seiji (Winter Green),Mealtime Tableware,Jiki (porcelain),Gohan Chawan (rice/soup bowl),Rim= 13.2 cm; footring= 5.3 cm; height= 6.9 cm,,Seiji (Winter Green),Iroyu (colored glaze),Seiji (Winter Green),,,,,,Japan,Meiji era (1868-1912) through Showa era (1926-1989),University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Asian American Comparative Collection, University of Idaho, catalog no. AACC-2013-048.",AACC-2013-048,Renae Campbell,image/jpg,Image;StillImage,150,148;149,
hjccc-129,Aizu-Hongo Botan Dobin (Aizu-Hongo teapot with peony motif),AACC-2018-001,Asian American Comparative Collection,"This dobin-style teapot features a somewhat abstracted hand-painted peony design on the exterior body and a single tassel yoraku (rim design) on the spout (Dower 1971:70; Ross 2012:21). Two small lugs indicate that it would likely have had a bamboo handle. According to the Aizu-Hongo Ware Museum, this style of teapot was produced in large quantities between 1885 and 1911. Many Aizu-Hongo teapots were also exported to the United States, and appear in export catalogs from 1907, 1910, and 1916 (Litts 1988:44; Van Patten 1997:11,16). Peony motif Aizu-Hongo teapots have been recovered from archaeological sites in San Diego and Riverside, California, that were occupied between 1871 and 1939 (Bibb 1997; Great Basin Foundation 1987:293, Figure 18). This vessel was donated to the AACC by Ilene Buys.",,,Mealtime Tableware;Hanjiki (half porcelain);Dobin (teapot);Aizu-Hongo;Shita-Etsuke (underglaze);Sometsuke (hand-painted cobalt);Sometsuke (hand-painted cobalt);Cobalt blue;Botan (peony);Tassel Yoraku (rim design),Mealtime Tableware,Hanjiki (half porcelain),Dobin (teapot),Rim= 8 cm; base= 7 cm; height= 11 cm,Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Sometsuke (hand-painted cobalt),Cobalt blue,Botan (peony); Tassel Yoraku (rim design),,,,,"Aizu-Hongo, Fukushima Prefecture, Japan",Sources suggest that Aizu-Hongo peony motif teapots were exported to the United States between the Mid-Meiji and the early Taisho era (1886-1916),University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Asian American Comparative Collection, University of Idaho, catalog no. AACC-2018-001.",AACC-2018-001,Renae Campbell,image/jpg,Image;StillImage,129,125;126;127;128,Middle Meiji (1885-1895);Late Meiji (1895-1912);Taisho (1912-1926)
hjccc-124,Sometsuke Katagami Mitsu-Domoe Kozara (small dish with stenciled threefold swirl design),AACC-94-032,Asian American Comparative Collection,"This heavily-decorated kozara features multiple elements on the interior that include a mitsu-domoe in a halo of fire, a red-headed crane surrounded by trailing karakusa, images of plum and possibly chrysanthemum flowers, and a balustrade that is reminiscent of tamagaki or mizugaki fencing used to surround sacred areas like Shinto temples (Shimura 2008:188). The exterior of the dish is undecorated. Katagami, which often covers large portions of a vessel surface with small, repeating patterns, was most popular as a method of decorating mass-produced porcelains in the early to mid-Meiji era (Bibb 2001:5-6). This vessel was donated to the AACC by the Palouse Asian American Association.",,,Mealtime Tableware;Jiki (porcelain);Kozara (small dish);Shita-Etsuke (underglaze);Sometsuke Katagami (stencil cobalt);Katagami (paper stencil);Cobalt blue;Karakusa (tendrils);Mitsu-Domoe (threefold swirl);Tsuru (crane);Ume (plum) blossom;Seven Jewels diaper;Turtle Shell diaper,Mealtime Tableware,Jiki (porcelain),Kozara (small dish),Rim= 12.5 cm; footring= 7.5 cm; height= 1.9 cm,Shita-Etsuke (underglaze),Sometsuke Katagami (stencil cobalt),,,,Katagami (paper stencil),Cobalt blue,Karakusa (tendrils); Mitsu-Domoe (threefold swirl); Tsuru (crane); Ume (plum) blossom; Seven Jewels diaper; Turtle Shell diaper,,Japan,Most popular during the Meiji era (1868-1912),University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Asian American Comparative Collection, University of Idaho, catalog no. AACC-94-032.",AACC-94-032,Renae Campbell,image/jpg,Image;StillImage,124,121;122;123,Early Meiji (1868-1885);Middle Meiji (1885-1895);Late Meiji (1895-1912)
hjccc-120,Sometsuke Doban Hata Kozara (small dish with transferprint flags),AACC-94-070,Asian American Comparative Collection,"The central image on this kozara is a three-leaved paulownia flower flanked by two naval flags. The paulownia flower is associated with the imperial family. The two naval flags help date this plate to between 1889 and 1945 when they were in use. The text above the flags (帝国 萬歳) reads 'Teikoku Banzai,' or 'Hurray for the empire!' Stylized chrysanthemums, also symbols of the Japanese imperial family, extend from the central medallion to a subtly scalloped rim (Dower 1971:52, 68, 112).",,,Mealtime Tableware;Jiki (porcelain);Kozara (small dish);Shita-Etsuke (underglaze);Sometsuke Doban (transferprint cobalt);Etsuke (hand painted);Cobalt blue;Horizontal band;Doban or Doban Tensha (transferprinted);Cobalt blue;Hata (flags);Kiku (chrysanthemum);Kiri (paulownia),Mealtime Tableware,Jiki (porcelain),Kozara (small dish),Rim= 15.3 cm; footring= 6.8 cm; height= 2.1 cm,Shita-Etsuke (underglaze),Sometsuke Doban (transferprint cobalt),Etsuke (hand painted),Cobalt blue,Horizontal band,Doban or Doban Tensha (transferprinted),Cobalt blue,Hata (flags); Kiku (chrysanthemum); Kiri (paulownia); written characters,,Japan,Mid-Meiji era (1885-1895) through pre-WWII Showa era (1889-1945),University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Asian American Comparative Collection, University of Idaho, catalog no. AACC-94-070.",AACC-94-070,Renae Campbell,image/jpg,Image;StillImage,120,117;118;119,Middle Meiji (1885-1895);Late Meiji (1895-1912);Taisho (1912-1926);Showa (1926-1989)
hjccc-116,Saka-Bin (sake bottle) [1],AACC-94-082,Asian American Comparative Collection,"Saka-bin are Western-style ceramic bottles used to store and serve sake. Archaeological examples have been identified by Costello and Maniery (1988:82-85) and Ross (2012:12). This example, the larger of the two in the AACC collection, appears to be made of hanjiki (a type of half-porcelain) with a greyish-white exterior glaze. This vessel was donated to the AACC by Max Chan.",,,Sake Tableware;Hanjiki (half porcelain);Saka-Bin (sake bottle);Iroyu (colored glaze),Sake Tableware,Hanjiki (half porcelain),Saka-Bin (sake bottle),Rim= 2.5 cm; base= 10 cm; height= 29 cm,,Other,Iroyu (colored glaze),,,,,,,Japan,Meiji era (1868-1912) through Showa era (1926-1989),University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Asian American Comparative Collection, University of Idaho, catalog no. AACC-94-082.",AACC-94-082,Renae Campbell,image/jpg,Image;StillImage,116,114;115,
hjccc-113,Sometsuke Katagami Seigaiha Tsutsu Yunomi (cylindrical teacup with stenciled blue sea waves),AACC-95-13,Asian American Comparative Collection,"This tsutsu yunomi has katagami-stenciled designs on the vessel interior and exterior. A pendant-style yoraku design extends into the cup interior from the rim; the exterior is covered in a repeating blue sea waves diaper and several medallions that feature alternating images of botanical elements, one of which may be millet or rice grain (Dower 1971:63, 77; Ross 2012:21; Simpson et al. 2014:72, 94). Katagami decoration was most popular in Japan before transferprint technology was developed and experienced the most use between the early and mid-Meiji era (Bibb 2001:5-6; Ross 2009:155).",,,Mealtime Tableware;Jiki (porcelain);Yunomi (teacup);Shita-Etsuke (underglaze);Sometsuke Katagami (stencil cobalt);Katagami (paper stencil);Cobalt blue;Seigaiha (blue sea waves) diaper;Katagami (paper stencil);Cobalt blue;Pendant Yoraku (rim design),Mealtime Tableware,Jiki (porcelain),Yunomi (teacup),Rim= 6.4 cm; footring= 4.2 cm; height= 6.3 cm,Shita-Etsuke (underglaze),Sometsuke Katagami (stencil cobalt),Katagami (paper stencil),Cobalt blue,Seigaiha (blue sea waves) diaper; Indeterminate,Katagami (paper stencil),Cobalt blue,Pendant Yoraku (rim design),,Japan,Most popular during the Meiji era (1868-1912),University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Asian American Comparative Collection, University of Idaho, catalog no. AACC-95-13.",AACC-95-13,Renae Campbell,image/jpg,Image;StillImage,113,110;111;112,Early Meiji (1868-1885);Middle Meiji (1885-1895);Late Meiji (1895-1912)
hjccc-147,Sometsuke Doban Choju Yunomi (teacup with cobalt transferprint longevity design),AACC-95-57,Asian American Comparative Collection,"This yunomi is transferprinted on the interior and exterior surfaces. A tassel yoraku design encircles the interior rim; the cup's exterior contains alternating panels of pine, plum, and bamboo (known collectively as Sho Chiku Bai), and the character for longevity.",,,Mealtime Tableware;Jiki (porcelain);Yunomi (teacup);Shita-Etsuke (underglaze);Sometsuke Doban (transferprint cobalt);Doban or Doban Tensha (transferprinted);Cobalt blue;Sho Chiku Bai (three friends);choju (longevity);Doban or Doban Tensha (transferprinted);Cobalt blue;Tassel Yoraku (rim design);Longevity character (壽) on vessel side wall,Mealtime Tableware,Jiki (porcelain),Yunomi (teacup),Rim= 7.7 cm; footring= 3.3 cm; height= 5.9 cm,Shita-Etsuke (underglaze),Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,Sho Chiku Bai (three friends); choju (longevity),Doban or Doban Tensha (transferprinted),Cobalt blue,Tassel Yoraku (rim design),Longevity character (壽) on vessel side wall ,Japan,Most popular in the Meiji (1868-1912) and Taisho (1912-1926) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Asian American Comparative Collection, University of Idaho, catalog no. AACC-95-57.",AACC-95-57,Renae Campbell,image/jpg,Image;StillImage,147,143;144;145;146,Middle Meiji (1885-1895);Late Meiji (1895-1912);Taisho (1912-1926)
hjccc-109,Sometsuke Doban Sho Chiku Bai Tokkuri (sake decanter with cobalt transferprint three friends design),AACC-96-092,Asian American Comparative Collection,"This example of a very small tokkuri has a transferprinted exterior that features trailing karakusa tendrils above an image of pine, plum, and bamboo (the three friends or three friends of winter) (Gorham 1971:201; Ross 2012:20-23). Small tokkuri like this one were sometimes given out by Japanese sake manufacturers, distributors, or stores as promotional items (Bibb 2013:[7]).",,,Sake Tableware;Jiki (porcelain);Tokkuri (sake decanter);Shita-Etsuke (underglaze);Sometsuke Doban (transferprint cobalt);Doban or Doban Tensha (transferprinted);Cobalt blue;Karakusa (tendrils);Sho Chiku Bai (three friends),Sake Tableware,Jiki (porcelain),Tokkuri (sake decanter),Rim= 1.4 cm; base= 3.3 cm; height= 10.5 cm,Shita-Etsuke (underglaze),Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,Karakusa (tendrils); Sho Chiku Bai (three friends),,,,,Japan,Most popular in the Meiji (1868-1912) and Taisho (1912-1926) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Asian American Comparative Collection, University of Idaho, catalog no. AACC-96-092.",AACC-96-092,Renae Campbell,image/jpg,Image;StillImage,109,106;107;108,Middle Meiji (1885-1895);Late Meiji (1895-1912);Taisho (1912-1926)
hjccc-105,Sometsuke Katagami Sho Chiku Bai Kobachi (small bowl with cobalt stenciled three friends design),AACC-98-025,Asian American Comparative Collection,This kobachi has katagami stenciling on the interior and exterior. The interior of the bowl has a tassel yoraku design around the rim and a central medallion with images of Sho Chiku Bai. The exterior features plum blossoms and highly stylized pine elements (Gorham 1971:210-211; Ross 2012:20). Katagami decoration was most popular in Japan before the development of transferprint technology and experienced the most use between the early and mid-Meiji era (Bibb 2001:5-6; Ross 2009:155).,,,Mealtime Tableware;Jiki (porcelain);Kobachi (small bowl);Shita-Etsuke (underglaze);Sometsuke Katagami (stencil cobalt);Katagami (paper stencil);Cobalt blue;Sho Chiku Bai (three friends);Katagami (paper stencil);Cobalt blue;Sho Chiku Bai (three friends);Tassel Yoraku (rim design),Mealtime Tableware,Jiki (porcelain),Kobachi (small bowl),Rim= 10.4 cm; footring= 4.5 cm; height= 3.8 cm,Shita-Etsuke (underglaze),Sometsuke Katagami (stencil cobalt),Katagami (paper stencil),Cobalt blue,Sho Chiku Bai (three friends),Katagami (paper stencil),Cobalt blue,Sho Chiku Bai (three friends); Tassel Yoraku (rim design),,Japan,Most popular during the Meiji era (1868-1912),University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Asian American Comparative Collection, University of Idaho, catalog no. AACC-98-025.",AACC-98-025,Renae Campbell,image/jpg,Image;StillImage,105,102;103;104,Early Meiji (1868-1885);Middle Meiji (1885-1895);Late Meiji (1895-1912)
hjccc-101,Sometsuke Doban Kiku Tokkuri (sake decanter with cobalt transferprint chrysanthemum design),AACC-98-053,Asian American Comparative Collection,"Chrysanthemums, sparrows, and a chrysanthemum tassel yoraku (rim design) appear on this transferprinted tokkuri (Dower 1971:52; Ross 2012:21). The interior of the vessel is left unglazed beyond the rim.",,,Sake Tableware;Jiki (porcelain);Tokkuri (sake decanter);Shita-Etsuke (underglaze);Sometsuke Doban (transferprint cobalt);Doban or Doban Tensha (transferprinted);Cobalt blue;Kiku (chrysanthemum);suzume (sparrow);tassel with chrysanthemum yoraku (rim design),Sake Tableware,Jiki (porcelain),Tokkuri (sake decanter),Rim= 3 cm; base= 5 cm; height= 17 cm,Shita-Etsuke (underglaze),Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,Kiku (chrysanthemum); suzume (sparrow); tassel with chrysanthemum yoraku (rim design),,,,,Japan,Most popular in the Meiji (1868-1912) and Taisho (1912-1926) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Asian American Comparative Collection, University of Idaho, catalog no. AACC-98-053.",AACC-98-053,Renae Campbell,image/jpg,Image;StillImage,101,98;99;100,Middle Meiji (1885-1895);Late Meiji (1895-1912);Taisho (1912-1926)
hjccc-97,Imari Asagao Namasu-Zara (Imari pickle dish with morning glory design),AACC-99-009,Asian American Comparative Collection,"Likely a product of the late Tokugawa or early Meiji eras, this Imari-style namasu-zara is decorated with a hand-painted morning glory design in what appears to be gosu (natural cobalt) pigment (Dower 1971:64; Ross 2012:5). Like AACC-2000-224, this pickle dish has a scalloped rim and a janome (bull's-eye or snake-eye recess) on the base (Ross 2012:10). This vessel was donated to the AACC by Alison Stenger.",,,Mealtime Tableware;Jiki (porcelain);Namasu-Zara (pickle dish/plate);Shita-Etsuke (underglaze);Sometsuke (hand-painted cobalt);Etsuke (hand painted);Cobalt blue;Asagao (morning glory),Mealtime Tableware,Jiki (porcelain),Namasu-Zara (pickle dish/plate),Rim= 13.3 cm; footring= 7.9 cm; height= 3.5 cm,Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),,,,Etsuke (hand painted),Cobalt blue,Asagao (morning glory),,Japan,Most popular during the Tokugawa (1603-1868) and early Meiji (1868-1912) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Asian American Comparative Collection, University of Idaho, catalog no. AACC-99-009.",AACC-99-009,Renae Campbell,image/jpg,Image;StillImage,97,94;95;96,Tokugawa (1603-1868);Early Meiji (1868-1885)
hjccc-93,Sometsuke Doban Tsuru Komori Gohan Jawan (rice/soup bowl with cobalt transferprint bat and crane design),AACC-99-049,Asian American Comparative Collection,"This gohan chawan features a cloud rim design above repeating images of cranes and bats with peaches (Dower 1971:70, 88, 90). Bats and peaches are commonly paired on Chinese ceramics, but this vessel presents a distinctly Japanese interpretation of this Chinese motif. The base of the vessel is marked 'MADE IN JAPAN' and contains the four characters 江西 謹製 (Enishi kinsei) that roughly translate to 'humbly made by Enishi.'",,,Mealtime Tableware;Jiki (porcelain);Gohan Chawan (rice/soup bowl);Shita-Etsuke (underglaze);Stencil or possible stamp;Cobalt blue;Komori (bats);kumo (clouds);momo (peach);Tsuru (crane),Mealtime Tableware,Jiki (porcelain),Gohan Chawan (rice/soup bowl),Rim= 11.5 cm; footring= 4.5 cm; height= 6 cm,Shita-Etsuke (underglaze),Unknown,Stencil or possible stamp,Cobalt blue,Komori (bats); kumo (clouds); momo (peach); tsuru (crane),,,,Four characters '江西 謹製'  and 'MADE IN JAPAN' on base,Japan,Meiji era (1868-1912) through Showa era (1926-1989),University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Asian American Comparative Collection, University of Idaho, catalog no. AACC-99-049.",AACC-99-049,Renae Campbell,image/jpg,Image;StillImage,93,90;91;92,
hjccc-89,Samehada-Gusuri Teipotto (shark-skin glaze teapot),AACC-99-123,Asian American Comparative Collection,"This teipotto (teapot) has a Western-style handle and spout and is decorated with a shark-skin (samehada-gusuri) glaze that produces a glossy, granular surface (Crueger et al. 2006:293; Ross 2012:9). Several botanical elements have been applied over the glaze in raised green and white enamel. The interior of the teapot is both undecorated and unglazed.",,,Mealtime Tableware;Jiki (porcelain);Teipotto (Western-style teapot);Samehada-Gusuri (shark-skin glaze);Aizu-Hongo;Beige;White;Green,Mealtime Tableware,Jiki (porcelain),Teipotto (western-style teapot),Rim= 8 cm; base= 8 cm; height= 11 cm,,Other,Samehada-Gusuri (shark-skin glaze),Beige; White; Green,Indeterminate,,,,'JAPAN' on base,"Likely Aizu-Hongo, Fukushima Prefecture, Japan",Export catalogs suggest that sharkskin teapots were likely produced in the late Meiji (1895-1912) and early Taisho eras (1912-1926),University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Asian American Comparative Collection, University of Idaho, catalog no. AACC-99-123.",AACC-99-123,Renae Campbell,image/jpg,Image;StillImage,89,85;86;87;88,Late Meiji (1895-1912);Taisho (1912-1926)
hjccc-84,Iro Fukizumi Gohan Jawan (polychrome stenciled rice/soup bowl),AACC-MIN-98-11,"Asian American Comparative Collection, Minidoka Collection","This gohan chawan fragment features polychrome decoration that is applied both under and over the glaze. Cobalt cherry blossoms and brown geometric shapes that may represent sun rays are applied with an air-brush-like fukizumi method under the glaze (Crueger et al. 2006:51,286; Dower 1971:50-51; Ross 2009:155). An orange cherry blossom has been hand painted or possibly stamped on top of the glaze. A reddish-orange 'Made in Japan' mark appears on the base. This vessel was donated to the AACC by Ron James.","Minidoka National Historic Site, Idaho",1942-1945,Mealtime Tableware;Jiki (porcelain);Gohan Chawan (rice/soup bowl);Shita-Etsuke (underglaze);Uwa-Etsuke (overglaze);Etsuke (hand painted);Fukizumi (spatter stencil);Cobalt blue;Brown;Orange;Sakura (cherry),Mealtime Tableware,Jiki (porcelain),Gohan Chawan (rice/soup bowl),Rim~ 12 cm; footring~ 4.2 cm; height= 6.2 cm,Shita-Etsuke (underglaze); Uwa-Etsuke (overglaze),Other,Etsuke (hand painted); Fukizumi (spatter stencil); Indeterminate,Cobalt blue; Brown; Orange,Sakura (cherry); Indeterminate,,,,'MADE IN JAPAN' on base,Japan,Likely the Taisho era (1912-1926) or pre-WWII Showa era (1926-1942),University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Asian American Comparative Collection, University of Idaho, catalog no. AACC-MIN-98-11.",AACC-MIN-98-11,Renae Campbell,image/jpg,Image;StillImage,84,81;82;83,Taisho (1912-1926);Showa (1926-1989)
hjccc-142,Sometsuke Senbori Gohan Jawan (rice/soup bowl with hand-painted cobalt and carved lines),AACC-MIN-98-22,"Asian American Comparative Collection, Minidoka Collection","Although incomplete, the size and shape of this fragment indicate that it is likely a piece of a gohan chawan. The sherd features hand-painted bamboo elements and several carved horizontal bands, or senbori (Dower 1971:46; Simpson et al. 2014:60). Japanese ceramics expert Leland Bibb (2013:[11]) has suggested that this minimalistic style of hand-painting became most popular in the Taisho and early Showa eras. This vessel was donated to the AACC by Ron James.","Minidoka National Historic Site, Idaho",1942-1945,Mealtime Tableware;Jiki (porcelain);Gohan Chawan (rice/soup bowl);Shita-Etsuke (underglaze);Sometsuke (hand-painted cobalt);Sometsuke (hand-painted cobalt);Choka (carving);Cobalt blue;Take (bamboo),Mealtime Tableware,Jiki (porcelain),Gohan Chawan (rice/soup bowl),Rim~ 12 cm; footring~ 4 cm; height= 6.5 cm,Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Sometsuke (hand-painted cobalt); Choka (carving),Cobalt blue,Take (Bamboo); Senbori (incised lines/bands),,,,,Japan,Likely the Taisho era (1912-1926) or pre-WWII Showa era (1926-1942),University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Asian American Comparative Collection, University of Idaho, catalog no. AACC-MIN-98-22.",AACC-MIN-98-22_1of1,Renae Campbell,image/jpg,Image;StillImage,142,,Taisho (1912-1926);Showa (1926-1989)
hjccc-80,Sometsuke Doban Botan Gohan Jawan (rice/soup bowl with cobalt transferprinted peony),ACC-86-026,Asian American Comparative Collection,"This small gohan chawan is decorated on the exterior only. Two images of botan, or peony, are transferprinted onto the outside of the vessel (Dower 1971:70). This vessel was donated to the AACC by John Eldredge.",,,Mealtime Tableware;Jiki (porcelain);Gohan Chawan (rice/soup bowl);Shita-Etsuke (underglaze);Sometsuke Doban (transferprint cobalt);Doban or Doban Tensha (transferprinted);Cobalt blue;Botan (peony),Mealtime Tableware,Jiki (porcelain),Gohan Chawan (rice/soup bowl),Rim= 11 cm; footring= 3.8 cm; height= 5 cm,Shita-Etsuke (underglaze),Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,Botan (peony),,,,,Japan,Most popular in the Meiji (1868-1912) and Taisho (1912-1926) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Asian American Comparative Collection, University of Idaho, catalog no. ACC-86-026.",ACC-86-026,Renae Campbell,image/jpg,Image;StillImage,80,76;77;78;79,Middle Meiji (1885-1895);Late Meiji (1895-1912);Taisho (1912-1926)
hjccc-75,Sometsuke Doban Matsu Gohan Jawan (rice/soup bowl with cobalt transferprinted pine tree),ACC-88-04,Asian American Comparative Collection,"This gohan chawan is decorated with a transferprint image of a pine tree and has several horizontal bands carved into the exterior. The interior of the vessel is undecorated. Wooden knives, bamboo tools, or metal instruments are often used to create senbori (incised lines/bands) like the ones on this bowl (Gorham 1971:209-210; Simpson et al. 2014:60). This vessel was donated to the AACC by the Palouse Asian American Association.",,,Mealtime Tableware;Jiki (porcelain);Gohan Chawan (rice/soup bowl);Shita-Etsuke (underglaze);Sometsuke Doban (transferprint cobalt);Doban or Doban Tensha (transferprinted);Choka (carving);Cobalt blue;Matsu (pine),Mealtime Tableware,Jiki (porcelain),Gohan Chawan (rice/soup bowl),Rim= 12 cm; footring= 4.1 cm; height= 4.8 cm,Shita-Etsuke (underglaze),Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted); Choka (carving),Cobalt blue,Matsu (pine),,,,,Japan,Most popular in the Meiji (1868-1912) and Taisho (1912-1926) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Asian American Comparative Collection, University of Idaho, catalog no. ACC-88-04.",ACC-88-04,Renae Campbell,image/jpg,Image;StillImage,75,72;73;74,Middle Meiji (1885-1895);Late Meiji (1895-1912);Taisho (1912-1926)
