objectid,filename,headline,title,creator,description,date,date is approximate?,subject,location,digital collection,source,identifier,digital_source,format original,format,type,rights,rights (standardized),language
spanishflu067,arg1918_11_13p3.png,Quarantine Notes ,Quarantine Notes - Page 3,University Argonaut,Lists activities of living groups and individuals on campus during the campus quarantine. ,1918-11-13,,Alpha Kappa Epsilon; Zeta Chi; patients; S.A.T.C.; Student Army Training Corps; quarantine; living groups,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_11_13p3,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/11220/filename/ARG-1918-11-13.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu068,arg1918_11_13p4a.png,Strict Quarantine Still In Effect ,Strict Quarantine Still In Effect - Page 4,University Argonaut,"Subheaded 'Men Have Supervised Study New Equipment for S.A.T.C. Men,' the article notes that according to Captain Felker the quarantine will remain in effect until all cases of the influenza are cured. ",1918-11-13,,patients; spanish influenza; quarantine; prevantative measures; illness; disease; epidemic; pandemic; S.A.T.C.; Student Army Training Corps,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_11_13p4a,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/11220/filename/ARG-1918-11-13.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu069,arg1918_11_13p4b.png,Flu Situation Still Demands Caution ,Flu Situation Still Demands Caution - Page 4,University Argonaut,"Subheaded 'Guild Hall No Longer Needed as Hospital - Classes Resume Work,' the article indicates that though the influenza continues Guild Hall is no longer being used as a convalescent hospital.",1918-11-13,,spanish influenza; deaths; disease; illness; pandemic; epidemic; hospitals; quarantine,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_11_13p4b,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/11220/filename/ARG-1918-11-13.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu070,arg1918_11_20p1and4.png,Influenza Almost Checked Among Men,Influenza Almost Checked Among Men - Page 1 and 4,University Argonaut,"Subheaded 'Cases Among Girls Very Mild - Saturday May See Quarantine Lifted,' the article discusses the few cases of influenza left among the S.A.T.C. and the first cases of the influenza among the women of the Chi Delta Phi house.",1918-11-20,,cases; spanish influenza; patients; hospitals; AKE; Alpha Kappa Epsilon; Chi Delta Phi; girls; women; students; nurses; illness; disease; epidemic; pandemic,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_11_20p1and4,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1211/filename/ARG-1918-11-20.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu071,arg1918_11_20p1.png,First Death in Section A,First Death in Section A - Page 1 ,University Argonaut,"Subheaded 'Frank J. Paterka of Spokane Dies from Pneumonia After Influenza,' the article details the death of Frank Paterka.",1918-11-20,,cases; deaths; illness; disease; spanish influenza; pneumonia; pandemic; epidemic,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_11_20p1,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1211/filename/ARG-1918-11-20.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu072,arg1918_11_20p2.png,Editorial Note (top left),Editorial Note (top left)- Page 2,University Argonaut,The article discusses the morale of campus after four weeks of quarantine and the students' worry about classes and credits. ,1918-11-20,,students; quarantine; morale; classes; spanish influenza; pandemic; epidemic; illness; disease,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_11_20p2,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1211/filename/ARG-1918-11-20.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu073,arg1918_11_27p1a.png,Flu Quarantine has been raised ,Flu Quarantine has been raised - Page 1 ,University Argonaut,"Subheaded 'No New Cases Are Reported But Caution Is Still Necessary,' the article discusses that there have been no new cases in the S.A.T.C., the quarantine is to be lifted, that emergency hospitals have been closed, and that ultimately few deaths occurred as a result of the spanish influenza.",1918-11-27,,Student Army Training Corps; S.A.T.C.; quarantine; infirmary; hospitals; deaths; epidemic; pandemic; illness; disease; spanish influenza; pneumonia,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_11_27p1a,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1212/filename/ARG-1918-11-27.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu074,arg1918_11_27p1b.png,Dread of Influenza Queers Plans for Thanksgiving ,Dread of Influenza Queers Plans for Thanksgiving - Page 1,University Argonaut,The article mentions that plans for S.A.T.C. men to visit local homes for Thanksgiving have been cancelled to stop any new spread of the flu. Activities planned by churches have also been cancelled.,1918-11-27,,spanish influenza; disease; illness; pandemic; epidemic; Student Army Training Corps; S.A.T.C.; Thanksgiving; students; churches; social isolation; spread,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_11_27p1b,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1212/filename/ARG-1918-11-27.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu075,arg1918_12_11p2.png,Influenza Abroad and In America ,Influenza Abroad and In America - Page 2,University Argonaut,"Subheaded 'History of Disease Shows It To Be One Which Demands Great Precaution,' the article discusses the transmission and spread of Spanish influenza and how difficult it is to contain it. ",1918-12-11,,Spanish influenza; flu; quarantine; epidemic; illness; science; pandemic; spread; history,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_12_11p2,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1214/filename/ARG-1918-12-11.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu076,arg1919_01_31p1.png,Flu Ban Floats Frolic to Follow,Flu Ban Floats Frolic to Follow - Page 1,University Argonaut,"Subheaded 'City Health Officer Sanctions Senior Ruff - First All-College Affair In Three Months,' the article indicates that the quarantine and ban on social activities is lifted and large universtiy-wide events are once again being planned. ",1919-01-31,,quarantine; dances; activities; spanish influenza; students,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1919_01_31p1,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1218/filename/ARG-1919-01-31.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu077,arg1919_01_31p4.png,Aldrich Hospital Still Deserted ,Aldrich Hospital Still Deserted - Page 4,University Argonaut,"Subheaded 'Temporary 'Flu' Infirmary May Become Permanent University Institution,' the aricle mentions that Aldrich house, once used as a temporary hospital, is now unused but still contains beds ready for the next wave of illness. Mentions the need for a hospital on campus. ",1919-01-31,,hospitals; temporary shelter; Co-eds; infirmary; spanish influenza; epidemic; illness; girls; women; students; campus,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1919_01_31p4,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1218/filename/ARG-1919-01-31.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
