title,creator,date,description,subject,location,location-lcsh,latitude,longitude,source,identifier,publisher,digital collection,holding institution,collection website,Language,date digital,type,format,rights,rightsstatement,digitization specifications,filename,OCLC number,Date created,Date modified,Reference URL,cdm-id,CONTENTdm file name,CONTENTdm file path,object-id
Inspecting The Moisture Of Lining Concrete (Construction methods and Long Lake dam),"Foss, H.E.",5/24/1948,"Columbia Basin Project, Irrigation Division, Long Lake Dam. Assistant Resident Engineer, Donald B. McLaren checking fill moisture by the use of a proctor plasticity penetrometer. Representative material from the spread and processed lift is obtained, given standard laboratory compaction and resistance to penetration of a needle of definite end area is measured. A resistance to penetration range from 1000 to 2000 pounds per square inch indicates that the material contains the proper moisture for compaction. A needle reading less than 1000 pounds per square inch indicates that material is too wet and must be dried out by processing or mixing with drier material. A needle reading greater than 2000 pounds per square inch indicates that the material is too dry and moisture must be added. Harold Foss, photographer.",Canal construction workers--North America;;Construction methods and Long Lake dam,Washington;Stevens County;Tumtum,United States--Washington--Stevens County--Tumtum,47.837201,-117.839401,"PG 94, Box 1, Folder Construction Methods and Long Lake Dam, 4 1658",94-4-1658,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055196,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/922,922,1028.jp2,/crbproj/image/1028.jp2,crbp922
Laying Concrete For Long Lake Dam (Construction methods and Long Lake dam),"Foss, H.E.",9/28/1949,"Columbia Basin Project, Irrigation Division, Specifications No. 2324, Schedule I, Long Lake Headworks and Concrete Canal Lining and Structures, Station 745+80 to Station 1101+29.0. Contractor: George B. Henly Construction Co., Inc. View of Long Lake Headworks structure during concrete placing in the outlet counterfort warped wall right side. Concrete is placed from the concrete bucket to small chutes in front of each counterfort. Long Lake Headworks is 2 miles northeast of Stratford, Wash.",Dam construction--Washington (State)--1940-1950;;Construction methods and Long Lake dam,Washington;Stevens County;Long Lake,United States--Washington--Stevens County--Long Lake,47.837335,-117.839455,"PG 94, Box 1, Folder Construction Methods and Long Lake Dam, 4 3200",94-4-3200,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055159,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/931,931,1037.jp2,/crbproj/image/1037.jp2,crbp931
Long Lake Dam (Construction methods and Long Lake dam),"Pomeroy, F.B.",4/6/1949,Photo of Long Lake Dam taken for display purposes,Dams--Washington (State)--1940-1950;;Construction methods and Long Lake dam,Washington;Stevens County;TumTum,United States--Washington--Stevens County--TumTum,47.837235,-117.839421,"PG 94, Box 1, Folder Construction Methods and Long Lake Dam, 3 18956",94-3-18956,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055148,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/905,905,1011.jp2,/crbproj/image/1011.jp2,crbp905
Long Lake Dam Headworks (Construction methods and Long Lake dam),"Foss, H.E.",9/28/1949,"Columbia Basin Project, Irrigation Division, Specifications No. 2324, Schedule I, Long Lake Headworks and Concrete Canal Lining and Structures, Station745+80 to Station 1101 +29.0--Main Canal. Contractor: George B. Henly Construction Co., Inc. View of inlet floor slab Long Lake Headworks and men working on inlet counterfort warped wall forms. Counterfort forms are shown on the extreme right. Long Lake Headworks is 2 miles northeast of Stratford, Wash. Harold Foss, photographer.",Dam construction--Washington(state)--1940-1950;;Construction methods and Long Lake dam,Washington;Stevens County;Long Lake,United States--Washington--Stevens County--Long Lake,47.837205,-117.839431,"PG 94, Box 1, Folder Construction Methods and Long Lake Dam, 4 3202",94-4-3202,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664054631,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/908,908,1014.jp2,/crbproj/image/1014.jp2,crbp908
Long Lake Headworks During Concrete Placing [01] (Construction methods and Long Lake dam),"Foss, H.E.",11/28/1949,"Columbia Basin Project, Irrigation Division, Specifications No. 2324, Schedule 1, Long Lake Headworks and Concrete Canal Lining and Structures, Station 745+80 to Station 1101+29.0--Main Canal. Contractor: George B. Henly Construction Co., Inc. View of Long Lake Headworks structure taken from left bank of intake channel looking southwest across the operation deck and service bridge. Reinforcement steel for the operation deck and electrical conduit and ground wires are in place ready for concrete. Long Lake Headworks is 2 miles northeast of Stratford, Wash. Harold Foss, photographer.",Dam construction--Washington (State)--1940-1950;;Construction methods and Long Lake dam,Washington;Stevens County;Long Lake,United States--Washington--Stevens County--Long Lake,47.836518,-117.839946,"PG 94, Box 1, Folder Construction Methods and Long Lake Dam, 4 3373",94-4-3373,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055705,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/979,979,1085.jp2,/crbproj/image/1085.jp2,crbp979
Long Lake Headworks During Concrete Placing [02] (Construction methods and Long Lake dam),"Foss, H.E.",9/28/1949,"Columbia Basin Project, Irrigation Division, Specifications No. 2324, Schedule I, Long Lake Headworks and Concrete Canal Lining and Structures, Station 745+80 to Station 1101+29.0--Constractor: George B. Henly Construction Co., Inc. View of Long Lake Headworks during concrete placing operations in the right outlet warp wall. Concrete is being placed in tremies which allow the concrete to be deposited in the counterforts back of the wall. Men in foreground with Klug Construction Co. hand trimming canal section for lining. Long Lake Headworks is 2 miles northeast of Stratford, Wash. Harold Foss, photographer.",Dam construction--Washington (State)--1940-1950;;Construction methods and Long Lake dam,Washington;Stevens County;Long Lake,United States--Washington--Stevens County--Long Lake,47.836821,-117.839967,"PG 94, Box 1, Folder Construction Methods and Long Lake Dam, 4 3201",94-4-3201,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055590,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/935,935,1041.jp2,/crbproj/image/1041.jp2,crbp935
Man Stands In Concrete Chute (Construction methods and Long Lake dam),"Foss, H.E.",11/9/1950,"Columbia Basin Project, Irrigation Division, Third Section, West Canal, Specification 2844, Schedule 3. View looking upstream from invert of stilling pool at Station 2044+50 West Canal approximately, showing end of concrete chute at Station 2043+20. The stilling pool was excavated from a columnar basalt rock formation. Minnis and Schilling--Contractor. H.E. Foss, photographer",Canals--Washington (State);;Construction methods and Long Lake dam,Washington;Grant County;Quincy,United States--Washington--Grant County--Quincy,47.232901,-119.855475,"PG 94, Box 1, Folder Construction Methods and Long Lake Dam, 4 4563",94-4-4563,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664054687,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/937,937,1043.jp2,/crbproj/image/1043.jp2,crbp937
Men Compact Backfill (Construction methods and Long Lake dam),"Foss, H.E.",5/25/1949,"Columbia Basin Project, Irrigation Division, West Canal, Specifications 1286, Utah Construction Co., and Winston Bros. Co., Contractor. Using a Jackson electric vibrator to place compacted backfill at the lateral turnout, Station 163+25. The material being compacted is sent with very little gravel. The vibrator did not work satisfactorily in this particular material.",Dam construction--Washington(state)--1940-1950;;Construction methods and Long Lake dam,Washington;Grant County;Quincy,United States--Washington--Grant County--Quincy,47.837299,-117.839499,"PG 94, Box 1, Folder Construction Methods and Long Lake Dam, 4 2716",94-4-2716,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055140,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/910,910,1016.jp2,/crbproj/image/1016.jp2,crbp910
Mobile Laboratory (Construction methods and Long Lake dam),"Foss, H.E.",9/8/1948,"Columbia Basin Project--Irrigation Division. East Low Canal--Specifications No. 1422. View of mobile laboratory used to make test cylinders and air entrainment tests of canal lining concrete. Equipment shown includes half-cubic foot unit weight measure, electric vibrator, scale, and gasoline-powered generator. In left foreground is covered box where test cylinders are stored until picked up on the following day. Cylinders from previous day's test may be seen in ambulance used for transportation. H.E. Foss, photographer.",Canal construction workers--North America;;Construction methods and Long Lake dam,Washington;Stevens County;Tumtum,United States--Washington--Stevens County--Tumtum,47.837222,-117.839422,"PG 94, Box 1, Folder Construction Methods and Long Lake Dam, 4 2064",94-4-2064,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664054696,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/920,920,1026.jp2,/crbproj/image/1026.jp2,crbp920
Open Outlet Transition Of Dry Coulee Siphon (Construction methods and Long Lake dam),"Foss, H.E.",9/24/1948,"Columbia Basin Project, Irrigation Division, West Canal, Specifications No. 1286--Utah Construction Co. and Winston Bros. Co., contractor. Open outlet transition of Dry Coulee Siphon No. 2 showing back forms. Transition warps from vertical with a 25-foot bottom to a light slope with a 38-foot bottom on a 40 degree curve. Openings in the forms are for buttresses. Canal lining shows in the foreground. H.E. Foss, photographer.",Canal construction workers--North America;;Construction methods and Long Lake dam,Washington;Grant County;Quincy,United States--Washington--Grant County--Quincy,47.242122,-119.79784,"PG 94, Box 1, Folder Construction Methods and Long Lake Dam, 4 2125",94-4-2125,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055587,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/938,938,1044.jp2,/crbproj/image/1044.jp2,crbp938
Placing Concrete And Steel In Canal Lining (Construction methods and Long Lake dam),"Foss, H.E.",4/4/1950,"Columbia Basin Project, Irrigation Division, Third Section West Canal, Specifications 2844, Schedule 3. Looking downstream from station 1992+45 showing placement of concrete at approximate Station 1993+40 and placement of reinforcement steel at approximate Station 1994+50 and road grader back can be seen in the contractor's field camp. *This patrol is fine grading the subgrade. Hinnin and Schilling--Contractor. H.E. Foss, photographer.",Canal construction workers--North America;;Construction methods and Long Lake dam,Washington;Grant County;Quincy,United States--Washington--Grant County--Quincy,47.215806,-119.880495,"PG 94, Box 1, Folder Construction Methods and Long Lake Dam, 4 3614",94-4-3614,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055113,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/980,980,1086.jp2,/crbproj/image/1086.jp2,crbp980
Reinforcing Steel For Weber Wasteway (Construction methods and Long Lake dam),"Foss, H.E.",9/22/1950,"Columbia Basin Project, Irrigation Division, 3rd Section East Low Canal and Weber Wasteway, Specs. 2879. Forms and reinforcing steel for culvert, Weber Wasteway Sta. 88+97.28, under Chicago, Milwaukie, St. Paul and Pacific Railway. Shoofly in the background. View looking south. Work being done by Western Contracting Corporation. H.E. Foss, photographer.",Columbia Basin Reclamation Project (U.S.);;Construction methods and Long Lake dam,Washington;Grant County;Bassett Junction,United States--Washington--Grant County--Bassett Junction,46.722244,-119.03544,"PG 94, Box 1, Folder Construction Methods and Long Lake Dam, 4 4376",94-4-4376,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055203,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/928,928,1034.jp2,/crbproj/image/1034.jp2,crbp928
Rock Pockets (Construction methods and Long Lake dam),"Foss, H.E.",9/22/1950,"Columbia Basin Project, Irrigation Division, 3rd Section East Low Canal and Weber Wasteway Turnout. Specifications No. 2879. Rock pockets caused by insufficient vibration. Note the reinforcing steel in the lower right corner of the photograph and the hole being chipped through a repair area at left. Work performed by Western Contracting Corporation.",Columbia Basin Reclamation Project (U.S.);;Construction methods and Long Lake dam,Washington;Grant County;Bassett Junction,United States--Washington--Grant County--Bassett Junction,46.722255,-119.03555,"PG 94, Box 1, Folder Construction Methods and Long Lake Dam, 4 4363",94-4-4363,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664054672,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/926,926,1032.jp2,/crbproj/image/1032.jp2,crbp926
Rock Pockets And Exposed Reinforcing Steel (Construction methods and Long Lake dam),"Foss, H.E.",9/22/1950,"Columbia Basin Project, Irrigation Division, 3rd Section East Low Canal and Weber Wasteway Turnout Structure, Specifications No. 2879. Gate support showing rock pocket and exposed reinforcing steel prior to chipping. Inadequate vibration has resulted in numerous concrete repairs to be necessary in this structure. Concrete placed in subsequent structures have been free from rock pockets as more attention is given to correct placing methods. Work performed by Western Contracting Corporation. H.E. Foss, photographer.",Canal construction workers--North America;;Construction methods and Long Lake dam,Washington;Grant County;Bassett Junction,United States--Washington--Grant County--Bassett Junction,46.722233,-119.03533,"PG 94, Box 1, Folder Construction Methods and Long Lake Dam, 4 4364",94-4-4364,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055592,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/927,927,1033.jp2,/crbproj/image/1033.jp2,crbp927
Rooter Pulled By Tractor Through Cemented Gravel (Construction methods and Long Lake dam),"Foss, H.E.",5/20/1949,"Columbia Basin Project, Irrigation Division, Specifications No. 2541, Schedule No. 2, Earthwork, Concrete Lining and Structures, Station 734+85 to Station 1229+74, West Canal. Contractor: Morrison-Knudsen Company, Inc. LaPlant-Choate rooter pulled by D-8 caterpillar tractor through cemented gravel at about Sta. 785. Only two outside ripper teeth are being used. Note difference in penetration of teeth, indicating varying harness of deposit. West Canal located between Soap Lake, Washington and Winchester, Washington. Harold Foss, photographer.",Columbia Basin Reclamation Project (U.S.);;Construction methods and Long Lake dam,Washington;Stevens County;Tumtum,United States--Washington--Stevens County--Tumtum,47.132266,-119.251866,"PG 94, Box 1, Folder Construction Methods and Long Lake Dam, 4 2695",94-4-2695,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664054642,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/913,913,1019.jp2,/crbproj/image/1019.jp2,crbp913
Test Weld (Construction methods and Long Lake dam),"Bauman, A.W.",5/22/1947,"Columbia Basin Project, Irrigation Division, West Canal. Sep. #1286--Utah Construction Co. and Winston Bros. Co. contractor. View taken of a test weld. One test weld is made for every 50 production welds. This is then tested for yield point and tensile strength. A.W. Bauman, photographer.",Dam construction--Washington(state)--1940-1950;;Construction methods and Long Lake dam,Washington;Grant County;Quincy,United States--Washington--Grant County--Quincy,47.233017,-119.854531,"PG 94, Box 1, Folder Construction Methods and Long Lake Dam, 4 490",94-4-490,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055708,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/916,916,1022.jp2,/crbproj/image/1022.jp2,crbp916
Use Of Smaller Tractors (Construction methods and Long Lake dam),"Foss, H.E.",3/24/1950,"Columbia Basin Project, Irrigation Division, 2nd Section West Canal, Specs. 2541. Backfilling around the Winchester Wasteway turnout. Allis Chalmers HD-5 tractor with Tracto-Loader is used to place material and to pull small roller used in areas inaccessible to the larger sheepsfoot rollers. Work is being performed by Morrison-Knudsen, Inc. under Schedule 2 of above specifications. H.E.Foss, photographer.",Dam construction--Washington (State)--1940-1950;;Construction methods and Long Lake dam,Washington;Grant County;Winchester,United States--Washington--Grant County--Winchester,47.107222,-119.618371,"PG 94, Box 1, Folder Construction Methods and Long Lake Dam, 4 3600",94-4-3600,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055109,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/968,968,1074.jp2,/crbproj/image/1074.jp2,crbp968
Weighing Equipment (Construction methods and Long Lake dam),"Foss, H.E.",9/8/1948,"Columbia Basin Project--Irrigation Division. West Canal and East Low Canal--Specifications 1286 and 1422. View showing weighing equipment at Adco batching plant. Back of housing for cement scale dial and recorder tape are shown at right foreground. Portion of aggregate scale dial may be seen in right background. At left is screw conveyor from cement silo to cement weighing hopper in center of picture. Behind this hopper is the aggregate weighing hopper. H.E. Foss, photographer.",Dam construction--Washington(state)--1940-1950;;Construction methods and Long Lake dam,Washington;Grant County;Stratford,United States--Washington--Grant County--Stratford,47.837244,-117.839444,"PG 94, Box 1, Folder Construction Methods and Long Lake Dam, 4 2071",94-4-2071,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055112,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/918,918,1024.jp2,/crbproj/image/1024.jp2,crbp918
Workman Unloading Bulk Cement (Construction methods and Long Lake dam),"Foss, H.E.",9/8/1948,"Columbia Basin Project--Irrigation Division. West Canal and East Low Canal--Specifications 1286 and 1422. Workman unloading bulk cement with Butler Car scoop. Job Hazards are minimized by the use of proper safety equipment. H.E. Foss, photographer.",Canal construction workers--North America;;Construction methods and Long Lake dam,Washington;Grant County;Stratford,United States--Washington--Grant County--Stratford,47.837233,-117.839433,"PG 94, Box 1, Folder Construction Methods and Long Lake Dam, 4 2072",94-4-2072,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664054685,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/919,919,1025.jp2,/crbproj/image/1025.jp2,crbp919
"Bacon Siphon And Main Canal (Construction of pipelines, syphons and tunnels)","Fuller, H.W.",5/4/1949,"Columbia Basin Project. Irrigation Division. Bacon Siphon, Specifications 1236, T.E. Connolly Inc., Contractor. Bacon Siphon and Main Canal looking upstream from top of cliff above inlet to the Bacon Tunnel. Canal is completed with inlet structure of the siphon yet to be done.","Canals--Washington (State);;Construction of pipelines, syphons and tunnels",Washington;Grant County;Coulee City,United States--Washington--Grant County--Coulee City,47.613909,-119.301546,"PG 94, Box 1, Construction of Pipelines, Syphons, and Tunnels, 3 19104",94-3-19104,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664054763,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1039,1039,1145.jp2,/crbproj/image/1145.jp2,crbp1039
