title,dates,start_date,end_date,year span,description,person of interest,document type,publisher,subject,location,file type,identifier_old,identifier,source,type,format,rightsstatement,language,filename,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
Idaho History: Historic Persons Folder,5/5/1940 - 2/22/2002,1940-05-05,2002-02-22,1940-2002,179 pages of subject files containing and related to Idaho History: Historic Persons,"Gurnsey, Kathleen; Edwards, Emma; Dawson, William Alson; Clark, Ida; Fee, Jeff; Allen, Roxanna; McMillan, John; Willey, Norman B.; Lamb, Viola;",,Idaho Statesman; The Star-News; Central Idaho Star News;,Politicians; Hermits; Developers; Miners; Sheep Herders; Ranchers;,"Slaughter House Gulch; Boise, ID; Grangeville, ID; Cuprum, ID;",Subject Files,Idaho_History-Historic_Persons,IdahoHistoryHistoricPersons,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/620,620,621.pdf,/mccall/image/621.pdf,mccall620
Idaho History: Medicine Folder,7/7/1902 - 12/28/1995,1902-07-07,1995-12-28,1902-1995,15 pages of subject files containing and related to Idaho History: Medicine,,,Idaho Statesman; The Star-News;,Physicians; Cancer; Saint Alphonsus Hospital; Saint Lukes Hospital; Idaho Doctors; Boise Health Care; Elk's Rehab Center,"Boise, ID;",Subject Files,Idaho_History-Medicine,IdahoHistoryMedicine,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/621,621,622.pdf,/mccall/image/622.pdf,mccall621
Idaho History: Military Folder,7/3/1974 - 8/22/1976,1974-07-03,1976-08-22,1974-1976,11 pages of subject files containing and related to Idaho History: Military,,,Idaho Statesman;,GAR Hall; Fort Boise; Battleship Idaho;,"Boise, ID;",Subject Files,Idaho_History-Military,IdahoHistoryMilitary,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/622,622,623.pdf,/mccall/image/623.pdf,mccall622
Idaho History: Politics Folder,7/19/1911 - 4/20/2016,1911-07-19,2016-04-20,1911-2016,53 pages of subject files containing and related to Idaho History: Politics,"McCubbin, Stacia; Roller, Gertrude; Scriver, Christie; Hawley, James; Green, Emma; Wells, Merle; Parker, Ed;",Legal Papers;,Idaho Statesman; The Star-News;,Legislature; Women's Votes; Elections; Parties; Laws; Idaho Gold Dredging Company; Women's Equality; McCall Incorporation; Progressive Movement;,"Silver City, ID; Boise, ID; McCall, ID; Donnelly, ID; Valley County;",Subject Files,Idaho_History-Politics,IdahoHistoryPolitics,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/623,623,624.pdf,/mccall/image/624.pdf,mccall623
Idaho History: Transportation Folder,1/6/1950 - 9/24/2015,1950-01-06,2015-09-24,1950-2015,44 pages of subject files containing and related to Idaho History: Transportation,William Borah;,Booklet;,High Country News; Idaho Statesman;,"P.I.N; Boise, Nampa & Owyhee Railroad; Big Mik; Stations; Railroads; Autos; Coaches; Ferrys; Horses; Pack Trains; Streetcars; Steamships; Teamsters; Wood River Wagon Days;","Boise, ID;",Subject Files,Idaho_History-Transportation,IdahoHistoryTransportation,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/624,624,625.pdf,/mccall/image/625.pdf,mccall624
Idaho History: Transportation and Railroads Folder,5/31/1936 - 4/9/2015,1936-05-31,2015-04-09,1936-2015,24 pages of subject files containing and related to Idaho History: Transportation and Railroads,Robert Strahorn;,,High Country News; Idaho Statesman; The Star-News;,"P.I.N; Boise, Nampa & Owyhee Railroad; Big Mik; Stations; Railroads; Shoshone; Lake Lowell; Train Wrecks; Boise Train Depot; Union Pacific; Stage Coach Rules;","Shoshone, ID; Murphy, ID; Owyhee, ID; Boise, ID;",Subject Files,Idaho_History-Transportation_and_Railroads,IdahoHistoryTransportationandRailroads,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/625,625,626.pdf,/mccall/image/626.pdf,mccall625
Idaho History: Weather and Climate Folder,6/7/1948 - 1/8/1997,1948-06-07,1997-01-08,1948-1997,9 pages of subject files containing and related to Idaho History: Weather and Climate,,,Idaho Statesman;,Floods; Flumes; Heavy Snow Packs; Brundage Ski Resort;,"Riggins, ID; New Meadows, ID; Goose creek; Little Salmon river; Cascade, ID; Brundage Mountain;",Subject Files,Idaho_History-Weather_and_Climate,IdahoHistoryWeatherandClimate,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/626,626,627.pdf,/mccall/image/627.pdf,mccall626
Idaho National Forest Folder,12/28/1940 - 2/26/1980,1940-12-28,1980-02-26,1940-1980,61 pages of subject files containing and related to Idaho National Forest,Walter G. Mann; Julian E. Rothery;,Registry; Written History; Written Stories;,Weiser National Forest Service; Yale Forest School Alumni Association;,Pioneers; Place Names;,Payette National Forest; Idaho Primitive Area;,Subject Files,Idaho_National_Forest,IdahoNationalForest,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/627,627,628.pdf,/mccall/image/628.pdf,mccall627
"Idaho History: Entertainment, Press, Sports Folder",12/1/1800 - 1/1/2001,1800-12-01,2001-01-01,1800-2001,"23 pages of subject files containing and related to Idaho History: Entertainment, Press, Sports",Arthur A. Hart; Nathan Falk; Edward L.Curtis Nye;,Program;,Idaho Statesman;,Theater; Music; Clubs; Slocum's Hall; Good Templars' Hall; River Ice Skating; Musical Kaisers; Lyric Theatre; Dickens Club; Edward L. Curtis Nye's Drugstore; Chess; Good Templars; Gay Nineties; Whist Club; Mountain Home Ball Park; 1907; Prune Pickers vs. Melon Eaters; Boz Theater; 1910 ; Sonna Opera House,"Boise, ID; Idaho City, ID;",Subject Files,Idaho_History-Entertainment_Press_Sports,IdahoHistoryEntertainmentPressSports,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/628,628,629.pdf,/mccall/image/629.pdf,mccall628
Idaho Primitive Area Folder,9/23/1938 - 4/1/1982,1938-09-23,1982-04-01,1938-1982,26 pages of subject files containing and related to Idaho Primitive Area,E. P. Parker; Billy Mitchell; Frank Lantz;,Sales Pamphlet; Written History;,Idaho Statesman; Payette Lakes Star; The Star-News;,Pioneers; History; Happy Hollow Camps; Trails; Hot Springs; Billy Mitchell cabin; U.S. Fish and Game 1949 Salt Program; Johnson Flying Service; Salmon River Breaks Primitive Area; Lantz Bar; Outfitters,"Idaho National Forest; Payette National Forest; Warren, ID; Barth Hot Springs; Frank Church Wilderness Area;",Subject Files,Idaho_Primitive_Area,IdahoPrimitiveArea,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/629,629,630.pdf,/mccall/image/630.pdf,mccall629
"McCall, Idaho: Cemetery Folder",6/11/1986 - 4/18/1996,1986-06-11,1996-04-18,1986-1996,"1 pages of subject files containing and related to McCall, Idaho: Cemetery",,,The Star-News;,Cemetery;,"McCall, ID;",Subject Files,McCall_Idaho-Cemetery,McCallIdahoCemetery,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/630,630,631.pdf,/mccall/image/631.pdf,mccall630
Idaho State Prison Folder,3/1/1876 - 10/16/1978,1876-03-01,1978-10-16,1876-1978,45 pages of subject files containing and related to Idaho State Prison,Sheriff Joe Daly; Hogan the Stiff; Jail Management;,,Idaho Statesman;,The Old Penn; Prisoners; Escapes; State Penitentiary; Warden's House; escapes; Bishop's House; Electricity in Idaho Museum; Jail Management;,"Boise, ID;",Subject Files,Idaho_State_Prison,IdahoStatePrison,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/631,631,632.pdf,/mccall/image/632.pdf,mccall631
Idaho Territory: History and Politics Folder,3/3/1963 - 11/10/2016,1963-03-03,2016-11-10,1963-2016,47 pages of subject files containing and related to Idaho Territory: History and Politics,John Carrey; William Butler;,,Idaho Statesman; Incredible Idaho;,Idaho Territory; Idaho Centennial; William Butler;,"Sliver City, ID; Tamarack, ID; Idaho Territory;",Subject Files,Idaho_Territory-History_and_Politics,IdahoTerritoryHistoryandPolitics,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/632,632,633.pdf,/mccall/image/633.pdf,mccall632
"Indian Valley, Idaho Folder",8/1/1978 - 10/1/2001,1978-08-01,2001-10-01,1978-2001,"4 pages of subject files containing and related to Indian Valley, Idaho",,,High Country News; Idaho Statesman;,Pioneers; Sheep; Basques; Valley General Store; Sheep-shearing; Indian Valley Bank;,"Indian Valley, ID;",Subject Files,Indian_Valley_Idaho,IndianValleyIdaho,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/633,633,634.pdf,/mccall/image/634.pdf,mccall633
Intermountain Historical & Genealogical Society Folder,2/1/1973 - 10/11/1973,1973-02-01,1973-10-11,1973-1973,14 pages of subject files containing and related to Intermountain Historical & Genealogical Society,Frank Fry;,By-Laws;,The Star-News;,Long Valley History; The Genealogical Society; Constituion and Bylaws;,Long Valley;,Subject Files,Intermountain_Historical_&_Genealogical_Society,IntermountainHistoricalandGenealogicalSociety,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/634,634,635.pdf,/mccall/image/635.pdf,mccall634
Idaho History: Ethnic Minorities Folder,1/1/1840 - 1/1/1970,1840-01-01,1970-01-01,1840-1970,7 pages of subject files containing and related to Idaho History: Ethnic Minorities,Robert S. Moody; Elvina Moulton; John West;,Newsletter;,Idaho Statesman; The Minidoka Irrigator;,African Americans; Chinese; Japanese Camps; Mexicans; Basques; Black History Month; OregonTrail; Mining Camps; One song Many Voices; The Black Church in Idaho; Boise Black Heritage roots in Lee Street Neighborhood; Idaho City; Last Chinese; 1937; Dean of colored pioneers; The Minidoka Irrigator;,"Hunt, ID;",Subject Files,Idaho_History-Ethnic_Minorities,IdahoHistoryEthnicMinorities,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/635,635,636.pdf,/mccall/image/636.pdf,mccall635
Kelly's Whitewater Park Folder,6/16/2010 - 10/1/2015,2010-06-16,2015-10-01,2010-2015,37 pages of subject files containing and related to Kelly's Whitewater Park,Mark Pickard; Kristina Pickard; Kelly Brennan; Devon Barker-Hicks; Mike Hicks;,,Long Valley Advocate; The Star-News;,Whitewater Kayaking Course; Summer Sports; Payette River Games; Payette River Fishing Derby;,"Cascade, ID;",Subject Files,Kelly's_Whitewater_Park,KellysWhitewaterPark,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/636,636,637.pdf,/mccall/image/637.pdf,mccall636
Kit Worthington Foundation for Music (The Gig) Folder,5/14/2015 - 5/21/2015,2015-05-14,2015-05-21,2015-2015,2 pages of subject files containing and related to Kit Worthington Foundation for Music (The Gig),Kit Worthington;,,The Star-News;,Grants for Children's Music; Kit Worthington Foundation; The Gig; Bistro 45; Scholorships,"McCall, ID;",Subject Files,Kit_Worthington_Foundation_for_Music_(The_Gig),KitWorthingtonFoundationforMusicTheGig,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/637,637,638.pdf,/mccall/image/638.pdf,mccall637
KMCL fm  & KMXM fm Folder,11/1/1990 - 11/6/2008,1990-11-01,2008-11-06,1990-2008,5 pages of subject files containing and related to KMCL fm  & KMXM fm,Dean Hagerman; Nancy Gentry; David Eaton; Scott Lockwood,,The Star-News;,Radio Station; Music Station; 101.1 fm; Idaho Heartland Broadcasting; Brundage Mountain Air; FM Idaho Co.;,"McCall, ID;",Subject Files,KMCL_fm_&_KMXM_fm,KMCLfmandKMXMfm,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/638,638,639.pdf,/mccall/image/639.pdf,mccall638
"Knox, Idaho Folder",1/1/1978 - 1/1/1978,1978-01-01,1978-01-01,1978-1978,"1 pages of subject files containing and related to Knox, Idaho",,Written History;,,Freight Station; Thunder Mountain Road; Boise-Thunder Mountain Road; Warm Lake; freight wagons;,"Cascade, ID;",Subject Files,Knox_Idaho,KnoxIdaho,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/639,639,640.pdf,/mccall/image/640.pdf,mccall639
"Kuna, Idaho Folder",7/26/1964 - 7/26/1964,1964-07-26,1964-07-26,1964-1964,"1 pages of subject files containing and related to Kuna, Idaho",,,Idaho Statesman;,15 Mile House; Owyhee Stage Road; Railroads; Dairying; Arrowrock Dam; dairy; New York Canal;,"Kuna, ID;",Subject Files,Kuna_Idaho,KunaIdaho,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/640,640,641.pdf,/mccall/image/641.pdf,mccall640
"Lake City, Idaho Folder",1/1/1978 - 1/1/1978,1978-01-01,1978-01-01,1978-1978,"1 pages of subject files containing and related to Lake City, Idaho",,Written History;,,Gold Fields; Nellie Trenton Mills; Poor Man's Creek; gold town;,Long Valley;,Subject Files,Lake_City_Idaho,LakeCityIdaho,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/641,641,642.pdf,/mccall/image/642.pdf,mccall641
"Lake Fork, Idaho Folder",1/1/1935 - 1/5/2017,1935-01-01,2017-01-05,1935-2017,"9 pages of subject files containing and related to Lake Fork, Idaho",,Personal Account; Written History,,Granges; Finnish Settlers; Lake Fork Mercantile; Lake Fork Service Station; Lake Fork Grocery; Lake Fork Assembly of God Church; Holman's Lake Fork Merc;,"Lakefork, ID;",Subject Files,Lake_Fork_Idaho,LakeForkIdaho,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/642,642,643.pdf,/mccall/image/643.pdf,mccall642
Lakeview Village Folder,8/10/1988 - 8/10/1988,1988-08-10,1988-08-10,1988-1988,1 pages of subject files containing and related to Lakeview Village,William Harrah;,,,Cabins; Stanharrah Corp.;,Ponderosa Park; Payette Lake;,Subject Files,Lakeview_Village,LakeviewVillage,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/643,643,644.pdf,/mccall/image/644.pdf,mccall643
Landslides Folder,3/17/1997 - 3/17/1997,1997-03-17,1997-03-17,1997-1997,4 pages of subject files containing and related to Landslides,Mary Lou Holton;,,Idaho Statesman;,Roads; Highways; Lower Banks; Payette River Canyon; Trail's End restaurant; clear-cuts; roads; fire,"Lower Banks, ID;",Subject Files,Landslides,Landslides,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/644,644,645.pdf,/mccall/image/645.pdf,mccall644
"Lardo, Idaho Folder",1/1/1978 - 2/26/1998,1978-01-01,1998-02-26,1978-1998,"10 pages of subject files containing and related to Lardo, Idaho",,Personal Account; Written History;,,Boydstun; Post Offices; Lardo Camp; Boydstun General Store; Lardo school; Rowland Street,"Payette Lake; Payette River; Lardo, ID; McCall, ID;",Subject Files,Lardo_Idaho,LardoIdaho,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/645,645,646.pdf,/mccall/image/646.pdf,mccall645
"Jerusalem, Idaho Folder",1/1/1963 - 1/1/1963,1963-01-01,1963-01-01,1963-1963,"2 pages of subject files containing and related to Jerusalem, Idaho",,Written History;,,Payette River History; Orchards; Native Americans; Jerusalem; Indian Camp; Horseshoe Bend History,"Payette River; Horseshoe Bend, ID;",Subject Files,Jerusalem_Idaho,JerusalemIdaho,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/646,646,647.pdf,/mccall/image/647.pdf,mccall646
Laura Moore Cunningham Foundation Folder,8/12/1993 - 8/12/1993,1993-08-12,1993-08-12,1993-1993,2 pages of subject files containing and related to Laura Moore Cunningham Foundation,"Colburn, Gordon; foundation; Moore, Christopher W.; Moore Cunningham, Laura;",,The Star-News;,Grants;,Long Valley;,Subject Files,Laura_Moore_Cunningham_Foundation,LauraMooreCunninghamFoundation,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/647,647,648.pdf,/mccall/image/648.pdf,mccall647
Lewis and Clark Folder,11/1/1993 - 6/5/2006,1993-11-01,2006-06-05,1993-2006,197 pages of subject files containing and related to Lewis and Clark,Merriweather Lewis; William Clark; sacajawea,Magaine Articles; Program; Brochure; Comic Book;,,Exploration; Reinactments; Trail Guide; Lemhi Tribe; Nez Perce Tribe; Dog Gone West; Shoshone; Mandan Tribe; Hidatsa Tribe; Louisiana Purchase; Oto Tribe; Clarkston; Lolo Trail;,"Arrow, ID; Idaho Falls, ID;",Subject Files,Lewis_and_Clark,LewisandClark,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/648,648,649.pdf,/mccall/image/649.pdf,mccall648
Light Horse Battalion Militia Folder,7/7/2016 - 7/7/2016,2016-07-07,2016-07-07,2016-2016,2 pages of subject files containing and related to Light Horse Battalion Militia,,,The Star-News;,Militias; 85th Light Horse Battalion;,Valley County;,Subject Files,Light_Horse_Battalion_Militia,LightHorseBattalionMilitia,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/649,649,650.pdf,/mccall/image/650.pdf,mccall649
Lions Club Folder,12/22/1986 - 6/27/2013,1986-12-22,2013-06-27,1986-2013,2 pages of subject files containing and related to Lions Club,,,The Star-News;,Service Club; Eye Care; Glasses; Exchange Students; Lions Club of McCall; Leo Club; Book Drive,"McCall, ID;",Subject Files,Lions_Club,LionsClub,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/650,650,651.pdf,/mccall/image/651.pdf,mccall650
Jug Mountain Folder,5/15/1997 - 8/18/2016,1997-05-15,2016-08-18,1997-2016,31 pages of subject files containing and related to Jug Mountain,D. John Carey;,,The Star-News;,Ranch; Development; Cross-Country Ski Trails; Biathalon Course; Golf Course; Jug Mountain Ranch; Jug Mountain Ranch Golf Results; 45 Fat Bike Relay Race;,"McCall, ID;",Subject Files,Jug_Mountain,JugMountain,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/651,651,652.pdf,/mccall/image/652.pdf,mccall651
Little Payette Lake Folder,10/26/1988 - 9/17/1996,1988-10-26,1996-09-17,1988-1996,13 pages of subject files containing and related to Little Payette Lake,,,Idaho Statesman; The Long Valley Advocate; The Star-News;,Fishing; Irrigation; Trout; Boating; Little Payette Lake;,"McCall, ID;",Subject Files,Little_Payette_Lake,LittlePayetteLake,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/652,652,653.pdf,/mccall/image/653.pdf,mccall652
Llamas Folder,8/22/1984 - 9/13/1987,1984-08-22,1987-09-13,1984-1987,8 pages of subject files containing and related to Llamas,,,The Star-News;,Packing; range pack animals; High Llama Ranch; High Llama Wilderness Tours; outfitter; breeders,"McCall, ID;",Subject Files,Llamas,Llamas,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/653,653,654.pdf,/mccall/image/654.pdf,mccall653
Log Brands Folder,4/1/1978 - 4/1/1978,1978-04-01,1978-04-01,1978-1978,6 pages of subject files containing and related to Log Brands,,,High Country News,History; Idaho Log Brands; logging; log drives; branding; Idaho brands; Minnesota Brands; Michigan brands; Oregon brands;,"New Meadows, ID; Tamarack, ID; Riggins, ID; Central Idaho;",Subject Files,Log_Brands,LogBrands,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/654,654,655.pdf,/mccall/image/655.pdf,mccall654
Lolo National Forest Folder,1/1/1982 - 1/1/1982,1982-01-01,1982-01-01,1982-1982,34 pages of subject files containing and related to Lolo National Forest,,booklet,,Remount Depot; Mules; CCC; Yellowstone Park; USDA; Forest Service; Mules; Remount Depot; forest fire fighting,Lolo National Forest; Yellowstone National Park;,Subject Files,Lolo_National_Forest,LoloNationalForest,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/655,655,656.pdf,/mccall/image/656.pdf,mccall655
Long Pin Conservation League Folder,3/16/1983 - 5/27/1993,1983-03-16,1993-05-27,1983-1993,2 pages of subject files containing and related to Long Pin Conservation League,,,The Star-News;,Environmental Education; Railroads; Pacific Idaho Northern railway;,"New Meadows, ID; Council, ID; Cambridge, ID; Midvale, ID;",Subject Files,Long_Pin_Conservation_League,LongPinConservationLeague,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/656,656,657.pdf,/mccall/image/657.pdf,mccall656
Long Valley Idaho: Agriculture Folder,7/1/1979 - 9/25/1993,1979-07-01,1993-09-25,1979-1993,15 pages of subject files containing and related to Long Valley Idaho: Agriculture,"Maenpa, Ted; Kleint, Paul; Maki, Jake and Erlene; Eld, Larry;",,High Country News; The Long Valley Advocate; The Star-News;,Ranching; Irrigation; Water Witch; divining rod; well drilling; family ranches; Clear Creek; grasshopper;,"Long Valley; Lake Fork, ID; Cascade, ID; Donnelly, ID;",Subject Files,Long_Valley_Idaho-Agriculture,LongValleyIdahoAgriculture,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/657,657,658.pdf,/mccall/image/658.pdf,mccall657
Long Valley Idaho: Fourth of July Folder,7/4/1978 - 7/4/1978,1978-07-04,1978-07-04,1978-1978,1 pages of subject files containing and related to Long Valley Idaho: Fourth of July,,,The Star-News;,Celebration;,Long Valley;,Subject Files,Long_Valley_Idaho-Fourth_of_July,LongValleyIdahoFourthofJuly,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/658,658,659.pdf,/mccall/image/659.pdf,mccall658
Long Valley Idaho: History I Folder,11/1/1922 - 12/31/1979,1922-11-01,1979-12-31,1922-1979,172 pages of subject files containing and related to Long Valley Idaho: History I,Molly Lou Kesler;,Personal Accounts; Written History;,Cascade News; High Country News; Idaho Statesman; The Star-News;,Pioneers; Finnish Families; Homesteads; Early Towns; Packer John's Cabin; Thunder Mountain;,"Long Valley; Cascade, ID; Crawford, ID; Donnelly, ID; McCall, ID; Elo, ID; Van Wyck, ID; Yellow Pine, ID;",Subject Files,Long_Valley_Idaho-History_I,LongValleyIdahoHistoryI,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/659,659,660.pdf,/mccall/image/660.pdf,mccall659
Long Valley Idaho: History II Folder,1/1/1980 - 8/9/1997,1980-01-01,1997-08-09,1980-1997,84 pages of subject files containing and related to Long Valley Idaho: History II,,Personal Account; Written History,High Country News; Idaho Statesman; The Long Valley Advocate; The Star-News;,Roseberry Museum Program; Cox's; Finn History; Indian History; 4-h; Cascade Lake; Packer John's Cabin; Thunder Mountain;,"Long Valley; Cascade, ID; Crawford, ID; Donnelly, ID; McCall, ID; Elo, ID; Van Wyck, ID; Yellow Pine, ID;",Subject Files,Long_Valley_Idaho-History_II,LongValleyIdahoHistoryII,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2017-10-25,2017-10-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/660,660,661.pdf,/mccall/image/661.pdf,mccall660
