title,opponent,abbreviation,sport,date,year,location,stadium,latitude,longitude,score,notes,identifier,original collection,digital collection,publisher,rights,standardized rights,format-original,format,type,duration,digital preservation filename,id number,disc number,youtube-id,reference url,cdm-id,object-id
"University of Idaho vs. Boise State University (Football), 10/11/1975",Boise State University,"Boise, IDSt",Football,1975-10-11,1975,"Moscow, ID",Kibbie Dome,46.726113,-117.015671,31 - 31 (L),,"UG64-Boise, IDSt1975-1_6",Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,0:37:40,"UG64-Boise, IDSt1975-1_6.avi",1_6,6,97QczYjd2IE,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/45,45,vandalvideo45
"University of Idaho vs. Washington State University (Basketball), 12/11/1970",Washington State University,WSU,Basketball,1970-12-11,1970,"Moscow, ID",Memorial Gymnasium,46.726389,-117.01375,67 - 74 (L),,UG64-WSU1970-1_145,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,0:57:26,UG64-WSU1970-1_145.avi,1_145,145,joL9cwRIVTk,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/46,46,vandalvideo46
"University of Idaho vs. Washington State University (Football), 09/29/1973",Washington State University,WSU,Football,1973-09-23,1973,"Pullman, WA",Martin Stadium,46.731806,-117.160444,24 - 51 (L),,UG64-WSU1973-1_149,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,2:14:48,UG64-WSU1973-1_149.avi,1_149,149,f8rCEuvpkiQ,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/47,47,vandalvideo47
"University of Idaho vs. Washington State University (Basketball), 01/03/1977",Washington State University,WSU-bb,Basketball,1977-01-03,1977,"Spokane, WA","Spokane, WA Coliseum",47.66642,-117.421562,66 - 80 (L),,UG64-WSU-bb1977-1_155,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,1:11:29,UG64-WSU-bb1977-1_155.avi,1_155,155,q7FzxhqyHtY,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/48,48,vandalvideo48
"University of Idaho vs. Washington State University (Football), 09/21/1968",Washington State University,WSU,Football,1968-09-21,1968,"Spokane, WA",Joe Albi Stadium,47.705278,-117.482778,7 - 14 (L),,UG64-WSU1968-1_142,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,0:22:20,UG64-WSU1968-1_142.avi,1_142,142,jP6Aje_bMAo,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/49,49,vandalvideo49
"University of Idaho vs. Washington State University (Football), 11/15/1975",Washington State University,WSU,Football,1975-11-15,1975,"Pullman, WA",Martin Stadium,46.731806,-117.160444,27 - 84 (L),,UG64-WSU1975-1_153,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,1:30:15,UG64-WSU1975-1_153.avi,1_153,153,R3p_EL66m2I,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/50,50,vandalvideo50
"University of Idaho vs. University of Washington (Football), 09/22/1956",University of Washington,UWash,Football,1956-09-22,1956,"Seattle, WA",Husky Stadium,47.650278,-122.301667,21 - 53 (L),,UG64-UWash1956-1_112,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,0:50:06,UG64-UWash1956-1_112.avi,1_112,112,Uf59zppbRIo,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/51,51,vandalvideo51
"University of Idaho vs. Washington State University (Football), 09/11/1982",Washington State University,WSU,Football,1982-09-11,1982,"Spokane, WA",Joe Albi Stadium,47.705278,-117.482778,14 - 34 (L),,UG64-WSU1982-1_158,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,0:36:07,UG64-WSU1982-1_158.avi,1_158,158,Nk-DI-FvW2o,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/52,52,vandalvideo52
"University of Idaho vs. Washington State University (Football), 09/02/1989",Washington State University,WSU,Football,1989-09-02,1989,"Pullman, WA",Martin Stadium,46.731806,-117.160444,7 - 41 (L),,UG64-WSU1989-1_159,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,2:29:05,UG64-WSU1989-1_159.avi,1_159,159,hr5jRSgT35c,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/53,53,vandalvideo53
"University of Idaho vs. University of Texas-El Paso (Football), 09/08/1973",University of Texas-El Paso,UTexElPaso,Football,1973-09-08,1973,"Moscow, ID",Idaho Stadium,46.726113,-117.015671,62 - 14 (W),,UG64-UTexElPaso1973-1_106,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,1:33:20,UG64-UTexElPaso1973-1_106.avi,1_106,106,27Bz9Q08sHQ,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/54,54,vandalvideo54
"University of Idaho vs. University of Texas-El Paso (Football), 09/08/1973",University of Texas-El Paso,UTexElPaso,Football,1973-09-08,1973,"Moscow, ID",Idaho Stadium,46.726113,-117.015671,62 - 14 (W),,UG64-UTexElPaso1973-1_107,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,0:37:09,UG64-UTexElPaso1973-1_107.avi,1_107,107,YbP3rjZHggI,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/55,55,vandalvideo55
"University of Idaho vs. Boise State University (Football), 09/11/1971",Boise State University,"Boise, IDSt",Football,1971-09-11,1971,"Boise, ID",Bronco Stadium,43.602798,-116.195833,14 - 42 (L),,"UG64-Boise, IDSt1971-1_3",Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,2:07:12,"UG64-Boise, IDSt1971-1_3.avi",1_3,3,8ceUofOkYN0,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/56,56,vandalvideo56
"University of Idaho vs. Washington State University (Football), 10/15/1949",Washington State University,WSU,Football,1949-10-15,1949,"Moscow, ID",Neale Stadium,46.726113,-117.015671,13 - 35 (L),,UG64-WSU1949-1_110,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,0:34:50,UG64-WSU1949-1_110.avi,1_110,110,DCLnOgnjq6Q,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/57,57,vandalvideo57
"University of Idaho vs. Western Michigan University (Football), 11/18/1972",Western Michigan University,WestMich,Football,1972-11-18,1972,"Kalamazoo, MI",Waldo Stadium,42.285833,-85.601111,16 - 27 (L),,UG64-WestMich1972-1_160,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,1:35:09,UG64-WestMich1972-1_160.avi,1_160,160,hCsB0HHo1oM,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/58,58,vandalvideo58
"University of Idaho vs. Western Michigan University (Football), 11/18/1972",Western Michigan University,WestMich,Football,1972-11-18,1972,"Kalamazoo, MI",Waldo Stadium,42.285833,-85.601111,16 - 27 (L),,UG64-WestMich1972-1_161,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,1:37:46,UG64-WestMich1972-1_161.avi,1_161,161,JnsmnqcYkVY,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/59,59,vandalvideo59
"University of Idaho vs. Washington State University (Football), 10/11/1958",Washington State University,WSU,Football,1958-10-11,1958,"Moscow, ID",Neale Stadium,46.726113,-117.015671,0 - 8 (L),,UG64-WSU1958-1_113,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,0:42:19,UG64-WSU1958-1_113.avi,1_113,113,GsV7IA3j_2s,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/60,60,vandalvideo60
"University of Idaho vs. University of Washington (Football), 11/17/1945",University of Washington,UWash,Football,1945-11-17,1945,"Seattle, WA",Husky Stadium,47.650278,-122.301667,0 - 12 (L),,UG64-UWash1945-1_108,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,0:34:10,UG64-UWash1945-1_108.avi,1_108,108,YBA51hnZkPI,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/61,61,vandalvideo61
"University of Idaho vs. University of Washington (Football), 09/26/1959",University of Washington,UWash,Football,1959-09-26,1959,"Seattle, WA",Husky Stadium,47.650278,-122.301667,0 - 23 (L),,UG64-UWash1959-1_114,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,0:42:16,UG64-UWash1959-1_114.avi,1_114,114,Fu4-_HTJePw,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/62,62,vandalvideo62
"University of Idaho vs. University of Washington (Football), 10/26/1968",University of Washington,UWash,Football,1968-10-26,1968,"Seattle, WA",Husky Stadium,47.650278,-122.301667,7 - 37 (L),,UG64-UWash1968-1_118,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,0:48:21,UG64-UWash1968-1_118.avi,1_118,118,7PsKNKbekNc,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/63,63,vandalvideo63
"University of Idaho vs. Washington State University (Football), 10/14/1961",Washington State University,WSU,Football,1961-10-14,1961,"Pullman, WA",Rodgers Field,46.731806,-117.160444,0 - 34 (L),tape bad at beginning; start at program 5,UG64-WSU1961-1_116,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,3:38:22,UG64-WSU1961-1_116.avi,1_116,116,HsTy4IrSe6Q,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/64,64,vandalvideo64
"University of Idaho vs. University of Washington (Football), 11/20/1948",University of Washington,UWash,Football,1948-11-20,1948,"Seattle, WA",Husky Stadium,47.650278,-122.301667,7 - 34 (L),,UG64-UWash1948-1_109,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,0:42:18,UG64-UWash1948-1_109.avi,1_109,109,1N145BlAquM,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/65,65,vandalvideo65
"University of Idaho vs. University of Southern Colorado (Football), 09/10/1983",University of Southern Colorado,USoCol,Football,1983-09-10,1983,"Moscow, ID",Kibbie Dome,46.726113,-117.015671,43 - 28 (W),,UG64-USoCol1983-1_103,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,0:19:27,UG64-USoCol1983-1_103.avi,1_103,103,ldWrnOBl3wo,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/66,66,vandalvideo66
"University of Idaho vs. Boise State University (Football), 09/11/1971",Boise State University,"Boise, IDSt",Football,1971-09-11,1971,"Boise, ID",Bronco Stadium,43.602798,-116.195833,14 - 42 (L),,"UG64-Boise, IDSt1971-1_4b",Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,0:16:37,"UG64-Boise, IDSt1971-1_4b.avi",1_4b,4,DM8eDxtYXAY,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/67,67,vandalvideo67
"University of Idaho vs. University of Texas (Football), 10/01/1949",University of Texas,UTex,Football,1949-10-01,1949,"Austin, TX",Texas Memorial Field,30.283611,-97.7325,7 - 56 (L),,UG64-UTex1949-1_104,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,0:33:32,UG64-UTex1949-1_104.avi,1_104,104,lneocTgFTEU,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/68,68,vandalvideo68
"University of Idaho vs. University of Washington (Football), 09/17/1966",University of Washington,UWash,Football,1966-09-17,1966,"Seattle, WA",Husky Stadium,47.650278,-122.301667,7 - 19 (L),,UG64-UWash1966-1_117,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,1:34:12,UG64-UWash1966-1_117.avi,1_117,117,QmARnKnXg0k,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/69,69,vandalvideo69
