title,creator,date,description,subject,location,region,latitude,longitude,source,identifier,publisher,digital collection,holding institution,collection website,Language,date digital,type,format,rights,rights (standardized),digitization specifications,filename,OCLC number,Date created,Date modified,Reference URL,cdm-id,CONTENTdm file name,CONTENTdm file path,object-id
"Construction of pipelines, syphons and tunnels-- Dry Coulee Siphon","Foss, H.E.",1949-05-25,"Columbia Basin Project, Irrigation Division, West Canal, Specifications 1286, Utah Construction Co. and Winston Bros. Co., Contractor. Looking east along the west canal showing Dry Coulee Siphon No. 2 in the foreground, the section of 12-foot bottom lined canal, Dry Coulee Siphon No. 1 and another portion of the lined canal in the background. A portion of the warped open outlet transition is shown in the immediate foreground is a 40-degree curve. Also shown in the foreground is the reinforcing steel for the uncompleted portion of the siphon barrel and the siphon form in place over a completed standard 25-foot section of the siphon barrel. The forms for the closed inlet transition are under construction. The contractor's shops and offices are on the right of the canal section. H.E. Foss, photographer.",Canals--Washington (State);,United States--Washington--Grant County--Grand Coulee Dam,,47.422302,-119.496896,"PG 94, Box 1, Construction of Pipelines, Syphons, and Tunnels, 4 2727",94-4-2727,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664054674,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1050,1050,1156.jp2,/crbproj/image/1156.jp2,crbproj156
"Construction of pipelines, syphons and tunnels-- hot water heating plant","Foss, H.E.",1950-10-02,"Columbia Basin Project, Irrigation Division, 2nd Section East Low Canal, Specifications No. 2603. Job fabricated wood burning hot water heating plant set up at jobsite in preparation for cold weather control of concrete temperatures. Water is pumped through a circulating coil in the fire box. See photograph 4514-4 for detail on pump hook up. Work performed by J.A. Terteling and Sons, Inc., contractor. H.E. Foss, photographer",Canals--Washington (State);,United States--Washington--Grant County,,47.424411,-119.506885,"PG 94, Box 1, Construction of Pipelines, Syphons, and Tunnels, 4 4428",94-4-4428,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664054708,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1051,1051,1157.jp2,/crbproj/image/1157.jp2,crbproj157
"Construction of pipelines, syphons and tunnels-- interior of the liner","Foss, H.E.",1949-06-27,"Columbia Basin Project, Irrigation Division, Soap Lake Siphon, Specifications No. 2411--Utah Construction Co. and Winston Bros. Co., Contractor. This longitudinal view shows the outer curtain of re-steel. The liner curtain and 'liner' support staubs and channel iron. The 'liner' placing gantry--a liner section and the stiffener ring replacement jigs. H.E. Foss, photographer",Canals--Washington (State);,United States--Washington,,47.413622,-119.512822,"PG 94, Box 1, Construction of Pipelines, Syphons, and Tunnels, 4 2883",94-4-2883,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055122,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1046,1046,1152.jp2,/crbproj/image/1152.jp2,crbproj152
"Construction of pipelines, syphons and tunnels-- joining the liner sections","Foss, H.E.",1949-10-05,"Columbia Basin Project, Irrigation Division, Soap Lake Siphon, Specifications No. 2411, Winston Brothers and Utah Construction Co., Contractors. This photograph, looking upstream, of the horizontal curve, P.I. Station 468+54.95. In the foreground are shown two of Humiston-Rosendhal's 'ferris wheels' used in making the field weld joining the liner sections. H.E. Foss, photographer.",Canals--Washington (State);,United States--Washington,,47.413633,-119.512833,"PG 94, Box 1, Construction of Pipelines, Syphons, and Tunnels, 4 3220",94-4-3220,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055161,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1045,1045,1151.jp2,/crbproj/image/1151.jp2,crbproj151
"Construction of pipelines, syphons and tunnels-- lowering a ""can""","Foss, H.E.",1949-07-01,"Columbia Basin Project, Irrigation Division, Soap Lake Siphon. Lowering a ""can"" for placement in the steel-lined section of the Siphon (Schedule II).",Canals--Washington (State);,United States--Washington,,47.413644,-119.512844,"PG 94, Box 1, Construction of Pipelines, Syphons, and Tunnels, 4 2894",94-4-2894,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055211,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1047,1047,1153.jp2,/crbproj/image/1153.jp2,crbproj153
"Construction of pipelines, syphons and tunnels-- man stands on siphon","Foss, H.E.",1950-06-09,"Columbia Basin Project, Irrigation Division, Soap Lake Siphon, Specs. 2411. This photograph taken from concrete section 84A, looking upstream, shows a man on section 82A. Infra-red was used to accentuate the cloud effect. Work is being performed by Winston-Utah under Schedule II of the above specs. H.E. Foss, photographer.",Canals--Washington (State);,United States--Washington--Grant County,,47.408651,-119.508489,"PG 94, Box 1, Construction of Pipelines, Syphons, and Tunnels, 4 3928",94-4-3928,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664054666,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1040,1040,1146.jp2,/crbproj/image/1146.jp2,crbproj146
"Construction of pipelines, syphons and tunnels-- placing concrete in Dry Coulee Siphon","Pomeroy, F.B.",1947-07-17,Dry Coulee Siphon No. 1. --This over-all photograph shows the cycle in placing concrete in Dry Coulee Siphon No. 1 by Winston-Utah. Nearest the camera is the first pour of concrete with the outside form removed and the inside form still in place. The outside form has been moved to the right preparatory to another pour. Reinforcing steel is in place farther to the right.,Canals--Washington (State);,United States--Washington--Grant County,,47.413695,-119.512895,"PG 94, Box 1, Construction of Pipelines, Syphons, and Tunnels, 3 16087",94-3-16087,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055603,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1044,1044,1150.jp2,/crbproj/image/1150.jp2,crbproj150
"Construction of pipelines, syphons and tunnels-- reinforcing steel being palced","Fuller, H.W.",1947-06-19,"Winton-Utah Contract on West Canal under Specs. 1286. This view, looking east, shows (right to left) reinforcing steel being placed for Dry Coulee Siphon No. 1, the two invert forms, which fit inside the steel for placing concrete, and the outside shell for the concrete-placing cycle.",Canals--Washington (State);,United States--Washington,,47.408952,-119.508444,"PG 94, Box 1, Construction of Pipelines, Syphons, and Tunnels, 3 15835",94-3-15835,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055595,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1041,1041,1147.jp2,/crbproj/image/1147.jp2,crbproj147
"Construction of pipelines, syphons and tunnels-- sand blasting operations","Pomeroy, F.B.",1950-06-02,"This view shows the sand blasting operations on the exterior surface of the exposed section of the pumping plant discharge pipe #1 in preparation for painting the exterior surface. This work is being performed by Machinist, Inc., subcontractor of Morrison-Knudsen Company, Inc. and Peter Kiewit Sons' Company. Specifications No. 2329.",Canals--Washington (State);,United States--Washington,,47.953224,-118.991654,"PG 94, Box 1, Construction of Pipelines, Syphons, and Tunnels, 3 22044",94-3-22044,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664054629,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1052,1052,1158.jp2,/crbproj/image/1158.jp2,crbproj158
"Construction of pipelines, syphons and tunnels-- soap lake siphon","Foss, H.E.",1949-10-06,"Columbia Basin Project, Irrigation Division, Soap Lake Siphon, Specifications No. 2411, Winston Brothers and Utah Construction Co., Contractors. This photograph is of the same area as photo No. 3220-04 but looking downstream. The men in the right foreground are placing the outer re-steel hoops. Curve P.I.= 468+54.95. H.E. Foss, photographer",Canals--Washington (State);,United States--Washington,,47.413611,-119.512839,"PG 94, Box 1, Construction of Pipelines, Syphons, and Tunnels, 4 3224",94-4-3224,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055684,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1043,1043,1149.jp2,/crbproj/image/1149.jp2,crbproj149
"Construction of pipelines, syphons and tunnels--16-yard truck dumping material","Fuller, H.W.",1947-07-23,"South Coulee Dam--A 16-yard Dixson Wagon Model #250 dumping Zone 1 material at station 20+00, approximate elevation 1570",Columbia Basin Reclamation Project (U.S.);,United States--Washington--Grant County,,47.95846,-118.994,"PG 94, Box 1, Construction of Pipelines, Syphons, and Tunnels, 3 16123",94-3-16123,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055627,2010-08-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1344,1344,1345.jp2,/crbproj/image/1345.jp2,crbproj450
"Construction of pipelines, syphons and tunnels--abutment cut-off wall","Foss, H.E.",1947-10-01,"Columbia Basin Project, Irrigation Division, Long Lake Dam. Spec. #1401--J.A. Terteling and Sons, Contractor. Looking west at west abutment showing cut-off wall and rock fracture at Station 8+00. Long Lake Dam is two miles northeast of Stratford, Wash. Harold Foss, photographer.",Columbia Basin Reclamation Project (U.S.);,United States--Washington--Stevens County--Long Lake,Long Lake,47.837295,-117.83942,"PG 94, Box 1, Construction of Pipelines, Syphons, and Tunnels, 4 882",94-4-882,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055695,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1109,1109,1215.jp2,/crbproj/image/1215.jp2,crbproj215
"Construction of pipelines, syphons and tunnels--blending machine operations","Foss, H.E.",1950-09-14,"Columbia Basin Project, Irrigation Division, 2nd Section East Low Canal, Specs. 2603. Steel Construction Co. of Oregon, sub-contractor for J.A. Terteling and Sons. Blending machine operations. H.E. Foss, photographer.",Canal construction workers--North America;,United States--Washington--Grant County--Wheeler,Wheeler,47.130169,-119.170547,"PG 94, Box 1, Construction of Pipelines, Syphons, and Tunnels, 4 4319",94-4-4319,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664054784,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1123,1123,1229.jp2,/crbproj/image/1229.jp2,crbproj229
"Construction of pipelines, syphons and tunnels--cleanup operations","Fuller, H.W.",1947-07-23,"South Coulee Dam--Cleanup placing operations on foundation, station 71+50 to 74+00. Narrow-drum roller is compacting Zone 1 and Zone 2 embankment upstream of cutoff wall. The dozer is preparing a ramp to facilitate cleanup work in inaccessible potholes downstream from centerline.",Columbia Basin Reclamation Project (U.S.);,United States--Washington--Grant County--Grand Coulee Dam,Grand Coulee Dam,47.962161,-118.971913,"PG 94, Box 1, Construction of Pipelines, Syphons, and Tunnels, 3 16125",94-3-16125,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055697,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1119,1119,1225.jp2,/crbproj/image/1225.jp2,crbproj225
"Construction of pipelines, syphons and tunnels--completed concrete placing","Foss, H.E.",1949-10-17,"Columbia Basin Project, Irrigation Division, Specifications No. 2541, Schedule No. 2, Earthwork, Concrete Lining and Structures, Station 734+85 to Station 1229+74, West Canal. Contractor: Morrison-Knudsen Company, Inc. Lateral turnout at Sta. 941+00. Concrete placing is complete, some chipping and patching remain to be done. West Canal located between Soap Lake, Washington and Winchester, Washington. Harold Foss, photographer",Canals--Washington (State);,United States--Washington--Grant County,,47.408799,-119.508699,"PG 94, Box 1, Construction of Pipelines, Syphons, and Tunnels, 4 3251",94-4-3251,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055610,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1061,1061,1167.jp2,/crbproj/image/1167.jp2,crbproj167
"Construction of pipelines, syphons and tunnels--completed open inlet transition","Foss, H.E.",1950-06-21,"Columbia Basin Project, Irrigation Division, Soap Lake Siphon, Specs. 2411. This photograph from Station 382+, looking downstream, shows the completed gravel trap and open inlet transition. The gravel trap baffles and their drains are clearly shown. Work is performed by Winston-Utah under Schedule I of the above specifications. H.E. Foss, photographer.",Canals--Washington (State);,United States--Washington--Grant County,,47.408701,-119.508649,"PG 94, Box 1, Construction of Pipelines, Syphons, and Tunnels, 4 3980",94-4-3980,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055648,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1056,1056,1162.jp2,/crbproj/image/1162.jp2,crbproj162
"Construction of pipelines, syphons and tunnels--entrance to Bacon Tunnel","Fuller, H.W.",1948-11-22,"Columbia Basin Project. Irrigation Division, Bacon Tunnel, Specifications 1236, T.R. Connolly, Inc., Contractors. Looking upstream at the outlet portal of Bacon Tunnel portal structure and open transition is complete except for backfilling and cleaning up operations",Columbia Basin Reclamation Project (U.S.);,United States--Washington--Grant County-Grand Coulee Dam,Coulee City,47.613933,-119.301533,"PG 94, Box 1, Construction of Pipelines, Syphons, and Tunnels, 3 18182",94-3-18182,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055735,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1069,1069,1175.jp2,/crbproj/image/1175.jp2,crbproj175
"Construction of pipelines, syphons and tunnels--erecting forms","Roderick, J.D.",1950-05-26,"Feeder Canal. This photograph was taken at about station 75+15 in the invert of the outlet open transition of the cut-and-cover looking east at the downstream end of the barrel section. The contractor is erecting forms, and placing reinforcing steel for the contractor is erecting forms, and placing and tying reinforcing steel for the underdrain pump well at the downstream end of the round-to-square transition. Specifications No. 2586, J.A. Terteling and Sons, Inc., Contractor.",Canals--Washington (State);,United States--Washington,,47.953266,-118.991666,"PG 94, Box 1, Construction of Pipelines, Syphons, and Tunnels, 3 22015",94-3-22015,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664054740,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1053,1053,1159.jp2,/crbproj/image/1159.jp2,crbproj159
"Construction of pipelines, syphons and tunnels--fabrication of half hoops","Foss, H.E.",1949-09-09,"Columbia Basin Project, Irrigation Division, Soap Lake Siphon, Specifications No. 2411, Winston Brothers and Utah Construction Co., Contractors. This photograph is a close-up of the fabrication of the half hoops. The straight bar is fed to the machine from the lower left, goes through the rolls, and follows the support rollers around the upper left. H.E. Foss, photographer.",Canal construction workers--North America;,United States--Washington,,47.370656,-119.519321,"PG 94, Box 1, Construction of Pipelines, Syphons, and Tunnels, 4 3037",94-4-3037,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055653,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1124,1124,1230.jp2,/crbproj/image/1230.jp2,crbproj230
"Construction of pipelines, syphons and tunnels--gate section of headworks","Fuller, H.W.",1949-05-03,South Coulee Dam--Main Canal Headworks--View taken from east bank of the approach channel showing the false work for construction of the gate section of the headworks.,Dams--Washington (State)--1940-1950;,United States--Washington--Grant County,,47.969522,-118.980622,"PG 94, Box 1, Construction of Pipelines, Syphons, and Tunnels, 3 19101",94-3-19101,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055607,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1083,1083,1189.jp2,/crbproj/image/1189.jp2,crbproj189
"Construction of pipelines, syphons and tunnels--grouting foundation drainage system","Fuller, H.W.",1947-07-23,"South Coulee Dam--Grouting foundation drainage system, stations 26+50 to 29+25, approximate elevation 1512. Risers are located along the side slopes of the cut-off trench.",Columbia Basin Reclamation Project (U.S.);,United States--Washington,,47.957535,-118.987534,"PG 94, Box 1, Construction of Pipelines, Syphons, and Tunnels, 3 16117",94-3-16117,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055692,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1094,1094,1200.jp2,/crbproj/image/1200.jp2,crbproj200
"Construction of pipelines, syphons and tunnels--inlet portal of Bacon Tunnel","Fuller, H.W.",1947-07-23,"Columbia Basin Project, Irrigation Division I. Bacon Tunnel, Specifications 1236, T.E. Conolly Inc., Contractor. Inlet portal of the Bacon Tunnel showing the full size of tunnel and steel supports in position",Columbia Basin Reclamation Project (U.S.);,United States--Washington--Grant County--Coulee City,Coulee City,47.613911,-119.301511,"PG 94, Box 1, Construction of Pipelines, Syphons, and Tunnels, 3 16130",94-3-16130,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-07,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664054665,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1067,1067,1173.jp2,/crbproj/image/1173.jp2,crbproj173
