title,creator,date,location,lat-long,subject,description,collection,series,related-dataset,contributors,publisher,contributing-institution,language,iwrri-number,object-id,rights,rights-standardized,format,type,date-digital,digitization-specifications,metadata-cataloger,filename,cdm-id
"Simulation model for evaluation of interception loss from forest trees. Technical completion report, OWRR project no. B-009-IDA","Belt, G. H.; Molnau, Myron",1973-09,,,interception loss; water storage; trees,"This portion of the study was conducted to develop models or methods of defining interception storage of snow on conifer trees. Field data obtained in physical modeling oi individual trees and data taken from the literature were used to define mathematical relationships for the intercepted precipitation and modeled ''species'' variations in trees. The defined relationships were subsequently incorporated in a computer simulation model for prediction of interception storage by a stand of trees. Comparison of interception storage derived from the stand model with measurements on the model trees indicates reasonable predictive capacity for both individual tree and stand models. Several forms of the sigmoid curve were useful in defining relationships between precipitation, interception storage and the end of storms and vegetational parameters, Surface ratio, related to crown projection area, was found to be a suitable parameter in defining differences in the format of the sigmoid curves. Second portion of the study was conducted to determine the interception characteristics of both artificial and real trees using artificial snow. A drum apparatus was constructed to allow ar+ificial snow to be dropped over the trees. It was found that for 3 ft. high artificial trees, the smaller branch angles intercept more snow than larger branch angles in terms of interception over projected areas of the tree. The shape of the interception vs precipitation curve is the same for both real and artificial trees except that the amounts are considerably less for real trees. There was no appreciable difference between the interceptionprecipitation curve for the two heights (3 ft & 6 ft) of the species of trees (real) tested.",IWRRI,Water for Idaho,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197302,iwdl-belt_1973,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,255
Habitat conditions in three streams in the Idaho Batholith as related to aquatic organisms,"Bjornn, T. C.; Wallace, R. L.; Watts, F.; Brusven, M.; Molnau, M.; Stuehrenberg, L.; Neilson, D.; Sandine, M.; Gibson, H.",1973-06,Stanley,"44.23, -114.92",sediment transport; sediment load; fish,"The following is a report of a study of sediment transport in stream channels and its effects on the aquatic biota. There are two major phases of this study, the laboratory stream channels and field studies of natural stream channels. This report summarizes our findings of the field studies for summer, 1972.",IWRRI,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197303,iwdl-bjornn_1973,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,256
"Investigation of natural sealing effects in irrigation canals. Research technical completion report, project A-023-IDA","Brockway, C. E.",1973-05,,,canal seepage; sediment; seepage control,"Results of a three year study on the factors contributing to natural sealing of irrigation canals and reservoirs are presented. Laboratory evaluations of the effect of sedimentation, microbiological activity and soil-water chemical reactions on the hydraulic conductivity of soils were performed. Particular emphasis was on the Portneuf silt-loam soil of southern Idaho. Techniques for determining and predicting the sediment entrapment in soils from hydraulic conductivity measurements in laboratory columns are presented. Application of a method utilizing soil clay content, exchangeable sodium percentage, and total salt concentration of irrigation water to predict hydraulic conductivity is evaluated. The effect of microbiological activity in the benthic area of canals and reservoirs on seepage rates is discussed. Field tests in an operating canal to monitor soil moisture tension, soil moisture and seepage rates during an irrigation season are outlined. Long term reducation in seepage rates of canals constructed in siltloam soils is due to the formation of an impeding layer on the canal bottom due primarily to sedimentation. Seasonal changes are predominantly affected by microbiological activity in the impeding layer.",IWRRI,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197305,iwdl-brockway_1973,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,257
Water cycle on a watershed in the Palouse Region of Idaho,"Davis, Darryl J.; Molnau, Myron",1973-12,Palouse,"46.81, -116.97",hydrologic cycle; water balance;,"The distribution of water in the hydrologic cycle within the Palouse region of Idaho is becoming a concern of the people in the region. A few investigations have been made to determine the distribution of water, but most of these have come up with only very rough estimates. During the 1969-70 water-year a rough water balance was made. It was determined that 25 inches of total precipitation was distributed 20% to runoff, 64% to evapotranspiration, and 16% to deep percolation. Some of the data used in this water balance were estimated or transposed rather than directly measured at the watershed. For this reason, the results obtained are considered an approximation of the distribution of water. During the 1970-71 water-year a better water balance was made. It was found that 27. 5 inches of total precipitation was distributed 23% to surface runoff, 56% to evapotranspiration, 18 1/2 % to deep percolation, and 2 1/2 % to an increase in soil moisture. All of these values are based on data collected at the watershed and are, therefore, considered a good representation of the distribution of water at the watershed.",IWRRI,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197311,iwdl-davis_1973,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,258
"Attitudes and opinions of recreationists towards Wild and Scenic Rivers: A case study of the St. Joe River. Scenic River Study, report no. 9, project no. C-33242-IDA","Christophersen, Kjell",1973-10,St. Joe,"47.33, -116.48",recreation; public opinion; surveys,"This report compiles information obtained from recreationists interviewed along the St. Joe River, regarding their attitudes and opinions of the proposed inclusion of the river in the National Wild and Scenic Rivers System. A sample of 350 randomly selected recreationists were interviewed. They were stratified into resident and non -resident categories for analytical purposes. Results of the survey revealed that large majorities of both resident and non-resident respondents were strongly or mildly in favor of including the entire river in the Wild and Scenic Rivers System. Their inclusion preferences were largely consistent with responses indicating a general desire to leave the area essentially as it is with little or no further development. In ranking recreational participation activities and other recreational features, the """"scenic beauty"""" category received the most """"excellent"""" votes. Few respondents gave any of the categories a """"poor"""" rating. The majority of resident and non-resident recreationists indicated a willingness to pay entrance fees if the inclusion of the river in the National Wild and Scenic Rivers System necessitated the imposition of user charges.",IWRRI,Scenic River Study; Water for Idaho,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197308,iwdl-christophersen_1973,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,259
Evaluation of techniques for determining average precipitation in semiarid valleys of Idaho,"Curtis, David Lawrence",1973-03,Raft River,"46.82, -115.58",precipitation; semiarid climates; mountains,"The Raft River Basin in southcentral Idaho and the Reynolds Creek Experimental Watershed in southwest Idaho were studied to determine precipitation distribution in an attempt to develop better isohyetal maps for somiarid mountain valleys . Due to gage mal functions in the Raft River network, only the data collected by the Agricultural Research Service on Reynolds Creek was analyzed. Two methods were used to determine precipitation distribution. The computer isohyetal method worked well on Reynolds Creek but should be used only where a dense gage network is available. The Thiessen method was preferred in areas where gages are relatively spread out. The Thiessen method, was also used to determine the relative accuracy of the mean precipitation estimate using less than the 45 gages available. A multiple-regression equation was developed for selecting the point precipitation measurements to be used in estimates of average precipitation on the Reynolds Creek Experimental Watershed. Results indicated that no fewer than 20 gages should be used to obtain a good estimate of average precipitation.",IWRRI,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197309,iwdl-curtis_1973,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,260
Precipitation gage placement in mountainous areas based on gage site characteristics,"Curtis, David Lawrence; Warnick, Calvin C.; Molnau, Myron; Rawlls, Walter J.",1973-09,Reynolds Creek Experimental Watershed,,gages; precipitation,"The objective of this study was to determine which, if any, physical parameters might be useful in gage placement and network design.  The area chosen for initial study was the Reynolds Creek watershed in southwester Idaho. The watershed has a dense gage network and is operated by the Northwest Watershed Research Center, Agricultural Research Service, USDA at Boise. The drainage areas is 233 sq. km and teh elevation ranges from 1097 m to 2252 m. About 75 percent of the mean annual precipitation occurs from October to April and is mainly in the form of snow. For presentation at the 1973 Fall Annual Meeting of the American Geophysical Union, San Francisco.",IWRRI,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197310,iwdl-curtis2_1973,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,261
Characteristics and prediction of soil Erosion on a watershed in the Palouse,"Druffel, Leroy",1973-05,Palouse,"46.81, -116.97",erosion rates; soil erosion,The objective of this project was to study the process of soil loss by water on this one watershed and determine the effect of various hydrologic parameters.,IWRRI,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197312,iwdl-druffel_1973,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,262
"Ozone treatment of waste effluent. Research technical completion report, OWRR project no. A-037-IDA","Furgason, R.R.",1973-04,,,wastewater treatment; ozone; industrial wastewater,"A portable ozone test unit was designed and built for use in treating liquid materials with ozone. Due to its powerful oxidation properties, ozone has a great deal of potential as a treatment system for liquid waste materials and water supplies. The portable test unit was constructed so that it could easily be transported to a field site for testing. Several applications used the ozone test unit. It was found that the dark brown, odorous wastes effluent from a kraft pulp mill could be satisfactorily decolorized and deodorized by the ozone. In addition, it was found that the material after ozonation was more biodegradable than before ozonation. The ozone test unit was also used to treat potable water supplies to remove iron and manganese and to reduce off odors and tastes. Tests run on the Moscow, Idaho, water supply demonstrated that ozone could effectively remove high concentrations of both iron and manganese (1- 5 mg/1 Fe and 0. 1 - 1 mg/lMg).",IWRRI,Water for Idaho,,"Idaho Water Resources Research Institute; IWRRI; Harding, Harvey L.; Smith, Michael A.; Langeland, A. Wesley",University of Idaho,University of Idaho,eng,197313,iwdl-furgason_1973,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,263
Ozone treatment of Kraft Mill effluents. Part I: general characteristics,"Furgason, R. R.; Harding, H. L.; Langeland, A. W.; Smith, M. A.",1973-09-09,,,wastewater treatment; ozone; industrial wastewater,"A number of different methods have been proposed and tried to treat the liquid effluents from pulp and paper mills. Conventional waste treat ment practices consist of primarily settling of solids followed by secondary biological degradation of the organic constituents. These waste materials contain substantial concentrations of lignin derivatives and other organic materials generated in the pulping, washing and bleaching operations of the plant. Although the primary and secondary treatment processes effectively remove a high percentage of the BOD of the waste, the dark-brown color and pungent odor still remain as does a significant amount of COD. Presentation transcript for the Fourth Joint Chemical Engineering Congress, American Institute of Chenmical Engineering, and Canadian Society for Chemical Engineering, Vancouver, B.C.",IWRRI,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197314,iwdl-furgason2_1973,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,264
"Statistical estimate of the demand for and value of outdoor recreation in the Sawtooth Valley and Mountain area, Idaho. USDS FS Project no. 44-297","Gilmour Jr., Campbell M.",1973-05,Sawtooth Valley,"43.88, -114.83",recreation; economic yield,"Outdoor recreation continues to increase as a major use of the natural resource base in the Sawtooth Valley and Mountain Area of southcentral Idaho. Rational resource allocation decisions require know ledge of the value resources have in alternative uses. A study was conducted during the summer recreational season to obtain the necessary information to statistically estimate the demand for and net economic value of recreation in the Sawtooth area. An ordinary least squares regression estimating procedure was employed to obtain the statistical demand estimate. The consumer's surplus approach was utilized to impute the net economic value of recreation. An aggregate consumer's surplus value of $2,627,813 was derived as an average value of $3.73 per visitor day. Despite the inherent limitations associated with recreational values imputed from recreational demand curves, the values derived therefrom potentially afford a valuable decision-making tool. Comparing all proposed recreational developments on a standardized basis provides a framework for more objective economic assessments of future recreational resource allocations of the natural resource base.",IWRRI,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197316,iwdl-gilmour_1973,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,265
"Some implications of the Federal Water Pollution Control Act Amendments of 1972 -- P.L. 92-500. Open-file series, no. 202","Gladwell, John S.",1973-10-10,,,water quality; legislation; water pollution,"Although the intensity of the desire for improved or maintained environmental quality has varied, the concern is clearly not a passing fad. In the United States it is now a national goal. The process of arriving at this goal, however, is not without: its difficulties. For example, I would imagine it would be difficult, if not impossible, to find a person or organization who would not be in favor of a clean and healthy environment. Bui it. is another matter entirely to get a consensus on who must give up some ''rights'' in order to give someone else some ''benefits''.  Presented at the 28th Annual Meeting, Pacific Northwest Region, American Society of Agricultural Engineers, Calgary, Alberta; Octover 10-12, 1973.",IWRRI,Water for Idaho,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197317,iwdl-gladwell_1973,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,266
"Discussions of the planning objectives for the Idaho State Water Plan. Summary report of water resources seminar, 1st semester 1974-75","Gladwell, John S.; Warnick, Calvin C.",1974-12,,,,"This report is a summary of the discussions that took place in an interdisciplinary graduate seminar that was conducted on the campus of the University of Idaho during the first semester of 1974-75. The topic was a review and analysis of the objectives specified by the Idaho Water Resource Board to be followed as a policy in the prepar ation of an Idaho Water Plan. The first six presentations were from state and federal agency leaders expressing their opinion and reactions to the objectives. Oral presentations followed by the graduate students, after which they submitted brief written comments expressing their own thoughts, ideas gained from reading and reactions to questions raised during the student presentation. This proved to be an out standing educational endeavor that brought numerous viewpoints forth in a quiet and objective atmosphere of inquiry. Brief statements of the important comments brought forth are summarized by the authors to reflect the important findings that should merit the attention of those who participated and the consideration of agencies concerned with water resource planning in the state and region.",IWRRI,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,,iwdl-gladwell2_1974-1,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,267
"Water pollution control -- action -- reaction -- inaction : (a view of several aspects of PL 92-500, the Federal water pollution control act amendments of 1972). Proceedings paper no. 303","Gladwell, John S.; Funk, William H.",1974-04,,,environmental impact statement; water pollution; resources development,"Proceedings of a joint water resources seminar of the University of Idaho and Washington State University, Spring 1974.  Each spring semester the University of Idaho and Washington State University traditionally hold a joint graduate water re sources seminar. A theme for the seminar is usually selected in accordance with an issue of importance to the Pacific Northwest .",IWRRI,,,"Idaho Water Resources Research Institute; IWRRI; Lackner, Jack D.; Chaill, Thomas E.; Petke, Daniel L.; Fiedler, Glen H.; Mansell, Gary; Rea, Paul W.; Smith, Robert E.; Esvelt, Richard; Ballard, F. Leon; Foote, Alden J.; Chaudhary, Talib Hussain",University of Idaho,University of Idaho,eng,197412,iwdl-gladwell3_1974,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,268
"A case study of a federal expenditures on a water and related land resource project; Plan of study subproject report. Boise Project, Idaho and Orgeon OWRR Title II contract C-4202-IDA","Haas, Wayne T.; Schermerhorn, Richard",1974-06,Boise Valley,"43.57, -116.44",case studies; expenditures;,"Modern technology, increased affluence and population growth have resulted in an expanding use of the nation's water and related land resources. The public is demanding better management and use of natural resources while at the same time the conflicting demands are creating more and more issues. Federal expenditures make up a substantial portion of all government expenditures in water development. This Plan of Study Subproject report presents an analysis of the federal role in water development and planning criteria; and the report proposes an approach for completing the ex-post analysis of the Boise Project in southwest Idaho and eastern Oregon. As a result of the work completed during the first year on the Plan of Study Subproject Study and the Hydrology and Economic History Support studies the following conclusions and recommendations are presented and discussed: --Ex-post analysis of a selected water resource project can contribute to more responsive planning, decision making and a better allocation of resources. --Ex-post analysis, structured so as to utilize the Principles and Standards,!/ will provide maximum utility to the planner. --Ex-post analysis should be structured following societal objectives rather than traditional water use functional objectives. The Principles and Standards, with modification can accommodate this approach. ' --The influence of exogenous forces on beneficial and adverse effects must be considered if a realistic appraisal is to be obtained through an ex-post analysis.",IWRRI,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197414,iwdl-haas_1974,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,269
"A water, nutrient and sediment budget for an Irrigated Farm in the Boise Valley","Carlson, Ronald D.",1974-06,Boise Valley,"43.57, -116.44",gravity flow; piezometers; evapotranspiration,"During the summers of 1971 and 1972 the Agricultural Engineering and Soils Departments of the University of Idaho conducted a study on a gravity irrigated farm in the Boise Valley. The purpose of this study was to determine the quantities of total solids and selected nutrient materials that were lost from the farm as a result of irrigation. In order to obtain the necessary data, measuring devices were installed in all ditches and equipped with stage recorders to obtain a continuous record of the flows entering and leaving the farm. Water samples of the head- and tailwater were collected during each irrigation set. Samples of the ground water were periodically collected from ten twelve-foot piezometers located on the farm. During 1972, four sets of solution samplers were installed in each field. Samples of the soil solution at various depths were collected from these samplers after each irrigation. All samples were quick-frozen and sent t o the laboratory for analysis. Each sample was analyzed for nitrate-nitrogen, ammonia, organic nitrogen, two forms of phosphorus and total solids. APHA Standard Methods and FWCA Standard methods were employed in making these analyses.",IWRRI,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197407,iwdl-carlson2_1974,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,270
"Relation of irrigation return-flows to water chemistry and periphyton in the Lemhi River, Idaho. Research technical completion report, project A-041-IDA","Halbach, Thomas; Falter, C. Michael",1974-08,Lemhi River,"44.97, -113.6",irrigation-return flow; bioassay; algal growth,"Irrigation development in the Lemhi Valley is related to both the chemical quality of the river water and the instream algal populations. Nitrate concentrations in the river peaked shortly after onset of irrigation in the spring, then decreased through the summer. Nitrates also decreased downriver due to high algal demand and possible dentrification within the soiL Phosphate concentrations increased more slowly than did nitrates after onset of irrigation but increased consistently downriver. In late August, soluble phosphates were seven to eight times more abundant at the mouth of the river than in the headwaters. Nitrate concentrations ranged from &lt;.10 in August to &gt;2.8 mg/1 in November, while phosphates ranged from .008 mg/1 in August to .098 mg/1 in July. Total dissolved solids increased downriver, and ranged from 140 mg/1 in May to 385 mg/1 in August.",IWRRI,,,Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197415,iwdl-halbach_1974,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,271
Methodology for in-stream rehabilitation of a silted stream,"Kelly, Thomas L.",1974-04,Emerald Creek,"47.06, -116.32",silting; rehabilitation; sediment control,"The purpose of this project was to develop methodology for rehabilitating streams where the fishery and other recreational uses have been destroyed or greatly reduced by heavy silting. Using Emerald Creek in northern Idaho as a study stream two types of in-stream modification structures, flow constrictors and drop structures, were designed, constructed and evaluated. Contour maps and thalweg profiles of the before and after modification conditions are presented for each of the five stream modification sites. Three drop structures were constructed at two sites on the upper reach of Emerald Creek. These structures concentrate the energy of the flow and scour a hole downstream of the structure. Considerations in the design of drop structures include forces on the structure, backwater caused by the structure, and depth of scour below the structure. In general the log drop structures per formed favorably. Scour holes formed downstream of two of the drop structures to a depth of 1.0 ft and 1.5 ft as compared to a predicted scour depth of 2.0 ft and 3.0 ft respectively. The scour holes were lined with rock from six to ten inches in diameter. The flow constricting structures were designed to reduce the width and increase the depth of flow during low flow periods to increase the sediment trans port capacity of the stream thus flushing the silts and fine sands from the modified reach leaving cobble and small boulders. Gabion deflectors were used at two sites on the lower reach of Emerald Creek to constrict the flow. Log dikes were used at one site to constrict the flow and train the stream to follow a meandering flow path. Design considerations for flow constrictors include forces on the structure, location of structure, meander dimensions, and constriction dimensions. The performance of the gabion constrictors was acceptable at one site. Silts and sands were removed from the reach leaving cobble and boulders. Performance at the other gabion constrictor site was fair. Small amounts of silt and sand were re moved from the reach. Cobble and small boulders moved into the constricted flow area from an upstream riffle. The log dikes used to form a meandering flow pattern during low flow appeared to be functioning as planned but were removed by high flows before analysis of the modification was completed. A method for measuring the streambed hydraulic conductivity using standpipes is suggested as a means for determining the change in bed characteristics resulting from deposition of silt. Calibration curves for the standpipes were developed in the laboratory for future testing in the field.",IWRRI,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197416,iwdl-kelly_1974,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,272
Appendix to a report of aquaculture in the United States with partiuclar reference to Idaho. Research technical completion report. IDWR Project 45-080,"Klontz, George W.; King, John G.",1974-09,,,fish farming; water quality; flow pattern,"This supplement to the Report on Aquaculture in the United States with Particular Reference to Idaho contains a list of the commercial food fish farms in Idaho. Together with the list is an aerial photograph of each, a description of the water quality and quantity used by each, and a diagramatic outline of each facility to illustrate the water flow pattern. Finally, the questionnaires used during the 1973 and 1974 surveys are included to illustrate the types of data gathered.",IWRRI,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197417,iwdl-klontz_1974,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,273
Aesthetics of wild and scenic rivers and methodological approach,"Michalson, E.L.",1974-10,,,public opinion; surveys; aesthetics,The aesthetics subproject had two specific objectives; these were to: 1. Define outstandingly scenic areas of the potential and instant wild rivers in Idaho. 2. Develop a method of quantifying aesthetic experiences.,IWRRI,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197419,iwdl-michalson_1974,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,274
"An economic analysis of changes in irrigation practices in Jefferson County, Idaho","Milliner, John E.",1974-08,Jefferson County,"43.79, -112.25",water table rise; economic impact; farming,This study analyzed the economic effects of solving a high water table problem in southeastern Idaho near the town of Rigby. The objectives were to analyze the present farm situation and then to determine the feasibility of solving the problem by decreasing water use at the farm level.,IWRRI,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197420,iwdl-milliner_1974,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,275
Sediment transport through high mountain streams of the Idaho Batholith,"Neilson, David R.",1974-04,,,sediment-carrying capacity; particle size; sediment discharge,"The objectives of this study were to determine the carrying-capacity, allowable amounts of sediment and methods to measure levels of fine sediments of 0.25 inches or finer in mountain streams in the Idaho Batholith. The sources and the effects of the sand size sediments once they leave the mountain Batholith streams are not considered. Sediment discharge during the high water event of 1973, a year of minimal peak discharge, was insignificant. Projected transport rates using the Meyer-Peter, Muller formula, which shows good agreement with empirical data for Batholith streams, is presented. The allowable amount of fine sediments to enter these streams was determined by a sediment budget within limits established by the aquatic managers. A method of visually classifying the streambed, used by aquatic entomologists, correlated well with core samples for determining streambed composition. The study revealed new areas of investigation and needs additional supporting data of its findings.",IWRRI,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197421,iwdl-neilson_1974,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,276
Development of a digital groundwater model with application to aquifers in Idaho,"Sonneville, Joseph Leonardus Johannes De",1974-08,Boise Valley,"43.57, -116.44",watershed models; aquifer evaluation; geohydrolic boundaries,"Investigations of water resources systems involving groundwater simulation are generally data-scarce projects. Insufficient geohydrologic data severely inhibits simulation of historic water table behavior. A finite difference model is expanded to include iterative procedures to adjust the initial estimates of geohydrological parameters (transmissibility, leakance factor, head difference in leaky aquifer system and storage coefficient) to match historic aquifer behavior. The model includes a mass balance calculation routine, a routine to simulate open surface drains and aroutine to calculate flow across hydraulically connected boundaries, such as a lake or stream. The parameter calibration routine as well as all other routines were tested and successfully applied to the gravel aquifer of the Snake River fan in eastern Idaho and the basalt aquifer of the Snake River plain in southern Idaho. The operational model successfully simulated the historic water table behavior in the aquifers and provides a reliable tool for studying effects of water management changes on aquifer behavior for research, planning or administrative purposes. The dissertation contains 52 references",IWRRI,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197409,iwdl-sonneville_1974,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,277
Impact of legal constraints on ground-water resource development in Idaho,"Ralston, Dale Roger",1974-09,,,legislation; water resources development; administration,Ground-water management in Idaho is based on the appropriation doctrine of water law. Legislative phrases such as ''full economic development...reasonable ground-water pumping levels...(and) reasonably anticipated average rate of future natural recharge'' are the basis for ground-water administration. This thesis provides an analysis of possible administrative actions utilizing a mathematical model of a selected water resource system.,IWRRI,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197423,iwdl-ralston_1974,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,278
Analysis of the impact of legal constraints on groundwater resource development in Idaho,"Ralston, Dale Roger",1974-09,,,legislation; water resources development; administration,"The appropriation doctrine of water law is the basis for groundwater administration in a number of western states. The broad statements presented in individual state statutes are the guidelines for control of the development and location of new wells and the continued operation of existing wells. These guidelines have generally been satisfactory for the period of time when the groundwater resource was being developed. However, many states are now facing conditions of well interference, declining water levels and basin overdraft which require administrative management decisions. The broad guidelines must be interpreted and quantified for resource administration. This report presents an analysis of groundwater management alternatives possible under the broad guidelines of the appropriation doctrine as expressed in the legal code for Idaho.",IWRRI,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197424,iwdl-ralston2_1974,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,279
