title,creator,description,date,subject,source,ids,publisher,format-original,type,format,location,latitude,longitude,object-id
PFI States View on Dam Land Suit,,Congress authorized Bruce's Eddy dam on the North Fork of the Clearwater River,11/2/1963,Congress; Bruce's Eddy; North Fork; Clearwater River;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-092,Lewiston Morning Tribune,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,905
Congressional Resolution,,"Congress authorizes the Secretary of the Interior to construct, operate and maintain the Trinity River division, Central Valley project, California, under Federal reclamation laws.",7/13/1955,,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-015,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,41
Congress Has Signed Death Warrant for North Fork Wildlife,,Congress Has Signed Death Warrant for North Fork Wildlife,10/13/1962,Rock Work; ,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-095,,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,911
"Bruce's Eddy Could Be Started in 1962, Corps Official Says",,Congress provides authorization and funds for the Bruce's Eddy.,10/20/1960,Congress; Bruce's Eddy;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-083,Lewiston Morning Tribune,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,887
Letter from the Corps of Engineers,"Connell, Richard M.",Connel thanks Bert Curtis for a previous letter,12/1/1970,"bert curtis; Connell, Richard M.;  Corps of Engineers;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-068,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,172
Letter to Bert Curtis,"Connell, Richard M.",Connell apologizes for missing a meeting with Curtis,8/24/1971,"bert curtis; Connell, Richard M.; Corps of Engineers;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-078,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,197
Letter from the Corps of Engineers,"Connell, Richard M.",Connell comments on the newspaper clippings sent by Bert Curtis,2/17/1971,"bert curtis; Connell, Richard M.;  Corps of Engineers;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-071,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,177
Correspondence between Richard Connell and Bert Curtis,"Connell, Richard M.; Curtis, Bert",Connell thanks Curtis for all of his work with the Dworshak Dam ; Curtis wishes Connell well in his future projects,6/20/1973,"bert curtis; Connell, Richard M.; Corps of Engineers; ","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-080,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,207
"Construction of Bruce's Eddy Could Start Next Year, Beddow",,Construction workers will be ready to move in next summer if Congress gives the final signal now for building of Bruce's Eddy dam on Clearwater River.,10/13/1962,Construction; Bruce's Eddy;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-087,,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,895
Clearwater Dams Dispute Seen Heading Wildlife Meet,,Controversy over proposed construction of two dams on the Clearwater river,1/9/1954,Clearwater river; Dams;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-014,Idaho Daily Statesman,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,753
"Corps of Engineers Map showing power plants, dams, and rivers in the NW",Army Corps of Engineers,"Corps of Engineers Map showing power plants, dams, and rivers in the NW",   1960,Army Corps of Engineers; dams; snake river;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-1a-006,Army Corps of Engineers,Map,text,application/pdf,Dworshak Dam (Idaho),,,1016
Engineers Survey of Sites in Northwest Given Approval,,Corps of Engineers of eight hydroelectric site surveys soon to be conducted in the Snake River Basin,8/27/1953,Corps of Engineers; Snake River Basin;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-111,Union Bulletin,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,943
Bruces Eddy Bill,"Smith, Allan A.",Cover letter for the Bruces Eddy Bill,1/5/1956,Bruces Eddy;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-020,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,25
Public Recreation Use Civil Works Projects,Corps of Engineers Department of the Army,"Cover of Public Recreation Use. Quote from President Kennedy. The Corps of engineers playing an important part in the national program.  Public facilities available on project lands.  190,000 watercraft.  1415 picnic grounds.  3660 guest rental units.  Cooperation with state and local governmental agencies.  Summary of reported attendance on project lands.  Map or recreation areas.  List of summary sheet 1961.  List of address of district engineer offices.  Information on where to find additional information.",1962-05,Army Corps of Engineers; recreation,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-1a-012,A.B. Curtis,Brochure,text,application/pdf,Dworshak Dam (Idaho),,,1080
Things to do today,"Curtis, Bert [?]",Curtis [?] writes a joke on a calendar,6/2/1965,Joke; Calendar;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7b-048,,,text,application/pdf,Dworshak Dam (Idaho),,,454
Telephone conversation between Bert Curtis and Henry Dworshak,"Curtis, Bert and Dworshak, Henry",Curtis and Dworshak discuss the possibility of passing the Bruce's Eddy legislation,6/22/1955,"bert curtis; Dworshak, Henry; Bruces Eddy;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7b-020,,,text,application/pdf,Dworshak Dam (Idaho),,,277
Telephone conversation between Bert Curtis and Kinsey Robinson,"Curtis, Bert and Kinsey, Robinson",Curtis and Robinson discuss whether or not Bruce's Eddy will be constructed as a federal project or a private/public partnership.,3/22/1956,"bert curtis; Robinson, Kinsey; Bruces Eddy;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7b-023,,,text,application/pdf,Dworshak Dam (Idaho),,,315
Telephone conversation between Bert Curtis and Kinsey Robinson,"Curtis, Bert and Kinsey, Robinson",Curtis and Robinson discuss whether or not Bruce's Eddy will be constructed as a federal project or a private/public partnership.,3/8/1956,"bert curtis; Robinson, Kinsey; Bruces Eddy;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7b-022,,,text,application/pdf,Dworshak Dam (Idaho),,,320
A letter to Paul H. Symbol,"Curtis, Bert",Curtis asks symbol for comments on commending the Idaho Legislature on the Bruces Eddy Project,12/15/1960,"bert curtis; Symbol, Paul H.; Bruces Eddy;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-045,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,109
Speech given to the US Senate,"Curtis, Bert",Curtis delivers a speech to the Senate in support of the Bruce's Eddy Project,7/1/1965,"bert curtis; Bruces Eddy; Orofino; US Senate","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7b-053,,,text,application/pdf,Dworshak Dam (Idaho),,,489
Letter to Max Tysor,"Curtis, Bert",Curtis discusses dedication ceremonies for the Dent and Grandad Bridges,5/17/1971,"bert curtis; Tysor, Max K.;  Corps of Engineers; Dent Bridge; Grandad Bridge;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-074,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,191
A letter to Henry Dworshak,"Curtis, Bert","Curtis explains the economic situation in North Idaho, expresses shock that no Omnibus Bill has been introduced, and invites Senator Dworshak to a cabin retreat.",7/17/1962,"bert curtis; Dworshak, Henry; Pfost, Gracie; Omnibus Bill; Bruces Eddy;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-058,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,147
A letter to Gracie Pfost,"Curtis, Bert",Curtis expresses thanks for Pfosts work on pushing the Bruces Eddy Project,6/25/1962,"Pfost, Gracie; bert curtis; Bruces Eddy; McNichols, Ray;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-053,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,135
A telegram to Frank Church,"Curtis, Bert",Curtis expresses thanks for the work Senator Frank Church has done on behalf of the Bruces Eddy project,10/11/1962,"bert curtis; Church, Frank; Bruces Eddy;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-059,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,149
A letter to Henry Dworshak,"Curtis, Bert",Curtis informs Dworshak of federal plans to maintain control of the reservior shoreline,5/18/1962,"bert curtis; Dworshak, Henry; Bruces Eddy;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-049,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,125
A letter to James Beddow,"Curtis, Bert",Curtis inquires about the bridge over Benton Creek,5/18/1962,"bert curtis; Beddow, Jim; Bruces Eddy;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-048,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,116
Bruce's Eddy--local interest,"Curtis, Bert",Curtis speaks to the Inland Empire Section of the Society of American Foresters on the Bruce's Eddy project,10/5/1962,"bert curtis; Bruces Eddy; Society of American Foresters;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7b-030,,,text,application/pdf,Dworshak Dam (Idaho),,,375
Dworshak Dam Project 69 (Diversion tunnel),,"Dam site and diversion tunnel has been started from both ends. Note on back: 'The tunnel met exactly in the middle of the ridge. You can see the coffer dam just being started on the lower end and Orofino is in the distance. Clearing has been done on both sides. Murphy Bros. has built the road.'",1965,  dam site; diversion tunnel; started; both ends; middle; ridge; coffer dam; lower end; Orofino; clearing; Murphy Bros.; built; road,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00800,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,555
Clearwater Dam Foes Organize,,Dam that would block the river to slam and steelhead,11/25/1953,Clearwater Dam;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-004,Lewiston Morning Tribune,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,733
The New Upstream Look,,Decisions affecting the economy of the Pacific Northwest in the recent days.,8/18/1957,Decisions; Pacific North West;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-030,Columbia Comment,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,785
Orofino CC Asks Support for Four Clearwater Projects,,Delegates of the Orofino Chamber of Commerce attended a joint meeting of the roads and highways and waterways,10/23/1953,Delegates; Orofino Chamber; Highways; Waterways;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-118,Spokane Daily Chronicle,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,957
Unity of Support Sought by Backers of Four Dams,,Delegates of the Orofino Chamber of Commerce attended a joint meeting of the roads and highways and waterways,10/23/1953,Delegates; Orofino Chamber; Highways; Waterways;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-119,Spokane Daily Chronicle,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,959
Are Wildlife Objections Overstated?,,Department objections to dams proposed on the Clearwater River,11/14/1953,Department; Proposed; Clearwater River;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-040,Lewiston Morning Tribune,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,805
Seaton Pledges New Try For Study Funds,,"Department will try again in the next session of Congress to get $196,000 for making a study of the Pleasant Valley dam site on the Snake River",10/18/1958,Congress; Pleasant Valley Dam; Snake River;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-032,,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,789
Bruce's Eddy Wins Highest Praise From Gen. Itschner,,Describing Bruce's Eddy as the best flood control project in the Northwest.,7/24/1958,Bruce's Eddy; Flood control; Northwest;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-080,,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,881
Boise Meeting to Bring Water Policies Planners,,Determine how much power and irrigation water the Pacific northwest,1/10/1954,Dams; Columbia Basin;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-015,Idaho Daily Statesman,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,755
Dworshak Dam Project 77 (Telephoto lens),"Curtis, A.B. Orofino","Diversion tunnel, fish catching facility, etc. Taken in May-telephoto lens",1968-05,  May; diversion tunnel; fish catching facility,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00828,,color photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,563
Dworshak Dam Project 64 (Diversion work),,"Diversion work started, also shows some clearing.",1966,  diversion work; clearing; started,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00795,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,550
"Drilling Will Cost $400,000 At Dam; Better Phone Service Assured by Dec. 15",,"Drilling Will Cost $400,000 At Dam; Better Phone Service Assured by Dec. 15",11/8/1962,Dam; Drilling; Phone Service;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-085,Lewiston Morning Tribune,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,891
Dworshak Dam Project 35 (Construction),,"During early construction stages a road was built up the south side of the river to the contractors shops location. Note on back: 'Land clearing has started at elevation 1605 on the distant hills. This will be the pool level.'",1965,  early construction; road; south side; contractors shops; land clearing; hills,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00759,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.513913,-116.297579,520
A letter from Henry Dworshak,"Dworshak, Henry",Dworshak advises Curtis that it might be wise to send a representative to Washington when the bill comes to a vote.,6/15/1962,"Dworshak, Henry; bert curtis; Bruces Eddy;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-055,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,139
"Federal Government Entering Land Grab Era, Curtis Says",,Dworshak dam faces a dilemma farther north in the Coeur d'Alene mining district,11/13/1964,Dworshak; Construction; mining;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-099,,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,919
Honor-Winning Bridge in Idaho,,Dworshak Dam has won American Steel Construction Institute honor,11/5/1972,Dworshak; American Steel Construction Institute;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-144,The Spokesman-Review,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,996
Dworshak Dam Preparation Work is Progressing Well,,Dworshak Dam Preparation Work is Progressing Well,7/24/1967,Dam;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-064,,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,851
A letter from Henry Dworshak,"Dworshak, Henry",Dworshak explains that a congressional vost on Bruces Eddy wil likely not happen in the current session of congress,6/27/1962,"Dworshak, Henry; bert curtis; Bruces Eddy;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-054,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,137
A letter from Henry Dworshak,"Dworshak, Henry",Dworshak informs Curtis that wildlife groups may be able to hold up the Bruces Eddy Project in the US House of Representatives. Attached is a transcript of remarks between Senator Henry Dworshak and Herbert G. West; at the Subcommittee on Appropriations,5/22/1962,"bert curtis; Dworshak, Henry; Bruces Eddy;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-050,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,128
A letter from Henry Dworshak,"Dworshak, Henry",Dworshak inquires about resistance to the Bruces Eddy project on the part of fish and wildlife enthusiasts. Included is a General guide to Capitol and surrounding buildings. The location of Senator Dworshak's office is indicated,7/23/1962,"bert curtis; Dworshak, Henry; Bruces Eddy; Fish and wildlife; Capitol Building; Office;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-057,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,144
Letter to Bert Curtis,"Dworshak, Henry",Dworshak sends Curtis a copy of a letter he received from the Assistant Chief of Engineers concerning the status of the Middle Snake Report,7/16/1954,"bert curtis; Dworshak, Henry, Ischner, E.C.; Bruces Eddy","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7b-012,,,text,application/pdf,Dworshak Dam (Idaho),,,244
Dworshak Dam Project 53 (Senator Dworshak),,Early days of the attempt for authorization for dam. Mr. Curtis & Senator Dworshak are shown in Senate Hearing Room,7/17/1956," July 19,  authorization; Curtis; Senator Dworshak; Senate Hearing Room","PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00782,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),38.889859,-77.008935,540
Dworshak Dam Project 34 (Early-day view),,Early-day view of the proposed site. Note the foot bridge & eddy.,1952,  site; foot bridge; eddy,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00758,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,522
Discuss River Report,,Engineer is to discuss the Middle Snake River report prepared by the Walla Walla District.,2/7/1954,Engineer; Walla Walla District; Snake River;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-076,,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,875
"Board Approves Extension of Fish, Wildlife Projects",,Extension of fish wildlife projects is approved by the board,1/12/1954,Wildlife; Board; Fish;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-022,Idaho Daily Statesman,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,769
Letter to the Clearwater Dams Association,"Shepard, Alfred C.; Curtis, Bert","F.S. Smithers and Company inquires about the progress of the Bruces Eddy Project and Curtis' response, explaining the state of the Bruces Eddy Project",5/15/1957,"bert curtis; Bruces Eddy; Clearwarer Dams Association;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-042,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,102
Eddy Survey Defended,John Corlett,Favored appropriation of funds for engineering studies of the proposed Bruce's Eddy Dam on the Clearwater River,9/16/1957,Bruce's Eddy Dam,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-002,,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,728
2 Clearwater Dams 'Bucked',,Federal fish and wildlife service may recommend against construction of two proposed dams in the Clearwater river in Idaho,1/1/1954,Fish; Wildlife; Clearwater river; Dams;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-075,,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,873
Dworshak Dam Project 50 (Concrete),"Cronk & Associates, Angwin, Ca.","First bucket of concrete by Dravo Corp., the general contractors. Note on back: 'J.L. Wixson, project manager for Dworshak Dam Constructors, pulls the cord and releases the first bucket of concrete in Dworshak Dam. The big bucket holds 8 cubic yards of concrete. (Note to editors: This picture was shot shortly in advance of official 'first bucket' ceremony.) From Duane L. Cronk & Associates, 100 Bush St., San Francisco 94104  For:  Dravo Corporation, 225 108th N.E., Bellevue, Washington 98004'",1968,  bucket; concrete; Dravo Corp.; contractors,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00778,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.513913,-116.297579,537
Clearwater River Flood Control Regarded As A needed Element,John Corlett,Flood control for the Clearwater River,11/23/1953,Clearwater River; Flood;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-003,Lewiston Morning Tribune,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,731
Politically Speaking,John Corlett,Flood control for the Clearwater River,11/22/1953,John Corlett; Dams; Dredges;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-036,Idaho Sunday Statesman,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,797
Dworshak Dam Impact Viewed Tremendous,Bill Hall,Frank D. McElwee urged northern Idaho leaders not to underestimate the impact of the Dworshak dam.,7/17/1965,Frank D. McElwee; Idaho;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-082,Lewiston Morning Tribune,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,885
"Former Bovill mayor, 91, Dies at Nursing Home",,Frank W. Mallory died at the Latah County Nursing Home,12/30/1971,Frank W. Mallory; Died; Latah County; Nursing Home;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-142,,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,992
Curtis Praised For Efforts in Promoting Dworshak Dam,,Friday for his part in promoting construction of Dworshak Dam at Ahsahka,7/24/1958, Ahsahka;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-074,,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,871
Notice of public hearing,"Giesen, Robert J.","Geisen sends an open invitation for a public hearing on the development and management of Dworshak dam, to be held in Orofino. Included, is information on the development of the dam, future uses, public access, and wildlife habitat",4/14/1969," Giesen, Robert; Wildlife habitat; Corps of Engineers; Orofino;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7b-041,,,text,application/pdf,Dworshak Dam (Idaho),,,448
Dworshak Dam Project 56 (Orofino airport),,"Gen. Hyzer & Col. McElwee at Orofino Airport. They frequently came in for conference. Also shown is A.B. Curtis, Mayor of Orofino",1965,  Gen. Hyzer; Col. McElwee; Orofino; airport; conference; A.B. Curtis; Mayor of Orofino,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00785,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.491877,-116.274018,542
Dworshak Dam Project 55 (Gen. Hyzer),,Gen. Hyzer & Col. McElwee were in on Dworshak Project all the way in the beginning,1965,  Gen. Hyzer; Col. McElwee; beginning,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00784,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.513913,-116.297579,541
Dworshak Dam Project 44 (Gen. Hyzer),,"Gen. Hyzer speaks at the ground-breaking program. Note on back: 'Left to right: Lt. Gov. William E. Drevlow; Senator Len B. Jordan; Mrs. Jordan; Jack Carter (one of the contractors); Master of Ceremonies A.B. Curtis, Mayor of Orofino; Don Basgen, and Col. McElwee.'",1966,  ground-breaking; General Hyzer; Lt. Gov. William E. Drevlow; Senator Len B. Jordan; Mrs. Jordan; Jack Carter; contractor; Master of Ceremonies; A.B. Curtis; Mayor of Orofino; Don Bosgin; Col. McElwee,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00771,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.513913,-116.297579,530
Dworshak Dam Project 8 (General Yates),"U.S. Army Engineer District, Walla Walla, Corps of Engineers","General Yates gave his ideas on the project. Note on back: 'There was some input on the project and they [Engineers] received it very well - mighty considerate. Mr. Curtis, left, introduced the General and the press is working.'",1965,  General Yates; Curtis; press,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00701,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.491877,-116.274018,709
