objectid,title,description,creator,date,subject,,subject (lcsh),keywords,digital collection,source,findingaid,identifier,digital identifier,rights,rightsstatement,format original,type,language,format,cdm_url,cdmid
spec_ji345,Boats in a harbor,Boats in a harbor.,"Iddings, John Edward",1927,transport; transportation; boats; harbor,,,"transport, transportation",John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 034",106-1-34,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/345,345
spec_ji346,Two women and a man in front of tombs,Two women and a man standing at the entrance of what appears to be a tomb in the style of the pyramids.,"Iddings, John Edward",1927,tombs -- Egypt; Great Pyramid (Egypt); travel,,Tombs -- Egypt; Great Pyramid (Egypt);,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 011",0106-1-11,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/346,346
spec_ji347,Group of people in front of a building,"Group of men, women, children, and a dog posing outside a residential building. No individuals able to be identified.","Iddings, John Edward",1927,crowd; group; people,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 012",0106-1-12,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/347,347
spec_ji348,Street parade,Women follow behind a group of individuals carrying feather topped poles.,"Iddings, John Edward",1927,parade; crowd; city,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 035",106-1-35,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/348,348
spec_ji349,Stable,A building. Inscription in Italian above one of the doors reads: Stalla (stable).,"Iddings, John Edward",1927,building; stables; structures,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 040",106-1-40,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/349,349
spec_ji350,Men carrying heavy containers,Three men leaning on sticks carrying loaded bags on their shoulders. Behind them what appears to be a man unloading a donkey. (1 duplicate.),"Iddings, John Edward",1927,people; donkeys; supplies,,,"transport, transportation",John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 041",106-1-41,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/350,350
spec_ji351,Facade of a building [01],Facade of a building in Italy.,"Iddings, John Edward",1927,buildings; Italy; structures,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 042",106-1-42,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/351,351
spec_ji352,Plants in pots,People looking at pots of plants and flowers arranged on the ground on a street.,"Iddings, John Edward",1927,people; flowers; shops,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 043",106-1-43,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/352,352
spec_ji353,Panoramic view of a city,"Panoramic view of Florence, Italy.","Iddings, John Edward",1927,city; Florence (Italy); buildings; structures,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 044",106-1-44,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/353,353
spec_ji354,Maud Iddings in front of a cathedral,Maud Iddings poses in front of New College of University of Oxford in the United Kingdom.,"Iddings, John Edward",1927,United Kingdom; college; university,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 045",106-1-45,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/354,354
spec_ji355,Men judging a pig,"Men observing a pig, likely for purchasing consideration. (1 duplicate.)","Iddings, John Edward",1927,livestock; pigs; livestock show,,Livestock;,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 036",106-1-36,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/355,355
spec_ji356,Facade of a building [02],Facade of a building in the distance in an unknown location. Two men are seen in the foreground.,"Iddings, John Edward",1927,buildings; people; structures,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 046",106-1-46,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/356,356
spec_ji357,Bullock cart [05],"A loaded bullock cart pulled by three oxen, with driver.","Iddings, John Edward",1927,oxen; livestock; transport; transportation,,Oxen; Livestock;,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 047",106-1-47,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/357,357
spec_ji358,Passengers looking at a cow,Passengers in a train looking at a cow through the windows of a passenger train.,"Iddings, John Edward",1927,passenger trains; cows; livestock; travel; people,,Passenger trains; Cows; Livestock;,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 048",106-1-48,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/358,358
spec_ji359,Dock,A dock without ships or boats moored.,"Iddings, John Edward",1927,dock; harbor; water; ships; boats,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 049",106-1-49,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/359,359
spec_ji360,Woman and a girl carrying baskets,A woman and a girl carrying baskets on their heads. An iron gate can be seen in the background.,"Iddings, John Edward",1927,people; baskets; supplies,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 050",106-1-50,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/360,360
spec_ji361,Two goats on a rock,Two goats on a steep rock.,"Iddings, John Edward",1927,goats; mountains; forest,,Goats;,goats,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 051",106-1-51,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/361,361
spec_ji362,Straw houses,"Straw houses, huts in an unknown location.","Iddings, John Edward",1927,dwellings; structures; buildings,,Dwellings;,dwelling,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 052",106-1-52,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/362,362
spec_ji363,Straw-thatched houses,"Straw-thatched houses, huts in an unknown location.","Iddings, John Edward",1927,dwellings; structures; buildings,,Dwellings;,dwelling,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 053",106-1-53,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/363,363
spec_ji364,Women working on a shore,"Women working on a shore, with bundles of an unidentified plant material near the water.","Iddings, John Edward",1927,people; shoreline; water,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 054",106-1-54,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/364,364
spec_ji365,People and cars in front of a building,People and cars gathered in front of a building in an unknown location.,"Iddings, John Edward",1927,crowd; people; buildings; structures,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 037",106-1-37,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/365,365
spec_ji366,View of a rural scene,"A distance view of a rural scene, with men working in fields.","Iddings, John Edward",1927,fields; workers; people,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 055",106-1-55,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/366,366
spec_ji367,Farm building with no roof,A farm building either under construction or after having the roof removed.,"Iddings, John Edward",1927,barns; structures; buildings,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 056",106-1-56,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/367,367
spec_ji368,Farm building,"A farm building, built using logs and shake shingles.","Iddings, John Edward",1927,barns; structures; buildings,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 057",106-1-57,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/368,368
spec_ji369,Boat being pulled through a canal,A boat with a passenger on board is pulled through a canal by a man walking along the shore.,"Iddings, John Edward",1927,boats; transport; transportation,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 058",106-1-58,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/369,369
spec_ji370,Maud Iddings on a shore,"Maud Iddings poses on a shore, alongside other persons and a four wheeled carriage pulled by horses.","Iddings, John Edward",1927,transport; transportation; horses; carts,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 059",106-1-59,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/370,370
spec_ji371,Building with a garden,A building with a landscaped garden in the foreground.,"Iddings, John Edward",1927,dwellings; structures; buildings,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 060",106-1-60,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/371,371
spec_ji372,Building [01],A side view of an unidentified building entrance.,"Iddings, John Edward",1927,dwellings; structures; buildings,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 061",106-1-61,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/372,372
spec_ji373,Building [02],A building in the distance on the crest of a hill.,"Iddings, John Edward",1927,dwellings; structures; buildings,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 062",106-1-62,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/373,373
spec_ji374,Maude and E.J. Iddings in front of a church,Maude and E. J. Iddings posing in front of an old church building.,"Iddings, John Edward",1927,church; ruins; structures,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 038",106-1-38,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/374,374
spec_ji375,Two wheeled low trunk carriage in front of hostel,Two-wheeled low trunk carriage parked in front of a hostel. A sign in French on the door of the building advertises rooms for rent. Two girls and a dog are seen on the street.,"Iddings, John Edward",1927,transport; transportation; street; cart,,,"transport, transportation",John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 039",106-1-39,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/375,375
spec_ji376,Sheep pasture [01],Sheep grazing in a pasture.,"Iddings, John Edward",1927,sheep; livestock; pasture,,Sheep; Livestock;,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 067",106-1-67,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/376,376
