title,description,creator,donor,contributor,date,date is approximate,subject,country,state,county,city,latitude,longitude,relation,publisher,source,identifier,rights,rightsstatement,format original,type,format,language,filename,oclc number,Date created,Date modified,Reference URL,cdmid,CONTENTdm file name,CONTENTdm file path,objectid
Arthur and Alice Strong wedding portrait,Arthur and Alice McClure Strong's wedding picture,,Gary Strong,Potlatch Historical Society,1917-01-01,yes,portraits; couples; weddings,United States,Idaho,Latah County,Potlatch,47.004917,-116.927022,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Latah County Common Heritage Collection - https://www.lib.uidaho.edu/digital/lcheritage/index.html,CH_StrongG_037,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/NoC-US/1.0/",https://creativecommons.org/publicdomain/mark/1.0/,photograph,Image;StillImage,image/jpg,eng,,,2017-10-02,2017-10-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1770,1770,1771.jp2,/phs/image/1771.jp2,phs1770
Arthur Dwight Strong,Graduation portrait of Arthur Dwight Strong.,,,Potlatch Historical Society,1937,,portraits;men;,United States,Idaho,Latah County,Mountain Home,47.02517865,-116.9323624,,,,phs_243,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,photograph,Image;StillImage,image/jpg,eng,phs_243.jpg,,2021-07-16,2021-07-16,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/2127,2127,2076.jp2,/phs/image/2076.jp2,phs2127
Arthur Dwight Strong as a Child,Photo of young Arthur Dwight Strong in suspenders.,,G. Strong,Potlatch Historical Society,1923,yes,child; trees,United States,Idaho,Latah County,Deep Creek,47.006383,-116.935107,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",,CH2018_StrongG2_009,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/NoC-US/1.0/",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2018-10-19,2018-10-19,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1880,1880,1881.jp2,/phs/image/1881.jp2,phs1880
Arthur Strong and Alice McClure Strong,Photo of Arthur and Alice (McClure) strong,,G. Strong,Potlatch Historical Society,1945,yes,people; blinds,United States,Idaho,Latah County,Deep Creek,47.007361,-116.930191,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",,CH2018_StrongG2_020b,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2018-10-19,2018-10-19,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1894,1894,1895.jp2,/phs/image/1895.jp2,phs1894
Arthur Strong and Durell Nirk,Arthur Strong and Durell Nirk stand wearing hats in front of a house.,,Gary Strong,Potlatch Historical Society,1938-01-01,yes,men; houses,United States,Idaho,Latah County,Potlatch,47.026679,-116.89404,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Latah County Common Heritage Collection - https://www.lib.uidaho.edu/digital/lcheritage/index.html,CH_StrongG_038,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/InC-EDU/1.0/",http://rightsstatements.org/vocab/InC-EDU/1.0/,photograph,Image;StillImage,image/jpg,eng,,,2017-10-02,2017-10-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1612,1612,1613.jp2,/phs/image/1613.jp2,phs1612
Arthur Strong Family,"Arthur Strong (left) and his family. Family members include Dwight Strong, Howard Strong, Elizabeth Strong, and Velma Strong.",,,Potlatch Historical Society,1925,yes,families;portraits;children;,United States,Idaho,Latah County,Mountain Home,47.02517865,-116.9323624,,,,phs_104,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,photograph,Image;StillImage,image/jpg,eng,phs_104.jpg,,2021-07-16,2021-07-16,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/2065,2065,1922.jp2,/phs/image/1922.jp2,phs2065
"Arthur, Vangie, Lois, Fred Strong",Photo of Strong family members,,G. Strong,Potlatch Historical Society,1940,yes,people; couches; lamps,United States,Idaho,Latah County,Deep Creek,47.006196,-116.932766,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",,CH2018_StrongG2_002,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2018-10-19,2018-10-19,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1873,1873,1874.jp2,/phs/image/1874.jp2,phs1873
Athol Depot,"The NP&I Railroad depot at Athol, Idaho.",,,Potlatch Historical Society,,,depots;buildings;railroads;,United States,Idaho,Latah County,Athol,47.94801595,-116.7081855,,,,phs_128,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,photograph,Image;StillImage,image/jpg,eng,phs_128.jpg,,2021-07-16,2021-07-16,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1968,1968,1964.jp2,/phs/image/1964.jp2,phs1968
Atop the Dam,Five men working on top of the dam.,,,Potlatch Historical Society,1955-11-01,yes,dam; employees; work,United States,Idaho,Latah County,Potlatch,46.922006,-116.909254,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Later Photos, Potlatch Historical Society",LaterPhotos_p032a,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/413,413,1370.jp2,/phs/image/1370.jp2,phs413
Augir Homestead,Harriosn and Clarence Augir Homestead of 1877,,"Rohn, Joe",Potlatch Historical Society,1892-01-01,,homesteads; fields; houses,United States,Idaho,Latah County,Potlatch,46.925027,-116.895298,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Latah County Common Heritage Collection - https://www.lib.uidaho.edu/digital/lcheritage/index.html,CH_RohnJ_026,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/NoC-US/1.0/",https://creativecommons.org/publicdomain/mark/1.0/,scrapbook page,Image;StillImage,image/jpg,eng,,,2017-10-02,2017-10-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1749,1749,1750.jp2,/phs/image/1750.jp2,phs1749
Augir Homestead a century later,The Augir homestead as seen in 2003.,,"Rohn, Joe",Potlatch Historical Society,2003-01-01,,fields,United States,Idaho,Latah County,Potlatch,46.925027,-116.895298,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Latah County Common Heritage Collection - https://www.lib.uidaho.edu/digital/lcheritage/index.html,CH_RohnJ_027,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/InC-EDU/1.0/",http://rightsstatements.org/vocab/InC-EDU/1.0/,scrapbook page,Image;StillImage,image/jpg,eng,,,2017-10-02,2017-10-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1727,1727,1728.jp2,/phs/image/1728.jp2,phs1727
August Leistner Family,August Leistner family in their home.,,,Potlatch Historical Society,1910,yes,families;portraits;,United States,Idaho,Latah County,East Deep Creek,47.00537456,-116.9223929,,,,phs_185,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,photograph,Image;StillImage,image/jpg,eng,phs_185.jpg,,2021-07-16,2021-07-16,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/2030,2030,2071.jp2,/phs/image/2071.jp2,phs2030
Automobile Races at Riverside Park,Poster for Autombile Races at Riverside Race Track.,,,Potlatch Historical Society,1939,yes,automobiles;cars;races;posters;advertisements;,United States,Idaho,Latah County,Kennedy Ford,46.9354306,-116.946778,,,,phs_206,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,photograph,Image;StillImage,image/jpg,eng,phs_206.jpg,,2021-07-16,2021-07-16,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1910,1910,2106.jp2,/phs/image/2106.jp2,phs1910
Automobile Repair Shop,"A photograph of the automobile repair shop, a service car, and a car being serviced.",,,Potlatch Historical Society,1925,yes,Automobile Repairs,United States,Idaho,Latah County,Potlatch,,,Gale File,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Town, Potlatch Historical Society",Gale_Town_83a,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/NoC-US/1.0/",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1213,1213,786.jp2,/phs/image/786.jp2,phs1213
Automobile Repair Shop,Cars sit outside of the automobile repair shop at the Potlatch Mercantile.,,,Potlatch Historical Society,1915,yes,cars;automobiles;buildings;,United States,Idaho,Latah County,Potlatch,46.92144292,-116.8980925,,,,phs_103,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,photograph,Image;StillImage,image/jpg,eng,phs_103.jpg,,2021-07-16,2021-07-16,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/2141,2141,1949.jp2,/phs/image/1949.jp2,phs2141
Background of the founding of the Potlatch Library,"Continuation of the front page article, including three more columns, one about the grand opening, another about time capsules in the library, and the last about a memorial for r a former librarian.",,,Potlatch Historical Society,2000-02-03,,Education; Community; Building and Construction; Memorial,United States,Idaho,Latah County,Potlatch,46.927646,-116.902319,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Town 2, Potlatch Historical Society",Gale_Town2_51,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,newspaper,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1344,1344,903.jp2,/phs/image/903.jp2,phs1344
Bailing crew (1),Fritz Leistner Baling Crew near Palouse,,"Rohn, Joe",Potlatch Historical Society,1923-01-01,yes,farming; horses,United States,Idaho,Latah County,Potlatch,46.925027,-116.895298,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Latah County Common Heritage Collection - https://www.lib.uidaho.edu/digital/lcheritage/index.html,CH_RohnJ_010b,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/NoC-US/1.0/",https://creativecommons.org/publicdomain/mark/1.0/,scrapbook page,Image;StillImage,image/jpg,eng,,,2017-10-02,2017-10-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1554,1554,1555.jp2,/phs/image/1555.jp2,phs1554
Bailing crew (2),"Fritz Leistner Baling Crew on home place. Jolson's Model-T Ford. 1. Edith Kisling, 2. Walt Kislig, 3. Fritz Leistner",,"Rohn, Joe",Potlatch Historical Society,1920-01-01,yes,farming; horses,United States,Idaho,Latah County,Potlatch,46.925027,-116.895298,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Latah County Common Heritage Collection - https://www.lib.uidaho.edu/digital/lcheritage/index.html,CH_RohnJ_011,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/NoC-US/1.0/",https://creativecommons.org/publicdomain/mark/1.0/,scrapbook page,Image;StillImage,image/jpg,eng,,,2017-10-02,2017-10-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1531,1531,1532.jp2,/phs/image/1532.jp2,phs1531
Bailing crew (3),Fritz Leistner Baling on Home Place,,"Rohn, Joe",Potlatch Historical Society,1920-01-01,yes,farming; horses,United States,Idaho,Latah County,Potlatch,46.925027,-116.895298,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Latah County Common Heritage Collection - https://www.lib.uidaho.edu/digital/lcheritage/index.html,CH_RohnJ_012,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/NoC-US/1.0/",https://creativecommons.org/publicdomain/mark/1.0/,scrapbook page,Image;StillImage,image/jpg,eng,,,2017-10-02,2017-10-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1533,1533,1534.jp2,/phs/image/1534.jp2,phs1533
Baling Hay at the Bysegger Place,A group of men uses early farming machinery to bale hay at the Bysegger place.,,,Potlatch Historical Society,1910,yes,farming;men;machinery;,United States,Idaho,Latah County,East Deep Creek,47.00537456,-116.9223929,,,,phs_071,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,photograph,Image;StillImage,image/jpg,eng,phs_071.jpg,,2021-07-16,2021-07-16,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/2116,2116,1948.jp2,/phs/image/1948.jp2,phs2116
Baling Hay on the Ike Miller Place,A group of men bales hay with the Bysegger baler on the Ike Miller place.,,,Potlatch Historical Society,1910,yes,machinery;men;horses;animals;farming;,United States,Idaho,Latah County,East Deep Creek,47.00537456,-116.9223929,,,,phs_188,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,photograph,Image;StillImage,image/jpg,eng,phs_188.jpg,,2021-07-16,2021-07-16,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/2017,2017,2078.jp2,/phs/image/2078.jp2,phs2017
Baling hay on the Nirk property,"Bysegger hay baler, baling hay on the John Nirk place. John Nirks team of horses",,Gary Strong,Potlatch Historical Society,1920-01-01,yes,equipment; hay,United States,Idaho,Latah County,Potlatch,47.027446,-116.892148,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Latah County Common Heritage Collection - https://www.lib.uidaho.edu/digital/lcheritage/index.html,CH_StrongG_034,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/NoC-US/1.0/",https://creativecommons.org/publicdomain/mark/1.0/,photograph,Image;StillImage,image/jpg,eng,,,2017-10-02,2017-10-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1543,1543,1544.jp2,/phs/image/1544.jp2,phs1543
Baling Timothy Hay,A photograph of a team of farmers baling timothy hay near Potlatch on the J.P. Volmer farm.,,,Potlatch Historical Society,1925,yes,Farm; Hay; Harvest; Baling,United States,Idaho,Latah County,Potlatch,,,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Town 2, Potlatch Historical Society",Gale_Town2_33,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/NoC-US/1.0/",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1315,1315,878.jp2,/phs/image/878.jp2,phs1315
Band Saw Elevator,A photograph of an elevator device used to raise and lower band saws from the filing room down to the head rigs so they can be changed in five minutes or less.,,,Potlatch Historical Society,1920,yes,Sawmill Machinery,United States,Idaho,Latah County,Potlatch,46.922281,-116.07683,Potlatch Corporation,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Plant, Potlatch Historical Society",Gale_Plant_23,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/726,726,347.jp2,/phs/image/347.jp2,phs726
Band Saw Number One,Employees working the Number One band saw at the sawmill.,,,Potlatch Historical Society,1915,yes,Sawmill; saw; employees; lumber,United States,Idaho,Latah County,Potlatch,46.922281,-116.907683,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Supplement, Potlatch Historical Society",Gale_Supplement_40a,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1046,1046,635.jp2,/phs/image/635.jp2,phs1046
"Bank, Post Office, and Opera House","a photograph of the bank, post office, and opera house building.",,,Potlatch Historical Society,1915,yes,bank; building; opera; post office,United States,Idaho,Latah County,Potlatch,46.921447,-116.899847,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Supplement, Potlatch Historical Society",Gale_Supplement_53b,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1080,1080,666.jp2,/phs/image/666.jp2,phs1080
Banquet in Gymnasium,A photograph of a banquet in the gymnasium for an unknown occasion.,,,Potlatch Historical Society,1915,yes,Banquet; Gymnasium,United States,Idaho,Latah County,Potlatch,46.922084,-116.900942,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Town 2, Potlatch Historical Society",Gale_Town2_21b,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1294,1294,859.jp2,/phs/image/859.jp2,phs1294
Barn,A photograph of a barn.,,,Potlatch Historical Society,1915,yes,barn; building,United States,Idaho,Latah County,Potlatch,46.920732,-116.906275,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Supplement, Potlatch Historical Society",Gale_Supplement_55a,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1086,1086,671.jp2,/phs/image/671.jp2,phs1086
Barnes School,A 1910 school in the Rock Creek area south of Potlatch. The Barnes School was consolidated with the Banner School to form Rock Creek School sometime before 1920.,,,Potlatch Historical Society,1910,yes,Barnes School;schools;buildings;,United States,Idaho,Latah County,Rock Creek,,,,,,phs_005,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,photograph,Image;StillImage,image/jpg,eng,phs_005.jpg,,2021-07-16,2021-07-16,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/2120,2120,1984.jp2,/phs/image/1984.jp2,phs2120
Barnhart Log Loaders,"A document by Hartford Product, Inc. discussing a kit they were producing for the Barnhart Log Loader. The document also shows a photo of a loader that as been rusting away in a field near Elk River, Idaho.",,,Potlatch Historical Society,1994,yes,documents; equipment,United States,Idaho,Clearwater County,Elk River,46.77707,-116.17127,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_82b,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,document,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/153,153,1136.jp2,/phs/image/1136.jp2,phs153
Barnhart Log Loaders,"A document by Hartford Product, Inc. discussing a kit they were producing for the Barnhart Log Loader.",,,Potlatch Historical Society,1994,yes,documents; equipment,United States,Idaho,Latah County,,,,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_82a,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,document,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/154,154,1137.jp2,/phs/image/1137.jp2,phs154
Barnhart Log Loaders,"A document by Hartford Product, Inc. discussing a kit they were producing for the Barnhart Log Loader. The document also shows photos of the Potlach Lumber Company mill site in Elk River, Idaho.",,,Potlatch Historical Society,1994,yes,mills; equipment,United States,Idaho,Clearwater County,Elk River,46.77707,-116.17127,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_82c,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,document,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/155,155,1138.jp2,/phs/image/1138.jp2,phs155
Baseball Flyer for Potlatch vs. Farmington,"Photo of flyer promoting a baseball game between Farmington and Potlach for the day of June 25, 1911. Photo downloaded from Facebook January 2018",,G. Strong,Potlatch Historical Society,1911-06-25,,baseball; flyer; potlatch; farmington; sports,United States,Idaho,Latah County,Potlatch,46.924971,-116.894943,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",,CH2018_StrongG1_003,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2018-10-19,2018-10-19,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1820,1820,1821.jp2,/phs/image/1821.jp2,phs1820
Battery Powered Motors,A photograph of employees and dog with the yard loco's battery bowered 32 volt motors.,,,Potlatch Historical Society,1915,yes,Lumber Yard; transportation,United States,Idaho,Latah County,Potlatch,,,Potlatch Corporation,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Plant, Potlatch Historical Society",Gale_Plant_53a,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/838,838,448.jp2,/phs/image/448.jp2,phs838
Beales Butte Operations,Logging occurring near Beales Butte. Men can be seen walking amongst the many logs that are scattered on the ground of the forest.,,,Potlatch Historical Society,1915,yes,forests; logs; logging,United States,Idaho,Latah County,,43.392055,-121.92002,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Woods 2, Potlatch Historical Society",Gale_Woods2_14a,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/177,177,1158.jp2,/phs/image/1158.jp2,phs177
Beales Butte Operations,Logging occurring near Beales Butte. Logs can be seen laying on the ground of the small hill and a small piece of equipment can be seen at the bottom of the hill.,,,Potlatch Historical Society,1915,yes,machines; logging,United States,Idaho,Latah County,,43.392055,-121.92002,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Woods 2, Potlatch Historical Society",Gale_Woods2_14b,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/178,178,1159.jp2,/phs/image/1159.jp2,phs178
Before: Smokestacks and Structures,A photograph of three structures with three smokestacks behind them.,,,Potlatch Historical Society,1915,yes,smokestacks; structures; mountain,United States,Idaho,Latah County,Potlatch,46.921938,-116.906794,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Supplement, Potlatch Historical Society",Gale_Supplement_05a,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,color image,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/987,987,582.jp2,/phs/image/582.jp2,phs987
