title,date,date is approximate,description,subject,source,location,latitude,longitude,subject (lcsh),format original,donor,identifier,digital collection,format,type,rights,rightsstatements,filename,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
Ladies Club,1923,,"The Bovill Ladies Club at the Macabee Convention at Coeur d'Alene, ID. Front, l to r: Mabel White, Maud Frick, June Clark Hanson, Anna Hays, Laura Chilton, Esther Chilton, Louise Hale, Lizette Miller Munsch, Nellie Smith, Kate Wallen Back row, l to r: Maud Greenwood, Orpha Chrystal, May Denevon, ?, Wingarde, Lori Boll, Edith Bailey, Mae Tarbox, Emma Galloway",women; clubs,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,groups of people;clubs (associations),black and white photographs,Judy Kilmer for Naomi Parker,02-11-002,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/35,35,130.jp2,/lchsphotos/image/130.jp2,lchsphotos35
The 1928 Bovill High School Basketball Team,1928,,"The Bovill High School basketball team.  (left to right) back row: Junior Crystal, Earl Alden, Tomie Groh, Mu Click (coach) Kenneth Bolls front row: Lee Witty, Glen Tarbox, Robert Waldron, Muriel Hays The team lost only 1 game all season.",basketball players; teams,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,basketball players;sports,black and white photographs,Jeanette Talbot,02-11-003,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/36,36,131.jp2,/lchsphotos/image/131.jp2,lchsphotos36
Bovill High School Football Team,1936,y,The Bovill High School football team.,students; teams,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,football (sports);high school students;sports,black and white photographs,Museum of North Idaho,02-11-004,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/37,37,132.jp2,/lchsphotos/image/132.jp2,lchsphotos37
Football Team,1936,,The Bovill High School football team.,students; teams,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,football (sports);high school students;sports,black and white photographs,Museum of North Idaho,02-11-005,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/38,38,133.jp2,/lchsphotos/image/133.jp2,lchsphotos38
The 1948 Bovill High School Basketball Team,1948,,Bovill High School basketball team.,basketball players; teams,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,football (sports);high school students;sports,black and white photographs,,02-11-007,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/39,39,134.jp2,/lchsphotos/image/134.jp2,lchsphotos39
Bovill Students,1946,,Bovill's grade school students standing outside the school. The teacher was Phyllis Cox Nelson.,students; teachers,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,elementary school students,black and white photographs,Linda Nelson,02-11-006,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/40,40,135.jp2,/lchsphotos/image/135.jp2,lchsphotos40
1947 class of Bovill Grade School Students Standing Outside,1947,,Bovill's grade school students standing outside the school.,students; children,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,elementary school students,black and white photographs,Linda Nelson,02-11-008,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/41,41,136.jp2,/lchsphotos/image/136.jp2,lchsphotos41
1933 Class of Bovill 3rd and 4th Grade Students,1933,,Bovill's third and fourth grades students.,students; children,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,elementary school students,color photographs,Dawn Nelson,02-11-009,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/42,42,137.jp2,/lchsphotos/image/137.jp2,lchsphotos42
"1946 Class of Bovill 6th, 7th, and 8th Grade Students",1946,,"Bovill's sixth, seventh, and eighth grade students.",students; children,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,elementary school students,black and white photographs,Phyllis Cox Nelson,02-11-010,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/43,43,138.jp2,/lchsphotos/image/138.jp2,lchsphotos43
1957 class of Bovill Grade School Students Standing Outside,1957,,Bovill's grade school students standing outside the school.,students; children,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,elementary school students,black and white photographs,Linda Nelson,02-11-011,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/44,44,139.jp2,/lchsphotos/image/139.jp2,lchsphotos44
Men Move Hay at the Bovill Ranch,1918,y,Two men moving hay at the Bovill ranch.,men; hay; ranches,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.860063,-116.395995,bale hay loader;ranches (agricultural complexes),scrapbooks,,02-01-012,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/45,45,14.jp2,/lchsphotos/image/14.jp2,lchsphotos45
"1949 Class of Bovill 6th, 7th, and 8th Grade Students",1949,,"Bovill's sixth, seventh, and eighth grade students.",students; children,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,elementary school students,black and white photographs,Linda Nelson,02-11-013,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/46,46,140.jp2,/lchsphotos/image/140.jp2,lchsphotos46
Bovill Grade School Students Standing Outside the School,1957,,Bovill's grade school students standing outside the school.,students; children,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,elementary school students,black and white photographs,Linda Nelson,02-11-014,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/47,47,141.jp2,/lchsphotos/image/141.jp2,lchsphotos47
"1947 Class of Bovill 6th, 7th, and 8th Grade Students",1947,,"Bovill's sixth, seventh, and eighth grade students.",students; children,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,junior high school students,black and white photographs,Linda Nelson,02-11-015,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/48,48,142.jp2,/lchsphotos/image/142.jp2,lchsphotos48
"Bovill Students from 6th, 7th, and 8th Grade",1948,,"Bovill's sixth, seventh, and eighth grade students. First row (l to r): Gary O'Keefe, Clifford Harp, Russell Barnes, Leonard Hunderhich. Second row (l to r): Wilma Vigue, Helen Johnson, Mahine Dawson, Rebecca Brady, Jeanne Smith, Marion Eller. Third row (l to r): Billy Musch, Manley Waldon, Alvie Estes, Don Vigue, Ronnie Black, Dannah Steel, Dallace Kellom. Fourth row (l to r): Rose Estes, Loiuse Ingnam, Frances Crane, Clara Court, Darlene White, Loett Nelson, Klea Crane, Marilyn Hays, Miss. Cox.",students; children,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,junior high school students,black and white photographs,Linda Nelson,02-11-016,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/49,49,143.jp2,/lchsphotos/image/143.jp2,lchsphotos49
1936 Class of Bovill 5th and 6th Grade Students,1936,,Bovill's fifth and sixth grade students.,students; children,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,junior high school students,black and white photographs,Linda Nelson,02-11-012,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/50,50,144.jp2,/lchsphotos/image/144.jp2,lchsphotos50
"1959 Class of Bovill 6th, 7th, and 8th Grade Students",1959,,"Bovill's sixth, seventh, and eighth grade students.",students; children,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,junior high school students,color photographs,Linda Nelson,02-11-017,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/51,51,145.jp2,/lchsphotos/image/145.jp2,lchsphotos51
Bovill Graduation [01],1947,,"Students pose for a picture on a platform during graduation. Second from left is Loette Nelson, youngest sister of Dawn (Don) Nelson.",students; graduation,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,high school students;graduation ceremonies,black and white photographs,Linda Nelson,02-11-019a,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/52,52,146.jp2,/lchsphotos/image/146.jp2,lchsphotos52
Bovill Graduation [02],1947,,"Students sit on a platform during graduation. Second from left is Loette Nelson, youngest sister of Dawn (Don) Nelson.",students; graduation,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,high school students;graduation ceremonies,black and white photographs,Linda Nelson,02-11-019b,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/53,53,147.jp2,/lchsphotos/image/147.jp2,lchsphotos53
1958 class of Bovill Grade School Students,1958,,"Bovill's grade school students, grades 1-8.",students; children,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,elementary school students,color photographs,Linda Nelson,02-11-018,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/54,54,148.jp2,/lchsphotos/image/148.jp2,lchsphotos54
Bovill Teacher Phyllis Cox Nelson,1959,,"Bovill teacher, Phyllis Cox Nelson, poses for a picture in front of cupboards with a notebook in hand.",teachers,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,teachers,color photographs,Linda Nelson,02-11-020a,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/55,55,149.jp2,/lchsphotos/image/149.jp2,lchsphotos55
City of Bovill,1918,y,A truck drives on the street in Bovill's residential area.,houses; trees; streets,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,residential structures;roads;,black and white photographs,The Idahonian,02-01-013,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/56,56,15.jp2,/lchsphotos/image/15.jp2,lchsphotos56
Bovill Teacher Phyllis Cox Nelson smiling,1959,y,"Bovill teacher, Phyllis Cox Nelson smiles for a picture.",teachers,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,teachers,black and white photographs,Linda Nelson,02-11-020b,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/57,57,150.jp2,/lchsphotos/image/150.jp2,lchsphotos57
1959 Class of Bovill 1st and 2nd Grade Students,1959,,Bovill's first and second grade students.,students; children,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,elementary school students,color photographs,Linda Nelson,02-11-021,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/58,58,151.jp2,/lchsphotos/image/151.jp2,lchsphotos58
"Bovill 6th, 7th, and 8th Grade Students",1959,,"Bovill's sixth, seventh, and eight grade students.",students; children,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,junior high school students,color photographs,Linda Nelson,02-11-022,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/59,59,152.jp2,/lchsphotos/image/152.jp2,lchsphotos59
1959 Bovill Grade School Students,1959,,"Bovill's grade school students, grades 1-8.",students; children,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,elementary school students;junior high school students,color photographs,Linda Nelson,02-11-023,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/60,60,153.jp2,/lchsphotos/image/153.jp2,lchsphotos60
Flood,1933,,Electric crew in a boat during the Bovill flood of 1933.,floods,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,floods (natural events),black and white photographs,A S Turner and Schupfer family,02-01-014,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/61,61,16.jp2,/lchsphotos/image/16.jp2,lchsphotos61
Bovill from the Highway,1933,,View of the city of Bovill from the highway with houses and trees in the background.,houses; trees; streets,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,residential structures;roads;trees,black and white photographs,Dick Beck,02-01-015,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/62,62,17.jp2,/lchsphotos/image/17.jp2,lchsphotos62
Slabtown,1912,,"Slabtown located one mile north of Bovill, covered in houses and trees.",houses; trees,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.873336,-116.393802,residential structures;roads;trees,black and white photographs,,02-01-016,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/63,63,18.jp2,/lchsphotos/image/18.jp2,lchsphotos63
Aerial view of Bovill. [01],1933,y,Aerial view of Bovill.,cities; houses; trees,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,aerial photographs,color photographs,Museum of North Idaho,02-01-018,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/64,64,19.jp2,/lchsphotos/image/19.jp2,lchsphotos64
Dirt Road,1905,y,Dirt Road leading into the town of Bovill.,roads; houses,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,roads;dirt roads,postcards,,02-01-002,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/65,65,2.jp2,/lchsphotos/image/2.jp2,lchsphotos65
Aerial view of Bovill. [02],1933,y,Aerial view of Bovill.,cities; houses; trees,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,aerial photographs,postcards,,02-01-019,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/66,66,20.jp2,/lchsphotos/image/20.jp2,lchsphotos66
Bovill Hotel and the Tamaki Cabin,1908,,Bovill Hotel before the store (on right) was added on to it. Tamaki Cabin on the left.,businesses; hotels; cabins; trees,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,hotels (public accommodations);cabins (houses),black and white photographs,,02-02-001,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/67,67,21.jp2,/lchsphotos/image/21.jp2,lchsphotos67
People on Main Street before the 1914 Fire,1915,y,"Bovill Main Street, lined with stores, before the fire of 1914.",businesses; streets,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,main street;storefronts,black and white photographs,,02-02-003,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/68,68,22.jp2,/lchsphotos/image/22.jp2,lchsphotos68
Snow on Bovill's Main Street,1915,y,"Bovill Main Street, lined with stores and with some snow on the ground.",businesses; streets,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,main street;storefronts,black and white photographs,Mike Fritz,02-02-004,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/69,69,23.jp2,/lchsphotos/image/23.jp2,lchsphotos69
