title,description,creator,date,date is approximate,subject,coverage,latitude,longitude,digital collection,contributing institution,identifier,rights,rightsstatement,format-orignal,type,format,language,file name,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
Arbor Notes May 2005,This May publication includes the subject headings: Art in the Shattuck Arboretum; Master Plan; Barred Owl Graces Arboretum; Report from the Horticulturist; New Access into the Shattuck Arboretum; Annual Meeting; Plant Sale; Campus Tree Research - a Cooperative Effort; Palouse Prairie Native Plants in the Xeriscape Garden; Upcoming Events.,"Lloyd, John; Swift, Charles; Warnick, Paul",2004-05,y,associations; arboretums; newsletters; xeriscapes; gardening; planting; horticulture; Strigiformes (order),United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.724532,-117.014508,Arbor Notes,University of Idaho Arboretum Associates,FY05-ARB-ArborNotes-May2005,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/26,26,33.pdf,/arbornotes/image/33.pdf,arbornotes26
Arbor Notes February 2006,This February publication includes the subject headings: Shattuck Ledger Article; American Hemerocallis Society Display Garden; Arboretum Plant Sale Continues to Grow; Summer Breezes and Sweet Sounds - Summer Concert Draws Record Crowd; Message from the President; Three Fine Fall Flowers; Arboretum Associates Donor Roll; Arboretum Associates Response to Ballfield Location; Email Newsletter; Report from the Horticulturist; A Short Book Notice - Review: A Great Gift Book.,"Bowler, Bill; Fisher, Joy; Naskali, Richard; Roby, Kris; Warnick, Paul",2006-02,y,associations; arboretums; newsletters; parks (recreation areas); musical performances; perennials; horticulture,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.715322,-117.016925,Arbor Notes,University of Idaho Arboretum Associates,FY06-ARB-ArborNotes-February2006,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/27,27,34.pdf,/arbornotes/image/34.pdf,arbornotes27
Arbor Notes May 2006,This May publication includes the subject headings: Realization of a Vision - 15 Years After the Zinser-Mackin Wedding; Integrated Pest Management; Arboretum Associates Funded Projects for 2006; Upcoming Events; Historic Grove Gets New Recognition; Idaho Big Trees in the Shattuck Arboretum; Two Special Honors for Meriwether Lewis and William Clark; Annual Plant Sale Coming Soon; Report from the Horticulturist.,"Bechinski, Ed; Hanson, Donna; Naskali, Richard; Nittolo, Steve; Warnick, Paul",2006-05,y,associations; arboretums; newsletters; weddings (ceremonies); anniversaries; pest control; groves (plant communities); horticulture,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.725464,-117.012401,Arbor Notes,University of Idaho Arboretum Associates,FY06-ARB-ArborNotes-May2006,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/28,28,35.pdf,/arbornotes/image/35.pdf,arbornotes28
Arbor Notes March 2007,"This March publication includes the subject headings: Wildlife in the UI Arboretum; Plant sale preparations; Making a gift to support the Arboretum; Arboretum Advisory Board tackles issues; Report from the Horticulturist; Arboretum Associates celebrate 30 year anniversary at Annual Meeting April 19, 2007; Lauren Springer Ogden; Arboretum Associates donor roll; University of Idaho Arboreta bird list; Survival of the Wollemi pine; Invasive plants and animals; Calendar of events.","Gray, Terry; Hanson, Donna; Johnston, Marlene; Naskali, Richard; Warnick, Paul",2007-03,y,associations; arboretums; newsletters; anniversaries; Pinus (genus); flora (plants); fauna; Aves (class); officers (administrators); horticulture; construction,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.721316,-117.015764,Arbor Notes,University of Idaho Arboretum Associates,FY07-ARB-ArborNotes-March2007,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/29,29,36.pdf,/arbornotes/image/36.pdf,arbornotes29
Arbor Notes December 2007,This December publication includes the subject headings: Arboretum Ponds I: A Short History of the UI Arboretum Ponds; Her View: Autumn is a Time of Fruits and Berries; Plant Sale; Message from the President; Arboretum Associates Donor Roll; Annual Meeting; Report from the Arboretum Horticulturist; Arboretum Ponds II: Current Challenges; Arboretum Associates Projects; What's Cutting Notches on Leaves of My Garden Shrubs.,"Brown, Judith L.; Fisher, Joy; Leander, Jan; Naskali, Richard J.; Taruscio, Gina; Warnick, Paul",2007-12,y,associations; arboretums; newsletters; gardening; horticulture; ponds (water); autumn; construction; perennials; annuals,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.720805,-117.016288,Arbor Notes,University of Idaho Arboretum Associates,FY08-ARB-ArborNotes-December2007,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/30,30,37.pdf,/arbornotes/image/37.pdf,arbornotes30
Arbor Notes December 2008,This December publication includes the subject headings: Treasures in the Arboretum; a New Collection with an Historical Twist; A Traveler's Tribute to the Arboretum; Message from the President; Arboretum Experience Pays Off; Arboretum Associates Annual Meeting; Gardeners Brave Cold Weather to Support Arboretum; Arboretum Associates Donor Roll; New Donor Policy Approved; Report from the Horticulturist; The Last Leaf of Fall Asks the First Snowflake to Dance: Homage to a Granite Bench; Summer Breezes and Sweet Sounds; University of Idaho Provost Approves Restructuring of Arboreta Academic Support.,"Carman, Brittney; Kok, Hans; Leander, Jan; Naskali, Richard J.; Rhoades, Beverly; Roberts, Tara; Warnick, Paul; Yaghi, Adam",2008-12,y,associations; arboretums; anniversaries; musical performances; poetry; Pinus (genus); gardening; planting; horticulture,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.719275,-117.017572,Arbor Notes,University of Idaho Arboretum Associates,FY09-ARB-ArborNotes-December2008,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/31,31,38.pdf,/arbornotes/image/38.pdf,arbornotes31
Arbor Notes April 2009,"This April publication includes the subject headings: The Arboretum Barn at 101 Years Old; Annual Meeting Scheduled for April 30th Conifer Expert Don Howse Keynote Speaker; Contemporary Botanical Art at the Prichard Art Gallery, May 29 to July 25, 2009; Arboretum Associates Annual Plant Sale; Madagascan Orchids on Charles Darwin's Birthday; Report from the Horticulturist; David Douglas, the Pacific Northwest, and the Tallest Trees in Great Britain and the USA; Calendar of Events; Asian Pergola Project; Message from the President; Six Wildflowers Vignettes.","Leander, Jan; Naskali, Richard J; Warnick, Paul",2009-04,y,associations; arboretums; anniversaries; Orchidaceae (family); barns; Pinus (genus); pergolas; planting; horticulture,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.714427,-117.017903,Arbor Notes,University of Idaho Arboretum Associates,FY09-ARB-ArborNotes-April2009,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/32,32,39.pdf,/arbornotes/image/39.pdf,arbornotes32
Arbor Notes 1985,"This publication includes the subject headings: President's Report; Committee Report; Noteworthy; Everything's Coming Up Perennials; Pine, Fir Seedlings Planted.","Kochan, Walt",1985,y,associations; perennials; pinus (genus); fir (genus),United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.724897,-117.01623,Arbor Notes,University of Idaho Arboretum Associates,FY86-ARB-ArborNotes-1985,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/33,33,4.pdf,/arbornotes/image/4.pdf,arbornotes33
Arbor Notes December 2009,"This December publication includes the subject headings: Cloning the Shattuck Giant Sequoia; President's Report; Naming the Shattuck Giant Sequoia Clone; Campus Conifer Curiosities; Leaning Trees in the Shattuck Arboretum; Additions to the UI Presidential Grove on the Administration Building Lawn: President F.W DeKlerk Plants a Tree in the UI Presidential Grove; The Arboretum Associates Annual Plant Sale; Arboretum Associates Donor Roll; My Internship; Two Fine 2009 Books for Wintertime Study and 2010 Garden Planning; Lillian Pethtel (1912-2009), First President, UI Arboretum Associates; Report from the Horticulturist; Charles Houston Shattuck's Moscow Arrival 100 Years Ago; Mossy Rose Galls.","Bromley, Keith; Leander, Jan; Moosman, Beth; Naskali, Richard J.; Warnick, Paul",2009-12,y,associations; arboretums; Sequoiadendron giganteum (species); Coniferophyta (division); horticulture; gardening; planting; anniversaries; Rosaceae (family),United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.724049,-117.013792,Arbor Notes,University of Idaho Arboretum Associates,FY10-ARB-ArborNotes-December2009,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/34,34,40.pdf,/arbornotes/image/40.pdf,arbornotes34
Arbor Notes May 2010,"This May publication includes the subject headings: Dr. Charles Houston Shattuck's Legacy to Idaho and the World; Pergola Project - A Dream Realized; The Shattuck Giant Sequoia Has a Name; Idaho Wildflowers: State Laws and Personal Ethics; An Album of Spring Wildflowers of Northern Idaho: Where and When to Find Them; Report from the Horticulturist; Message from the President; Thirty-third Annual Meeting of the Arboretum Associates; Annual Plant Sale - June 5, 2010.","Burnett, Karen Trujillo; Fisher, Joy; Leander, Jan; Naskali, Richard J.; Warnick, Paul",2010-05,y,associations; arboretums; anniversaries; pergolas; construction; Sequoiadendron giganteum (species); annuals; horticulture; planting; gardening,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.724083,-117.014352,Arbor Notes,University of Idaho Arboretum Associates,FY10-ARB-ArborNotes-May2010,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/35,35,41.pdf,/arbornotes/image/41.pdf,arbornotes35
Arbor Notes December 2010,"This December publication includes the subject headings: The North America-China Plant Exploration Consortium (""""NACPEC""""); Some Plants Growing on the Asian Style Pergola; Message from the University of Idaho President, M. Duane Nellis; Arboretum Associates Donor Roll; City of Moscow Wisescape Award; Historic Tree Donation; New Happenings in the Shattuck Arboretum; Report from the Arboretum Associates President; Report from the Horticulturist.","Brewer, Christina R.; Leander, Jan; Naskali, Richard J.; Nellis, M. Duane; Warnick, Paul",2010-12,y,associations; arboretums; pergolas; consortia; horticulture; planting; gardening,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.722202,-117.01586,Arbor Notes,University of Idaho Arboretum Associates,FY11-ARB-ArborNotes-December2010,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/36,36,42.pdf,/arbornotes/image/42.pdf,arbornotes36
Arbor Notes April 2001,"This April publication includes the subject headings: Dan Hinkley to Speak April 26, 2001 at Arboretum Associates 24th Annual Meeting; News from the Arboretum Director; The Board of Directors Will be Presenting the Following Changes for Vote at the Annual Meeting April 26, 2001; Xeriscape Demonstration Garden; The Show Seasons at the University of Idaho Arboretum and Botanical Garden; Literary Quotations on Existing Arboretum Benches; Summer Concerts to be Scheduled; Change to Membership Categories; Douglas Fir Tussock Moth Outbreak.","Naskali, Richard; Warnick, Paul",2001-04,y,associations; arboretums; newsletters; xeriscapes; gardening; planting; horticulture; landscaping,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.721203,-117.016324,Arbor Notes,University of Idaho Arboretum Associates,FY01-ARB-ArborNotes-April2001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/37,37,43.pdf,/arbornotes/image/43.pdf,arbornotes37
Arbor Notes December 2011,This December publication includes the subject headings: Students Find Inspiration for Design in Arboretum: For the Love of Hosta's - Beth Bowler Hosta Garden; Message from the President; Students Present Entrance Garden Ideas at Annual Meeting; A New Douglas-Fir Cultivar Developed in Idaho; A Brief History of Pseudotsuga Menziesii 'Torquis'; a Decade of Summer Breezes and Sweet Sounds; Arboretum Associates Donor Roll; By the Numbers: How Many Flowers in One Inflorescence?; Report From the Horticulturist; Plant Sale 2011; Beneficial Pine Beetle Research in the Arboretum.,"Armpriest, Diane; Leander, Jan; Naskali, Richard J.; Peavy, Howard; Ritcher, Jamaica; Warnick, Paul; Wells, Stephen """"Pat"""";",2011-12,y,associations; arboretums; architectural drawings (visual works); construction; perennials; Pseudotsuga menziesii (species); musical performances; planting; gardening; horticulture,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.723016,-117.015161,Arbor Notes,University of Idaho Arboretum Associates,FY12-ARB-ArborNotes-December2011,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/38,38,44.pdf,/arbornotes/image/44.pdf,arbornotes38
Arbor Notes May 2012,"This May publication includes the subject headings: What's in a Name?; Arboretum Associates Plant Sale; U-Idaho Arboretum Joins Select Few in Accredited Ranks; Summer Concert - Summer Breezes and Sweet Sounds; The Lush Mixed Mesophytic Forests of Idaho - 14.5 to 15 Years Ago; The University of Idaho Arboretum and Botanical Garden: 30 Years of Planting and 35 Years of the Arboretum Associates; Report from the Horticulturist; Arboretum Associates Annual Meeting; 'Conifers Around the World' by Zsolt Debreczy and  István Rácz Edited by Kathy Musial; Intact Cells, Tissues, Structures Recovered From Anoxic, Waterlogged Miocene Deposits of Clarkia.","Naskali, Richard J.; Rhoades, Beverly; University Communications and Marketing; Warnick, Paul; Whitcomb, Amy",2012-05,y,associations; arboretums; Coniferophyta (division); accreditation; musical performances; Miocene; anniversaries; horticulture; planting; gardening,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.719412,-117.015548,Arbor Notes,University of Idaho Arboretum Associates,FY12-ARB-ArborNotes-May2012,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/39,39,45.pdf,/arbornotes/image/45.pdf,arbornotes39
Arbor Notes December 2012,This December publication includes the subject headings: The John and Winifred Dixon Butterfly Garden; New Pines Inoculated With the Morel Fungus; Arboretum Associates Donor Roll; Crocus Versus Colchicum: Two Frequently Misidentified Plant Genera in Two Different Plant Families; Report From the Horticulturist; Naskali's Garden Nominated for 2012 Moscow Wisescape Award.,"Baker, Nichole; Fisher, Joy; Naskali; Richard J.; Newcombe, George; Pierce, David; Ridout, Mary; Warnick, Paul",2012-12,y,associations; arboretums; &lt;gardens by function&gt;; Fungi (kingdom); perennials; Iridaceae (family); horticulture; planting; xeriscapes,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.715173,-117.017043,Arbor Notes,University of Idaho Arboretum Associates,FY13-ARB-ArborNotes-December2012,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/40,40,46.pdf,/arbornotes/image/46.pdf,arbornotes40
Arbor Notes May 2013 WWI Memorial Restoration,This special May publication includes the subject headings: World War I Memorial Grove; Arboretum Associates Plant Sale; New Vandal Daylily; Students in the Arboretum; Team building; Ray Boyd Memorial Quaking Aspen Grove; Annual meeting; Calendar of Upcoming Events.,"Glaeser, Kristin; Goetz, Tami; Thompson, Jeremy; Warnick, Paul",2013-05,y,associations; arboretums; brasses (memorials); Hemerocallis; Populus tremuloides (species); horticulture; planting,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.725165,-117.012453,Arbor Notes,University of Idaho Arboretum Associates,FY13-ARB-ArborNotes-May2013-WWI Mem Restoration Art,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/41,41,47.pdf,/arbornotes/image/47.pdf,arbornotes41
Arbor Notes December 2013,This December publication includes the subject headings: Wisescaping 101 (With a Little Help From the Arboretum); 2014 Arboretum Associates Speaker Program Series; Report from the Horticulturist; Arboretum Associates Donor Roll; University of Idaho Arboretum and Botanical Garden is a Bird Watchers Hotspot; Calendar of Upcoming Events; The Arboretum Serves as an Outdoor Classroom for Forest and Plant Pathology Students; Malcolm and Carol Renfrew Arboretum Shelter.,"Gray, Terry; Leander, Jan; Newcombe, George, Dr.; Regan, Maureen Taylor; Warnick, Paul",2013-12,y,associations; arboretums; xeriscapes; horticulture; brasses (memorials); pathology; educational parks,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.715043,-117.016946,Arbor Notes,University of Idaho Arboretum Associates,FY14-ARB-ArborNotes-December2013,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/42,42,48.pdf,/arbornotes/image/48.pdf,arbornotes42
Arbor Notes July 2014,"This July publication includes the subject headings: Dean Vettrus Reflects on Arboretum Beginnings; Science Saturdays in the Arboretum; Two New Arboretum Pond Invaders; Report from the Horticulturist; Arboretum Associates Annual Meeting; Contractile Roots: How Your Crocuses, Irises, and Some Other Garden Plants Remain Buried at a Constant Depth; 2014 Arboretum Associates Plant Sale; Elaiosomes and Ants in Your Garden Plants; Message from the President; Harley Wright Memorial Planting; New Peony Garden to Honor Joy Passanante.","Leander, Jan; Naskali, Richard J.; O'Laughlin, Jennifer; Roberts, Tara; Ross-Davis, Amy; Warnick, Paul",2014-07,y,associations; arboretums; construction; ponds (bodies of water); A. filiculoides Azolla (species); Wolffia  Azolla (species); horticulture; Iridaceae (family); Perovskia atriplicifolia (species); Paeonia (genus),United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.719554,-117.016623,Arbor Notes,University of Idaho Arboretum Associates,FY15-ARB-ArborNotes-July2014,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/43,43,49.pdf,/arbornotes/image/49.pdf,arbornotes43
Arboretum Associates Newsletter Fall 1982,"This fall publication includes information regarding projects the Arboretum Associates are currently working on, the groups involved in creating the spaces, upcoming workshops and learning experiences, and how to become an associate.","Naskali, Richard",1982,y,associations; arboretums; gardening,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.719554,-117.014921,Arbor Notes,University of Idaho Arboretum Associates,FY83-ARB-LCFairAANewsletter-Fall1982,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/44,44,5.pdf,/arbornotes/image/5.pdf,arbornotes44
Arbor Notes January 2015,This January publication includes the subject headings: Looking to the Future; Science Saturdays in the Arboretum; Eugene Thompson - Early Day Arboretum Volunteer; Arboretum Associates Donor Roll; Report from the Horticulturist; 14th Year of 'Summer Breezes and Sweet Sounds' in the Arboretum; UIRA 2nd Annual Fall Arboretum Tour; The Arboretum Project: a Reprint From 1978 Foundation Annual Report; Message From the President; Calendar of Upcoming Events.,"Fisher, Joy; Leander, Jan; Regan, Maureen Taylor; Ross-Davis, Amy; Warnick, Paul; Wilson, Carol Yenni",2015-01,y,associations; arboretums; Perovskia atriplicifolia (species); Paeonia (genus); Hydrangea quercifolia (species); planting; musical performances; construction,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.720862,-117.015491,Arbor Notes,University of Idaho Arboretum Associates,FY15-ARB-ArborNotes-January2015,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/45,45,50.pdf,/arbornotes/image/50.pdf,arbornotes45
Arbor Notes December 2015,This December publication includes the subject headings: Lilacs in the UI Arboretum; Idaho Trees Going to Harvard University; 2015 News/Updates from the Arboretum Associates Advisory Board; Arboretum Associates Donor Roll; Report from the Horticulturist; 15th 'Summer Breezes and Sweet Sounds' Concert in the Arboretum; 2015 Arboretum Associates Plant Sale; Science Saturdays in the Arboretum; Seasonal Scavenger Hunts Coming to the UI Arboretum and Botanical Garden; Mountain Pine Beetle in the Shattuck Arboretum; Calendar of Upcoming Events.,"Cook, Stephen P.; Leander, Jan; Regan, Maureen Taylor; Roberts, Tara; Ross-Davis, Amy; Warnick, Paul",2015-12,y,associations; arboretums; Syringa vulgaris (species); garden clubs; collecting; planting; botanical gardens; Larix lyallii (species); Pinus (genus); Pinaceae (family); signage; planting; irrigation; musical performances; Dendroctonus ponderosae (species),United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.722157,-117.015091,Arbor Notes,University of Idaho Arboretum Associates,FY16-ARB-Arbor Notes-December2015,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/46,46,51.pdf,/arbornotes/image/51.pdf,arbornotes46
Arbor Notes December 2001,This December publication includes the subject headings: Birds of the UI Arboreta; News from the Arboretum Director; Report from the Horticulturist; the 24th Annual Meeting of the Arboretum Associates; Holiday Shopping Ideas; Tony Event Scheduled; Donors; Arboretum Concert Pleases Crowd; Get a Preview of Spring 2002 at the Northwest Flower and Garden Show; Birding Season to Season Around the Arboreta; Bird Species Llists for the UI Arboreta; Jason Paul Kelley Grove of 'Camperdownii' Elms Planted; A Hosta/Garden/House/Art Tour and Workshop at the Home and Garden of Jaki Wright and Bill Bowler in Moscow.,"Fisher, Joy; Naskali, Richard; Rhoades, Beverly; Swift, Charles; Warnick, Paul",2001-12,y,associations; arboretums; newsletters; gardening; garden shows; planting; horticulture; Aves (class); construction; Ulmus (genus),United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.721568,-117.015663,Arbor Notes,University of Idaho Arboretum Associates,FY02-ARB-ArborNotes-December2001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/47,47,52.pdf,/arbornotes/image/52.pdf,arbornotes47
