title,photographer,description,date,date_approximate,subject (lcsh),subject,location,latitude,longitude,source,identifier,rights,rights (standardized),type,format,language,moscow number,fs number,filename,oclc number,date created,date modified,reference url,cdm-id,contentdm file name,contentdm file path,object-id
"New office/lab/dormitory, ca 1962","Wellner, Chuck A.","New office/lab/dormitory, ca 1962.",1962,yes,United States--Idaho--Kootenai County--Deception Creek Experimental Forest Headquarters Site,,Kootenai County;Deception Creek Experimental Forest Headquarters Site,47.72722222,-116.4819444,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Buildings_P14,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,666,,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/115,115,202.jp2,/expforsav/image/202.jp2,expforsav115
Powerhouse built 1937,"Bentley, E.E.","From handwritten draft of untitled document. Reads: ""Powerhouse built 1937.""",1937,,United States--Idaho--Kootenai County--Deception Creek Experimental Forest Headquarters Site,,Kootenai County;Deception Creek Experimental Forest Headquarters Site,47.72722222,-116.4819444,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Buildings_P16,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,668,379205,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/116,116,203.jp2,/expforsav/image/203.jp2,expforsav116
Mailbox built 1934,"Wellner, Chuck A.","From handwritten draft of untitled document. Reads: ""Mailbox built 1934"".",1934,,United States--Idaho--Kootenai County--Deception Creek Experimental Forest Headquarters Site,,Kootenai County;Deception Creek Experimental Forest Headquarters Site,47.72722222,-116.4819444,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Buildings_P15,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,667,336597,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/117,117,204.jp2,/expforsav/image/204.jp2,expforsav117
Work camp at Deception Creek Expertimental station 1935,C.L. James,"From handwritten draft of untitled document. Reads: ""Work camp at Deception Cr. Expt. station. 1935."" From photo record: ""Emergency Relief Act Camp. Tent frames include a four foot side-wall and an air-tight floor consisting of WWP ship lap. Deception Creek Experimental Forest.""",1935,,United States--Idaho--Kootenai County--Deception Creek Experimental Forest Headquarters Site,,Kootenai County;Deception Creek Experimental Forest Headquarters Site,47.72722222,-116.4819444,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Buildings_P17,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,669,314114,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/118,118,205.jp2,/expforsav/image/205.jp2,expforsav118
Blacksmith and carpentry shop,"Wellner, Chuck A.","Blacksmith and carpentry shop, built in 1934 with NIRA and ECW funds",1936,,United States--Idaho--Kootenai County--Deception Creek Experimental Forest Headquarters Site,,Kootenai County;Deception Creek Experimental Forest Headquarters Site,47.72722222,-116.4819444,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Buldings_P11,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,663,336602,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/119,119,206.jp2,/expforsav/image/206.jp2,expforsav119
Bunkhouse in course of construction,"Brewster, D.R.",Bunkhouse in course of construction. 1916 Ranger conference. Construction crew on roof. Priest River Experimental Station. February 1916. This building was removed when the Benton Ranger Station was dismantled about 1928.,1916,,United States--Idaho--Bonner County--Priest Creek Experimental Forest Headquarters,,Bonner County;Priest Creek Experimental Forest Headquarters,48.35222222,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",BentonRangerBunkhouse_1916,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,272,25947A,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/120,120,207.jp2,/expforsav/image/207.jp2,expforsav120
Present bunkhouse; Conference building attached to this side.,,Present bunkhouse; Conference building built in 1998 is attached to this side.,1954,yes,United States--Idaho--Bonner County--Priest River Experimental Station--Bunkhouse,,Bonner County;Priest River Experimental Station;Bunkhouse,48.35222222,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",bunkhouse_1954,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,668,,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/121,121,208.jp2,/expforsav/image/208.jp2,expforsav121
Present Bunkhouse/Messhall nearing completion [01],,"Present Bunkhouse/Messhall nearing completion, Wellner states it was built on the site of the barn and completed in 1932.",1932,Yes,United States--Idaho--Bonner County--Priest River Experimental Station--Bunkhouse,,Bonner County;Priest River Experimental Station;Bunkhouse,48.35222222,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",BunkhouseMesshall1,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,1155,,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/122,122,209.jp2,/expforsav/image/209.jp2,expforsav122
Map of Deception Creek Experimental Forest locations,"Wellner, Chuck A.",Map of Deception Creek Experimental Forest delineated by alpha and numeric axis for photo locations.,1942,yes,United States--Idaho--Kootenai County--Deception Creek Experimental Forest,,Kootenai County;Deception Creek Experimental Forest,,,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",1942PhotoPointMap,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,,,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/123,123,21.jp2,/expforsav/image/21.jp2,expforsav123
Present Bunkhouse/Messhall nearing completion [02],,"Present Bunkhouse/Messhall nearing completion, Wellner states it was built on the site of the barn and completed in 1932.",1932,Yes,United States--Idaho--Bonner County--Priest River Experimental Station--Bunkhouse,,Bonner County;Priest River Experimental Station;Bunkhouse,48.35222222,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",BunkhouseMesshall2,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,1156,,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/124,124,210.jp2,/expforsav/image/210.jp2,expforsav124
Construction almost completed,,Construction almost completed on the bunkhouse at the Priest River Experimental Station.,1932,Yes,United States--Idaho--Bonner County--Priest River Experimental Station--Bunkhouse,,Bonner County;Priest River Experimental Station;Bunkhouse,48.35222222,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",BunkhouseMesshall3,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,1157,,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/125,125,211.jp2,/expforsav/image/211.jp2,expforsav125
Group of western white pine on 4-Cabin Creek,,"Group of western white pine on 4-Cabin Creek [Burnt Cabin Creek]. Coeur d'Alene National Forest. July 22, 1927.",1927-07-22,,United States--Idaho--Shoshone County--Coeur d'Alene National Forest,,Shoshone County;Coeur d'Alene National Forest,,,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",BurntCabinTimber2,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,2491,W616,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/126,126,212.jp2,/expforsav/image/212.jp2,expforsav126
Bunkhouse complete with refrigerator hutch left of side door,,"From Wellner collection,  Bunkhouse complete with refrigerator hutch left of side door.",1932,Yes,United States--Idaho--Bonner County--Priest River Experimental Station--Bunkhouse,,Bonner County;Priest River Experimental Station;Bunkhouse,48.35222222,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",BunkhouseMesshall4,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,98,,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/127,127,213.jp2,/expforsav/image/213.jp2,expforsav127
Ranger training school held at Priest Creek Experimental Forest,"Marshall, R.","Filed in Priest Creek Experimental Forest Photo box #4: ""Ranger training school held at Priest Creek Experimental Forest.""",1926,,United States--Idaho--Bonner County--Priest Creek Experimental Forest,,Bonner County;Priest Creek Experimental Forest,48.35222222,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",BentonRangers,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,3007,403372,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/128,128,214.jp2,/expforsav/image/214.jp2,expforsav128
"White pine stand, Burnt Cabin Creek, Coeur d'Alene National Forest [02]","Swan, Kenneth D. (Kenneth Dupee), 1887-1970","White pine stand at Burnt Cabin Creek, Coeur d'Alene National Forest.",1931,,United States--Idaho--Shoshone County--Coeur d'Alene National Forest,,Shoshone County;Coeur d'Alene National Forest,47.77805556,-116.5,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",BurntCabinTimber3,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,2492,192422,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/129,129,215.jp2,/expforsav/image/215.jp2,expforsav129
"White pine stand, Burnt Cabin Creek, Coeur d'Alene National Forest [01]","Swan, Kenneth D. (Kenneth Dupee), 1887-1970","White pine stand at Burnt Cabin Creek, Coeur d'Alene National Forest.",1931,,United States--Idaho--Shoshone County--Coeur d'Alene National Forest,,Shoshone County;Coeur d'Alene National Forest,47.77805556,-116.5,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",BurntCabinTimber4,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,2856,192423,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/130,130,216.jp2,/expforsav/image/216.jp2,expforsav130
White pine timber on Burnt Cabin Creek sale. Coeur d'Alene National Forest,"Swan, Kenneth D. (Kenneth Dupee), 1887-1970",White pine timber on Burnt Cabin Creek sale. Coeur d'Alene NF 1924. Photo record puts year at 1931.,1931,,United States--Idaho--Shoshone County--Coeur d'Alene National Forest,,Shoshone County;Coeur d'Alene National Forest,47.77805556,-116.5,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",BurntCabinTimber6,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,2858,192421,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/131,131,217.jp2,/expforsav/image/217.jp2,expforsav131
Cabin 3. Did you ever see such a glum appearing bunch?,,"Cabin #3, l to r: J. Bush, B. Naiman, A. Nelson, L. Richards, K. Davis, L. Hayes, C. Wellner, V. Kline, D. Hendrickson. A note on back reads: Dinny: Therse are some of the fellows working at the Priest River Station. My boss, Ken Davis, is the nearest fellow standing to me. Did you ever see such a glum appearing bunch?""",1938-07-01,,United States--Idaho--Bonner County--Priest River Experimental Station--cabin 3,,Bonner County;Priest River Experimental Station;cabin 3,48.35222222,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Cabin3Group,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,202,,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/132,132,218.jp2,/expforsav/image/218.jp2,expforsav132
Cabin 4,"Wellner, Chuck A.",Cabin 4 at the Priest River Experimental Station.,1952-09-18,,United States--Idaho--Bonner County--Priest River Experimental Station--Cabin 4,,Bonner County;Priest River Experimental Station;Cabin 4,48.35222222,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Cabin4_1952,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,56,,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/133,133,219.jp2,/expforsav/image/219.jp2,expforsav133
A series of snow scenes [04],"Gisborne, Harry Thomas, 1893-1949","A series of snow scenes with notes by Gisborne expressing his dissatisfaction with building design, landscaping, drainage, and lost time shoveling roofs.",1938,,United States--Idaho--Bonner County--Priest Creek Experimental Forest Headquarters,,Bonner County;Priest Creek Experimental Forest Headquarters,48.35222222,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",1949GisBunkhouseN,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,1175,,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/134,134,22.jp2,/expforsav/image/22.jp2,expforsav134
Taken on the operations of the Clearwater Timber Co.,"Swan, Kenneth D. (Kenneth Dupee), 1887-1970","Taken on the operations of the Clearwater Timber Co., near the Clearwater NF. Brush piles on area near Camp 12.",1930,,United States--Idaho--Clearwater County--Pierce,,Clearwater County;Pierce,,,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Camp12BrushPiles,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,2463,246493,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/135,135,220.jp2,/expforsav/image/220.jp2,expforsav135
The Spirit of Lewiston loading cedar poles above Camp 12,"Swan, Kenneth D. (Kenneth Dupee), 1887-1970",The 'Spirit of Lewiston' loading cedar poles above Camp 12,1930,,United States--Idaho--Clearwater County--Pierce,,Clearwater County;Pierce,,,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Camp12LoadingCars,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,2464,246515,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/136,136,221.jp2,/expforsav/image/221.jp2,expforsav136
Monarch tractor delivering logs at landing at Camp #9,"Swan, Kenneth D. (Kenneth Dupee), 1887-1970",Monarch tractor delivering logs at landing at Camp #9. Clearwater Timber Company.,1930,,United States--Idaho--Clearwater County--Pierce,,Clearwater County;Pierce,,,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Camp9CatSkidding,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,2465,246511,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/137,137,222.jp2,/expforsav/image/222.jp2,expforsav137
Road through overmature white pine stand,"Swan, Kenneth D. (Kenneth Dupee), 1887-1970","Road through overmature white pine stand. West Branch, Kaniksu National Forest. Looks alot like the County road at Priest Creek Experimental Forest",1926,,United States--Idaho--Bonner County--Priest Creek Experimental Forest Headquarters,,Bonner County;Priest Creek Experimental Forest Headquarters,,,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Car_Road_WP,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,1333,208104,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/138,138,223.jp2,/expforsav/image/223.jp2,expforsav138
Loading logs on cars at Camp 9,"Swan, Kenneth D. (Kenneth Dupee), 1887-1970","Loading logs on cars at Camp 9, Clearwater Timber Company.",1930,,United States--Idaho--Clearwater County--Pierce,,Clearwater County;Pierce,,,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Camp9Loading_Cars,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,2466,246513,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/139,139,224.jp2,/expforsav/image/224.jp2,expforsav139
View of red cedar poles piled on road at Cardiff,"Swan, Kenneth D. (Kenneth Dupee), 1887-1970",View of redcedar poles piled on road at Cardiff.,1930,,United States--Idaho--Clearwater County--Pierce,,Clearwater County;Pierce,,,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",CardiffPoleYard,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,2467,246517,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/140,140,225.jp2,/expforsav/image/225.jp2,expforsav140
"Caterpillar '60' delivering logs at landing below Pierce, Idaho","Swan, Kenneth D. (Kenneth Dupee), 1887-1970","Caterpillar '60' delivering logs at landing below Pierce, Idaho.",1930,yes,United States--Idaho--Clearwater County--Pierce,,Clearwater County;Pierce,,,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",CatLandingLogs,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,2468,246497,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/141,141,226.jp2,/expforsav/image/226.jp2,expforsav141
"Lynn Caterpillar truck with load at landing near Pierce, Idaho","Swan, Kenneth D. (Kenneth Dupee), 1887-1970","Lynn Caterpillar truck with load at landing near Pierce, Idaho.",1930,,United States--Idaho--Clearwater County--Pierce,,Clearwater County;Pierce,,,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",CatTruck,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,2469,246499,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/142,142,227.jp2,/expforsav/image/227.jp2,expforsav142
Student helper watering seed beds,"Swan, Kenneth D. (Kenneth Dupee), 1887-1970","General view of clear-cut inflammability station on Priest River Experimental Forest. Student helper watering seed beds. July-August, 1932. Chuck Wellner pictured.",1932,yes,United States--Idaho--Bonner County--Priest River Experimental Station--Clear Cut inflammability station,,Bonner County;Priest River Experimental Station;Clear Cut inflammability station,48.34416667,-116.8413889,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",CC_Station,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,1240,270722,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/143,143,228.jp2,/expforsav/image/228.jp2,expforsav143
The steep chute from Fox Creek to flume in Big Creek,"Hatch, A. B.","The steep chute from Fox Creek to flume in Big Creek. Approximately 600 feet long and 400 feet high. Diamond Match Company operations. Photo by A.B. Hatch, June, 1928.",1928-06-01,,United States--Idaho--Bonner County--Priest River Experimental Forest--Big Creek,,Bonner County;Priest River Experimental Forest;Big Creek,48.31972222,-116.8247222,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",BigCreekFlume,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,1323,,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/144,144,229.jp2,/expforsav/image/229.jp2,expforsav144
A series of snow scenes [06],"Gisborne, Harry Thomas, 1893-1949","A series of snow scenes with notes by Gisborne expressing his dissatisfaction with building design, landscaping, drainage, and lost time shoveling roofs.",1938,,United States--Idaho--Bonner County--Priest Creek Experimental Forest Headquarters,,Bonner County;Priest Creek Experimental Forest Headquarters,48.35222222,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",1949GisBunkhouseS,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,1176,,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/145,145,23.jp2,/expforsav/image/23.jp2,expforsav145
