title,photographer,date,date is approximate,description,subject,subject (lcsh),subject (lctgm),location depicted,location,latitude,longitude,original identifier,source,digital collection,holding institution,ordering information,format original,type,format,digital identifier,date digital,language,web site,rightsstatement,rights,digital specifications,original reference url,original contentdm number,filename,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
"Wallace (Idaho), 1913","Barnard Studio (Wallace, Idaho)",1913,yes,Heaps of snow on the sides of the road,ice and snow activities,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Snow,United States - Idaho - Shoshone County - Wallace,Wallace,47.472586,-115.926912,PG 8-X325b,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00325b,2009-06-02,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,742",742,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/447,447,501.jp2,/bar-stock/image/501.jp2,barstock447
"Vestals Placer Mining, Murray (Idaho)","Barnard Studio (Wallace, Idaho)",1905,yes,Men standing next to a waterfall,waterfalls (natural bodies of water),"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Waterfalls,United States - Idaho - Shoshone County - Murray,Murray,47.633033,-115.854033,PG 8-X324,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00324,2009-06-03,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,743",743,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/448,448,502.jp2,/bar-stock/image/502.jp2,barstock448
"Wallace (Idaho), Pine Street, 1913","Barnard Studio (Wallace, Idaho)",1913,yes,Showing sidewalk,sidewalks,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",,United States - Idaho - Shoshone County - Wallace,Wallace,47.472596,-115.926762,PG 8-X325a,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00325a,2009-06-03,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,744",744,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/449,449,503.jp2,/bar-stock/image/503.jp2,barstock449
"Pittsburg Consolidated Mill, Wallace (Idaho), 1906","Barnard Studio (Wallace, Idaho)",1906,yes,"A long view of the Pittsburg Consolidated Mill in Wallace, Idaho, in 9 Mile Canyon.",canyons,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Canyons,United States - Idaho - Shoshone County - Wallace,Wallace,47.477557,-115.920632,PG 8-X326,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00326,2009-06-03,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,745",745,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/450,450,504.jp2,/bar-stock/image/504.jp2,barstock450
"Standard Mine, Mace (Idaho), 1909","Barnard Studio (Wallace, Idaho)",1909,yes,"Distant image of the Standard Mine, showing assorted buildings, railroad tracks and Canyon Creek running in between.",buildings; mines (extracting complexes); trees; railroads,Silver mines and mining  -  Idaho  -  Shoshone County; Railroad tracks; Mine buildings,Wooden buildings; Railroad tracks - Idaho  -  Mace; Trees,United States - Idaho - Shoshone County - Mace,Burke,47.524033,-115.811033,PG 8-X275,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00275,2009-05-14,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,647",647,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/451,451,505.jp2,/bar-stock/image/505.jp2,barstock451
"Pittsburg Consolidated Mine, Wallace (Idaho), 1907","Barnard Studio (Wallace, Idaho)",1907,yes,Far view of the Pittsburg Consolidated Mine covered in snow,mines (buildings); snowfields,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Mine Buildings; Snow,United States - Idaho - Shoshone County - Wallace,Wallace,47.479714,-116.199549,PG 8-X327,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00327,2009-06-03,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,746",746,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/452,452,506.jp2,/bar-stock/image/506.jp2,barstock452
"Coeur d'Alene (Idaho), 1894 [02]","Barnard Studio (Wallace, Idaho)",1894,yes,Snow plow- rotary (at water tank),snowplows; water tanks,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Snow removal; Water tanks,United States - Idaho - Kootenai County - Coeur d'Alene,Coeur d'Alene,47.571622,-116.443422,PG 8-X328,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00328,2009-06-03,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,747",747,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/453,453,507.jp2,/bar-stock/image/507.jp2,barstock453
Post Falls (Idaho),"Barnard Studio (Wallace, Idaho)",1904,yes,Showing Falls and Sawmill,sawmills,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Mills,United States - Idaho - Kootenai County - Post Falls,Post Falls,47.709118,-116.953765,PG 8-X329,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00329,2009-06-03,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,748",748,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/454,454,508.jp2,/bar-stock/image/508.jp2,barstock454
"Standard Mine, Mace (Idaho), 1912","Barnard Studio (Wallace, Idaho)",1912,yes,"A bright view from the hillside of the Standard Mine in Mace, Idaho.",buildings; mines (extracting complexes); trees; railroads,Silver mines and mining  -  Idaho  -  Shoshone County; Railroad tracks; Mine buildings,Wooden buildings; Railroad tracks - Idaho  -  Mace; Trees,United States - Idaho - Shoshone County - Mace,Burke,47.524022,-115.811022,PG 8-X276,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00276,2009-05-14,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,648",648,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/455,455,509.jp2,/bar-stock/image/509.jp2,barstock455
"Hecla Mine, Burke (Idaho), 1912 [01]","Barnard Studio (Wallace, Idaho)",1912,yes,"A view outside of lower Burke, Idaho [1910] showing Hecla Mine.",,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections; Hecla Mine (Idaho); Mines and mineral resources  -  Idaho; Wooden-frame buildings",Mining; Mine buildings,United States - Idaho - Shoshone County - Burke,Burke,47.519653,-115.814605,PG 8-X038,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00038,2009-02-20,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,269",269,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/456,456,51.jp2,/bar-stock/image/51.jp2,barstock456
"Wallace (Idaho), 1904 [03]","Barnard Studio (Wallace, Idaho)",1904,yes,Wallace Painters Union,architectural painters,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",,United States - Idaho - Shoshone County - Wallace,Wallace,47.472504,-115.926902,PG 8-X330,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00330a,2009-06-03,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,749",749,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/457,457,510.jp2,/bar-stock/image/510.jp2,barstock457
"Kingston (Idaho) Coeur d'Alene River, 1897","Barnard Studio (Wallace, Idaho)",1897,yes,Picnic party in boats,parties; boats,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Parties; Boats,United States - Idaho - Shoshone County - Kingston,Cataldo,47.552078,-116.329057,PG 8-X331,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00331,2009-06-03,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,750",750,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/458,458,511.jp2,/bar-stock/image/511.jp2,barstock458
"Roosevelt, Theodore (1858-1919), 1903 [01]","Barnard Studio (Wallace, Idaho)",1903,yes,Cadet Band from U. of I leading the Parade on 6th st. to Wallace in honor of Theodore Roosevelt,presidents; parades,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Presidents - United States; Parades,United States - Idaho - Shoshone County - Wallace,Wallace,47.471644,-115.923878,PG 8-X332b,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00332b,2009-06-03,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,752",752,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/459,459,512.jp2,/bar-stock/image/512.jp2,barstock459
"Roosevelt, Theodore (1858-1919), 1903 [02]","Barnard Studio (Wallace, Idaho)",1903,yes,Caption on Front: Cadet Band from U. of I. leading the parade on 6th St. Wallace.,parades; bands (ensembles),"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Parades; Marching Bands,United States - Idaho - Shoshone County - Wallace,Wallace,47.471624,-115.923888,PG 8-X332a,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00332,2009-06-03,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,751",751,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/460,460,513.jp2,/bar-stock/image/513.jp2,barstock460
"Wardner (Idaho),  1912","Barnard Studio (Wallace, Idaho)",1912,yes,A small town snug in a valley surrounded by mountains,mountains; valleys (landforms),"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Mountains; Valley,United States - Idaho - Shoshone County - Wardner,Kellogg West,47.522177,-116.135499,PG 8-X297,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00297,2009-06-02,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,754",754,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/461,461,514.jp2,/bar-stock/image/514.jp2,barstock461
"Roosevelt, Theodore (1858-1919), 1903 [03]","Barnard Studio (Wallace, Idaho)",1903,yes,"Roosevelt speaking from platform when visiting Wallace, Idaho",presidents,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Presidents - United States,United States - Idaho - Shoshone County - Wallace,Wallace,47.471634,-115.923898,PG 8-X332c,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00332c,2009-06-03,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,753",753,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/462,462,515.jp2,/bar-stock/image/515.jp2,barstock462
"Coeur d'Alene (Idaho), 1904","Barnard Studio (Wallace, Idaho)",1904,yes,Snow plow- rotary on Coeur d'Alene cut off,snowplows,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Snow removal,United States - Idaho - Kootenai County - Coeur d'Alene,Coeur d'Alene,47.571611,-116.443433,PG 8-X333,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00333,2009-06-03,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,755",755,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/463,463,516.jp2,/bar-stock/image/516.jp2,barstock463
"Charles H. Reeves home, (Idaho)","Barnard Studio (Wallace, Idaho)",1904,yes,Charles H. Reeves shows home at foot- bridge and creek,footbridges; creeks (bodies of water),"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Streams,United States - Idaho,,47.467408,-115.934483,PG 8-X335,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00335,2009-06-03,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,756",756,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/464,464,517.jp2,/bar-stock/image/517.jp2,barstock464
"Rex Mine, Bradyville (Idaho), 1910 [02]","Barnard Studio (Wallace, Idaho)",1910,yes,Interior showing machinery,interior spaces; machinery,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Milling machines,United States - Idaho,,47.568001,-115.882001,PG 8-X336a,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00336,2009-06-03,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,757",757,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/465,465,518.jp2,/bar-stock/image/518.jp2,barstock465
"Hercules Mining Co, Burke (Idaho),  1901","Barnard Studio (Wallace, Idaho)",1901,yes,Men building cabins,cabins (dwellings),"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Log cabins,United States - Idaho -  Shoshone County - Burke,Burke,47.547022,-115.827022,PG 8-X299,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00299,2009-06-02,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,758",758,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/466,466,519.jp2,/bar-stock/image/519.jp2,barstock466
"Hecla Mine, Burke (Idaho), 1910 [02]","Barnard Studio (Wallace, Idaho)",1910,yes,"A distant view of Burke, Idaho [1910] showing Hecla yard and shaft house in foreground, Tiger - poor man plant in background.",,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections; Hecla Mine (Idaho); Mines and mineral resources  -  Idaho; Wooden-frame buildings",Mining; Mine buildings,United States - Idaho - Shoshone County - Burke,Burke,47.519663,-115.814615,PG 8-X039,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00039,2009-02-20,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,270",270,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/467,467,52.jp2,/bar-stock/image/52.jp2,barstock467
