title,description,date,date is approximate,subject,latitude,longitude,digital collection,source,donor,box number,identifier,rights,standardized rights,format original,type,format,cdmid,contentdm file name,objectid
W.A. Stonebraker with dogsled team,W.A. Stonebraker (left) poses with two men and a team of dogs pulling supplies through the snow near the corral at the Stonebraker Ranch in the Chamberlain Basin.,1929,yes,dogsleds; dogs; winter; snow;,45.3893561,-115.1976139,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 128",26-P086,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,3x5 black and white print,Image;StillImage,image/jpg,222,223.jp2,stonebraker222
Golda Stonebraker with Zenith Airplane [03],"Golda Stonebraker and two men (Al Stonebraker, middle) stand in the snow beside a seven passenger Zenith airplane at Stonebraker Ranch in the Chamberlain Basin. The pilot was A.A. Bennett, seated on top of the plane. ""Taking Al out.""",12/9/1931,,winter; airplanes; snow; pilots; women;,45.377852,-115.198892,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 129",26-P087,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2.75x4.5 black and white print,Image;StillImage,image/jpg,223,224.jp2,stonebraker223
Sumner Stonebraker with wagon [01],Sumner Stonebraker stands in an empty wagon pulled by two horses in the meadow near the Stonebraker Ranch.,9/1/1931,,horses; wagons;,45.3893561,-115.1976139,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 130",26-P088,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2.75x4.5 black and white print,Image;StillImage,image/jpg,224,225.jp2,stonebraker224
"Snake River and railroad bridge at Lewiston, Idaho","Postcard written from G.B. Wicker to Allen Stonebraker, Dixie, Idaho. Handwritten note: ""Leaving for (Urich or Mich) Tuesday and will return to Idaho about August 15th will write you later and send you some pictures etc.""",6/13/1928,,mountains; rivers; railroad bridges; houses;,46.394836,-117.039027,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 132",26-P090,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,3.5x5.5 black and white print,Image;StillImage,image/jpg,225,226.jp2,stonebraker225
W.A. Stonebraker and mule pack train [02],Al Stonebraker stands outside of his corral at the Stonebraker Ranch. A mule pack train waits behind him.,9/1/1931,,horses; mules; pack baskets; corrals; log cabins;,45.3893561,-115.1976139,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 133",26-P091,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2.75x4.5 black and white print,Image;StillImage,image/jpg,226,227.jp2,stonebraker226
Cooking over campfire [01],"Men cook over a log campfire with frying pans, Sumner Stonebraker (left). ""One dozen.""",1903,yes,camp sites; timber; forests; cooking tools and equipment;,45.3893561,-115.1976139,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 131",26-P089,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3x3.25 black and white print,Image;StillImage,image/jpg,227,228.jp2,stonebraker227
W.A. Stonebraker and dogsled team [01],Al Stonebraker stands with dogsled team in the snow outside the corral at his ranch in the Chamberlain Basin.,1929,yes,dogsleds; winter; corrals; snow; dogs;,45.3893561,-115.1976139,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 134",26-P092,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2.75x4.5 black and white print,Image;StillImage,image/jpg,228,229.jp2,stonebraker228
"Mudslide above Roosevelt, Idaho [02]",Mudslide that blocked Monumental Creek and flooded the town of Roosevelt.,1909-05,yes,timber; forests; mountains; mining towns; mudslides;,44.966538,-115.172905,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 135",26-P093,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3.25x4.25 black and white print,Image;StillImage,image/jpg,229,230.jp2,stonebraker229
"Mudslide above Roosevelt, Idaho [03]",Mudslide that blocked Monumental Creek and flooded the town of Roosevelt.,1909-05,yes,timber; forests; mountains; mining towns; mudslides;,44.966538,-115.172905,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 136",26-P094,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3.25x4.25 black and white print,Image;StillImage,image/jpg,230,231.jp2,stonebraker230
"Mudslide above Roosevelt, Idaho [04]",Mudslide that blocked Monumental Creek and flooded the town of Roosevelt.,1909-05,yes,timber; forests; mountains; mining towns; mudslides;,44.966538,-115.172905,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 137",26-P095,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3.25x4.25 black and white print,Image;StillImage,image/jpg,231,232.jp2,stonebraker231
National Guard airplane at Stonebraker Ranch [02],"Adolph Stonebraker (Bill) stands near a National Guard 116th Observation Squadron. Plane reads ""U.S. Army Consolidated 0-17 NG 28-360"" on its side. Plane is parked in the Chamberlain Basin meadow near the ranch house. The pilot was Nick Mamer.",8/20/1928,,military aircraft; children;,45.377852,-115.198892,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 16",26-N17,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2.75x4.5 black and white negative,Image;StillImage,image/jpg,232,233.jp2,stonebraker232
Stonebraker pack train [07],Men with mule pack train climb through a forested area headed for Thunder Mountain.,1903,yes,horses; mules; pack baskets; corrals; log cabins;,44.950188,-115.133438,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 138",26-P096,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3.5x3.5 black and white print,Image;StillImage,image/jpg,233,234.jp2,stonebraker233
Sumner Stonebraker with horse,Governor and Whitey. Sumner stands on the back of Whitey the horse alongside the Clearwater River.,1902,yes,rivers; horses;,46.100672,-115.951638,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 139",26-P097,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,2.5x3 black and white print,Image;StillImage,image/jpg,234,235.jp2,stonebraker234
River Canyon near Slate Creek [01],Men are almost hidden on the rocky cliffs in the upper right corner of the photograph. Photograph taken in the Box Canyon just south of Slate Creek on the Salmon River.,1905,yes,canyons; rivers;,45.623037,-116.304325,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 140",26-P098,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5x7 black and white print,Image;StillImage,image/jpg,235,236.jp2,stonebraker235
Boat on the river [01],Two sweep scows at river bank. A dozen men stand on the shoreline and in boats.,1905,yes,rivers; scows; boats;,44.97314,-114.736404,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 141",26-P099,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5x7 black and white print,Image;StillImage,image/jpg,236,237.jp2,stonebraker236
Whipsawing near Thunder Mountain [01],"One man operates the saw while another man sits petting a dog. Near the village of Roosevelt, Idaho.",3/19/1905,,forests; mills (equipment); dogs; mining towns;,44.950188,-115.133438,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 143",26-P101,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,4.5x7 black and white print,Image;StillImage,image/jpg,237,238.jp2,stonebraker237
River Canyon by Slate Creek,Looking north at Slate Creek on the Salmon River. Homes and buildings can be seen in the distance.,1905,yes,rivers; mountains; canyons;,45.636012,-116.2835,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 142",26-P100,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5x7 black and white print,Image;StillImage,image/jpg,238,239.jp2,stonebraker238
Whipsawing near Thunder Mountain [02],A group of men work with a whipsaw in a snowy area near Thunder Mountain.,3/19/1905,,rivers; mills (equipment);,44.950188,-115.133438,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 144",26-P103,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3x4 black and white print,Image;StillImage,image/jpg,239,240.jp2,stonebraker239
Elk in corral [01],"A man wearing a top hat and jacket stands next to two elk in a corral in Jackson, Wyoming. Part of a Stonebraker scrapbook.",3/19/1905,,corrals; elk;,43.913212,-110.576363,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 145",26-P104,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3.25x3.25 black and white print,Image;StillImage,image/jpg,240,241.jp2,stonebraker240
Dogsled team,Two men push the Stonebraker dogsled team of 11 dogs through the snow near Elk Creek Summit.,1/22/1929,,dogs; dogsleds; snow; trails (recreation areas);,45.150691,-115.422928,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 17",26-N18,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2.75x4.5 black and white negative,Image;StillImage,image/jpg,241,242.jp2,stonebraker241
Stonebraker hunting trip [01],A weasel on a snow bank.,1903,yes,snow; weasels;,44.950188,-115.133438,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 146",PG26-S1-001,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3x3.25 black and white print,Image;StillImage,image/jpg,242,243.jp2,stonebraker242
"Village of Roosevelt, Idaho [03]","Village of Roosevelt near Thunder Mountain as it looked at the height of the gold rush. A pack train walks down the street with wooden buildings in the background. ""Just arrived.""",1902,yes,log cabins; wooden buildings; exterior views; mining towns;,44.966538,-115.172905,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 147",PG26-S1-002,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3.25x3.25 black and white print,Image;StillImage,image/jpg,243,244.jp2,stonebraker243
Man stands on raft,Man with rifle stands on a raft on a like with a mirror reflection.,1902,yes,rivers; mountains; rafts; guns; boats; rifles;,44.968774,-115.17298,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 148",PG26-S1-003,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3x3.25 black and white print,Image;StillImage,image/jpg,244,245.jp2,stonebraker244
Cooking at camp [01],"Two men cooking on river bank. ""The meat is burning""",1902,yes,rivers; camp sites; tents; cooking tools and equipment;,44.950188,-115.133438,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 150",PG26-S1-005,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3x3.25 black and white print,Image;StillImage,image/jpg,245,246.jp2,stonebraker245
Women on top of train car,Two hoboes (Stella Randle and Addie Mitchell) beating their way to Stites on top of a freight train.,1903,yes,passenger cars; railroad stations; women;,46.091559,-115.976253,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 151",PG26-S1-006,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3.5x3.75 black and white print,Image;StillImage,image/jpg,246,247.jp2,stonebraker246
Stonebraker Ranch [01],"Al Stonebraker's stepson, Bill (Adolph) and wife Golda stand (center) in front of the homestead.",1926,yes,homesteads; ranch houses; horses; pack baskets; children; women;,45.3893561,-115.1976139,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 18",26-N19,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2.75x4.5 black and white negative,Image;StillImage,image/jpg,247,248.jp2,stonebraker247
Hunting for deer [02],"Man with rifle and deer carcass. ""Fish Lake, Chamberlain Basin.""",1926,yes,hunting; rifles;,45.38842,-115.319519,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 152",PG26-S1-007,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,3x5 black and white print,Image;StillImage,image/jpg,248,249.jp2,stonebraker248
Stonebraker pack train [08],Pack of horses carrying supplies follows a trail through a rocky terrain.,1902,yes,horses; rocks;,44.961738,-115.151739,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 149",PG26-S1-004,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3x3.25 black and white print,Image;StillImage,image/jpg,249,250.jp2,stonebraker249
"Pack train in Roosevelt, Idaho [02]","Horses stand in a corral with wooden buildings nearby. ""Waiting to be packed.""",1902,yes,corrals; horses; wooden buildings; log cabins; mining towns; exterior views;,44.966538,-115.172905,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 154",PG26-S1-009,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3.25x3.25 black and white print,Image;StillImage,image/jpg,250,251.jp2,stonebraker250
Women with binoculars,"Tired out, a party of pleasure seekers. Two of the women pictured are Stella Randle and Addie Mitchell.",1902,yes,women; wooden buildings; exterior views; binoculars;,45.362202,-115.179666,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 155",PG26-S1-010,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3.25x3.5 black and white print,Image;StillImage,image/jpg,251,252.jp2,stonebraker251
Campsite Near the Clearwater River,"Earl Clayton (right) and Sumner ""Governor"" Stonebraker pose near a tent. ""Now laugh if you wish.""",1902,yes,camp sites; tents;,46.145512,-115.994728,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 156",PG26-S1-011,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3.25x3.5 black and white print,Image;StillImage,image/jpg,252,253.jp2,stonebraker252
Scenic mountain view,Overlook near Thunder Mountain.,1902,yes,mountains; overlooks;,44.949856,-115.133715,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 153",PG26-S1-008,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3x3.25 black and white print,Image;StillImage,image/jpg,253,254.jp2,stonebraker253
"Sumner ""Governor"" Stonebraker on horse",Two mules rest.,1902,yes,mules;,46.145512,-115.994728,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 157",PG26-S1-012,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3.25x3.25 black and white print,Image;StillImage,image/jpg,254,255.jp2,stonebraker254
Earl Clayton on horseback,Clayton sits atop horse near the Middle Fork of the Clearwater River.,1902,yes,horses; mountains;,46.145512,-115.994728,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 158",PG26-S1-013,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3.25x3.25 black and white print,Image;StillImage,image/jpg,255,256.jp2,stonebraker255
Stonebraker Ranch corral [01],"Mules eat inside of the corral at the Stonebraker Ranch. ""Jacks.""",1902,yes,mules; corrals;,45.3893561,-115.1976139,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 159",PG26-S1-014,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3x3.25 black and white print,Image;StillImage,image/jpg,256,257.jp2,stonebraker256
Sumner Stonebraker and Earl Clayton with pack horses,Near the Stonebraker Ranch in the Chamberlain Basin.,1902,yes,horses; rifles;,45.3893561,-115.1976139,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 160",PG26-S1-015,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,2.5x3.5 black and white print,Image;StillImage,image/jpg,257,258.jp2,stonebraker257
"Fish Lake, Idaho [01]","Man hunting with rifle in a grassy area near Fish Lake. ""Just keep still and I will get him.""",1902,yes,hunting; rifles; guns; forests;,45.38932,-115.319551,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 161",PG26-S1-016,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,2.5x3 black and white print,Image;StillImage,image/jpg,258,259.jp2,stonebraker258
"Fish Lake, Idaho [02]","Sumner Stonebraker on a raft with a box of caught fish. ""A tired fisherman.""",1902,yes,fishing; fish; lakes; fishing rods; rafts; boats; forests;,45.38932,-115.319551,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 162",PG26-S1-017,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3.5x3.5 black and white print,Image;StillImage,image/jpg,259,260.jp2,stonebraker259
