title,creator,date,description,aes_subjects,subject,publisher,contributing_departments,series,full_series_and_number,extent,identifier,format_original,type,format,rights,rightsstatement,language,filename,oclc_number,date_created,date_modified,cdm_url,cdmid,contentdm_file_name,contentdm_file_path,objectid
Publications And Graduate Theses In Agricultural Economics And Rural Sociology,"Cole, Maxine",1998-06,Department of Agricultural Economics and Rural Sociology Current Faculty Members and Areas of Emphasis,Teaching/Communication/Extension/Profession; Labor and Human Capital,universities and colleges; education,"Department of Agricultural Economics and Rural Sociology, University of Idaho",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 98-01,22,aees98-01,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/97,97,332.pdf,/agecon/image/332.pdf,aers098
The Relationship Between Urban Income And Rural Economic Activity In The Northern Idaho And Eastern Washington Inland Empire,"Robison, Hank; Coupal, Roger; Meyer, Neil",1991-08,Just under half of the Inland Empire's Gross Product is attributable to northern Idaho and non-urban eastern Washington.,Consumer/Household Economics; Community/Rural/Urban Development; Research Methods/ Statistical Methods,panel data; Regional economics; income; income distribution,,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 91-06,5,aees91-06,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/98,98,387.pdf,/agecon/image/387.pdf,aers099
Idaho Crop Input Price Summary For 2004,"Patterson, Paul E.; Smathers, Robert L.",2004-11,This publication provides price information for operating inputs commonly used to produce crops in Idaho.,Farm Management; Crop Production/Industries; Labor and Human Capital; Demand and Price Analysis,production costs; Includes individual crops/industries; labor; price theory; prices,"Department of Agricultural Economics and Rural Sociology, College of Agricultural and Life Sciences, University of Idaho",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 04-12,22,aees04-12,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/99,99,142.pdf,/agecon/image/142.pdf,aers100
General Situation And Outlook For Food,"Early, John O.",1974,The first half of 1974 provided little basis for optimism about the outlook for the remainder of this year or for most of 1975.,Agribusiness ; Consumer/Household Economics; Food Security and Poverty,agri-food; food industries; Consumer economics; Food supply,The University of Idaho,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 157,14,aees157,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/100,100,134.pdf,/agecon/image/134.pdf,aers101
"China'S Wheat Production, Consumption And Trade","Jones, James R.; Webb, Shwu Eng; Liu, Chia-Tsang",1990-10,"As the world's largest producer, consumer, and buyer of wheat, world wheat trade and prices can pivot significantly on events in China.",Agribusiness; Crop Production/Industries; International Relations/Trade; Research Methods/ Statistical Methods,agricultural industries; Includes individual crops/industries; trade; commerce; Impact analysis,,,Agricultural Economic Research Series,Agricultural Economic Research Series no. 90-11,11,aers90-11,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/101,101,322.pdf,/agecon/image/322.pdf,aers102
The Economic And Environmental Impacts Of Investments In The Development And Adoption Of Genetically Modified Potato,"Araji, A. A.; Guenthner, J.",2001-06,"Potato, maize, rice and wheat, are the four major food crops in the world. Since potatoes produce more calories and more protein per hectare than the other three major crops it is an important commodity for fighting hunger in developing countries.",Demand and Price Analysis; Crop Production/Industries; Research and Development/Tech Change/Emerging Technologies,Includes individual crops/industries; Demand and Price Analysis; genetically modified,"Department of Agricultural Economics and Rural Sociology, College of Agricultural and Life Sciences, University of Idaho",Department of Agricultural Economics,Agricultural Economic Research Series,Agricultural Economic Research Series no. 01-05,27,aers01-05,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/102,102,64.pdf,/agecon/image/64.pdf,aers103
"Cost Efficiency In U.S. Corn, Soybean, Wheat, And Cotton Production","Cooke, Stephen C.",1991-05,"Between 1974 and 1983, intertemporal cost efficiency for u.s. field crops increased about 1.4 to 1.2% percent for corn, soybeans, and wheat and .2% per year for cotton.",Crop Production/Industries; Research Methods/ Statistical Methods; Demand and Price Analysis; International Relations/Trade,Includes individual crops/industries; Impact analysis; cost benefit; supply and demand; comparative advantage,,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Research Series,Agricultural Economic Research Series no. 91-05,23,aers91-05,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/103,103,68.pdf,/agecon/image/68.pdf,aers104
Measuring Erosion Rate And Onsite Damage Using Gis: A Policy Application,"Walker, David J.; Painter, Kathleen M.",1994,"Soil erosion is generally recognized as an environmental problem associated with agricultural production which varies by topography, climate, soils, and cropping practices. Measuring economic damage attributable to soil erosion is a complex task because of site variability and confounding technical progress in crop yields. Nationally, onsite erosion damage has been estimated at $1 . 3 billion as measured by crop productivity losses (A It and Putman, 1987).",Land Economics/Use; Research Methods/ Statistical Methods; Agricultural and Food Policy,soil conservation; land management; Impact analysis; Agricultural policy,University of Idaho College of Agriculture,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Research Series,Agricultural Economic Research Series no. 94-09,18,aers94-09,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/104,104,44.pdf,/agecon/image/44.pdf,aers105
Return Of Investment In The Northwest Potato Breeding Program,"Araji, A. A.",2000-03,The Pacific Northwest (PNW) is the largest area in the U.S. in the production and processing of potatoes.,Agribusiness; Crop Production/Industries; Farm Management,agribusiness; Includes individual crops/industries; farm planning,University of Idaho,,Agricultural Economic Research Series,Agricultural Economic Research Series no. 00-01,32,aers00-01,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/105,105,391.pdf,/agecon/image/391.pdf,aers106
Idaho Agricultural Outlook,"Gray, C. Wilson; Patterson, Paul E.; Rimbey, Neil R.",1998-10-19,This time last year cattle markets were rebounding and seemed poised to begin the recovery phase of the cattle cycle.,Community/Rural/Urban Development; Farm Management; Food Security and Poverty; Risk and Uncertainty,Regional economics; agricultural labor; food supply; risk management,"Department of Agricultural Economics and Rural Sociology, University of Idaho",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 98-12,33,aees98-12,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/106,106,260.pdf,/agecon/image/260.pdf,aers107
Idaho Agricultural Outlook,"Hill, Lindy; Taylor, R. G.",2002-01,This report provides a preliminary estimate of Idaho farm and ranch cash receipts for the calendar-year 2001.,Crop Production/Industries; Livestock Production/Industries; Agricultural Finance; Research Methods/ Statistical Methods,Includes individual crops/industries; Include individual industries including milk; farm income; farm finance; panel data,University of Idaho,Department of Agricultural Economics,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 02-02,16,aees02-02,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/107,107,93.pdf,/agecon/image/93.pdf,aers108
Publications And Graduate Thesis In Agricultural Economics And Rural Sociology,"Youmans, Amber",1998-01-01,Department of Agricultural Economics and Rural Sociology Current Faculty Members and Areas of Emphasis,Teaching/Communication/Extension/Profession; Labor and Human Capital,universities and colleges; education,"Department of Agricultural Economics and Rural Sociology, University of Idaho",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 99-01,28,aees99-01,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/108,108,227.pdf,/agecon/image/227.pdf,aers109
Adopting Precision Agriculture: A Decision Making Process,"Michael, Kristi; Withers, Russ",1998-09,"This report will discuss the various kinds of equipment available and their applications, benefits and costs associated with precision agriculture, and some examples of precision agriculture adopters. As this technology uses many new terms, a glossary of these terms is included at the end of this report.",Demand and Price Analysis; Research and Development/Tech Change/Emerging Technologies; Farm Management,cost benefit; supply and demand; agricultural research; decision-making,University of Idaho,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Research Series,Agricultural Economic Research Series no. 98-06,43,aers98-06,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/109,109,373.pdf,/agecon/image/373.pdf,aers110
"Atoz Retained Ownership, Inc.","University of Idaho Cooperative Extension System, College of Agriculture",1999,This report presents the results of the seventh year of the retained ownership program.,Agribusiness ; Crop Production/Industries; Farm Management; Productivity Analysis,agricultural productivity; farm planning; Includes individual crops/industries; agribusiness,"University of Idaho Cooperative Extension System, College of Agriculture",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 99-10,36,aees99-10,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/110,110,226.pdf,/agecon/image/226.pdf,aers111
Conventional Tools For Farmland Protection Lots Of Noise; Limited Results,"Nelson, James R.",2002-02-24,"Policy makers have had some success using conventional tools to protect relatively small areas of special lands (environmentally special, historically special). However, such conventional tools have not been particularly successful for protecting large contiguous areas of farmland from development. So innovative ideas and tools are needed if areas of local agricultural land, and the local agricultural economies they support, are to be maintained in regions under pressure from suburban sprawl.",Farm Management; Land Economics/Use; Research and Development/Tech Change/Emerging Technologies,soil conservation; farm land management; land management; agricultural research,"Department of Agricultural Economics and Rural Sociology, College of Agricultural and Life Sciences, University of Idaho",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 02-04,10,aees02-04,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/111,111,262.pdf,/agecon/image/262.pdf,aers112
Energy Use In Northwest Agriculture,"Hamilton, J. R.",1973-12-03,"This report focuses on the dependence of agriculture in the Northwest (the states of Oregon, Idaho, and Washington) upon energy use.",Resource /Energy Economics and Policy; Agribusiness ; Teaching/Communication/Extension/Profession,energy resources; ethanol; agricultural industries; agricultural economics,,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 145,31,aees145,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/112,112,401.pdf,/agecon/image/401.pdf,aers113
1990 Census Of Population & Housing Information District II,"Harp, Aaron",1993-05,Discussion and Definitions for 1990 Census of Population & Housing,Labor and Human Capital; Consumer/Household Economics,human resources; household; family,University of idaho,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 93-06,10,aees93-06,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/113,113,292.pdf,/agecon/image/292.pdf,aers114
Using Targeted Industry Analysis In A 'Comprehensive' Economic Development Extension Program,"Nelson, James R.; Woods, Mike D.; Doeksen, Gerald A.",2004-12-02,Industry targeting is an important tool in this set of tools for community economic development. Industry targeting is an effective way to focus local team efforts to make them more efficient relative to community resources.,Teaching/Communication/Extension/Profession; International Development; Public Economics,agricultural economics; economic growth; Economic development; economic growth,"Department of Agricultural Economics and Rural Sociology, College of Agricultural and Life Sciences, University of Idaho",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 04-11,10,aees04-11,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/114,114,333.pdf,/agecon/image/333.pdf,aers115
Ag Policy For The 1990,"Meyer, Neil",1990-02,"In November of 1989, all agricultural related groups in Idaho were invited to participate in a session exploring the possibility of an Ag Policy conference in preparation for the 1990 Food and Agricultural Legislation.",Agricultural and Food Policy; Environmental Economics and Policy; Agricultural Finance; Teaching/Communication/Extension/Profession,agricultural policy; water quality; Agricultural credit; agricultural economics,,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 90-03,26,aees90-03,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/115,115,263.pdf,/agecon/image/263.pdf,aers116
Central Place Theory And Regional Input-Output,"Robison, M. H.",1992-07,"Central place theory (CPT) and regional input-output (I-0) have long served as important though mainly independent branches of regional science. CPT and regional I-0 address different facets of the· regional structure. CPT explains the spatial structure of regions, the size and location of settlements in space. Regional I-0 explains the structure of regional inter industry trade. CPT has advanced in a primarily formal literature. In contrast, regional I-0 is a highly applied technology, with many of its more prominent advances resulting from empirical exercises.",Demand and Price Analysis; Research Methods/ Statistical Methods; Public Economics; Political Economy,cost benefit; Impact analysis; fiscal; Study of the economic process,University of Idaho College of Agriculture,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Research Series,Agricultural Economic Research Series no. 92-07,40,aers92-07,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/116,116,104.pdf,/agecon/image/104.pdf,aers117
The Efficiency And Effectiveness Of Conservation Compliance Under The 1996 Farm Bill,"Wu, Shunxiang; Walker, David J.; Brusven, Merlyn A.",1998-10-30,The level of government program benefits was reduced in the newly passed 1996 Farm Bill. One concern about this reformed farm policy was how policy changes in the 96F AIR will affect farm profitability and environmental quality.,Land Economics/Use; Research Methods/ Statistical Methods; Farm Management; Demand and Price Analysis,soil conservation; Impact analysis; decision-making; cost benefit,,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Research Series,Agricultural Economic Research Series no. 98-07,29,aers98-07,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/117,117,128.pdf,/agecon/image/128.pdf,aers118
Regional Disparity Of Agricultural Productivity In Post-Reform China,"Wu, Shunxiang; Walker, David J.; Devadoss, Stephen",1998-03-04,We examine regional total factor productivity growth in post-reform (1980-95) Chinese agriculture using nonparametric Malmquist procedures. The results indicate that average productivity growth was 2.8% annually for the country as a whole.,Production Economics; Land Economics/Use; Agricultural and Food Policy; Research Methods/ Statistical Methods,general agricultural production; land management; Agricultural policy; Impact analysis,,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Research Series,Agricultural Economic Research Series no. 98-02,40,aers98-02,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/118,118,163.pdf,/agecon/image/163.pdf,aers119
"A To Z Retained Ownership, Inc. 1997 Year-End Summary","University of Idaho Cooperative Extension System, College of Agriculture",1997,The primary goal of this educational program was to give cow-calf producers information on how their cattle performed through the feeding and carcass phases. This report presents the results of the fifth year of the retained ownership program.,Agribusiness ; Crop Production/Industries; Farm Management; Productivity Analysis,agricultural productivity; farm planning; Includes individual crops/industries; agribusiness,"University of Idaho Cooperative Extension System, College of Agriculture",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 97-06,18,aees97-06,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/119,119,349.pdf,/agecon/image/349.pdf,aers120
Hedging In Futures Markets,"Patterson, Paul E.",1991-01-16,Cash Price -- Subject to Substantial Fluctuations. Price Uncertainty Makes Business Decisions Difficult. Cash Forward Contracts Established to Reduce Price Uncertainty. Futures Contracts Evolved From Cash Forward Contracts. Contracts Standardized to Facilitate Use By Hedges and Speculators.,Industrial Organization; Marketing,applied price theory; market economy; hedging,,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 90-01,12,aees90-01,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/120,120,194.pdf,/agecon/image/194.pdf,aers121
Idaho Agricultural Outlook,"Woodall, Stacie; Taylor, R. G.",2001-01,This report provides a preliminary estimate of Idaho farm and ranch cash receipts for the calendar-year 2000.,Livestock Production/Industries; Research Methods/ Statistical Methods; Crop Production/Industries; Agribusiness,Include individual industries including milk; Impact analysis; Includes individual crops/industries; agricultural industries,University of Idaho,Department of Agricultural Economics,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 01-02,10,aees01-02,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/121,121,293.pdf,/agecon/image/293.pdf,aers122
The Owyhee County Economy,"Guaderrama, Marisa; Meyer, Neil; Harp, Aaron; Rimbey, Neil; Darden, Tim; Gibson, Chad; Taylor, R. G.",1999-12,Regional models can be categorized as non structural or structural.,Consumer/Household Economics; Community/Rural/Urban Development; Public Economics,income distribution; regional economics; community development; tax; public finance,"Department of Agricultural Economics and Rural Sociology, University of Idaho",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 99-17,40,aees99-17,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/122,122,242.pdf,/agecon/image/242.pdf,aers123
Estimated Impacts Of Proposed Idaho Geothermal Energy Projects,"Peterson, Steve; Widner, Lindy; Nelson, James R.",2004-03-01,The U.S. Department of Energy through The Idaho State Department of Water Resources - Energy Division; Economic Development Administration U.S. Department of Commerce; and The University of Idaho,Resource /Energy Economics and Policy; Demand and Price Analysis; Research and Development/Tech Change/Emerging Technologies,energy resources; renewable/non-renewable; cost benefit; technical change,The U.S. Department of Energy through The Idaho State Department of Water Resources - Energy Division; Economic Development Administration U.S. Department of Commerce; The University of Idaho,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 04-01,94,aees04-01,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/123,123,252.pdf,/agecon/image/252.pdf,aers124
"Financing Services For Residential, Commercial, And Agricultural Parcels: The Cases Of Canyon And Cassia Counties","Hartmans, Martha; Meyer, Neil",1997-01,"One of the responsibilities of governments at all levels, is to provide certain types of services to the population the government serves. Governments must obtain revenues to pay for the services they provide. These revenues come from a variety of sources including property taxation, fines and forfeitures levied on local populations, charges for permits or consolidated services, and redistribution of intergovernmental funds.",Public Economics; Agricultural Finance; Community/Rural/Urban Development,tax; farm finance; regional economics; public finance,,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 96-13,50,aees96-13,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/124,124,176.pdf,/agecon/image/176.pdf,aers125
Preliminary Results Consumer Perceptions Of Trout As A Food Item Usda/Fsmip Grant University Of Idaho In Cooperation With The ' Idaho Department Of Agriculture,"Foltz, John",1997-05,Respondent Satisfaction with Food Quality,Research Methods/ Statistical Methods; Food Consumption/Nutrition/Food Safety; Consumer/Household Economics,panel data; Diet; consumption,,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Research Series,Agricultural Economic Research Series no. 97-04,16,aers97-04,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/125,125,197.pdf,/agecon/image/197.pdf,aers126
"Social And Community Impacts Of Public Land Grazing Policy Alternatives In The Bruneau Resource Area Of Owyhee County, Idaho","Wulfhorst, J. D.; Rimbey, Neil R.; Darden, Tim D.",2003-09,"In August 2002, the University of Idaho began social assessments of Owyhee County and the four southwestern Idaho counties to gather information to be used in the preparation of a Bruneau Resource Area Draft Resource Management Plan (BRMP) and a management plan for the Snake River Birds of Prey (BOP) National Conservation Area.",Research Methods/ Statistical Methods; Community/Rural/Urban Development; Public Economics; Land Economics/Use,regional economics; Impact analysis; public finance; land management; land use,"Department of Agricultural Economics and Rural Sociology, College of Agricultural and Life Sciences, University of Idaho",New Mexico Department of Agriculture; Idaho Department of Agricultural Economics and Rural Sociology,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 03-07,71,aees03-07,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/126,126,110.pdf,/agecon/image/110.pdf,aers127
