title,creator,description,date,date is approximate?,subject (lcsh),subject,point of origin,destination,coverage,contributing institution,digital collection,relation,source,identifier,publisher digital,format original,format,type,digitization specifications,rights,rights (standardized),language,date digital,full text,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
"Telegram from Frederick Burbidge to F.W. Bradley, August 02, 1899","Burbidge, Frederick",Telegram written in code.,1899-08-02,,,codes,United States;Idaho;Shoshone County;Wardner,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_85_062,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/76,76,168.pdf,/bunkerhill/image/168.pdf,bunkerhill76
"Letter from Frederick Burbidge to F.W. Bradley, August 02, 1899 [03]","Burbidge, Frederick",Burbidge discusses running a boarding house; 2 pages.,1899-08-02,,,accounting; hiring,United States;Idaho;Shoshone County;Kellogg,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_85_063,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/77,77,169.pdf,/bunkerhill/image/169.pdf,bunkerhill77
"Unsigned letter to Frederick Burbidge, April 05, 1899",,The responses to several different letters regarding 4 different issues; 2 pages.,1899-04-05,,,legal disputes; land use; mining claims; advertising,United States;Pennsylvania;Philadelphia County;Philadelphia,United States;Idaho;Shoshone County;Kellogg,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_84_007,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/78,78,17.pdf,/bunkerhill/image/17.pdf,bunkerhill78
"Telegram from Frederick Burbidge to F.W. Bradley, July 27, 1899","Burbidge, Frederick","Burbidge informs Bradley of a possible judgement, written in code.",1899-07-27,,,codes,United States;Idaho;Shoshone County;Wardner,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_85_046,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/79,79,170.pdf,/bunkerhill/image/170.pdf,bunkerhill79
"Letter from Frederick Burbidge to F.W. Bradley, August 02, 1899 [06]","Burbidge, Frederick",Burbidge inquires about business dealings with a J.R. Stephens.,1899-08-02,,,pay,United States;Idaho;Shoshone County;Kellogg,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_85_067,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/80,80,171.pdf,/bunkerhill/image/171.pdf,bunkerhill80
"Letter from J.R. Stephens to F. Burbidge, July 29, 1899","Stephens, J.R.",Stephens discusses locating a person named Carlin.,1899-07-29,,,labor disputes,Canada;British Columbia;Greenwood,United States;Idaho;Shoshone County;Kellogg,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_85_068,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/81,81,172.pdf,/bunkerhill/image/172.pdf,bunkerhill81
"Letter from Frederick Burbidge to F.W. Bradley, August 01, 1899 [02]","Burbidge, Frederick",Burbideg informs Bradley on shipping of crude ore.,1899-08-01,,,ore grade,United States;Idaho;Shoshone County;Kellogg,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_85_069,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/82,82,173.pdf,/bunkerhill/image/173.pdf,bunkerhill82
"Unaddressed note from Frederick Burbidge, no date [02]","Burbidge, Frederick","Possibly decoding a recent telegram, MG367_85_063? Handwritten, with a note in shorthand at the bottom",1901,yes,,contracts; codes,United States;Montana;Silver Bow County;Butte,,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_85_070,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/83,83,174.pdf,/bunkerhill/image/174.pdf,bunkerhill83
"Instructions for Storekeeper and Timekeeper, unsigned, no date",,Handwritten instructions and samples of forms; 9 pages.,1900,yes,,accounting; reports,United States;Idaho;Shoshone County,,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_85_071,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/85,85,176.pdf,/bunkerhill/image/176.pdf,bunkerhill85
"Letter from Frederick Burbidge to F.W. Bradley, August 03, 1899 [01]","Burbidge, Frederick",Burbidge discusses the Last Chance water rights on the South Fork.,1899-08-03,,,water rights; land use,United States;Idaho;Shoshone County;Kellogg,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_85_072,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/86,86,177.pdf,/bunkerhill/image/177.pdf,bunkerhill86
"Letter from Frederick Burbidge to F.W. Bradley, August 03, 1899 [02]","Burbidge, Frederick","Burbidge discusses ore contracts, refers to telegram MG367_85_063.",1899-08-03,,,ore; contracts,United States;Idaho;Shoshone County;Kellogg,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_85_073,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/87,87,178.pdf,/bunkerhill/image/178.pdf,bunkerhill87
"Letter from Frederick Burbidge to F.W. Bradley, August 04, 1899 [01]","Burbidge, Frederick",Burbidge informs Bradley of a possible witness in the Stemwinder Case and of their dealings with a man named Carlin.,1899-08-04,,,legal disputes; labor spies,United States;Idaho;Shoshone County;Kellogg,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_85_074,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/88,88,179.pdf,/bunkerhill/image/179.pdf,bunkerhill88
"Unsigned letter to Frederick V. Rolman, April 05, 1899",,Informing of the transfer of stocks.,1899-04-05,,,stocks,United States;Pennsylvania;Philadelphia County;Philadelphia,United States;Oregon;Multnomah County;Portland,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_84_008,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/89,89,18.pdf,/bunkerhill/image/18.pdf,bunkerhill89
"Letter from Frederick Burbidge to F.W. Bradley, August 04, 1899 [02]","Burbidge, Frederick",Burbidge discusses ore contracts.,1899-08-04,,,ore; contracts,United States;Idaho;Shoshone County;Kellogg,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_85_075,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/90,90,180.pdf,/bunkerhill/image/180.pdf,bunkerhill90
"Letter from Frederick Burbidge to F.W. Bradley, August 04, 1899 [03]","Burbidge, Frederick","Burbidge discusses ore contracts; handwritten, 2 pages.",1899-08-04,,,ore; contracts,United States;Idaho;Shoshone County;Kellogg,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_85_076,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/91,91,181.pdf,/bunkerhill/image/181.pdf,bunkerhill91
"Telegram from Frederick Burbidge to F.W. Bradley, August 05, 1899","Burbidge, Frederick",Telegram written in code.,1899-08-05,,,codes,United States;Idaho;Shoshone County;Wardner,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_85_077,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/92,92,182.pdf,/bunkerhill/image/182.pdf,bunkerhill92
"Unaddressed note from Frederick Burbidge, no date [01]","Burbidge, Frederick","Possibly decoding previous telegram, MG367_85_078? Handwritten.",1900,yes,,legal disputes,United States;Idaho;Shoshone County,,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_85_078,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/93,93,183.pdf,/bunkerhill/image/183.pdf,bunkerhill93
"Letter from Frederick Burbidge to F.W. Bradley, August 07, 1899","Burbidge, Frederick","Burbidge discusses legal matters regarding the General Land Office, Mr. Heyburn, and various court cases; 8 pages, handwritten, refers to telegram MG367_85_078.",1899-08-07,,,legal disputes; land use,United States;Washington;Spokane County;Spokane,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_85_079,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/94,94,184.pdf,/bunkerhill/image/184.pdf,bunkerhill94
"Letter from Frederick Burbidge to Alex. Granger, August 10, 1899","Burbidge, Frederick",Burbidge explains a check that was destroyed in an explosion.,1899-08-10,,,pay; checks,United States;Idaho;Shoshone County;Kellogg,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_85_080,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/95,95,185.pdf,/bunkerhill/image/185.pdf,bunkerhill95
"Letter from Frederick Burbidge to F.W. Bradley, August 02, 1899 [04]","Burbidge, Frederick",Burbidge replies to a previous letter regarding expenses.,1899-08-02,,,accounting,United States;Idaho;Shoshone County;Kellogg,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_85_065,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/96,96,186.pdf,/bunkerhill/image/186.pdf,bunkerhill96
"Telegram from Frederick Burbidge to F.W. Bradley, August 07, 1899","Burbidge, Frederick",Telegram written in code.,1899-08-07,,,codes,United States;Washington;Spokane County;Spokane,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_85_081,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/97,97,187.pdf,/bunkerhill/image/187.pdf,bunkerhill97
"Newspaper clipping, unknown source, no date",,"Article titled 'The Omaha Sold'; handwritten notes include ""Press"" and 8/12.",1900,yes,,land use,United States;Colorado;Clear Creek County;Empire,,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_85_082,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/98,98,188.pdf,/bunkerhill/image/188.pdf,bunkerhill98
"Letter from Frederick Burbidge to Alex. Granger, August 11, 1899","Burbidge, Frederick",Burbidge discusses an insurance policy.,1899-08-11,,,insurance,United States;Idaho;Shoshone County;Kellogg,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_85_083,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/99,99,189.pdf,/bunkerhill/image/189.pdf,bunkerhill99
"Telegram from Frederick Burbidge to Alex. Granger, April 8, 1899","Burbidge, Frederick",Telegram written in code regarding possible travel plans.,1899-04-08,,,travel; codes,United States;Idaho;Shoshone County;Wardner,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_84_009,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/100,100,19.pdf,/bunkerhill/image/19.pdf,bunkerhill100
