title,creator,date,date is approximate?,description,subject,location,geonames,latitude,longitude,source,usfs number,publisher,identifier,format original,format,type,rights,rightsstatement,language,cdmid,objectid
"Emergency flood work, Wallace",,1938,,"Photo text: 'Emergency flood work, Wallace. Four feet of gravel and rock left on principal street by Placer Creek (left).' Note: This image is part of a Work Progress Administration publicity series.",Works Progress Administration; WPA; construction; flood; control; rivers; streams; creeks; channel; people; buildings; camps,Wallace;Idaho;Unites States,,47.473236,-115.928602,NARA College Park; Still Photo Branch; RG 69 WPA; Series NS Publicity,,,NARA16DC192,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,365,archivalidaho365
New steel bridge across Lochsa near Powell Ranger Station,,1932,,A steel bridge that spans the Lochsa river in the Clearwater National Forest.,national forests; rivers; bridges; ranger stations; stations,Nez Perce-Clearwater National Forest;Idaho;United States,,46.508955,-114.681385,,272231,United States Forest Service,ClrwtrNF12,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,366,archivalidaho366
Sawmill at Elk Summit Ranger Station,,1929,,A man standing next to a sawmill at the Elk Summit Ranger station in the Clearwater National Forest.,national forests; sawmills; machinery; logging; ranger stations; stations,Nez Perce-Clearwater National Forest;Idaho;United States,,46.326808,-114.647626,,,United States Forest Service,ClrwtrNF24,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,367,archivalidaho367
Buckskin Bill's home and claim,"Prater, L.J.",1957,,Photo text: 'July 1957.',watershed management; settlers; pioneers; homesteaders; homesteads; buildings; cabins; rivers; claims; national forests,Payette National Forest;Idaho;United States; Salmon-Challis National Forest;Idaho;United States,,45.41226,-115.468754,,,United States Forest Service,Payette22,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,368,archivalidaho368
Man stand at desk in front of map,,1909,yes,This is image is part of a report on lands found unsuitable for reserve purposes.,people; offices; interiors; maps; forest service; national forests,McCall;Idaho;United States,,44.906591,-116.106393,,83191,United States Forest Service,OGDEN87a,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,369,archivalidaho369
Rainbow Peak near Roosevelt,,1905,yes,"Photo text: 'Altitude 9,500 feet. Completely covered by mining locations.' This is image is part of a report on lands found unsuitable for reserve purposes.",mountains; peaks; creeks; mining; mines; surveys; national forests,Payette National Forest;Idaho;United States; Salmon-Challis National Forest;Idaho;United States,,44.962533,-115.228738,,42496,United States Forest Service,OGDEN79,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,370,archivalidaho370
Bungalow Ranger Station area and bridge after Big Burn,,1911,yes,Bungalow Ranger Station area and bridge after Big Burn,ranger stations; guard stations; national forests; wilderness; rivers; big burn; forest fire; fires; bridges,Clearwater National Forest; Nez Perce-Clearwater National Forest;Idaho;United States,,46.628647,-115.506734,R-1 Engineering Division; Historical Facility Photo File; Missoula; MT,,United States Forest Service,R1EngrPics22b,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,371,archivalidaho371
The Clearwater Mountains from Sheep Hill,,1930,yes,The Clearwater Mountains from Sheep Hill,mountains; peaks; points; valleys; forests; landscapes; lookouts; fire lookouts; national forests,Nez Perce-Clearwater National Forest;Idaho;United States; Nez Perce National Forest;Idaho;United States,,46.185943,-115.426672,,,United States Forest Service,Payette111,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,372,archivalidaho372
Men on burn site,"Morris, W.W.",1910,yes,Photo text: 'Our immediate problem was to cut out the old trails.' This image is part of a pictorial narrative by William W. Morris titled 'Experiences on a National Forest'.,national forests; fires; forest fires; people; portraits; burns; big burn,Coeur d'Alene National Forest;Idaho;United States,,47.762646,-116.38998,,,United States Forest Service,pic_2014-09-30_004959,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,373,archivalidaho373
"Springston Log Bridge, Kootenai County",,1937,,Note: This image is part of a Work Progress Administration publicity series.,Works Progress Administration; WPA; towns; cities; bridges; construction; rivers; buildings,Springston;Idaho;Unites States,,47.478046,-116.732914,NARA College Park; Still Photo Branch; RG 69 WPA; Series NS Publicity,,,NARA16DC171a,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,374,archivalidaho374
Cougar Creek from mouth of Hood Creek,"Wadley, H.",1964,,"Photo text: 'June 23, 1964.'",national forests; rivers; creeks,Salmon-Challis National Forest;Idaho;United States,,44.725855,-114.880238,,,,Sal13Chal164,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,375,archivalidaho375
"Linn Caterpillar Truck with load near Pierce, Idaho","Swan, K.D.",1930,,"Photo text: 'Near Clearwater Forest. Linn Caterpillar truck with load at landing below Pierce, Idaho.'",Truck; logging; natural resources; national forests,Nez Perce-Clearwater National Forest;Idaho;United States,,46.584977,-115.548033,,246499,United States Forest Service,NARA10GP8,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,376,archivalidaho376
Farm cabin,,1937,yes,"Photo caption: 'Art McConville lives in this cabin. It is located on the Tribal Reserve which he has leased, and he is farming 125 acres of Tribal land.' This image is part of a report regarding farm organizations among tribes in Northern Idaho and the CCC-Indian Division.",CCC; Civilian Conservation Corps; tribes; reservations; Indian; division; tribes; reservations; people; cabin; field; farm,Kamiah;Idaho;Unites States; Nez Perce Reservation;Idaho;United States,,46.36935,-115.91847,NARA DC; RG 75; E 121 Northern Idaho Agency; CCF 031; Box 18,,,NARA16DC078,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,377,archivalidaho377
Men stand near a WPA dam test project,,1940,yes,Photo text: 'A WPA project which employed men to dig test pits to 'determine nature of foundation for considered dam sites.' Sponsored by the U.S. Bureau of Reclamation.' Note: This image is part of a Work Progress Administration publicity series.,Works Progress Administration; WPA; people; dam; rivers; construction,Boise;Idaho;United States,,43.69073,-115.25369,NARA College Park; Still Photo Branch; RG 69 WPA; Series NS Publicity,,,NARA16DC155,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,378,archivalidaho378
CCC workers remove large rock from road,,1940,yes,CCC workers from Mountain Home Camp G-99 remove large rock debris from road. Image part of CCC-Idaho Indian Division.,CCC; Civilian Conservation Corps; Indian; division; tribes; reservations; buildings; roads; construction; people; crew; trucks; machinery,Mountain Home;Idaho;Unites States,,43.13281,-115.69656,NARA College Park; Still Photo Branch; RG 49; GLO/BLM 1953- WLM Series Box 22 GLO Camp G-99; Mtn. Home Camp; 1940,,,NARA16DC133,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,379,archivalidaho379
Paradise Guard Station,"Adams, A.C.",1928,,Guard Station under construction,ranger stations; guard stations; log; buildings; cabins; national forests; wilderness,Bitterroot National Forest;Idaho;United States; Bitterroot National Forest;Montana;United States; Selway-Bitterroot Wilderness;Montana;United States,,45.863958,-114.735089,R-1 Engineering Division; Historical Facility Photo File; Missoula; MT,230643,United States Forest Service,R1EngrPics5,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,380,archivalidaho380
"Pack train on raw-hide trail in snow, Buffalo Hump",,1905,,"Photo text: 'On Raw-hide trail, Florence to Buffalo Hump'",mountains; forests; snow; snowshoeing; winter; people; horses; sleds; national forests,Buffalo Hump;Idaho;United States,,45.620636,-115.70002,NARA DC; RG 49; E 918P; Reports; photos; and maps removed from Forest Files (E 912) Box 4 Buffalo Hump Album 1905,,,NARA16DC274,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,381,archivalidaho381
"Salmon Falls, Salmon River","Swartz, U.S.",1926,,A boat navigating Salmon Falls on the Salmon River in the Salmon-Challis National Forest.,national forests; rivers; rapids; rafting; boats,Salmon-Challis National Forest;Idaho;United States; Payette National Forest;Idaho;United States,Idaho Primitive Area; Frank Church River of No Return Wilderness,45.362105,-114.30451,,217467,United States Forest Service,IntermtnPics67,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,382,archivalidaho382
Forest at head of Trail Creek,"Tower, G. E.",1904,,"This is image is part of a report on lands proposed for addition to Sawtooth Forest Reserve by Gordon E. Tower, 1905.",national forests; pines; tree species; surveys; creeks,Sawtooth National Forest;Idaho;United States,,44.15743,-115.112758,R-4 History Files Idaho NF Boundans Box 87,56069,United States Forest Service,OGDEN92,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,383,archivalidaho383
Safety sign and sign painter,"Balderson, V.W.",1937,,"Safety sign painted by Enrollee Karabelnikoff.' Note: This image is part of a report by V.W. Balderson to Director of Indian Affairs, D.E. Murphy on CCC-Indian Division Projects completed by the Fort Hall Agency, Fort Hall, Idaho.",CCC; Civilian Conservation Corps; Indian; division; tribes; reservations; Nez Perce; tribes; enrollees; reservations; sign; painter,Fort Hall Reservation;Idaho;United States,,42.96457,-112.36563,NARA DC; RG 75; E 1000 CCC - Indian Division; General Records; Box 102 Fort Hall,,,NARA16DC46,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,384,archivalidaho384
Starving elk,,1935,,Photo text: 'The result of Elk Wintering Range being destroyed by fire.' These images are part of a report by the United States Department of Agriculture Biological Survey on predation and pests.,fire; burn; rivers; wildlife; national forests,Selway National Forest;Idaho;United States,,46.00818,-114.532944,NARA College Park; RG 22; E 179; Biological Survey Field Report; Box 41,,,2017DC56,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,385,archivalidaho385
Airplane and Ship Island Lakes in Crag country,"Carlson, G.W.",1962,,"Photo text: 'Special Zone. Aug. 16, 1962.'",national forests; aerials; crags; mountains; peaks; points; lakes,Salmon-Challis National Forest;Idaho;United States; Payette National Forest;Idaho;United States,Idaho Primitive Area; Frank Church River of No Return Wilderness; Crags; Big Horn Crags; Crag country; Crags Recreation Area; lakes,45.160142,-114.611817,,,United States Forest Service,IntermtnPics115,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,386,archivalidaho386
"Oil storage and warehouse, Salmon City, Idaho",,1939,,"Photo text: 'Salmon River Recon. Farm land just below Salmon, Idaho. Hand held at high water mark.' This image is part of a Rivers and Harbors series.",towns; cities; buildings; storage; warehouse; oil,Salmon;Idaho;United States,,45.177772,-113.898531,NARA College Park; Still Photo Branch,557,,SalmonR11b,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,387,archivalidaho387
"Men, women, and dog en route to Buffalo Hump in snow",,1905,,"Men, women, and a dog travelling through the snow en route to Buffalo Hump.",mountains; forests; snow; snowshoeing; winter; women; people; dogs; national forests,Buffalo Hump;Idaho;United States,,45.620636,-115.70002,NARA DC; RG 49; E 918P; Reports; photos; and maps removed from Forest Files (E 912) Box 4 Buffalo Hump Album 1905,,,NARA16DC267,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,388,archivalidaho388
"Frank Church quote and plaque, Big Creek",,1977,,"Sign: 'The real meaning of wilderness will open our eyes like an Idaho sunrise of a summer morning.' - Frank Church, March 1977, includes silhouette portrait of Frank Church.",signage; signs; plaques; memorials; national forests,Payette National Forest;Idaho;United States,,45.153606,-115.302626,,,United States Forest Service,Payette59,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,389,archivalidaho389
"Leuschel cabin and claim, possible false homestead claim, Marble Creek",,1905,,"Photo text: 'Cabin on claim of Paul Leuschel, a bank clerk of Moscow, Idaho, at time of location. Was in contest with State of Idaho, and in all probability his rights will survive that of the State. He is now cashier of the Wallace National Bank, at Wallace, Idaho. His residence has never prevented his continuous presence at his employment in the bank. Note the height of the roof against which a man is leaning. Photo taken in fall of 1905. Leuschel located October 25, 1901. He is a man with a family who have never seen their 'Home' in Marble Creek. After holding the claim from 1901 or 1911 under his own name, on November25, 1911, he filed a soldier's additional claim on the land in the name of Henery H. Holstein. Final certificate was issued August 8, 1914. He declares before the Idaho Legislative Homestead Commission that he desired the land for a home. His assertion is not borne out by his subsequent acts.' Note: Marble Creek region homesteads at this time were often part of a homesteads fraud being documented by the US Forest Service.",cabin; claim; pioneer; settlers; homesteads; homesteaders; false; fake; USFS; lawsuit,Marble Creek;Idaho;United States; St. Joseph National Forest;Idaho;United States,,47.25075,-116.02043,NARA College Park RG 95; Box 51,,United States Forest Service,NARA0815DC28,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,390,archivalidaho390
Men near homestead,H.T.C.,1914,,Photo text: 'D.P. Blincoe's homestead. This house is equipped with the electric light. Cooking done with electric stove. Electricity costs $2 a month for family of 5. Electric stove (Hughes) cost $80.' Note: This image is part of records for Bureau of Reclamation projects.,Bureau of Reclamation; ranches; buildings; fields; homesteads; people; electricity,Heyburn;Idaho;United States,,42.567758,-113.734658,NARA College Park; Still Photo Branch; RG 115 JO-Minidoka Project; Box 90,,,NARA16DC206,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,391,archivalidaho391
Men work on repairing a bulldozer,"Wing, H.R.",1941,yes,Three men work to repair a bulldozer. Note: This image is part of a narrative pictoral report to accompany quarterly enrollee program report.,CCC; Civilian Conservation Corps; Indian; division; tribes; reservations; Nez Perce; tribes; enrollees; reservations; machinery; people,Lapwai;Idaho;United States; Nez Perce Reservation;Idaho;United States,,46.413109,-116.801705,NARA DC; RG 75; E 1004 CCC - Indian Division; Box 4; North Idaho,,,NARA16DC14b,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,392,archivalidaho392
Salmon River Diversion dam site and stream,"Betts, C.A.",1931,,Note: This image is part of records for Bureau of Reclamation projects.,Bureau of Reclamation; rivers; industry; dams; natural resources,Stanley;Idaho;United States,,44.25047,-114.86953,NARA College Park; Still Photo Branch; RG 115; JC Boise Project; Box 29,,,NARA16DC227,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,393,archivalidaho393
"Water trough, Winchester Reserve","Wing, H.R.",1941,yes,A water trough install near the Winchester Reserve now Winchester State Park. Note: This image is part of a narrative pictoral report to accompany quarterly enrollee program report.,CCC; Civilian Conservation Corps; Indian; division; tribes; reservations; Nez Perce; tribes; enrollees; reservations; erosion; rivers,Winchester State Park;Idaho;Unites States; Nez Perce Reservation;Idaho;United States,,46.230297,-116.625707,NARA DC; RG 75; E 1004 CCC - Indian Division; Box 4; North Idaho,,,NARA16DC15b,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,394,archivalidaho394
CCC blasting and road construction on Salmon River above French Creek,,1937,yes,Two photographs of the Civilian Conservation Corps blasting and road construction on Salmon River above French Creek in the Salmon-Challis National Forest.,CCC; Civilian Conservation Corps; road work; roads; blasting; road construction; rivers; national forests,Salmon-Challis National Forest;Idaho;United States; Riggins;Idaho;United States,CCC; Civilian Conservation Corps; road construction; Salmon River Road; Salmon River; ranch,45.42871,-115.992292,,309690; 309686,United States Forest Service,IntermtnPics105,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,395,archivalidaho395
"Weeks Field or Airport, Coeur d'Alene, aerial",,1905-04-20,,"Aerial image of Weeks Field, the first airfield in Coeur d'Alene and, by some sources, the first municipally owned airport in the United States. Closed in the 1940's or 50's it was located on the site of the current Kootenai County Fairgrounds",airport; air strip; landing field; runway; city; aerial; survey,Coeur d'Alene;Idaho;United States,,47.717136,-116.785388,,,United States Geological Survey,NARA10StlPht27,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,396,archivalidaho396
Graves of seven on Big Creek,"Morris, W.W.",1910,yes,Photo text: 'Grave where seven lay side by side in Big Creek about 50 feet from the Tree That Killed Three. See page 37.' This image is part of a pictorial narrative by William W. Morris titled 'Experiences on a National Forest'.,national forests; fire fighters; graves; big burn; forest fires,Wallace;Idaho;United States,,47.762646,-116.38998,,,United States Forest Service,pic_2014-09-30_005050b,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,397,archivalidaho397
Men and woman pose outside Chamberlain Ranger Station,,1930,yes,Men and woman pose outside Chamberlain Ranger Station,ranger stations; log; buildings; cabins; people; national forests,Payette National Forest;Idaho;United States,,45.3722,-115.20007,,,United States Forest Service,Payette61,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,398,archivalidaho398
CCC workers in transport truck,,1940,yes,A man waives to a CCC workers from Mountain Home Camp G-99 in transport truck. Image part of CCC-Idaho Indian Division.,CCC; Civilian Conservation Corps; Indian; division; tribes; reservations; buildings; roads; construction; people; crew; trucks; machinery,Mountain Home;Idaho;Unites States,,43.13281,-115.69656,NARA College Park; Still Photo Branch; RG 49; GLO/BLM 1953- WLM Series Box 22 GLO Camp G-99; Mtn. Home Camp; 1940,,,NARA16DC131,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,399,archivalidaho399
Road construction along Salmon River below Shoup,,1934,,Road construction along Salmon River below Shoup,national forests; roads; rivers; creeks; construction; machinery,Salmon-Challis National Forest;Idaho;United States,,45.363379,-114.299258,,,,Sal13Chal68,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,400,archivalidaho400
Looking up Cougar Ridge,"Wadley, H.",1964,,"Photo text: 'June 22, 1964.'",national forests; mountains; peaks; ridges; landscapes,Salmon-Challis National Forest;Idaho;United States,,45.078519,-114.053881,,,,Sal13Chal148,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,401,archivalidaho401
Pack horses in Wilson Creek Canyon,"Cox, W.T.",1904,,"This image is part of a document titled 'Report upon the proposed Salmon River Forest and additions to Sawtooth, Bitterroot, and Lemhi Reserves, Idaho.' Collected by William T. Cox, 1904.",mountains; ranges; valleys; creeks; basins; canyons; horses; livestock; pack trains; pack strings; national forests,Salmon-Challis National Forest;Idaho;United States; Bitterroot National Forest;Idaho;United States,,45.076189,-114.59057,,57016,United States Forest Service,OGDEN17,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,402,archivalidaho402
"Erosion control, Boom Grounds near Spaulding","Wing, H.R.",1941,yes,Rip-rap is installed to prevent erosion of banks on the Clearwater River. A man stands on logs in the midground. These log are likely from river log drives where logs were floated down the river to the mills. Logs often collected near the Nez Perce Boom Grounds at this bend. Note: This image is part of a narrative pictoral report to accompany quarterly enrollee program report.,CCC; Civilian Conservation Corps; Indian; division; tribes; reservations; Nez Perce; tribes; enrollees; reservations; erosion; rivers,Spaulding;Idaho;Unites States; Nez Perce Reservation;Idaho;United States,,46.449724,-116.809329,NARA DC; RG 75; E 1004 CCC - Indian Division; Box 4; North Idaho,,,NARA16DC12c,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,403,archivalidaho403
Bridge over Salmon River,,1939,,"Photo text: 'July 28, 1939.' This image is part of a Rivers and Harbors series.",national forests; rivers; bridges,Slate Creek;Idaho;United States,,45.665835,-116.295527,NARA College Park; Still Photo Branch,1074,,SalmonR23b,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,404,archivalidaho404
Alligator Lake near Buffalo Hump,,1905,,Photo text: 'Alligator Lake at bow of Buffalo Hump and 1500 feet from Big Buffalo Mine.',claims; mines; mining; lakes; national forests,Buffalo Hump;Idaho;United States,,45.620636,-115.70002,NARA DC; RG 49; E 918P; Reports; photos; and maps removed from Forest Files (E 912) Box 4 Buffalo Hump Album 1905,,,NARA16DC253,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,405,archivalidaho405
"Pictographs, Middle Fork of Salmon River","Benedict, M.S.",1937,,"Pictographs, Middle Fork of Salmon River",national forests; rivers; pictographs; native americans; cave art; tribes,Salmon-Challis National Forest;Idaho;United States,,44.873608,-114.766153,,363496,United States Forest Service,IntermtnPics78,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,406,archivalidaho406
"Assembly Hall for the Boise, Idaho, Junior College",,1941,,Assembly Hall being constructed by the WPA. Note: This image is part of a Work Progress Administration publicity series.,Works Progress Administration; WPA; buildings; towns; cities; colleges; schools,Boise;Idaho;United States,,43.69073,-115.25369,NARA College Park; Still Photo Branch; RG 69 WPA; Series NS Publicity,,,NARA16DC161,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,407,archivalidaho407
