objectid,identifier,title,description,creator,staff,relation,date,date is approximate,subject,location,latitude,longitude,source,type,format original,format,digital collection,contributing institution,language,rights,rightsstatement,cdm_url,cdmid,contentdm file name,contentdm file path
womenscenter098,ug71_b11_f383-021,"Zinser Inauguration, April 6, 1990 [21]",Scene during Elisabeth Zinser's inauguration. Zinser was the first female president of the University of Idaho. A woman speaks at a podium. About half of the people on stage and audience are wearing regalia.,,,,1990,yes,academic ceremonies; academic gown; audiences,University of Idaho,46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/97,97,354.jp2,/womenscenter/image/354.jp2
womenscenter099,ug71_b11_f381-016a,Fun Run [79],People wait for a race to start. The Administration Building can be seen in the background.,,,,1999,yes,races (events); anonymous people; waiting,University of Idaho,46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,negative,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/98,98,289.jp2,/womenscenter/image/289.jp2
womenscenter100,ug71_f366-1994oct,Women's Center October 1994,"The October 1994 issue of the Women's Center Newsletter, titled ""Women's Center October 1994.""",Women's Center,"Thomas, Betsy; Hartwell-Beal, Pam; Bouchard, Kimberley; Snow, Gwen; Walls, Angela; Lee, Adrian; Moore, Lisa; Johnson, Lori; Cichoski, Sheila",,1994-10,,violence; dresses (garments); science (modern discipline),"Idaho and Line streets, Moscow ID",46.72785,-117.011932,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/99,99,462.pdf,/womenscenter/image/462.pdf
womenscenter101,ug71_b11_f379-017,Emma Karel and Michelle Ward,Emma Karel and Michelle Ward at a reception. They're holding hands and sitting on a couch in the Women's Center.,,,,1991-09,,couches (reclining furniture); events (activities); receptions,"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph removed from foamcore,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/100,100,507.jp2,/womenscenter/image/507.jp2
womenscenter102,ug71_b11_f384-019,Fun Run [62],Mary Lu Schweitzer with a microphone reading something.,,,ug71_b11_f381-017b.jpg,1999,yes,microphones; shade (light-related concept); races (events),"Administration Lawn, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/101,101,100.jp2,/womenscenter/image/100.jp2
womenscenter103,ug71_b11_f385-014,Shot of the bathroom,"A shot of the bathroom. Women's Center relocation from the Old Journalism Building to the Theatre Annex, Summer 2000.",,,ug71_b11_f381-002.jpg,2000-05,yes,bathrooms; toilets (fixtures); bowls (vessels),"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,slide,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/102,102,213.jp2,/womenscenter/image/213.jp2
womenscenter104,ug71_b11_f381-052,Recreation of Judy Chicago's The Dinner Party [13],"Photo from a recreation of Judy Chicago's The Dinner Party, held in St. Augie's. Several people sitting at a table. There is a clear vase with flowers on the table. The room is lit by candlelight.",,,,1978,yes,candles; tablecloths; flowers (plant components),,,,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/103,103,192.jp2,/womenscenter/image/192.jp2
womenscenter105,ug71_f364-1973feb,"Women's Center Newsletter February 15, 1973","The February 15, 1973 issue of the Women's Center newsletter, titled ""Women's Center Newsletter.""",Women's Center,,,1973-02-15,,libraries (rooms); conferences; birthdays,"Administration Building, University of Idaho, Moscow ID",46.725458,-117.010767,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/104,104,276.pdf,/womenscenter/image/276.pdf
womenscenter106,ug71_b11_f382-026,Fun Run [13],Two copies; Fun Run begins and people lined up begin running.,,,ug71_b11_f382-034c.jpg,1997,yes,races (events); running (physical activity); anonymous people,University of Idaho,46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/105,105,124.jp2,/womenscenter/image/124.jp2
womenscenter107,ug71_b11_f382-028a,Fun Run [15],Two women and a dog walking towards the camera.,,,,1997,yes,races (events); walking; dogs (species),"Campus Walkway, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,negative,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/106,106,81.jp2,/womenscenter/image/81.jp2
womenscenter108,ug71_b11_f379-002,Group of women laughing in the Women's Center,"A group of women laughing in the Women's Center. Carolyn Caster sits in the middle of the five, third from the left. Two appear to be looking through pamphlets.",,,,1980,yes,pamphlets; women; books,"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph removed from foamcore,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/107,107,248.jp2,/womenscenter/image/248.jp2
womenscenter109,ug71_b11_f378-007,Sexual Assault Awareness Week Wreath poster,"Sexual Assault Awareness Week Poster describing the purpose of the wreath. Transcript: ""Sexual Assault Awareness Week Wreath. Please feel free to tie a ribbon on this wreath to symbolize anyone you know who has been sexually assaulted. Please do not attach or give any names. Thank you.""",Seattle Filmworks,,,1990,yes,assaults (personal life events); wreaths (visual works); ribbons (materials),"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph removed from foamcore,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/108,108,481.jp2,/womenscenter/image/481.jp2
womenscenter110,ug71_b11_f381-021d,Blurry image of several people looking at items at booths,Several people looking at items at booths. The tables are covered with cloth and filled with various items including framed images and pottery. The image is faded and blurry.,,,,,,crafts (arts genre); tables (support furniture); anonymous people,University of Idaho,46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,negative,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/109,109,52.jp2,/womenscenter/image/52.jp2
womenscenter111,ug71_b11_f384-010,"Betsy Thomas, Susan Palmer, and unidentified woman","Susan Palmer (left), Betsy Thomas (right), and Jessica Samuels (center) in the Women's Center.",,,,1999,yes,books; posters; sitting,"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/110,110,42.jp2,/womenscenter/image/42.jp2
womenscenter112,ug71_f367-1996oct,"Women's Center Volume 25, Number 2 October 1996","The October 1996 issue of the Women's Center Newsletter, titled ""Women's Center Volume 25, Number 2 October 1996.""",Women's Center,"Thomas, Betsy; Anderson, Jill; Palmer, Susan; Russo, Valerie",,1996-10,,athletics (exercises); family life; domestic partnerships,"Idaho and Line streets, Moscow ID",46.72785,-117.011932,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/111,111,400.pdf,/womenscenter/image/400.pdf
womenscenter113,ug71_f365-1990mar,Women's Center March Programs 1990,"The March 1990 issue of the Women's Center Newsletter, titled ""Women's Center March Programs 1990.""",Women's Center,"Thomas, Betsy; West, Jan; Woods, Nina; Davies, Heidi; Travis, Carolyn; Moser, Juli; Tucker, Wendy; Triem, Susan",,1990-03,,caretakers; divorce (social construct); quilts,"Idaho and Line streets, Moscow ID",46.72785,-117.011932,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/112,112,193.pdf,/womenscenter/image/193.pdf
womenscenter114,ug71_b11_f382-009,"Women's Center 25th Anniversary, circa 1997 [16]",Susan Palmer grabbing food from a buffet spread.,,,ug71_b11_f381-037d.jpg,1997,yes,food; tables (support furniture); women,"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/113,113,166.jp2,/womenscenter/image/166.jp2
womenscenter115,ug71_b11_f381-035d,"Women's Center 25th Anniversary, circa 1997 [08]",Susan Palmer grabbing food from a buffet spread. She wears a purple shirt and holds a glass.,,,,,,food; tables (support furniture); women,"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,negative,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/114,114,127.jp2,/womenscenter/image/127.jp2
womenscenter116,ug71_f365-1991janfeb,Women's Center January/February Programs 1991,"The January/February 1991 issue of the Women's Center Newsletter, titled ""Women's Center January/February Programs 1991.""",Women's Center,"Thomas, Betsy; Jacobsen, Desiree; Smallwood, Leslie; Mason, Deanna; Hinkley, Hiedi; Kuehne, Caroline; Stockton, Kim; McKenzie, Deborah",,1991-01,,racism; wages; reproduction (biological event),"Idaho and Line streets, Moscow ID",46.72785,-117.011932,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/115,115,206.pdf,/womenscenter/image/206.pdf
womenscenter117,ug71_f370-2006febmar,March is Herstory Month: Women's Center Zine (a.k.a. The Newsletter) Volume 4 2006 February/March Issue,"The February-March 2006 issue of the Women's Center Newsletter, titled ""March is Herstory Month: Women's Center Zine (a.k.a. The Newsletter) Volume 4 2006 February/March Issue.""",Women's Center,"Harvey, Jeannie; Salsbury, Lysa; Sharp, Amy; Rod, Rebecca; Haylett, Jennifer; Garza, Maribel; Venegas, Martha; Lopez, Linda; Campos, Nancy; French, James; Lowe,",,2006-02,,philosophy; film festivals; rights (legal concept),"Memorial Gym Room 109, University of Idaho, Moscow, ID",46.726536,-117.013331,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/116,116,472.pdf,/womenscenter/image/472.pdf
womenscenter118,ug71_b11_f384-028,Fun Run [70],A person walking towards the finish line.,,,ug71_b11_f382-029d.jpg,1999,yes,walking; men; races (events),University of Idaho,46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/117,117,399.jp2,/womenscenter/image/399.jp2
womenscenter120,ug71_b11_f383-016,"Zinser Inauguration, April 6, 1990 [16]",A shot of people in military uniforms walking by a musical ensemble.,,,,1990,yes,ensembles (musical groups); musical performances; musicians,University of Idaho,46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/119,119,411.jp2,/womenscenter/image/411.jp2
womenscenter121,ug71_b11_f384-024,Fun Run [66],Two people hugging for the camera.,,,ug71_b11_f382-032d.jpg,1999,yes,smiling; women; outside,University of Idaho,46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/120,120,148.jp2,/womenscenter/image/148.jp2
womenscenter122,ug71_b11_f379-005,Three women eating inside the Women's Center,Susan Baumgartner sitting on floor while she and several others eat in the Women's Center.,,,,1980,yes,food; chairs (furniture forms); women,"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph removed from foamcore,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/121,121,169.jp2,/womenscenter/image/169.jp2
womenscenter123,ug71_b11_f381-036d,"Women's Center 25th Anniversary, circa 1997 [11]","Susan Palmer eating food from a buffet spread. Jill Anderson (former Women's Center office coordinator) is in the background, near the coffee machine. A part of a banner that reads ""Happy Anniversary"" can be seen affixed to a blackboard in the background.",,,,,,food; tables (support furniture); women,"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,negative,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/122,122,123.jp2,/womenscenter/image/123.jp2
womenscenter124,ug71_b11_f382-013,Outside the Tutoring and Academic Assistance Center and Women's Center,A shot of the outside of the Tutoring and Academic Assistance Center and Women's Center. A row of red tulips line the front of the building. A signpost can be seen in the bottom right of the image.,,,,1997,yes,buildings; informational signs; mural paintings (visual works),"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/123,123,342.jp2,/womenscenter/image/342.jp2
womenscenter125,ug71_b11_f381-005a,"Gwen Snow, Rebecca Rod, and Jenny Rod in the Women's Center","Gwen Snow, Rebecca Rod, and Jenny Rod in the Women's Center. One woman sits next to a table covered in items while another stands in front of a full bookshelf. Several other women are nearby.",,,ug71_b11_f378-003.jpg;,,,events (activities); crafts (arts genre); books,"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,negative,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/124,124,332.jp2,/womenscenter/image/332.jp2
womenscenter126,ug71_b11_f381-015a,Fun Run [76],Mary Lu Schweitzer with a microphone hands something to another person near the Administration Lawn. Another person can be seen on the right sitting on the curb in front of a few bikes.,,,,1999,yes,microphones; events (activities); women,"Administration Lawn, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,negative,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/125,125,387.jp2,/womenscenter/image/387.jp2
womenscenter127,ug71_b11_f381-047,Recreation of Judy Chicago's The Dinner Party [08],"Photo from a recreation of Judy Chicago's The Dinner Party, held in St. Augie's. A shot of a table filled with lit candles of different sizes.",,,,,,candles; light (color attribute); yellow colors,,,,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/126,126,477.jp2,/womenscenter/image/477.jp2
womenscenter128,ug71_b11_f383-013,"Zinser Inauguration, April 6, 1990 [13]",Scene during Elisabeth Zinser's inauguration. Zinser was the first female president of the University of Idaho. Everyone on stage and in the audience stand.,,,,1990,yes,academic ceremonies; academic gown; audiences,University of Idaho,46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/127,127,142.jp2,/womenscenter/image/142.jp2
womenscenter129,ug71_b11_f378-015,Harriet Essiam sitting in a chair,Harriet Essiam sitting in a wooden chair in the Women's Center.,,,,1993-12,,chairs (furniture forms); clothing; flyers (printed matter),"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph removed from foamcore,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/128,128,134.jp2,/womenscenter/image/134.jp2
womenscenter130,ug71_b11_f381-016d,Fun Run [82],Two people standing for a photo during a race event. Other people can be seen in the background standing and walking.,,,,1999,yes,races (events); women; shade (light-related concept),University of Idaho,46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,negative,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/129,129,322.jp2,/womenscenter/image/322.jp2
womenscenter131,ug71_b11_f381-020d,Several people looking at booths,Several people looking at booths. There is a bright view of the street with buildings and bikes in the background.,,,,,,crafts (arts genre); bicycles; anonymous people,University of Idaho,46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,negative,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/130,130,64.jp2,/womenscenter/image/64.jp2
womenscenter132,ug71_b11_f379-010,Two people sitting in the Women's Center,Two people sitting in the Women's Center. One appears to be writing something. Both are smiling at the camera.,,,,1980,yes,writing materials; couches (reclining furniture); posters,"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph removed from foamcore,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/131,131,68.jp2,/womenscenter/image/68.jp2
