title,description,date,date is approximate,subject,campus event,campus organization,latitude,longitude,donor,publisher-digital,source,identifier,rights,rightsstatement,format-original,type,format,language,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
Ethel Steel and Campus Club float in the Homecoming parade,"An unidentified float in front of Seaboard Loans, Coast to Coast, and Varsity Cafe during the Homecoming parade. The side of the float reads 'Confucius Say, Idaho Win Today'.",1960,yes,parades; floats (vehicles),Homecoming,Parade; Ethel Steel House; Campus Club,46.730863,-117.001372,"University of Idaho. Photography Center. Literal, Arden",University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,084-41,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2017-10-26,2017-10-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/437,437,438.jp2,/pg2/image/438.jp2,pg2437
Kappa Sigma's 'United Nations Women's Auxiliary Drill Team' in the Homecoming parade [01],Kappa Sigma members participate in the Homecoming parade parodying as women wearing handkerchiefs and skirts.,1960,yes,parades; floats (vehicles); fraternities,Homecoming,Parade; Kappa Sigma,46.730495,-117.001365,"University of Idaho. Photography Center. Literal, Arden",University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,084-44,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2017-10-26,2017-10-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/438,438,439.jp2,/pg2/image/439.jp2,pg2438
Kappa Kappa Gamma and Phi Kappa Tau winning float in the Homecoming parade,The Kappa Kappa Gamma and Phi Kappa Tau winning float during the Homecoming parade. The caption reads 'Don't Gillette Us Down'.,1960,yes,parades; floats (vehicles); fraternities,Homecoming,Parade; Kappa Kappa Gamma; Phi Kappa Tau,46.731110,-117.001359,"University of Idaho. Photography Center. Literal, Arden",University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,084-43,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2017-10-26,2017-10-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/439,439,440.jp2,/pg2/image/440.jp2,pg2439
Delta Gamma winning float in the Homecoming parade,"Delta Gamma winning float during the Homecoming parade, featuring a portrayal of a Native American sitting on a drum and the phrase 'We Beat Em'.",1952,yes,parades; floats (vehicles); sororities,Homecoming,Parade; Delta Gamma,46.730375,-117.001369,University of Idaho. Publications Department,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,084-38,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2017-10-26,2017-10-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/440,440,441.jp2,/pg2/image/441.jp2,pg2440
Unidentified float in the Homecoming parade [02],"An unidentified float in front of Washington Water and Power and Fonk's during the Homecoming parade, featuring a smiling 'I' under an umbrella.",1960,yes,parades; floats (vehicles),Homecoming,Parade,46.730850,-117.001359,"University of Idaho. Photography Center. Literal, Arden",University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,084-48,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2017-10-26,2017-10-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/441,441,442.jp2,/pg2/image/442.jp2,pg2441
Groups with signs at the Homecoming bonfire [01],"Students stand with signs reading ""The Big I Towers over San Jose"" and ""What-Us Worry?"" during the Homecoming bonfire.",1961,yes,group portrait; rallies,Homecoming,Bonfire,46.727545,-117.021668,,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,084-71c,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,8x10 black and white print,image;stillimage,image/jpg,eng,2017-10-26,2017-10-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/497,497,498.jp2,/pg2/image/498.jp2,pg2497
Groups with signs at the Homecoming bonfire [02],"A group of students stand beside three signs reading ""Beat-Beat, Theta's Road-Runner"" and ""Win, Show No Mercy"".",1961,yes,group portrait; rallies,Homecoming,Bonfire,46.727440,-117.020261,,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,084-71d,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,8x10 black and white print,image;stillimage,image/jpg,eng,2017-10-26,2017-10-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/498,498,499.jp2,/pg2/image/499.jp2,pg2498
Cheerleaders at Homecoming bonfire,A Yell King and the Pom-Pom Girls lead the crowd in cheering for the football team at the Homecoming bonfire.,1961,yes,group portrait; rallies,Homecoming,Bonfire,46.727217,-117.020423,,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,084-71e,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2017-10-26,2017-10-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/499,499,500.jp2,/pg2/image/500.jp2,pg2499
Groups with signs at the Homecoming bonfire [03],"Students stand next to two signs that read ""Vandalize the Spartans"" ""Simonize Those Spartans, Let's Wax 'Em"" during the Homecoming bonfire.",1961,yes,group portrait; rallies,Homecoming,Bonfire,46.727304,-117.022633,,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,084-71f,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,8x10 black and white print,image;stillimage,image/jpg,eng,2017-10-26,2017-10-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/500,500,501.jp2,/pg2/image/501.jp2,pg2500
Pajama parade before Homecoming [01],Members of the Delta Delta Delta sorority and two young boys lead the pajama parade the night before the Homecoming game.,1961,yes,group portrait; pajamas; parades,Homecoming,Serpentine,46.726198,-117.009766,,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,084-72a,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,8x10 black and white print,image;stillimage,image/jpg,eng,2017-10-26,2017-10-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/501,501,502.jp2,/pg2/image/502.jp2,pg2501
Arrival of Student Special train from southern Idaho [08],People arrive at Moscow's train station as the Student Special train pulls in.,1935-09,,students; passenger trains; motor vehicles,Academics,Student Special Train,46.72648,-117.002895,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,088-25,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,Image;StillImage,image/jpg,eng,2017-10-27,2017-10-27,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/562,562,563.jp2,/pg2/image/563.jp2,pg2562
Arrival of Student Special train from southern Idaho [10],"The Student Special train arrives, bringing two large groups of people together at Moscow's train station.",1935-09,,students; passenger trains,Academics,Student Special Train,46.726697,-117.003200,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,088-27,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,Image;StillImage,image/jpg,eng,2017-10-27,2017-10-27,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/563,563,564.jp2,/pg2/image/564.jp2,pg2563
Arrival of Student Special train from southern Idaho [11],Several women holding luggage wait beside the Student Special train.,1936-09,,students; passenger trains,Academics,Student Special Train,46.726824,-117.003136,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,088-28,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,Image;StillImage,image/jpg,eng,2017-10-27,2017-10-27,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/564,564,565.jp2,/pg2/image/565.jp2,pg2564
Arrival of Student Special train from southern Idaho [12],"A group of women stand outside of the Student Special train, talking and laughing with their luggage on the ground.",1937-09,,students; passenger trains,Academics,Student Special Train,46.727061,-117.003315,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,088-29,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,4x5 black and white print,Image;StillImage,image/jpg,eng,2017-10-27,2017-10-27,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/565,565,566.jp2,/pg2/image/566.jp2,pg2565
Arrival of Student Special train from southern Idaho [13],A group of people stand waiting outside of the Student Special train.,1937-09,,students; passenger trains,Academics,Student Special Train,46.726932,-117.003149,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,088-30,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,Image;StillImage,image/jpg,eng,2017-10-27,2017-10-27,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/566,566,567.jp2,/pg2/image/567.jp2,pg2566
Campus Day Maypole dance [01],"Students participate in the Maypole dance, spinning ribbons around light-posts for the Campus Day tradition.",1922,yes,students; women; performances,Campus Day,Maypole Dance,46.726352,-117.010259,,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,099-018,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,image;stillimage,image/jpg,eng,2017-11-02,2017-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/627,627,628.jp2,/pg2/image/628.jp2,pg2627
Campus Day May Queen [01],"Students walk in a line, participating in the procession of the May Queen during Campus Day.",1924,yes,students,Campus Day,May Queen,46.726261,-117.010424,,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,099-019,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5x3 black and white print,image;stillimage,image/jpg,eng,2017-11-02,2017-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/628,628,629.jp2,/pg2/image/629.jp2,pg2628
Campus Day May Queen [02],"Students kneel, watching the crowning of May Queen during Campus Day.",1924,yes,students,Campus Day,May Queen,46.726366,-117.010745,,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,099-020,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5.75x3.5 black and white print,image;stillimage,image/jpg,eng,2017-11-02,2017-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/629,629,630.jp2,/pg2/image/630.jp2,pg2629
Campus Day pageant [01],A group of women dance in a circle while a crowd of spectators watch during Idaho's Campus Day celebrations.,1924,yes,students; performances,Campus Day,Pageant,46.725467,-117.009544,,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,099-022,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5.75x3.5 black and white print,image;stillimage,image/jpg,eng,2017-11-02,2017-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/630,630,631.jp2,/pg2/image/631.jp2,pg2630
Campus Day pageant [02],Pairs dressed in traditional Mayday attire perform for students during Idaho's Campus Day celebrations.,1924,yes,students; performances,Campus Day,Pageant,46.725739,-117.009147,,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,099-023,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5.75x3.5 black and white print,image;stillimage,image/jpg,eng,2017-11-02,2017-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/631,631,632.jp2,/pg2/image/632.jp2,pg2631
Pep band at rally [02],The Idaho pep band plays in a circle for a large crowd of people prior to a football game.,1938,yes,students; bands; musical instruments,Music,Pep Band,46.731555,-117.001587,,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,108-20,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,image;stillimage,image/jpg,eng,2017-11-03,2017-11-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/697,697,698.jp2,/pg2/image/698.jp2,pg2697
Pep band at football game [06],A shot from behind of the Idaho pep band playing in front of a sitting student section during a football game.,1938,yes,students; bands; musical instruments,Music,Pep Band,46.726050,-117.017608,,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,108-21,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,image;stillimage,image/jpg,eng,2017-11-03,2017-11-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/698,698,699.jp2,/pg2/image/699.jp2,pg2698
Pep band on roof [03],Brass instrument players of the pep band play together.,1938,yes,students; bands; musical instruments,Music,Pep Band,46.725923,-117.017644,,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,108-19,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,image;stillimage,image/jpg,eng,2017-11-03,2017-11-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/699,699,700.jp2,/pg2/image/700.jp2,pg2699
Pep band at football game [07],"The Idaho pep band sits with an attentive crowd at Neale Stadium, all watching the festivities in awe.",1942,,students; bands; musical instruments,Music,Pep Band,46.726070,-117.017667,,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,108-22,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2017-11-03,2017-11-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/700,700,701.jp2,/pg2/image/701.jp2,pg2700
Pep band at football game [08],"Another angle of the Idaho pep band sitting below the audience, watching the football game.",1942,,students; bands; musical instruments,Music,Pep Band,46.726087,-117.017598,,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,108-23,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2017-11-03,2017-11-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/701,701,702.jp2,/pg2/image/702.jp2,pg2701
Commencement speaker Dr. Glen R. Terrel,Washington State President Dr. Glen R. Terrell stands at the podium giving a speech during University of Idaho's commencement.,1968,yes,commencements; men,Academics,Commencement,46.7265,-117.014299,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,109-119,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5x4 black and white print,image;stillimage,image/jpg,eng,2017-11-14,2017-11-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/762,762,763.jp2,/pg2/image/763.jp2,pg2762
Faculty at Commencement [02],Faculty members stand on stage singing the University of Idaho Alma Mater.,1968,yes,commencements; men,Academics,Commencement,46.726549,-117.014263,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,109-120,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5x4 black and white print,image;stillimage,image/jpg,eng,2017-11-14,2017-11-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/763,763,764.jp2,/pg2/image/764.jp2,pg2763
Reserve Officers' Training Corps at Commencement,R.O.T.C. men receive their commissions as they stand around a piano during University of Idaho's commencement.,1968,yes,commencements; men; pianos,Academics,Commencement,46.726487,-117.014009,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,109-121,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5x4 black and white print,image;stillimage,image/jpg,eng,2017-11-14,2017-11-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/764,764,765.jp2,/pg2/image/765.jp2,pg2764
Commencement speaker Eldon 'Dick' Smith,Eldon 'Dick' Smith of Rexburg speaks at the podium during University of Idaho's commencement.,1968,yes,commencements; men,Academics,Commencement,46.725709,-117.008045,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,109-122,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,4x5 black and white print,image;stillimage,image/jpg,eng,2017-11-14,2017-11-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/765,765,766.jp2,/pg2/image/766.jp2,pg2765
Benjamin W. Oppenheim at Commencement,Benjamin W. Oppenheim stands on stage and receives a hood and an honorary degree.,1968,yes,commencements; men,Academics,Commencement,46.726516,-117.013901,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,109-123,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,4x5 black and white print,image;stillimage,image/jpg,eng,2017-11-14,2017-11-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/766,766,767.jp2,/pg2/image/767.jp2,pg2766
Idaho vs. Washington State,Idaho vs. Washington State College football game at the University of Idaho.,1905,yes,football (sports); football fields; groups of people,Athletics,Football,46.725382,-117.013030,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,115-068,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x6.5 black and white print,image;stillimage,image/jpg,eng,2017-11-15,2017-11-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/827,827,828.jp2,/pg2/image/828.jp2,pg2827
Sideline discussion,Coaches and a player talk logistics on the sidelines of the Idaho vs. Washington State football game at the University of Idaho.,1961,yes,football (sports); audience; coaches (people); football fields,Athletics,Football,46.725975,-117.018263,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,115-065,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3.5x3.5 black and white print,image;stillimage,image/jpg,eng,2017-11-15,2017-11-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/828,828,829.jp2,/pg2/image/829.jp2,pg2828
Running drills,"A photo of University of Idaho football players identified from left to right: C. Geraghty, G. Wilson, W. Smith, and G. Plastino running with footballs. The bodies of the players are outlined in white and black.",1932,yes,football (sports); football fields; groups of people,Athletics,Football,46.726141,-117.018164,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,115-069,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x6.25 black and white print,image;stillimage,image/jpg,eng,2017-11-15,2017-11-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/829,829,830.jp2,/pg2/image/830.jp2,pg2829
Football cheerleader,Dolores Hormaechea leading cheer at football game for the University of Idaho in front of a large crowd.,1960,yes,football (sports); football fields; groups of people; audience,Athletics,Football,46.726489,-117.018559,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,115-070,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2017-11-15,2017-11-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/830,830,831.jp2,/pg2/image/831.jp2,pg2830
Jump throw,"Football players identified from left to right: Sil Vial, Joe Espinoze, and Gary Farnworth jumping in the air to throw footballs at the University of Idaho.",1960,yes,football (sports); football fields; groups of people,Athletics,Football,46.726532,-117.015323,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,115-071,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2017-11-15,2017-11-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/831,831,832.jp2,/pg2/image/832.jp2,pg2831
Idaho Vandals 1965 Football Team,The 1965 Idaho football team poses in suits for a team photograph on MacLean Field.,1965,,football (sports); athletes; students; ball games,Athletics,Football,46.726336,-117.017144,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,115-125,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,6x3 black and white print,image;stillimage,image/jpg,eng,2017-11-16,2017-11-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/902,902,903.jp2,/pg2/image/903.jp2,pg2902
"1960 Football game, University of Idaho (7) vs. Washington State University (18) In-game action [06]",Washington State quarterback looks downfield for a throw on-the-run.,1960,,football (sports); athletes; students; ball games,Athletics,Football,46.726024,-117.017815,University of Idaho. Photo Center,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,115-131,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2017-11-16,2017-11-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/903,903,904.jp2,/pg2/image/904.jp2,pg2903
"1960 Football game, University of Idaho (7) vs. Washington State University (18) In-game action [07]",An Idaho defensive-end chases down a Cougar running back.,1960,,football (sports); athletes; students; ball games,Athletics,Football,46.726305,-117.016996,University of Idaho. Photo Center,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,115-132,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2017-11-16,2017-11-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/904,904,905.jp2,/pg2/image/905.jp2,pg2904
"1960 Football game, University of Idaho (7) vs. Washington State University (18) In-game action [08]",A Washington State runner gets to the edge for an outside run.,1960,,football (sports); athletes; students; ball games,Athletics,Football,46.726141,-117.017246,University of Idaho. Photo Center,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,115-133,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2017-11-16,2017-11-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/905,905,906.jp2,/pg2/image/906.jp2,pg2905
"1960 Football game, University of Idaho (7) vs. Washington State University (18) In-game action [09]",Washington State's quarterback pump-fakes on the run.,1960,,football (sports); athletes; students; ball games,Athletics,Football,46.726063,-117.017917,University of Idaho. Photo Center,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,115-134,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2017-11-16,2017-11-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/906,906,907.jp2,/pg2/image/907.jp2,pg2906
