title,description,creator,date,date is approximate?,subject,subject (lcsh),location,location (lcsh),latitude,longitude,digital collection,publisher digital,source,identifier,rights,rightsstatement,ordering information,format original,type,format,language,digitization specifications,date digital,date created,date modified,cdm_url,cdmid,contentdm file name,contentdm file path,objectid
Copied from a drawing of Moscow Pioneer breweries by Augustus Koch in 1897,"No. 25- Idaho Brewery, 26- livery barn, 27- Moscow Brewery, 28- Idaho Hotel, 29- Blacksmith shop, 30- City water works.        Idaho Brewery located at the southeast corner of C and Main streets. Built in 1892 by Niederstadt, Schober and Koehler and went into bankruptcy in 1894. In 1896 the brewing equipment was sold to parties at Trail Creek. In 1904 the building was used as a fruit vacuum, dryer and storage plant. Later was the Fred Veatch vinegar plant until the 1920s. Val Ruckman processed and sold feed until about the 1940s. W.H. Craig & Son operated the Idaho Transfer Company at this location for their moving and storage business until it burned in November 1956. Old flat storage section still stands west of the alley. Everett Wills Tractor Company now owns the property. Moscow Brewery operated at the northeast corner of  A and Main streets. Built in 1882 by Otto Fries and Joe Niederstadt. In 1886 Joe Niederstadt was the sole owner, and in 1890 Mr. Schober became a partner. From 1892 to 1895 the brewery was not in operation and was sold to F.L. Koehler in 1895. In 1902 Herman Nichola was operating the brewery. Fred Francl purchased the brewery in 1903 and it burned July 29, 1908. In 1909 a concrete block wall was built around the old brewery lots.","Koch, Augustus, 1840-",1897,yes,bird's-eye views; clippings,Moscow (Idaho)--Aerial views,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732388,-117.000165,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-006,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/282,282,6.jp2,/ott/image/6.jp2,ott282
Looking south at Main Street from First Street during a liberty bond parade in October 1918,Looking south at Main Street from First Street during a liberty bond parade in October 1918. Moscow.,,1918-10-01,,parades; main streets; buildings; people,Central business districts--Idaho--Moscow; Liberty bonds--Idaho--Moscow; Parades--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.733654,-117.001369,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-058,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/283,283,60.jp2,/ott/image/60.jp2,ott283
Moscow Fire in 1890,"June 6, 1890 a fire causing the loss of probably $10,000.00 visited the city. The fire started in the rear of the Hamlin building at 9.00 P.M. and destroyed the Hamlin's Hall, E. Mather's barber shop, F. Yangle's taylor [sic] shop, C.H. Jones butcher shop, the Morris building occupied by the telephone office and the commission store occupied by H. Fallon, the photography studio of H. Erickson [sic] and the J.W. Lieuallen grocery stock and building. These were all wooden frame buildings and a more disastrous spread of flames was averted only by the greatest effort. The water works had just been completed and to this fact alone the salvation of the business part of town was due. See picture number 57 [90-2-0057] on opposite page showing some of the buildings destroyed.",,1890-06-06,yes,clippings; fires,Fires--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.7333,-117.001573,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-059,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/284,284,61.jp2,/ott/image/61.jp2,ott284
Moscow Commercial Club,"At the southwest corner of First and Jackson streets. Built in 1892 and used as a meeting place for several years. Occupied next by the Moscow Business College, Inland Hospital (Dr. W.H. Carithers), Magee Hospital (Dr. Magee), Lambda Chi Alpha fraternity, and the Latah Manor Apartments as of 1980.",,1902,yes,buildings,Commercial buildings--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.733498,-117.002968,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-060,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/285,285,62.jp2,/ott/image/62.jp2,ott285
Latah Manor Apartments,"At the southwest corner of First and Jackson streets. November 16, 1977 by Clifford M. Ott.",,1977-11-16,,apartments; buildings; cars,Apartment houses--Idaho--Moscow; Pickup trucks--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.733498,-117.002968,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-061,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/286,286,63.jp2,/ott/image/63.jp2,ott286
"Browne Block built in 1890, Moscow","Located at the northeast corner of Second and Main streets. At time of picture the Moscow Natonal Bank occupied the corner section. Later Moscow State Bank, now Latah County Title Company.",,1908,yes,buildings; main streets; banks,Bank buildings--Idaho--Moscow; Drugstores--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.73315,-117.001208,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-062,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/287,287,64.jp2,/ott/image/64.jp2,ott287
First Trust Company Bank,Located at the southeast corner of Second and Main streets. Hawkin Melgard started here in 1905 and about 1921 built the First Trust and Savings Bank which was razed in 1963.,,1908,yes,buildings; banks,Bank buildings--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732881,-117.001187,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-063,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/288,288,65.jp2,/ott/image/65.jp2,ott288
Looking north at the west side of Main Street from Third Street [01],"Armistice Day, November 11, 1918.",,1918-11-11,,parades; main streets; buildings; people,Armistice Day--Idaho--Moscow; Central business districts--Idaho--Moscow; Parades--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732314,-117.001358,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-064,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/289,289,66.jp2,/ott/image/66.jp2,ott289
Looking north at the east side of Main Street from Third Street [02],Late 1920s or early 1930s.,,1930,yes,buildings; cars; main streets,Automobiles--Idaho--Moscow; Central business districts--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732314,-117.001358,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-065,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/290,290,67.jp2,/ott/image/67.jp2,ott290
Looking south at the west side of Main from Second Street,"1- First Trust and Savings Bank, 1921, 2- Hagan and Cushing, 1892. 3- Commercial Block, 1890, 4- Smith Dolson, 1891, 5- Lieuallen Building 1890, 6- Andrew Henry Hardware 1889. Picture taken 1930s.",,1935,yes,buildings; cars; main streets,Automobiles--Idaho--Moscow; Central business districts--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732998,-117.001369,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-066,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/291,291,68.jp2,/ott/image/68.jp2,ott291
Looking northwest at the west side of Main Street from Second Street,"Most of these buildings were built in the early 1900s. The Pastime in center of picture was operated by Art Ransom and was open day and night for many years, (1930s)",,1935,yes,main streets; buildings;,Automobiles--Idaho--Moscow; Central business districts--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732998,-117.001369,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-067,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/292,292,69.jp2,/ott/image/69.jp2,ott292
Looking west at the east end of the vinegar plant from Talbotts' yard,Picture from Jeanette Talbott. Southeast corner of A and Main streets.,,1900,yes,farms,Farms--Idaho--Moscow; Vinegar industry--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.73443,-117.00124,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-007a,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/293,293,7.jp2,/ott/image/7.jp2,ott293
Commercial Block built 1890 in Moscow,"Commercial Bank 215 South Main Street. Jewelry store 213 South Main Street. Montgomery Ward, 1976. Queen City Printing, 1976.",,1902,yes,buildings; business (enterprises); storefronts,Bank buildings--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.73294,-117.00146,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-068,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/294,294,70.jp2,/ott/image/70.jp2,ott294
Smith-Dolson building in Moscow,"Built 1891. Creighton's Store since early 1890s, oldest in Moscow. 211 South Main Street.",,1895,yes,buildings; business (enterprises); storefronts; people,Central business districts--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732947,-117.001381,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-069,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/295,295,71.jp2,/ott/image/71.jp2,ott295
"First Trust & Savings Bank, built in 1921 by Hawkin Melgard","Creighton's Store since early 1890s, oldest in Moscow. 211 South Main Street.",,1895,yes,buildings; business (enterprises); storefronts; people; banks,Central business districts--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732947,-117.001381,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-069,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/296,296,72.jp2,/ott/image/72.jp2,ott296
One of the first grocery stores in Moscow,"Located at the northwest corner of Third and Main streets, owned and operated by John and Clint Lieuallen, picture taken 1894-95.",,1894-06-01,yes,grocery stores; main streets,Grocery trade--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732455,-117.001181,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-070,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/297,297,73.jp2,/ott/image/73.jp2,ott297
Looking at the west side of Main Street from Third Street,Looking at the west side of Main Street from Third Street beginning with the grocery store in above picture and preceding north. Picture probably taken in the late 1890s. Note (Creightons).,,1898,yes,grocery stores; main streets; buildings,Central business districts--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732314,-117.001358,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-071,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/298,298,74.jp2,/ott/image/74.jp2,ott298
Panoramic of N.W. corner of 3rd and Main Street,Left looking west at Third Street and right looking north at Main Street. Late 1890s.,,1895,yes,main streets,Central business districts--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732425,-117.001551,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-072,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/299,299,75.jp2,/ott/image/75.jp2,ott299
First Security Bank built in 1963 replacing the First Trust & Savings Bank,"Located at the northwest of Third and Main streets. Picture 1974. December 22, 1974 by Clifford M. Ott.",,1974-12-22,,buildings; banks,Bank buildings--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732425,-117.001551,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-074,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/300,300,76.jp2,/ott/image/76.jp2,ott300
Northwest corner of Third and Main streets showing First Security Bank,"August 26, 1986 by Clifford M. Ott.",,1986-08-26,,buildings; banks; main streets,Bank buildings--Idaho--Moscow; Central business districts--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732425,-117.001551,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-074a,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/301,301,77.jp2,/ott/image/77.jp2,ott301
Northwest corner of Third and Main streets showing side view of First Security Bank,"August 26, 1986 by Clifford M. Ott.",,1986-08-26,,buildings; banks; main streets,Bank buildings--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732425,-117.001551,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-074c,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/302,302,78.jp2,/ott/image/78.jp2,ott302
Looking northwest across Washington Street at Moscow City Hall,"Looking northwest across Washington Street at Moscow City Hall, located at the northwest corner of Fourth and Washington streets. Moscow. Picture by Clifford M. Ott September 30, 1983.","Ott, Clifford M.",1983-09-30,,main streets; buildings,City halls--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.731815,-117.000119,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-074d,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/303,303,79.jp2,/ott/image/79.jp2,ott303
