title,creator,creation_date,date,date is approximate,description,subjects,subject-lcsh?,keywords,location,location_old,latitude,longitude,source,finding_aid,digital collection,holding insititution,identifier,format,format_original,type,digitization_specifications,rights,rightsstatement,language,date_digital,website,metdata_cataloger_and_scanner_technician,date_created,date_modified,cdm_url,cdmid,contentdm_file_name,contentdm_file_path,objectid
Chief Joseph [01],,1880,1880,,Photograph of Chief Joseph.,portraits; Native American,,,"Yellowstone National Park, Montana",United States,44.413689,-110.577893,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_03_A_09,image/jpeg,Photograph,Image;StillImage,Original is 1200 dpi TIFF. Displayed is 150 dpi jpg.,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,2011-05,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2011-09-21,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/262,262,13.jp2,/fisher/image/13.jp2,fisher262
Memorial of Chief Joseph's capture of Montana tourists,,1940-1960,1950,,"Memorial of Chief Joseph's capture of Montana tourists on August 24, 1877 in Yellowstone Park.",informational signs,,Nez Perce War; Chief Joseph; Yellowstone,"Yellowstone National Park, Montana",United States;Montana;Park County;Yellowstone National Park,44.413689,-110.577893,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_03_B_01,image/jpeg,Photograph,Image;StillImage,Original is 1200 dpi TIFF. Displayed is 150 dpi jpg.,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,2011-05,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2011-09-21,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/263,263,14.jp2,/fisher/image/14.jp2,fisher263
"Gravestone for Johnathan Chamberlin and his daughter, Hattie",,1940-1960,1950,,"Photograph of the gravestone for Johnathan Chamberlin and his daughter, Hattie, killed by Nez Perce tribe members.",grave markers,,Nez Perce War; Cemetery; Johnathan Chamberlin,"Mount Idaho, Idaho",United States;Idaho; United States;Montana,45.903694,-116.081853,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_03_B_02,image/jpeg,Photograph,Image;StillImage,Original is 1200 dpi TIFF. Displayed is 150 dpi jpg.,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,2011-05,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2011-09-21,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/264,264,15.jp2,/fisher/image/15.jp2,fisher264
Fencepost possibly at the cemetary containing the grave of Johnathon Chamberlin,,1940-1960,1950,,"Photograph of a fence post, possibly taken at the cemetery containing the grave of Johnathan Chamberlin.",fence post,,Nez Perce War; Cemetery; Johnathan Chamberlin,"Mount Idaho, Idaho",United States;Idaho; United States;Montana,45.903694,-116.081853,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_03_B_05,image/jpeg,Photograph,Image;StillImage,Original is 1200 dpi TIFF. Displayed is 150 dpi jpg.,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,2011-08,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2011-09-21,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/265,265,16.jp2,/fisher/image/16.jp2,fisher265
Foster's Monument [1],"Barker, G.V.",undated,1950,yes,"Photograph of a sign marking where General Howard's Headquarters was located on September 1, 1877. It says ""The ford by which the Nez Perces crossed the riber is about half a mile distant. Howard did not follow them but took his command down the left bank of the river, over Mount Washburn, and crossed the Yellowstone at Baronets bridge.""",informational signs,,Nez Perce War; William Foster,"Yellowstone National Park, Montana",United States;Idaho;Idaho County;Grangeville,44.930205,-110.403294,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_03_B_06,image/jpeg,Photograph,Image;StillImage,Original is 1200 dpi TIFF. Displayed is 150 dpi jpg.,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,2011-05,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2011-09-21,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/266,266,17.jp2,/fisher/image/17.jp2,fisher266
"Gravestone for Johnathan Chamberlin and his daughter, Hattie",,1940-1960,1950,,"Photograph of the gravestone for Johnathan Chamberlin and his daughter, Hattie, killed by the Nez Perce Indians.",grave markers,,Nez Perce War; Cemetery; Johnathan Chamberlin,"Mount Idaho, Idaho",United States;Idaho; United States;Montana,45.903694,-116.081853,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_03_B_03,image/jpeg,Photograph,Image;StillImage,Original is 1200 dpi TIFF. Displayed is 150 dpi jpg.,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,2011-05,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2011-09-21,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/267,267,18.jp2,/fisher/image/18.jp2,fisher267
General Howards Headquarters sign,Haynes,undated,1950,yes,Photograph of a monument dedicated to William Foster,monuments,"Howard, O. O.  (Oliver Otis), 1830-1909",Nez Perce War; General Howard; Yellowstone,"Cottonwood, Idaho",United States;Montana;Park County;Yellowstone National Park,46.048814,-116.349757,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_03_B_07,image/jpeg,Photograph,Image;StillImage,Original is 1200 dpi TIFF. Displayed is 150 dpi jpg.,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,2011-05,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2011-09-21,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/268,268,19.jp2,/fisher/image/19.jp2,fisher268
Campaign in Central Idaho (Map),"Crandall, F.",23 October 1923,1923-10-23,,Map showing significant places and events of the Nez Perce War that occurred in central Idaho.,battlefield maps,,Nez Perce War; F. Crandall; Central Idaho,Idaho,United States;Idaho,46.234947,-116.470614,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_02_01,image/jpeg,Map,Image;StillImage,Original is 600 dpi TIFF. Displayed is 150 dpi jpg.,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,2011-05,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2011-09-21,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/269,269,2.jp2,/fisher/image/2.jp2,fisher269
Whitebird Battleground,,undated,1950,yes,"Photograph of White Bird Battlefield, south of Grangeville, Idaho.",battlefields; photographs,,Nez Perce War; Whitebird battlefield,"Whitebird, Idaho",United States;Idaho;Idaho County;Grangeville,45.761808,-116.300846,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_03_B_08,image/jpeg,Photograph,Image;StillImage,Original is 1200 dpi TIFF. Displayed is 150 dpi jpg.,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,2011-05,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2011-09-21,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/270,270,20.jp2,/fisher/image/20.jp2,fisher270
Photocopied photos of soldiers and scouts from the Nez Perce War of 1877,,undated,1900,yes,Photocopy of portraits of men who participated in the Indian Wars in the Pacific Northwest. Location of original is unknown.,photocopies; collages (visual works); soldiers; ,,Indian Wars; Stanton Gilbert Fisher,Idaho,United States,46.234947,-116.470614,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_03_01,image/jpeg,Photograph,Image;StillImage,Original is 1200 dpi TIFF. Displayed is 150 dpi jpg.,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,2011-05,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2011-09-21,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/271,271,21.jp2,/fisher/image/21.jp2,fisher271
Chief Joseph [02],"Moorhouse, Lee, 1850-1926",1901,1901,,Portrait of Chief Joseph.,portraits; Native American,"Joseph, Nez Percé Chief, 1840-1904",Nez Percé  Indians; Chief Joseph,"Pendleton, Oregon",United States,45.672401,-118.7887,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_03_02,image/jpeg,Photograph,Image;StillImage,Original is 600 dpi TIFF. Displayed is 150 dpi jpg.,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,2011-05,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2011-09-21,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/272,272,22.jp2,/fisher/image/22.jp2,fisher272
"Battlefield, Beaverhead Nat'l Forest, Montana [01]",United States. Forest Service,1930,1930,,Photograph of a monument in Beaverhead National Forest erected in memory of those who died while fighting in the Nez Perce Wars.,battlefields; photographs; monuments,"Big Hole, Battle of the, Mont., 1877",Nez Perce War; Beaverhead National Forest,"Big Hole National Battlefield, Montana",United States;Montana;Beaverhead County;Beaverhead National Forest,45.641482,-113.64284,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_03_03,image/jpeg,Photograph,Image;StillImage,Original is 800 dpi TIFF. Displayed is 150 dpi jpg.,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,2011-05,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2011-09-21,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/273,273,23.jp2,/fisher/image/23.jp2,fisher273
Monument at Big Hole Battleground,United States. Forest Service,1930,1930,,Photograph of a monument on the Big Hole Battle Field in Beaverhead National Forest.,battlefields; photographs; monuments,"Big Hole, Battle of the, Mont., 1877",Nez Perce War; Big Hole Battlefield,"Big Hole National Battlefield, Montana",United States;Montana;Beaverhead County;Beaverhead National Forest,45.641482,-113.64284,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_03_04,image/jpeg,Photograph,Image;StillImage,Original is 800 dpi TIFF. Displayed is 150 dpi jpg.,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,2011-05,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2011-09-21,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/274,274,24.jp2,/fisher/image/24.jp2,fisher274
Foster's Monument [2],"Barker, G. V.",undated,1950,yes,Photograph of the spot where William Foster fell.,monuments,,Nez Perce War; William Foster,"Cottonwood, Idaho",United States;Idaho;Idaho County;Grangeville,46.048814,-116.349757,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_03_05,image/jpeg,Photograph,Image;StillImage,Original is 800 dpi TIFF. Displayed is 150 dpi jpg.,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,2011-05,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2011-09-21,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/275,275,25.jp2,/fisher/image/25.jp2,fisher275
Portrait of Chief Ollokot,,1900,1900,,"Portrait of Chief Ollocot, Chief Joseph's brother.",portraits; Native American,"Ollokot, Nez Percé Chief, 1844?-1877",Nez Perce; Chief Ollokot,"Walla Walla, Washington",United States,46.064197,-118.3429,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_03_06,image/jpeg,Photograph,Image;StillImage,Original is 600 dpi TIFF. Displayed is 150 dpi jpg.,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,2011-05,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2011-09-21,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/276,276,26.jp2,/fisher/image/26.jp2,fisher276
Colonel Redington Pays Tribute to Super-Scout,,1930,1930,,Newspaper clipping containing Colonel J. W.  Redington's tribute to S. G. Fisher's valuable contributions as a scout during the Nez Perce War.,newspaper clippings; photocopies,"Redington, John W., 1851-1935 ; Fisher, Stanton Gilbert, 1840-1915",Nez Perce War; J. W. Redington; Stanton Gilbert Fisher,Idaho,United States;Idaho,43.616382,-116.251448,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_06_01,image/jpeg,Newspaper Article,Image;StillImage; Text,Original is 600 dpi TIFF. Displayed is 150 dpi jpg.,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,2011-05,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2011-09-21,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/277,277,27.jp2,/fisher/image/27.jp2,fisher277
Scouts Saved the Troopers,,1930,1930,,"Newspaper clipping from the Grant County, Oregon News. Records one of J. W. Redington's successful scouting missions during the Indian Wars.",newspaper clippings,,Indian Wars; J. W. Redington,"John Day, Oregon",United States;Oregon;Grant County;John Day,44.417835,-118.95214,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_06_02,image/jpeg,Newspaper Article,Text,Original is 600 dpi TIFF. Displayed is 150 dpi jpg.,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,2011-05,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2011-09-21,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/278,278,28.jp2,/fisher/image/28.jp2,fisher278
Always Welcome,,1930,1930,,"Reprinted newspaper clipping from the Walla Walla Statesman. Commemorates a visit J. W. Redington paid to Walla Walla, Washington.",newspaper clippings,"Redington, John W., 1851-1935",J. W. Redington,"Walla Walla, Washington",United States;Washington;Walla Walla County;Walla Walla,46.064197,-118.3429,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_06_03,image/jpeg,Newspaper Article,Text,Original is 600 dpi TIFF. Displayed is 150 dpi jpg.,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,2011-05,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2011-09-21,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/279,279,29.jp2,/fisher/image/29.jp2,fisher279
Joseph's Retreat (Map),"Crandall, F.",20 October 1923,1923-10-20,,Map detailing the path of the Nez Perce Indians' retreat from Idaho into Montana during the Nez Perce War.,battlefield maps,,Nez Perce War; F. Crandall; Central Idaho; Chief Joseph,Idaho,United States;Idaho; United States;Montana,46.234947,-116.470614,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_02_03,image/jpeg,Map,Image;StillImage,Original is 600 dpi TIFF. Displayed is 150 dpi jpg.,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,2011-05,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2011-09-21,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/280,280,3.jp2,/fisher/image/3.jp2,fisher280
Saw Indian War,,1930,1930,,Newspaper clipping from the Lewiston Tribune. Relates the experiences of Mrs. H C. Roadruck during the Nez Perce War.,newspaper clippings,,Nez Perce War,"Lewiston, Idaho",United States;Washington;Asotin County;Clarkston,46.422589,-117.026587,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_06_04,image/jpeg,Newspaper Article,Text,Original is 600 dpi TIFF. Displayed is 150 dpi jpg.,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,2011-05,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2011-09-21,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/281,281,30.jp2,/fisher/image/30.jp2,fisher281
Redington Tried to Attend Dinner,"Redington, John W., 1851-1935",1922,1922,,"Newspaper clipping from the Salem, Oregon Statesman. Relays a tongue-in-cheek letter written to the paper allegedly written by J. W. Redington.",newspaper clippings,,J. W. Redington,"Salem, Oregon",United States;Oregon;Marion County;Salem,44.911694,-123.044368,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_06_06,image/jpeg,Newspaper Article,Text,Original is 600 dpi TIFF. Displayed is 150 dpi jpg.,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,2011-05,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2011-09-21,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/282,282,31.jp2,/fisher/image/31.jp2,fisher282
His Mother's Influence Was Guiding Power of Warren Harding's Life,,03 August 1923,1923-08-03,,"Newspaper clipping from the Spokesman Review discussing Warren G. Harding's personal family life, particularly his mother. Relation to collection unknown.",newspaper clippings,"Harding, Warren G. (Warren Gamaliel), 1865-1923",Warren G. Harding,"Spokane, Washington",United States;Washington;Spokane County;Spokane,47.658021,-117.426161,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_06_07,image/jpeg,Newspaper Article,Text,Original is 600 dpi TIFF. Displayed is 150 dpi jpg.,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,2011-08,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2011-09-21,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/283,283,32.jp2,/fisher/image/32.jp2,fisher283
Envelope to Fred Rice from Freda Terry,"Terry, Freda V.",1988,1988,,"Envelope from Freda Terry, Stanton Fisher's granddaughter and Don Custer's niece. Sent to Fred Rice, most likely a member of the La Quinta Historical Society.",envelopes,,Stanton Gilbert Fisher; Freda Terry; Fred Rice,"La Quinta, California",United States;California;Riverside County;La Quinta,33.670889,-116.264256,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_08_05,image/jpeg,Envelope,Text,Original is 600 dpi TIFF. Displayed is 150 dpi jpg.,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,2011-08,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2011-09-21,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/284,284,33.jp2,/fisher/image/33.jp2,fisher284
