title,description,creator,recipient,point of origin,date,date is approximate,subject,relation,latitude,longitude,digital collection,contributing institution,source,identifier,rights,rightsstatement,format original,type,digital format,language,file name,OCLC number,date created,date modified,reference URL,cdmid,CONTENTdm file name,CONTENTdm file path,objectid
Craig Mountain Lumber Mill,"Craig mountain lumber mill 3-4 years after its construction, construction started in 1911.",Winchester Museum,,,1911,,lumber mills; railroads; pipes; roads (infrastructure);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F33_011,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/77,77,475.jp2,/riegger/image/475.jp2,riegger77
Engine Just In from Camp 60,"A photograph of a 'Whitcomb 70-ton Diesel #74 with caboose #611, just in from Camp 60 with a log tain. Engine #74 and two mates were delivered in 1948. They had 650 H.P. and were built with extra-heavy traction motors to lug up 5%-plus grades at 2-4 mph and were the first diesels to be used successfully in logging.'","Hastings, Phil",,,1951-06-14,,freight trains;,,46.642283,-115.804161,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F19_025,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/78,78,302.jp2,/riegger/image/302.jp2,riegger78
Depot and Agents' Quarters at Jaype,The depot and agent's quarters at Jaype on the Headquarters branch as seen between the caboose of the Headquarters Logger and a UP outfit car.,"Sullivan, Todd",,,1976-07-28,,freight trains; railroads (infrastructure); headquarters; agent's quarters; depots; cabooses; buildings;,,46.53009754,-115.8297771,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F29_009,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/79,79,85.jp2,/riegger/image/85.jp2,riegger79
View from Cab - UP GPg No. 246,"View from the cab - UP GPg No. 246 ready to leave East Lewiston with the Grangeville Local, train No. 858","Sullivan, Todd",,,1976-07-26,,freight trains; railroads (infrastructure); buildings; chimneys;,,46.37190875,-116.9548404,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F29_004,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/80,80,279.jp2,/riegger/image/279.jp2,riegger80
"Letter from Patrick W. Stafford to Hal Riegger, February 22, 1984",A letter from Patrick W. Stafford to Hal Riegger regarding Riegger's request for track laying records for several Northern Pacific lines.,"Stafford, Patrick W.","Riegger, Hal",United States; Minnesota; Ramsey County; St. Paul;,1984-02-22,,letters (correspondence);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F06_015,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Text,Text,application/pdf,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/81,81,461.pdf,/riegger/image/461.pdf,riegger81
Shadow of Lawyers Canyon Bridge,The Grangeville Local crossing Lawyers Canyon Bridge on the Camas Prairie Railroad.,"Rikerd, Maynard",,,1905-05-25,yes,freight trains; railroads (infrastructure);,,46.235631,-116.241221,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F26_016,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/82,82,91.jp2,/riegger/image/91.jp2,riegger82
Train Cars Toppling Over Edge of Tracks,"A photograph of what appears to be a large train accident, with several train cars toppling over the edge of the tracks onto the rolling hills. The train engine isn't pictured, only the freight cars that have been affected.","Sullivan, Irvin",,,1905-05-11,,freight trains; railroads (infrastructure);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F27_002,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/83,83,55.jp2,/riegger/image/55.jp2,riegger83
NP&I Engine 9 at Craigmont,"A photograph of NP&I Engine 9 at Craigmont. It hauled Engine 4 from Nez Perce in the middle of the night without any oil in the journals. ""A wonder they made it.""","Nixon, Ron",,,1951-05-22,,freight trains; railroads (infrastructure);,,46.241535,-116.467331,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F25_020,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/84,84,208.jp2,/riegger/image/208.jp2,riegger84
Riparie Bridge in Walla Walla [2],A photograph of the Riparie Bridge in Walla Walla. Rolling hills extend in the background.,"Hermann, Dick",,,1962-03-09,,railroad bridges;,,46.066069,-118.345743,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F20_002,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/85,85,459.jp2,/riegger/image/459.jp2,riegger85
River Next to the Train Tracks,A color photograpgh of a river just off the bank of train tracks pictured from the cab of a freight train.,Don Wayt,,,,,freight trains; railroads (infrastructure); rivers; trains;,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F34_011a,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/86,86,299.jp2,/riegger/image/299.jp2,riegger86
Engine No. 858 Toward Fenn,Train Engine No. 858 between Fenn and Grangeville. The Camas Prairie plateau's slope down toward Grangeville is evident in this picture.,"Sullivan, Todd",,,1976-07-23,,freight trains; railroads (infrastructure);,,45.962974,-116.255055,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F28_004,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/87,87,201.jp2,/riegger/image/201.jp2,riegger87
Train Runs Throu Lapwai Creek Canyon,A photograph of train engine #1506 hauling 500 tons (its limit) of Grangeville local freight up the east wall of Lapwai Creek Canyon.,"Hastings, Phil",,,1951-05-28,,freight trains;,,46.323338,-116.542361,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F19_016,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/88,88,427.jp2,/riegger/image/427.jp2,riegger88
NP 684 In Service At Yellowstone,Northern Pacific Engine 684 when in service on the Yellowstone Park Line.,"Nixon, Ron",,,1905-03-24,,freight trains; railroads (infrastructure);,,45.078181,-110.780164,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F25_037,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/89,89,496.jp2,/riegger/image/496.jp2,riegger89
Train 860 To Lewiston [1],"A photograph of train #860 from Hinkle, Oregon to Lewiston, Idaho on Camas Prairie Third Subdivision at milepost 57 - 14 miles west of Lewiston.","Morefield, Jim",,,1981-08-01,,color photographs; freight trains;  railroads (infrastructure);,,46.400483,-117.004975,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F24_001,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/90,90,488.jp2,/riegger/image/488.jp2,riegger90
"Clem, Jones, Jackson Interviews","Recording of Hal Riegger's interviews with Bill Clem, Ron Jones, and Verne Jackson.",,,,1983-08,,railroads;interviews;recordings;,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F38_tape8-83W,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,tape recording,sound,audio/mp3,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/91,91,331.mp3,/riegger/image/331.mp3,riegger91
Train Motors Near Winchester Depot,"A photograph of a few stationary train motors located near the Winchester, Idaho train depot.","Hastings, Phil",,,1951-05-28,,freight trains;,,46.239238,-116.623082,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F19_018,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/92,92,277.jp2,/riegger/image/277.jp2,riegger92
Paper Copy of Photograph of Steam Engine,"A paper copy of a photograph of a PFI steam engine and caboos at Potlatch Forest Inc. in Headquarters, Idaho. Snow plow stores for years at Potlatch.","Butler, Al","Riegger, Hal",United States; Idaho;  Clearwater County; Headquarters;,1905-04-09,yes,freight trains; letters (correspondence);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F01_027,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,image;stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/93,93,354.jp2,/riegger/image/354.jp2,riegger93
Train Crash At Lewiston Yards  [2],A photograph of a train engine crash caused because of rotten wood in some scaffolding at Lewiston Yards.,"Cash, Earl",,,1905-04-27,yes,freight trains; railroads (infrastructure);,,46.400485,-117.00087,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F16_058,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/94,94,289.jp2,/riegger/image/289.jp2,riegger94
Train Engine 1618 Crash,"A photograph of crashed train #1618 near Lenore, Idaho. The crash occurred because the engineer fell asleep and didn't see the oncoming rock slide.","Cash, Earl",,,1905-04-29,,freight trains; railroads (infrastructure);,,46.508535,-116.550166,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F16_027,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/95,95,462.jp2,/riegger/image/462.jp2,riegger95
Earl Cash Sitting On Steps,A photograph of Earl Cash sitting on the steps up to a train car.,"Cash, Earl",,,1905-04-09,,freight trains; railroads (infrastructure);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F16_007,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/96,96,507.jp2,/riegger/image/507.jp2,riegger96
Northern Pacific Locomotive,Northern Pacific locomotive No. 9 at Spokane Falls.,Winchester Museum,,,1888-07-01,,locomotives; engineers; railroads; train stations; trees;,,47.66068512,-117.4265929,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F33_002,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/97,97,100.jp2,/riegger/image/100.jp2,riegger97
Frieght Train Faces Winter Weather [2],"A photograph of a freight train approaching the camera in mountaneous terrain, snow covering much of the ground, suggesting winter months in terms of time. The same photograph as the previous picture, just a larger print with white borders.","Butler, Alfred",,,1928,yes,freight trains;,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F12_006,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/98,98,213.jp2,/riegger/image/213.jp2,riegger98
Three Electric Engines,"A photograph of the three electric train engines of the Nez Perce Railroad. These 'make up the operating roster of the Nez Perce Railroad. No.'s 7114-7115-7116 were acquired from an air force base in Utah in 1973 for $30,000.00 The flame red/orange color is possibly the brightest diesel engines in the country.","Brovald, Ken","Riegger, Hal",,1973,,freight trains;,,"46.242196,",-116.472788,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F11_003,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/99,99,192.jp2,/riegger/image/192.jp2,riegger99
Map of Central and Eastern Washington,An enlargement of a map of central and eastern Washington made by Hal Riegger.,"Riegger, Hal",,United States; Washington;,,,historical maps; location maps;,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F06_001,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,image;stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/100,100,276.jp2,/riegger/image/276.jp2,riegger100
List of photo information,A list of information for photographs and negatives.,,,,,,photographs;,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F01_036,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Text,Text,application/pdf,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/101,101,124.pdf,/riegger/image/124.pdf,riegger101
"Letter from Todd Sullivan to Hal Riegger, June 9, 1984",Todd Sullivan apologizes for his unresponsiveness and sends the photograghs that Hal Riegger has asked for. He confirms that he may keep what he needs and must send back the rest. Sullivan also says that he is keeping the $30 down payment unless Riegger is not satisfied with that. Sullivan also provides his phone numbers as well as times in which he can call if he needs.,"Sullivan, Todd","Riegger, Hal",United States; New York; Poughkeepsie;,1984-06-09,,letters (correspondence);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F29_026,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,text,text,application/pdf,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/102,102,81.pdf,/riegger/image/81.pdf,riegger102
Yardbull Newsletter July 1984,The July 1984 Yardbull Newsletter detailing upcoming events as well as Burlington North track abandonment maps.,,"Riegger, Hal",United States; Washington; Spokane County; Spokane;,1984-07-01,,newsletters;,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F01_048,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Text,Text,application/pdf,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/103,103,248.pdf,/riegger/image/248.pdf,riegger103
Verne Jackson Interview Transcript [1],Transcript from Hal Riegger's interview with retired Camas Prairie railroad auditor Verne Jackson.,,,,1983-08-08,,railroads;interviews;transcripts;auditors;,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F37_008,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Transcipt,text,application/pdf,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/104,104,481.pdf,/riegger/image/481.pdf,riegger104
Camas Prairie Snowy Tracks,A photograph of the snowy train tracks of the Camas Prairie Railroad.,,,,1964-12-01,,freight trains;,,46.400485,-117.00087,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F14_002,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/105,105,52.jp2,/riegger/image/52.jp2,riegger105
Stationed Freight Trains,"A photograph of several stationary freight trains amongst mountainous terrain. Located in Headquarters, Idaho, Potlatch Forest Industries.","Butler, Bruce",,,1945-1860,yes,freight trains;,,46.642283,-115.804161,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F13_001,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/106,106,42.jp2,/riegger/image/42.jp2,riegger106
Train Engine Crossing Bridge 5,A photograph of a train engine crossing Bridge 5 at Orofino Creek.,"Cash, Earl",,,1905-04-17,,freight trains; railroads (infrastructure);,,46.482101,-116.207343,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F16_044,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/107,107,400.jp2,/riegger/image/400.jp2,riegger107
Freight Train On A Hillside,A photograph of a freight train moving along a man-made hillside with a coniferous forest in the background and sparse grasses in the foreground,"Butler, Alfred",,,,,freight trains;,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F12_002,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/108,108,193.jp2,/riegger/image/193.jp2,riegger108
"Bridge 50.1, Kamiah Mine Fire [4]",A photograph of Bridge 50.1 on the Camas Prairie Railroad next to the Kamiah Mine. Smoke billows from a fire on the railroad bridge.,"Leiterman, Ray",,,1905-05-25,,freight trains;,,46.22694,-116.029859,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F14_017,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/109,109,166.jp2,/riegger/image/166.jp2,riegger109
"Letter from Hal Riegger to Patrick W. Stafford, December 6, 1984",A letter from Hal Riegger to Patrick W. Stafford regarding abandonments of Northern Pacific Railroad lines.,"Riegger, Hal","Stafford, Patrick W.",United States; California; Nevada County; Penn Valley;,1984-12-06,,letters (correspondence);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F06_018,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Text,Text,application/pdf,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/110,110,127.pdf,/riegger/image/127.pdf,riegger110
Engine 2037 To Grangeville,"Train Engine 2037 beginning the ascent at Lapwai Canyon on its way to Grangeville, Idaho.","Rikerd, Maynard",,,1984-03-25,,freight trains; railroads (infrastructure);,,46.404827,-116.80532,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F26_031,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/111,111,206.jp2,/riegger/image/206.jp2,riegger111
NP 684 Inside Fargo Shed,"Northern Pacific Train Engine 684, being kept inside a shed, located at Fargo.","Priebe, Norm",,,1905-03-26,yes,freight trains; railroads (infrastructure);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F25_047,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/112,112,472.jp2,/riegger/image/472.jp2,riegger112
Passenger Train at Winchester,Passenger train on Winchester branch at Craig Junction.,Winchester Museum,,,1934,,passenger trains; locomotives; junctions; railroads; trees; engineers; passenger cars; water spouts;,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F33_006,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/113,113,399.jp2,/riegger/image/399.jp2,riegger113
"Locomotive #1, Lewiston, Idaho","A postcard of Locomotive #1, printed by Thatcher & Kling, distributed at Lewiston's Kodak Store","Johnson, Dale",,,1905-03-24,,freight trains; railroads (infrastructure);,,46.400483,-117.004975,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F21_003,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/114,114,350.jp2,/riegger/image/350.jp2,riegger114
Shoofly 6 Crossing Schultz Bar,A photograph of the creation of a detour bridge to streamline the construction process across Schultz Bar in Wawawai.,"Hermann, Dick",,,1969-05-15,,railroad bridges; construction (assembling);,,46.066069,-118.345743,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F20_006,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/115,115,411.jp2,/riegger/image/411.jp2,riegger115
