title,description,subject,date,date is approximate,source,latitude,longitude,subject (lcsh),format-original,donor,identifier,format,language,type,rights,rights (standardized),date created,filename,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,object-id,reference_url
"Passengers looking at a cow","Passengers in a train looking at a cow through the windows of a passenger train.","Passenger trains; Cows; Livestock;","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Passenger trains; Cows; Livestock;","","","MG 76, Box 2, Slide 048","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/358","358","","","","http://localhost:4000/digital/iddings/items/spec_ji358.html"
"Dock","A dock without ships or boats moored.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 049","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/359","359","","","","http://localhost:4000/digital/iddings/items/spec_ji359.html"
"Woman and a girl carrying baskets","A woman and a girl carrying baskets on their heads. An iron gate can be seen in the background.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 050","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/360","360","","","","http://localhost:4000/digital/iddings/items/spec_ji360.html"
"Two goats on a rock","Two goats on a steep rock.","Goats;goats","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Goats;","","","MG 76, Box 2, Slide 051","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/361","361","","","","http://localhost:4000/digital/iddings/items/spec_ji361.html"
"Straw houses","Straw houses, huts in an unknown location.","Dwellings;dwelling","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Dwellings;","","","MG 76, Box 2, Slide 052","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/362","362","","","","http://localhost:4000/digital/iddings/items/spec_ji362.html"
"Straw-thatched houses","Straw-thatched houses, huts in an unknown location.","Dwellings;dwelling","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Dwellings;","","","MG 76, Box 2, Slide 053","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/363","363","","","","http://localhost:4000/digital/iddings/items/spec_ji363.html"
"Women working on a shore","Women working on a shore, with bundles of an unidentified plant material near the water.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 054","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/364","364","","","","http://localhost:4000/digital/iddings/items/spec_ji364.html"
"People and cars in front of a building","People and cars gathered in front of a building in an unknown location.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 037","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/365","365","","","","http://localhost:4000/digital/iddings/items/spec_ji365.html"
"View of a rural scene","A distance view of a rural scene, with men working in fields.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 055","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/366","366","","","","http://localhost:4000/digital/iddings/items/spec_ji366.html"
"Farm building with no roof","A farm building either under construction or after having the roof removed.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 056","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/367","367","","","","http://localhost:4000/digital/iddings/items/spec_ji367.html"
"Farm building","A farm building, built using logs and shake shingles.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 057","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/368","368","","","","http://localhost:4000/digital/iddings/items/spec_ji368.html"
"Boat being pulled through a canal","A boat with a passenger on board is pulled through a canal by a man walking along the shore","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 058","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/369","369","","","","http://localhost:4000/digital/iddings/items/spec_ji369.html"
"Maud Iddings on a shore","Maud Iddings poses on a shore, alongside other persons and a four wheeled carriage pulled by horses.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 059","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/370","370","","","","http://localhost:4000/digital/iddings/items/spec_ji370.html"
"Building with a garden","A building with a landscaped garden in the foreground.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 060","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/371","371","","","","http://localhost:4000/digital/iddings/items/spec_ji371.html"
"Building [01]","A sideview of an unidentified building entrance.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 061","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/372","372","","","","http://localhost:4000/digital/iddings/items/spec_ji372.html"
"Building [02]","A building in the distance on the crest of a hill.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 062","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/373","373","","","","http://localhost:4000/digital/iddings/items/spec_ji373.html"
"Maude and E.J. Iddings in front of a church","Maude and E. J. Iddings posing in front of an old church building.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 038","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/374","374","","","","http://localhost:4000/digital/iddings/items/spec_ji374.html"
"Two wheeled low trunk carriage in front of hostel","Two-wheeled low trunk carriage parked in front of a hostel. A sign in French on the door of the building advertises rooms for rent. Two girls and a dog are seen on the street.",";transport; transportation","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 039","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/375","375","","","","http://localhost:4000/digital/iddings/items/spec_ji375.html"
"Sheep pasture [01]","Sheep grazing in a pasture.","Sheep; Livestock;","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Sheep; Livestock;","","","MG 76, Box 2, Slide 067","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/376","376","","","","http://localhost:4000/digital/iddings/items/spec_ji376.html"
"Sheep pasture [02]","Sheep grazing in a pasture; the edge of the fenced field is visible in the background.","Sheep; Livestock;","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Sheep; Livestock;","","","MG 76, Box 2, Slide 068","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/377","377","","","","http://localhost:4000/digital/iddings/items/spec_ji377.html"
"Sheep judging","Participants and animals lining up for a sheep showing event.","Sheep; Livestock;","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Sheep; Livestock;","","","MG 76, Box 2, Slide 069","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/378","378","","","","http://localhost:4000/digital/iddings/items/spec_ji378.html"
"Sheep in a corral [01]","Sheep in a corral prior to being shorn.","Sheep; Livestock;","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Sheep; Livestock;","","","MG 76, Box 2, Slide 070","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/379","379","","","","http://localhost:4000/digital/iddings/items/spec_ji379.html"
"Boar","A boar grazes in a field.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 071","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/380","380","","","","http://localhost:4000/digital/iddings/items/spec_ji380.html"
"Rowett Institute","The Rowett Institute in Aberdeen, Scotland.","Aberdeen (Scotland);","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Aberdeen (Scotland)","","","MG 76, Box 2, Slide 072","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/381","381","","","","http://localhost:4000/digital/iddings/items/spec_ji381.html"
"Cattle","An image of a beef cow at the University of Idaho farms.","Cows; Livestock;","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Cows; Livestock;","","","MG 76, Box 2, Slide 063","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/382","382","","","","http://localhost:4000/digital/iddings/items/spec_ji382.html"
"E.J. Iddings among vegetation","E. J. Iddings among vegetation.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 073","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/383","383","","","","http://localhost:4000/digital/iddings/items/spec_ji383.html"
"Two wheeled carriage pulled by horse","Two-wheeled carriage with a calash top pulled by a horse, in front of a building in an unknown location.","Horses;","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Horses;","","","MG 76, Box 2, Slide 074","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/384","384","","","","http://localhost:4000/digital/iddings/items/spec_ji384.html"
"Ten women dressed in white","Ten women dressed in white stand on the side of a bus, with passengers looking through the windows.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 075","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/385","385","","","","http://localhost:4000/digital/iddings/items/spec_ji385.html"
"Carriage pulled by a horse [01]","Two-wheeled carriage pulled by a horse, with driver.","Horses;transport; transportation","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Horses;","","","MG 76, Box 2, Slide 076","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/386","386","","","","http://localhost:4000/digital/iddings/items/spec_ji386.html"
"Ruins of an amphitheater","Ruins of an amphitheater in an unknown location.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 077","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/387","387","","","","http://localhost:4000/digital/iddings/items/spec_ji387.html"
"Carriage pulled by a horse [02]","A man embarking in a four-wheeled carriage pulled by horses, followed by other similar carriages, near a shore.","Horses;transport; transportation","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Horses;","","","MG 76, Box 2, Slide 078","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/388","388","","","","http://localhost:4000/digital/iddings/items/spec_ji388.html"
"U.S. military graves","U.S. military graves in an unknown location.",";cemetery","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 079","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/389","389","","","","http://localhost:4000/digital/iddings/items/spec_ji389.html"
"Kursaal with the Rotary International logo on facade","The Kursaal with the Rotary International logo on facade in Ostend, Belgium","Ostend (Belgium);buildings","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Ostend (Belgium)","","","MG 76, Box 2, Slide 080","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/390","390","","","","http://localhost:4000/digital/iddings/items/spec_ji390.html"
"Shepherd observing a flock [01]","A shepherd mounted on a horse tends to a flock of sheep.","Shepherds; Sheep; Horses; Livestock;","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Shepherds; Sheep; Horses; Livestock;","","","MG 76, Box 2, Slide 081","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/391","391","","","","http://localhost:4000/digital/iddings/items/spec_ji391.html"
"Shepherd observing a flock [02]","A shepherd observes a flock of sheep drinking water out of stream, while a horse grazes nearby.","Shepherds; Sheep; Horses; Livestock;","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Shepherds; Sheep; Horses; Livestock;","","","MG 76, Box 2, Slide 064","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/392","392","","","","http://localhost:4000/digital/iddings/items/spec_ji392.html"
"Flock of sheep on a road","A flock of sheep on a road in an unknown location.","Sheep; Livestock;","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Sheep; Livestock;","","","MG 76, Box 2, Slide 082","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/393","393","","","","http://localhost:4000/digital/iddings/items/spec_ji393.html"
"Sheep in a corral [02]","Sheep in a corral prior to sheering and after.","Sheep; Livestock;","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Sheep; Livestock;","","","MG 76, Box 2, Slide 083","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/394","394","","","","http://localhost:4000/digital/iddings/items/spec_ji394.html"
"Flock of sheep grazing","Flock of sheep grazing in an open pasture.","Sheep; Livestock;","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Sheep; Livestock;","","","MG 76, Box 2, Slide 084","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/395","395","","","","http://localhost:4000/digital/iddings/items/spec_ji395.html"
"Maud Iddings with two children","Maud Iddings poses with two children alongside several persons wearing traditional costume. [Netherlands?]",";wooden shoes","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 085","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/396","396","","","","http://localhost:4000/digital/iddings/items/spec_ji396.html"
"Village scene with thatched huts","A village scene. Women and children walk a road with thatched-roof huts and cows in the background.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 3, Slide 086","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/397","397","","","","http://localhost:4000/digital/iddings/items/spec_ji397.html"
"Street scene with people and cows","A street scene with people and cows. Seen in the foreground is a small British flag.","Cows; Livestock;","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Cows; Livestock;","","","MG 76, Box 3, Slide 087","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/398","398","","","","http://localhost:4000/digital/iddings/items/spec_ji398.html"
"Facade of a building [03]","Facade of a building with persons sitting on benches outside, possibly in Paris, France.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 3, Slide 088","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/399","399","","","","http://localhost:4000/digital/iddings/items/spec_ji399.html"
"Merino sheep at a show","Two men holding open the wool of a merino sheep to show the interior of the coat.","Sheep; Livestock;","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Sheep; Livestock;","","","MG 76, Box 2, Slide 065","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/400","400","","","","http://localhost:4000/digital/iddings/items/spec_ji400.html"
"Rambouillet ram","Rambouillet ram","Livestock;","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Livestock;","","","MG 76, Box 2, Slide 066","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/401","401","","","","http://localhost:4000/digital/iddings/items/spec_ji401.html"
"Woman and a man in front of a house","A woman and a man in front of a house with terracotta tile shingles on the roof. A child can be seen looking out a window on the far right of the image.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 3, Slide 092","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/402","402","","","","http://localhost:4000/digital/iddings/items/spec_ji402.html"
